business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Asian Paints Colourideas - Maa & Co,Paint and Putty Dealer,Paint store,"Paint store, Construction Material Wholesaler, Interior Decorator, Painter, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 8071 499 801,https://colourideas-dealers-nearme.asianpaints.com/asian-paints-colourideas-maa-co-paint-shop-indranagar-agartala-269270/Home,4.8,,"near Bhagaban thakur chowmuhani, Banamalipur, Indranagar, Agartala, Tripura 799001","Banamalipur, Indranagar",23.8393366,91.28848289999999,ChIJCTtIk9H1UzcRDA_y7Yck6-0,https://www.google.com/maps/place/?q=place_id:ChIJCTtIk9H1UzcRDA_y7Yck6-0,part_374,2026-09-20 20:19:27,2662
Asian Paints Beautiful Homes Painting Service,Paint and Putty Dealer,Painter,"Painter, Interior Decorator, Paint store, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 80 3783 8278,https://www.asianpaints.com/gbp-campaign/asian-paints-safe-painting-service.html,5.0,,"Giridhary Steel, Central Rd, near Tripura Gramin Bank, Udaipur, Udaipur part, Tripura 799120",799105,23.540779999999998,91.49526999999999,ChIJD4jVGHaZUzcRxUGuGgj64wc,https://www.google.com/maps/place/?q=place_id:ChIJD4jVGHaZUzcRxUGuGgj64wc,part_374,2026-09-20 20:19:27,2663
Amulya Vyapar,Paint and Putty Dealer,Paint store,"Paint store, Furniture Rental Store",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70055 66196,N/A,5.0,,"Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.8110075,91.30994609999999,ChIJtUBriaHzUzcRAAAAMN_qSjQ,https://www.google.com/maps/place/?q=place_id:ChIJtUBriaHzUzcRAAAAMN_qSjQ,part_374,2026-09-20 20:19:27,2664
Pratima Traders,Paint and Putty Dealer,Paint store,Paint store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.8,,"Airan Chowmuhani, Sidhai Mohanpur, Mohanpur, Tripura 799211",799105,23.969855199999998,91.3714847,ChIJLz8dN5TlUzcRp8RVNCaN6nk,https://www.google.com/maps/place/?q=place_id:ChIJLz8dN5TlUzcRp8RVNCaN6nk,part_374,2026-09-20 20:19:27,2665
Asian Paints Ltd.,Paint and Putty Dealer,Warehouse,Warehouse,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,,"R87Q+PRM, Tulakona, Tripura 799004",799105,23.8143492,91.3395444,ChIJ513ZPADzUzcRT7ynIyZioNk,https://www.google.com/maps/place/?q=place_id:ChIJ513ZPADzUzcRT7ynIyZioNk,part_374,2026-09-20 20:19:27,2666
Berger Paints Store,Paint and Putty Dealer,Paint store,Paint store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 91474 17675,N/A,5.0,,"8H47+HRG, Santirbazar, Laogang, Tripura 799144",799105,23.306449999999998,91.56457329999999,ChIJ3-eBLAALUzcRohf5Gg7i1p0,https://www.google.com/maps/place/?q=place_id:ChIJ3-eBLAALUzcRohf5Gg7i1p0,part_374,2026-09-20 20:19:27,2667
Birla Opus Paint Gallery - Ayatunur Enterprise,Paint and Putty Dealer,Paint store,"Paint store, Paint Manufacturer, Painter, Painting",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 80 4129 5643,http://www.birlaopus.com/?utm_source=Google&utm_medium=GMB,3.0,,"Ganaraj Chouwmuhani, Police Station, near East, Indranagar, Agartala, Tripura 799001",Indranagar,23.832386,91.2863878,ChIJXzdgBi71UzcRo7dPqvObp7Y,https://www.google.com/maps/place/?q=place_id:ChIJXzdgBi71UzcRo7dPqvObp7Y,part_374,2026-09-20 20:19:27,2668
BRUSH AND HAMMER,Paint and Putty Dealer,Paint store,Paint store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,3.7,,"Surjya chowmuhani, opp. Partha Sarathi Saha, Agartala, Tripura 799001",Dhaleswar,23.829642699999997,91.2807606,ChIJwaGCPYj1UzcRZEv7MCBSF_o,https://www.google.com/maps/place/?q=place_id:ChIJwaGCPYj1UzcRZEv7MCBSF_o,part_374,2026-09-20 20:19:27,2669
Nerolac Dealer - Tripureswari Hardware,Paint and Putty Dealer,Paint store,Paint store,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94361 30093,https://www.nerolac.com/store-locator/tripura/agartala/tripureswari-hardware?utm_source=google_maps&utm_medium=organic,,,"Assam - Agartala Rd, Kalyani, Dhaleswar, Agartala, Tripura 799004","Kalyani, Dhaleswar",23.833836299999998,91.29929249999999,ChIJCWQsL4jzUzcRXAvvHt73P2M,https://www.google.com/maps/place/?q=place_id:ChIJCWQsL4jzUzcRXAvvHt73P2M,part_374,2026-09-20 20:19:27,2670
Art Gallery DS - home painting services,Paint and Putty Dealer,Painter,"Painter, Interior Decorator, Interior designer, Painting studio, 3D printing service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 94854 15639,https://art-gallery-ds-home.grexa.site/,5.0,,"Barjala, Agartala, Tripura 799002",Barjala,23.8646812,91.27618819999999,ChIJKVPsfbz1UzcRY5-dEBYC5uo,https://www.google.com/maps/place/?q=place_id:ChIJKVPsfbz1UzcRY5-dEBYC5uo,part_374,2026-09-20 20:19:27,2671
