business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tarasankar Plastic Industries,Plastic Molding Manufacturer,Furniture Manufacturer,Furniture Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97740 07070,https://www.tarasankar.com/tarasankar_plastic/contact.htm,3.6,,"Dukli, Agartala, Tripura 799003",Dukli,23.7900255,91.287521,ChIJIdrqpJ30UzcRJpEIcAJM-WM,https://www.google.com/maps/place/?q=place_id:ChIJIdrqpJ30UzcRJpEIcAJM-WM,part_374,2026-09-20 20:19:42,4526
Agartala Plastics Pvt. Ltd.,Plastic Molding Manufacturer,Manufacturer,Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,4.0,,"Radhakishorenagar, Tripura 799008",799105,23.887069999999998,91.3501706,ChIJU11BOcbxUzcRWv31RvmVX_o,https://www.google.com/maps/place/?q=place_id:ChIJU11BOcbxUzcRWv31RvmVX_o,part_374,2026-09-20 20:19:42,4527
Plastic Factory,Plastic Molding Manufacturer,Manufacturer,Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,,"Ghaniamara, Bishalgarh, Tripura 799102",799105,23.6686959,91.2368125,ChIJ7TAtVACLUzcR5IHUZOg1ryo,https://www.google.com/maps/place/?q=place_id:ChIJ7TAtVACLUzcR5IHUZOg1ryo,part_374,2026-09-20 20:19:42,4528
Royal Industries,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 69095 57744,N/A,,,"120, Bypass Road, Khayerpur, Old Agartala, Agartala, Uttar Champamura, Tripura 799035","Khayerpur, Old Agartala",23.838224999999998,91.3426906,ChIJDcYNncnzUzcRMW6_vk0agLA,https://www.google.com/maps/place/?q=place_id:ChIJDcYNncnzUzcRMW6_vk0agLA,part_374,2026-09-20 20:19:42,4529
"PLASMOTEK - Plastic Injection Moulding Components Manufacturer, Supplier & Exporter in Karnataka, India",Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98456 81205,https://www.plasmotek.com/,4.6,,"B-51, ITI Ancillary Estate, Mahadevpura,Whitefield Road, Bengaluru - 5600 48 banglore, Karnataka 560048","Devasandra Industrial Estate, Mahadevapura",12.997070599999999,77.69893669999999,ChIJq6qqqnMRrjsRP_x6FHsYg-Y,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqnMRrjsRP_x6FHsYg-Y,part_374,2026-09-20 20:19:42,4530
Northern Plastics,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, FMCG Manufacturer, Industrial consultant, Medical equipment supplier, Mold maker, Toolroom, Plastic Products Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98110 19773,https://www.northernplasticsengg.com/,4.8,,"J-22, Block J, Sector 63, Noida, Uttar Pradesh 201309","Block J, Sector 63",28.6259861,77.38890339999999,ChIJPyzTPLflDDkRs92RfvczVrw,https://www.google.com/maps/place/?q=place_id:ChIJPyzTPLflDDkRs92RfvczVrw,part_374,2026-09-20 20:19:42,4531
Dalal Plastics Pvt Ltd,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Mold maker, Molding supplier, Plastic fabrication company, Plastic Products Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 96197 18999,https://www.dalalplastics.com/,4.9,,"Digha, Plot, B18/19, Digha Naka, TTC Industrial Area, Dighe, Navi Mumbai, Maharashtra 400708","Digha Naka, TTC Industrial Area, Dighe",19.1772876,73.0030776,ChIJe5ma4i-_5zsRzf0DpPhSRxQ,https://www.google.com/maps/place/?q=place_id:ChIJe5ma4i-_5zsRzf0DpPhSRxQ,part_374,2026-09-20 20:19:42,4532
Vidhata Plastics India Private Limited,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 40 2726 6073,http://www.vidhata.co.in/,4.6,,"P-205/2, opposite Ig Mint, Phase II, I D A, Cherlapally, Hyderabad, Secunderabad, Telangana 500051","Phase II, I D A, Cherlapally",17.47253,78.6009645,ChIJG4Lch82ZyzsRP0mkMZdXqHQ,https://www.google.com/maps/place/?q=place_id:ChIJG4Lch82ZyzsRP0mkMZdXqHQ,part_374,2026-09-20 20:19:42,4533
N.D. Plastic Recycle Unit,Plastic Molding Manufacturer,Manufacturer,Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,,"R84F+FR3, Arabinda Colony, Nagicherra, Agartala, Tripura 799004","Arabinda Colony, Nagicherra",23.806148699999998,91.3245506,ChIJcVTGZgDzUzcRBpHCrbKWQfA,https://www.google.com/maps/place/?q=place_id:ChIJcVTGZgDzUzcRBpHCrbKWQfA,part_374,2026-09-20 20:19:42,4534
PBS ROYAL plastic industries,Plastic Molding Manufacturer,Pipe Manufacturer,Pipe Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70057 00063,https://pbsroyal.in/?fbclid=PAZXh0bgNhZW0CMTEAAaYbPGrP2NBEXyA26rLEURRV6lBIMpeQlxjJyx3IQOWXBvK8epILfnNVKhA_aem_vpxNeTv55Wmhs2_qC3mFCg,5.0,,"industrial growth centre, Bodhjung Nagar, Agartala, Ramchandranagar, Tripura 799008",Bodhjung Nagar,23.8856002,91.3639183,ChIJx0Ow_UfxUzcRatqzUazZn2k,https://www.google.com/maps/place/?q=place_id:ChIJx0Ow_UfxUzcRatqzUazZn2k,part_374,2026-09-20 20:19:43,4535
AKS Plastic Industries,Plastic Molding Manufacturer,Pipe Manufacturer,Pipe Manufacturer,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 69093 13737,https://instagram.com/real_plastic?igshid=NTc4MTIwNjQ2YQ==,4.7,,"Arundhauti Nagar, Agartala, Tripura 799003",Arundhauti Nagar,23.7996774,91.2623729,ChIJC1CnDvj1UzcRcZPrYOdhXkY,https://www.google.com/maps/place/?q=place_id:ChIJC1CnDvj1UzcRcZPrYOdhXkY,part_374,2026-09-20 20:19:43,4536
SINGARI ( Plastic Molding Company ),Plastic Molding Manufacturer,Corporate office,"Corporate office, Factory equipment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98113 54365,N/A,4.4,,"Block C, C-17, Block B, Sector 80, Noida, Uttar Pradesh 201305","Block B, Sector 80",28.556790099999997,77.39916509999999,ChIJJZediD3vDDkRAule0QA2Qu4,https://www.google.com/maps/place/?q=place_id:ChIJJZediD3vDDkRAule0QA2Qu4,part_374,2026-09-20 20:19:43,4537
Vinayak Engineering Works,Plastic Molding Manufacturer,Molding supplier,"Molding supplier, Engineering consultant",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 85278 08541,https://vinayak-engineering.grexa.site/,4.6,,"B-79, Pocket X, Okhla Phase II, Okhla Industrial Estate, Phase2, New Delhi, Delhi 110020","Pocket X, Okhla Phase II, Okhla Industrial Estate",28.5374913,77.276637,ChIJu8vb_7DiDDkRjzYtA8ueKkw,https://www.google.com/maps/place/?q=place_id:ChIJu8vb_7DiDDkRjzYtA8ueKkw,part_374,2026-09-20 20:19:43,4538
PLAST MOULD INDUSTRIES,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98995 56769,https://plastmouldindustries.co.in/,4.8,,"HSIIDC, Plot no.- 2120, Phase-II, Rai Industrial Estate, Sonipat, Haryana 131029",Sector 38,28.9264472,77.0852139,ChIJfYM-LmCvDTkR1insSGYf0XE,https://www.google.com/maps/place/?q=place_id:ChIJfYM-LmCvDTkR1insSGYf0XE,part_374,2026-09-20 20:19:43,4539
