business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ro Repairing And Servicing,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water damage restoration service, Water Filter Supplier, Water Pump Supplier, Water softening equipment supplier, Water Testing Laboratory, Water treatment plant, Water treatment supplier, Water works equipment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 85755 02007,N/A,4.8,19.0,"Sakuntala Rd, Madhyapara, Dhaleswar, Agartala, Tripura 799001","Madhyapara, Dhaleswar",23.8300999,91.2806512,ChIJVe8WpBH1UzcRuD2Uk1exjqQ,https://www.google.com/maps/place/?q=place_id:ChIJVe8WpBH1UzcRuD2Uk1exjqQ,part_374,2026-09-20 20:19:28,2691
URBAN Water Solutions,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Sewage treatment plant, Swimming pool repair service, Water Filter Supplier, Water treatment plant",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70051 70619,https://urbanwatersolutions.in/,4.9,37.0,"Badharghat NH-08, opposite of Indian Oil Petrol Pump, Agartala, Tripura 799003",Badharghat,23.802436399999998,91.27253119999999,ChIJFSQmLE71UzcRj7EAbKr_1JY,https://www.google.com/maps/place/?q=place_id:ChIJFSQmLE71UzcRj7EAbKr_1JY,part_374,2026-09-20 20:19:28,2692
Kitchen chimney and water filter service,RO Water Purifier Sales and Service,Self service health station,"Self service health station, Self-storage facility",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 89745 45794,N/A,5.0,1.0,"Khilpara, Udaipur, Tripura 799114",799105,23.5261869,91.4725526,ChIJJ2tvoR2ZUzcR4XkPyDru_JM,https://www.google.com/maps/place/?q=place_id:ChIJJ2tvoR2ZUzcR4XkPyDru_JM,part_374,2026-09-20 20:19:28,2693
RO Care India,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Sewage treatment plant, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93115 87744,https://www.rocareindia.com/ro-water-purifier-service-agartala,,,"old, Motor Stand Rd, Indranagar, Agartala, Tripura 799001",Indranagar,23.8314839,91.2849368,ChIJKbQNW4X1UzcRo8xpgLAjuGI,https://www.google.com/maps/place/?q=place_id:ChIJKbQNW4X1UzcRo8xpgLAjuGI,part_374,2026-09-20 20:19:28,2694
PB Enterprise,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"Old RMS Chowmuhani, Krishna Nagar, Agartala, Tripura 799001","Old RMS Chowmuhani, Krishna Nagar",23.83335,91.278671,ChIJkZveOAD1UzcR5hLqd9xXdYs,https://www.google.com/maps/place/?q=place_id:ChIJkZveOAD1UzcR5hLqd9xXdYs,part_374,2026-09-20 20:19:28,2695
Aquaguard Service Center (RMS Chowmuahni),RO Water Purifier Sales and Service,Water purification company,Water purification company,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,1.0,"RMS Chowmuhani, Krishna Nagar, Agartala, Tripura 799001","RMS Chowmuhani, Krishna Nagar",23.833130999999998,91.2788743,ChIJpRVoHE71UzcRVNcCEZheG6Y,https://www.google.com/maps/place/?q=place_id:ChIJpRVoHE71UzcRVNcCEZheG6Y,part_374,2026-09-20 20:19:28,2696
Pureit Water Purifier - M/S Sri Krishna Service Centre,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 96197 06894,https://stores-near-me.pureitwater.com/pureit-water-purifier-m-s-sri-krishna-service-centre-water-filter-supplier-block-bujjanta-market-agartala-136601/Home?utm_source=locator&utm_medium=googleplaces,3.9,7.0,"H No 111, Tulsi Bati Block Bujjanta Market, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.843326299999998,91.26907659999999,ChIJXbLFKy71UzcR3D9ekMMbNZY,https://www.google.com/maps/place/?q=place_id:ChIJXbLFKy71UzcR3D9ekMMbNZY,part_374,2026-09-20 20:19:28,2697
Pureit Water Purifier - Mangalic,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 88795 05435,https://stores-near-me.pureitwater.com/pureit-water-purifier-mangalic-water-filter-supplier-kailashahar-north-tripura-136597/Home?utm_source=locator&utm_medium=googleplaces,4.5,2.0,"near Kalimandir, Office Tilla, Kailashahar, Dharmanagar, Tripura 799253",Office Tilla,24.380479599999997,92.1650342,ChIJ-xOKjSztUTcRmkFXJKFHAUw,https://www.google.com/maps/place/?q=place_id:ChIJ-xOKjSztUTcRmkFXJKFHAUw,part_374,2026-09-20 20:19:28,2698
Eureka Forbes Ltd,RO Water Purifier Sales and Service,Water purification company,Water purification company,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 22 6227 7493,https://www.eurekaforbes.com/,3.2,32.0,"89, Motor Stand Rd, opp. Petrol Pump, Shiv Nagar, Indranagar, Agartala, Tripura 799001","Shiv Nagar, Indranagar",23.8312304,91.2867438,ChIJuf9fCxP0UzcRKec0wu-GBuw,https://www.google.com/maps/place/?q=place_id:ChIJuf9fCxP0UzcRKec0wu-GBuw,part_374,2026-09-20 20:19:28,2699
Complete RO Services,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 86500 50051,https://completeroservices.com/,4.8,111.0,"Lalita Kunj Ashram, Maholi Rd, near Harikunj Market, Anandpuri, Mathura, Uttar Pradesh 281001",Anandpuri,27.4906507,77.6713959,ChIJzdOe_UFxczkRlmHlRZIFzlw,https://www.google.com/maps/place/?q=place_id:ChIJzdOe_UFxczkRlmHlRZIFzlw,part_374,2026-09-20 20:19:28,2700
Santoshi maa cool Water supplier,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98280 80444,N/A,,,"Mahesh khala By pass, near Nilgiri Hotal, opposite Mahendra showroom, Agartala, Tripura 799130",799105,23.790477,91.2890604,ChIJV6u2HDL1UzcR5hmi1O1qgNc,https://www.google.com/maps/place/?q=place_id:ChIJV6u2HDL1UzcR5hmi1O1qgNc,part_374,2026-09-20 20:19:28,2701
Aquagaurd Service Centre.,RO Water Purifier Sales and Service,Water purification company,Water purification company,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,https://www.eurekaforbes.com/contactus/index/bookademorequest/?utm_source=google&utm_campaign=AQ_Search_Brand_BMM_Mobile&utm_term=+aquaguard_+website&gclid=Cj0KCQiA2o_fBRC8ARIsAIOyQ-meUT-Zc5JQK1PBPn1S2vLaXjsABF7HGC4ypesvYc3ZVPb8DRauyRYaAsGJEALw_wcB,3.6,5.0,"Jay Nagar 6, Jay Nagar, Agartala, Tripura 799001",Jay Nagar,23.833457199999998,91.26454609999999,ChIJF-V3IYL1UzcR6dZx9XlZRZQ,https://www.google.com/maps/place/?q=place_id:ChIJF-V3IYL1UzcR6dZx9XlZRZQ,part_374,2026-09-20 20:19:28,2702
Kara Aqua,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company, Water Pump Supplier, Water softening equipment supplier, Water treatment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 92202 41010,https://www.karaaqua.com/,4.9,853.0,"Office number 101, first floor, Jain complex, 46/47, Guru Angad Nagar West, Laxmi Nagar, Delhi, 110092","Guru Angad Nagar West, Laxmi Nagar",28.6394618,77.2833606,ChIJkZj-6yj9DDkRk0P9ZszptUs,https://www.google.com/maps/place/?q=place_id:ChIJkZj-6yj9DDkRk0P9ZszptUs,part_374,2026-09-20 20:19:28,2703
"Prithvi Water Solution - ALL Brand Water Purefier Sales & Services,",RO Water Purifier Sales and Service,Water purification company,"Water purification company, Repair service",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 75871 52002,http://prithvicare.in/,4.8,413.0,"119 First Floor progressive point Laalpur, Pachpedi Naka, Raipur, Chhattisgarh 492015","RishabhNagar and Pawan Vihar Colony, Pachpedi Naka",21.2127855,81.66326509999999,ChIJe-hyVLzdKDoR38icQt2gaLI,https://www.google.com/maps/place/?q=place_id:ChIJe-hyVLzdKDoR38icQt2gaLI,part_374,2026-09-20 20:19:28,2704
Palak Ro Service,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Appliance repair service, Water purification company",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 98111 39725,https://www.palakro.com/,5.0,5982.0,"F-2 Gf, Bandalo Wala Mohalla, Lado Sarai, New Delhi, Delhi 110030","Bandalo Wala Mohalla, Lado Sarai",28.527387899999997,77.19338599999999,ChIJ0aIAPAAeDTkRZogpLMBFqXQ,https://www.google.com/maps/place/?q=place_id:ChIJ0aIAPAAeDTkRZogpLMBFqXQ,part_374,2026-09-20 20:19:28,2705
R O Point,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Filtration plant, Water purification company, Water softening equipment supplier, Water treatment plant, Water utility company",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 70023 25963,https://ropointguwahati.com/,4.9,196.0,"Chaolung Sukaphaa Path, opposite gastro city hospital, Hatigaon Chariali, Sijubari, Hatigaon, Guwahati, Assam 781038","Hatigaon Chariali, Sijubari, Hatigaon",26.129139499999997,91.7860671,ChIJS4ykdM1ZWjcRMdDwggw-mjg,https://www.google.com/maps/place/?q=place_id:ChIJS4ykdM1ZWjcRMdDwggw-mjg,part_374,2026-09-20 20:19:28,2706
GS Ro sales And Service,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Air conditioning repair service, Electronics store",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 90240 23878,https://www.aquajaipur.com/,4.8,37.0,"Patrakar Colony Rd, near baba paradise, Sunder Nagar, Jaipur, Rajasthan 302020",Sunder Nagar,26.845506399999998,75.7500498,ChIJd3JxmBm1bTkRGlaH9d6cZr8,https://www.google.com/maps/place/?q=place_id:ChIJd3JxmBm1bTkRGlaH9d6cZr8,part_374,2026-09-20 20:19:28,2707
City Water,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Swimming pool contractor, Swimming pool supply store, Water softening equipment supplier, Water treatment plant, Water treatment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 60268 01817,http://www.citywater.in/,4.8,504.0,"Building No 58-2273, Floor No 1, DG Market Complex at Traffic Point, Hatigaon Bhetapara Rd, opposite Building to SBI ATM, near Manappuram Gold loan office, Hatigaon Chariali, Beltola Tiniali, Guwahati, Assam 781038","Hatigaon Chariali, Beltola Tiniali",26.1288385,91.7866087,ChIJjbQ6EwVZWjcRvwO1pqP5uwA,https://www.google.com/maps/place/?q=place_id:ChIJjbQ6EwVZWjcRvwO1pqP5uwA,part_374,2026-09-20 20:19:28,2708
SK Distributors,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Appliance store, Water purification company, Water softening equipment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93146 61132,http://www.aquasoftindia.in/,4.7,110.0,"1st, Plot no -147, Basement, 80 Feet Rd, opp. Hotel Guman Heritage, Mahaveer Nagar, Durgapura, Jaipur, Rajasthan 302018","Shri Vihar, Mahaveer Nagar, Durgapura",26.8549664,75.7899322,ChIJlaD10YG1bTkRI2i3UkmFy8Q,https://www.google.com/maps/place/?q=place_id:ChIJlaD10YG1bTkRI2i3UkmFy8Q,part_374,2026-09-20 20:19:28,2709
AQUAFRESH RO SERVICE CENTER,RO Water Purifier Sales and Service,Water purification company,Water purification company,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 95012 07599,N/A,4.6,101.0,"1659, LIG Housing Board, Sector 52, Chandigarh, Sahibzada Ajit Singh Nagar, Chandigarh 160062","LIG Housing Board, Sector 52",30.70551,76.73773589999999,ChIJH_bWjv7tDzkRtCUwbGKYXz8,https://www.google.com/maps/place/?q=place_id:ChIJH_bWjv7tDzkRtCUwbGKYXz8,part_374,2026-09-20 20:19:28,2710
Livpure Authorised Shop - M/S Majumder Services,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Appliance store",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 97744 45421,https://store.livpure.com/livpure-authorised-shop-m-s-majumder-services-m-s-majumder-services-water-purification-company-rms-chowmuhani-agartala-370942/Home,,,"Ground Floor, Mantribari Rd, RMS Chowmuhani, Dhaleswar, Agartala, Tripura 799001","RMS Chowmuhani, Dhaleswar",23.8316612,91.2787781,ChIJDRRq9cb1UzcRb2nDk7S8-nM,https://www.google.com/maps/place/?q=place_id:ChIJDRRq9cb1UzcRb2nDk7S8-nM,part_374,2026-09-20 20:19:28,2711
Kent Service Center Agartala Tripura,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Appliance repair service, Repair service, Water purification company",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93628 23791,https://kent.co.in/,3.5,11.0,"Magnet club, Harish Thakur Road Near Satsang Chowmuhani towards Bijoy Kumar Chowmuhani, Krisnanagar,Agartala, Road, opposite Bose Verities, Krishna Nagar, Agartala, Tripura 799001","Padma Pukur, Krishna Nagar",23.834860799999998,91.2738024,ChIJXcnHhWL1UzcRbOYB3XNKJ6k,https://www.google.com/maps/place/?q=place_id:ChIJXcnHhWL1UzcRbOYB3XNKJ6k,part_374,2026-09-20 20:19:28,2712
Hindustan water,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,5.0,5.0,"R89M+J97, Uttar Champamura, Tripura 799004",799105,23.8190278,91.33342859999999,ChIJrd7W-1PzUzcR1PEqUNzTaVg,https://www.google.com/maps/place/?q=place_id:ChIJrd7W-1PzUzcR1PEqUNzTaVg,part_374,2026-09-20 20:19:28,2713
"IRL Group (Reliant Aqua Limited) - RO Water Purifier Sales & Service Gomti Nagar, Lucknow | RO Repair Service in Lucknow",RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 72339 99777,https://irlgroup.in/,4.8,,"Gangotri Vihar, Phase 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Gangotri Vihar, Phase 1, Gomti Nagar",26.8472264,81.0287384,ChIJj2KMiS39mzkRMQlCwriQB-Y,https://www.google.com/maps/place/?q=place_id:ChIJj2KMiS39mzkRMQlCwriQB-Y,part_374,2026-09-20 20:19:29,2714
RO Care India,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Sewage treatment plant, Water Filter Supplier, Water softening equipment supplier, Water treatment plant, Water treatment supplier",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93115 87744,https://www.rocareindia.com/ro-water-purifier-service-gurgaon,4.0,,"8th floor, Head Office, JMD MEGAPOLIS, Unit No 831, Badshahpur Sohna Rd, Sector 48, Gurugram, Haryana 122018",Sector 48,28.4194487,77.03881559999999,ChIJ57rpK5ojDTkRI63ZWdmFahY,https://www.google.com/maps/place/?q=place_id:ChIJ57rpK5ojDTkRI63ZWdmFahY,part_374,2026-09-20 20:19:29,2715
HN Technovations LLP,RO Water Purifier Sales and Service,Water purification company,Water purification company,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 99542 46498,https://www.hntechnovations.com/,,,"Department of Chemical & Polymer Engineering, Tripura University (A Central University, Suryamani Nagar, Agartala, Tripura 799022",Suryamani Nagar,23.7618703,91.26503389999999,ChIJ9aXJI_T1UzcRA8fFQYuGgNE,https://www.google.com/maps/place/?q=place_id:ChIJ9aXJI_T1UzcRA8fFQYuGgNE,part_374,2026-09-20 20:19:29,2716
GAYATRI WATER PURIFIERS,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Machine maintenance service, Repair service, Sand plant, Water Filter Supplier, Water softening equipment supplier, Water Testing Laboratory, Water treatment plant, Water treatment supplier, Water works",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 80187 87642,https://gayatriwaterpurifiers.com/,5.0,,"apartibindha, Samaraipur, Bhadrak, Odisha 756100","apartibindha, Samaraipur",21.0553334,86.49797099999999,ChIJuwP7aCL3GzoRUZtx3ObBFdM,https://www.google.com/maps/place/?q=place_id:ChIJuwP7aCL3GzoRUZtx3ObBFdM,part_374,2026-09-20 20:19:30,2717
Ro water purifier sales and services,RO Water Purifier Sales and Service,Repair service,Repair service,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 83405 77967,N/A,4.7,15.0,"C 23/3, DRDO Twp, Kanchanbagh, Hyderabad, Telangana 500058","DRDO Township, Kanchanbagh",17.334301399999998,78.5021861,ChIJ6xCsrFKjyzsRfF2Uh8_0B90,https://www.google.com/maps/place/?q=place_id:ChIJ6xCsrFKjyzsRfF2Uh8_0B90,part_374,2026-09-20 20:20:05,8258
