business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Airtel Store,Telemarketing Firms,Marketing consultant,Marketing consultant,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 81318 60745,https://www.airtel.in/,4.0,1.0,"154,Agartala, Gakulpur Bazar, Road, Subroom, Tripura 799114",799105,23.5466744,91.47531049999999,ChIJYd80nHKZUzcRUNRSebq9bJQ,https://www.google.com/maps/place/?q=place_id:ChIJYd80nHKZUzcRUNRSebq9bJQ,part_374,2026-09-20 20:19:46,4787
Vestige Marketing Private Limited,Telemarketing Firms,Supplier,"Supplier, Medical supply store",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,http://www.myvestige.com/,4.1,12.0,"Vestige Office Building, Barkurbari Road, Hospital Tilla, Bishramganj, Amtali, Tripura 799103",Hospital Tilla,23.6097024,91.3489362,ChIJtbGqm8mPUzcRDRCyeX8sEnw,https://www.google.com/maps/place/?q=place_id:ChIJtbGqm8mPUzcRDRCyeX8sEnw,part_374,2026-09-20 20:19:46,4788
GANAPATI CO-OP DISTRIBUTION,Telemarketing Firms,Marketing agency,Marketing agency,799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",N/A,N/A,,,"Agriculture Chowmohani, Killa Road, Gokulpur, Udaipur, Dhwajnagar, Tripura 799114",Gokulpur,23.547399,91.4804085,ChIJIwZs4HSZUzcRK0VKUZJOdkI,https://www.google.com/maps/place/?q=place_id:ChIJIwZs4HSZUzcRK0VKUZJOdkI,part_374,2026-09-20 20:19:46,4789
Meta Mint Private Limited - Software Development & Website Designing Company in Agartala,Telemarketing Firms,Software company,"Software company, Business development service, Business management consultant, Business to business service, Computer support and services, Software Training Institute, Web hosting company, Website designer",799105,North Eastern Circle,Shillong HQ Region,Agartala Division,"Kakraban S.O, Bazar Amtali B.O, Chandul B.O",+91 93667 44376,https://metamintindia.com/,4.9,113.0,"2nd Floor, Jogendra Nagar Rd, above SBI - State Bank of India, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.819668,91.3028436,ChIJz2j--NPzUzcROG1hp03e9c4,https://www.google.com/maps/place/?q=place_id:ChIJz2j--NPzUzcROG1hp03e9c4,part_374,2026-09-20 20:19:46,4790
Wegrow Services,Telemarketing Firms,Marketing agency,"Marketing agency, Internet cafe",799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 96128 65428,https://linktr.ee/wegrowservices,,,"Wegrow Services, opposite of Kulubari HS School, Sonamura, Tripura 799131",Sonamura,23.4924988,91.251035,ChIJV4ZTaIqHUzcRWycYGo6Dzaw,https://www.google.com/maps/place/?q=place_id:ChIJV4ZTaIqHUzcRWycYGo6Dzaw,part_374,2026-09-20 20:21:36,13868
Asim Saha,Telemarketing Firms,Marketing consultant,Marketing consultant,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 70053 13585,N/A,,,"SAHA HOUSE, Battali Bazar, Melaghar, Ghrantali, Tripura 799115",Battali Bazar,23.499668,91.30146649999999,ChIJET7cmI-FUzcRNM8qwUyIsI4,https://www.google.com/maps/place/?q=place_id:ChIJET7cmI-FUzcRNM8qwUyIsI4,part_374,2026-09-20 20:21:36,13869
MATABARI CLF FULFILLMENT CENTERS,Telemarketing Firms,Marketing agency,Marketing agency,799120,North Eastern Circle,Shillong HQ Region,Agartala Division,Radhakishorepur H.O,+91 82569 66499,N/A,,,"near PANCHATYET OFFICE MATCH FACTORY, Fulkumari, Udaipur, Tripura 799013",Fulkumari,23.5167218,91.50251039999999,ChIJDeFxMwyZUzcRfDYeihNbZlI,https://www.google.com/maps/place/?q=place_id:ChIJDeFxMwyZUzcRfDYeihNbZlI,part_374,2026-09-20 20:22:10,14917
Udaipur Primary Marketing Co-operative Society,Telemarketing Firms,Marketing agency,Marketing agency,799120,North Eastern Circle,Shillong HQ Region,Agartala Division,Radhakishorepur H.O,N/A,N/A,,,"Udaipur part, Tripura 799120",799120,23.542629599999998,91.4887153,ChIJoSm9gpOZUzcRtnCZ5rDsAjc,https://www.google.com/maps/place/?q=place_id:ChIJoSm9gpOZUzcRtnCZ5rDsAjc,part_374,2026-09-20 20:22:10,14918
Smart Call Center Pvt. Ltd,Telemarketing Firms,BPO Company,BPO Company,799125,North Eastern Circle,Shillong HQ Region,Agartala Division,"Garjee S.O, Gangacherra B.O, Kalabon B.O",+91 33 4066 1317,http://www.smartcallcentersolutions.com/,3.5,,"6th Floor, 6th Floor, New B.K Market, 16A, Shakespeare Sarani, Elgin, Kolkata, West Bengal 700071",Elgin,22.5452169,88.3512009,ChIJoXe_-BN3AjoRdTPTt-3SPcg,https://www.google.com/maps/place/?q=place_id:ChIJoXe_-BN3AjoRdTPTt-3SPcg,part_374,2026-09-20 20:22:46,15881
Prashant Deb secretary Government of Tripura Haripada Deb villa,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 70051 25670,N/A,,,"Vidyasagar Palli, Jogendra Nagar, Agartala, Tripura 799004","Vidyasagar Palli, Jogendra Nagar",23.8138559,91.30325049999999,ChIJA_5ZH6vzUzcRntna4E9DhE4,https://www.google.com/maps/place/?q=place_id:ChIJA_5ZH6vzUzcRntna4E9DhE4,part_374,2026-09-20 20:23:21,17721
Madly Group,Telemarketing Firms,Business center,"Business center, Computer support and services, Delivery service, Marketing agency",799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 93666 19893,https://www.facebook.com/themadlygroup,5.0,,"Pramod Doctor's Lane, Jagaharimura, Agartala, Tripura 799004",Ramakrishna Nagar,23.825993,91.2886911,ChIJUzH-_5b1UzcRRsgIlhtcwrI,https://www.google.com/maps/place/?q=place_id:ChIJUzH-_5b1UzcRRsgIlhtcwrI,part_374,2026-09-20 20:23:21,17722
MakePayment,Telemarketing Firms,Internet marketing service,Internet marketing service,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 92061 72302,http://makepayment.in/,4.2,,"TV Tower, Lane 4, Milanchakra, Sreenagar, Agartala, Tripura 799003","Milanchakra, Sreenagar",23.809415299999998,91.27406069999999,ChIJm9tEZWH0UzcR3gBQR3H7gCo,https://www.google.com/maps/place/?q=place_id:ChIJm9tEZWH0UzcR3gBQR3H7gCo,part_374,2026-09-20 20:23:21,17723
VEDIKMART PRIVATE LIMITED,Telemarketing Firms,Produce wholesaler,Produce wholesaler,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 87985 21970,http://www.vedikmart.com/,5.0,128.0,"Rd Number 7, Last, Dhaleswar, Agartala, Tripura 799007","Last, Dhaleswar",23.8403878,91.2973725,ChIJTW1rtU_zUzcRZRDQiosbRBs,https://www.google.com/maps/place/?q=place_id:ChIJTW1rtU_zUzcRZRDQiosbRBs,part_374,2026-09-20 20:23:22,17724
Md Anisur Rahman,Telemarketing Firms,Marketing consultant,"Marketing consultant, Service establishment",799131,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sonamura S.O, Dhanirampur B.O, Bejimara B.O",01611-498918,https://md-anisur-rahman.localo.site/,5.0,,"Md Anisur Rahman, 799131, India",799131,23.4529958,91.18324179999999,ChIJJ0DyMZtt62IRo-EQgMNlZUg,https://www.google.com/maps/place/?q=place_id:ChIJJ0DyMZtt62IRo-EQgMNlZUg,part_374,2026-09-20 20:23:57,18763
Shahparan Rownak,Telemarketing Firms,Marketing consultant,"Marketing consultant, Service establishment",799131,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sonamura S.O, Dhanirampur B.O, Bejimara B.O",01762-187768,https://shahparanrownak.com/,5.0,,"Shahparan Rownak, 799131, India",799131,23.506657,90.3443647,ChIJH2cXlxR_VDcRaQi0GMu7nd0,https://www.google.com/maps/place/?q=place_id:ChIJH2cXlxR_VDcRaQi0GMu7nd0,part_374,2026-09-20 20:23:57,18764
