business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aditya Surgical & Medicine,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Equipment supplier, Surgical Products Wholesaler",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 98527 73380,http://adityasurgicalmedicine.com/,5.0,,"Gr Floor, J586+W8G Omkar Palace, beside kartar coaching centre, Makhania Kuan, Lalbagh, Patna, Bihar 800004","Makhania Kuan, Lalbagh",25.617311899999997,85.1609939,ChIJ9c3ydQBZ7TkRY6G2i7Fgack,https://www.google.com/maps/place/?q=place_id:ChIJ9c3ydQBZ7TkRY6G2i7Fgack,part_374,2026-09-20 20:19:59
Lifeline Surgicals,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 98649 88885,N/A,5.0,,"CK Rd, opposite Hotel Mayflower, Pan Bazaar, Guwahati, Assam 781001",Pan Bazaar,26.184766699999997,91.7443535,ChIJifrEUw9bWjcRkXW1ltGPY8Q,https://www.google.com/maps/place/?q=place_id:ChIJifrEUw9bWjcRkXW1ltGPY8Q,part_374,2026-09-20 20:19:59
Indo Foreign Surgico (Estd. 1949),Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Hospital equipment and supplies, Wheelchair store, Wholesale drugstore",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 94351 99011,N/A,4.2,,"Hem Baruah Rd, Pan Bazar, Guwahati, Assam 781001",Pan Bazar,26.1865718,91.74353669999999,ChIJQ3K-xTpaWjcRrfqIxDp1PpU,https://www.google.com/maps/place/?q=place_id:ChIJQ3K-xTpaWjcRrfqIxDp1PpU,part_374,2026-09-20 20:19:59
Seeta International,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Measuring instruments supplier, Medical equipment supplier, Surgical Products Wholesaler, Wholesaler",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 70860 27116,https://www.instagram.com/seeta_international?igsh=Y3E5ZjkzNmV0YWZs&utm_source=qr,4.8,,"Near Hari Sabha, Pan Bazaar, Guwahati, Assam 781001","Near Hari Sabha, Pan Bazaar",26.184584899999997,91.743353,ChIJhbASpzpaWjcR91OUI7p63rE,https://www.google.com/maps/place/?q=place_id:ChIJhbASpzpaWjcR91OUI7p63rE,part_374,2026-09-20 20:19:59
Nimco Surgical,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Hospital equipment and supplies, Medical equipment supplier, Medical supply store",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 97983 06372,https://nimcosurgical.in/,4.9,,"old Shubhraj complex, Ashok Rajpath, Ashok raj path, opp. Pillar no. 33-34, Patna, Bihar 800004","Sabzibagh, Dujra Diara",25.6193733,85.15961279999999,ChIJ9_kij-VY7TkRZTIfaKjDOc0,https://www.google.com/maps/place/?q=place_id:ChIJ9_kij-VY7TkRZTIfaKjDOc0,part_374,2026-09-20 20:19:59
Rama Surgical House | Surgical Supply Shop in Dehradun,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Surgical Products Wholesaler, Medical equipment supplier",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 75007 37373,https://www.instagram.com/rama_surgical_house/,4.8,,"Ground Floor-L38, Rama Surgical House, MDDA Complex, near Kumar Sweet Shop, Clock Tower, Race Course, Dehradun, Uttarakhand 248001","Clock Tower, Race Course",30.324203699999998,78.04255429999999,ChIJc-nqJcApCTkRrh5OFSqJZCo,https://www.google.com/maps/place/?q=place_id:ChIJc-nqJcApCTkRrh5OFSqJZCo,part_374,2026-09-20 20:19:59
Garg Surgicals,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Medical equipment supplier, Orthopedic shoe store, Surgical Products Wholesaler",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 83680 24454,https://www.gargsurgicals.com/,4.8,,"252, Patparganj Industrial Area, Patparganj, Delhi, 110092","Patparganj Industrial Area, Patparganj",28.643359,77.3138878,ChIJ6aFL71LjDDkRGaIXcomLQY4,https://www.google.com/maps/place/?q=place_id:ChIJ6aFL71LjDDkRGaIXcomLQY4,part_374,2026-09-20 20:19:59
National Surgical - Surgical Equipment Wholesalers in Patna | OT Light | Hearing Aids | Hospital Furniture Suppliers in Bihar,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Dental supply store, Hospital equipment and supplies, Medical equipment supplier, Physiotherapy equipment supplier, Speech & Hearing Specialist, Hearing aid store, Wheelchair store",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 88779 90090,https://www.nationalsurgicalindia.com/,4.8,43.0,"Raj Tower, Ashok Rajpath Rd, opp. pillar no 35, Lalbagh, Patna, Bihar 800004",Lalbagh,25.619331799999998,85.1599768,ChIJl3MEk-9Y7TkR82kXPA7-EZE,https://www.google.com/maps/place/?q=place_id:ChIJl3MEk-9Y7TkR82kXPA7-EZE,part_374,2026-09-20 20:19:59
MEDIMALL HEALTHCARE - The Surgical Hub,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Fitness Equipment Wholesaler, Hospital equipment and supplies, Medical equipment supplier, Physiotherapy equipment supplier, Sporting goods store, Surgical Products Wholesaler, Wheelchair store",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 95521 23454,N/A,4.9,,"21, Shree Building, Bhawani Peth, Pushpa Lata Bendale Chowk, near Appa Maharaj Samadhi, Athawade Bazar, Jalgaon, Maharashtra 425001",Athawade Bazar,21.0106804,75.5700981,ChIJgQw51AkP2TsRwIfWBsfRWvs,https://www.google.com/maps/place/?q=place_id:ChIJgQw51AkP2TsRwIfWBsfRWvs,part_374,2026-09-20 20:19:59
UNIVERSAL SURGICAL ENTERPRISES,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Physiotherapy equipment supplier",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",N/A,N/A,5.0,,"Arya Kumar Rd, Langar Toli, machuatoli, Patna, Bihar 800004","Langar Toli, machuatoli",25.6144864,85.160173,ChIJx4XSZY9Z7TkRmmhV3BbMIt0,https://www.google.com/maps/place/?q=place_id:ChIJx4XSZY9Z7TkRmmhV3BbMIt0,part_374,2026-09-20 20:19:59
Ortho Care,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Audiologist, Dental supply store, Hearing aid repair service, Hearing aid store, Medical supply store, Speech & Hearing Specialist, Surgical Products Wholesaler, Wheelchair store",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 99991 73744,https://ortho-care-gurugram.grexa.site/,5.0,,"Vinayak Plaza, Shaheed Major Vikas Yadav Marg, opposite Bank of Maharasthra, HVPNL Colony, Sector 15, Gurugram, Haryana 122001","HVPNL Colony, Sector 15",28.456737399999998,77.0369398,ChIJcwhif0YYDTkRemVHqtC8bN0,https://www.google.com/maps/place/?q=place_id:ChIJcwhif0YYDTkRemVHqtC8bN0,part_374,2026-09-20 20:19:59
K R Lynch & Co,Surgical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical supply store, Surgical Products Wholesaler",799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 98311 92052,https://www.krlynch.com/,3.4,,"113, Chittaranjan Ave, Tiretti, Kolkata, West Bengal 700073",Tiretti,22.57518,88.35943979999999,ChIJDSbiX7J3AjoRUqxA-nOHYeM,https://www.google.com/maps/place/?q=place_id:ChIJDSbiX7J3AjoRUqxA-nOHYeM,part_374,2026-09-20 20:19:59
Annapurna Surgical,Surgical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,799113,North Eastern Circle,Shillong HQ Region,Agartala Division,"Tepania S.O, Bagma B.O, East Bagabassa B.O",+91 99340 05665,N/A,5.0,,"Patal Babu Rd, in front of Axis bank, near Ajanta cinema, Bhikhanpur, Bhagalpur, Bihar 812002",Bhikhanpur,25.2458498,86.9796995,ChIJaZrFywNK8DkRu4aT4QLPf0g,https://www.google.com/maps/place/?q=place_id:ChIJaZrFywNK8DkRu4aT4QLPf0g,part_374,2026-09-20 20:19:59
