business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Roshokabya,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",N/A,N/A,5.0,,"Middle Road, near Lagan Biyebari, Jay Nagar, Agartala, Tripura 799001",Jay Nagar,23.830955799999998,91.265734,ChIJ27ql0yv1UzcRxriZuaE7Q18,https://www.google.com/maps/place/?q=place_id:ChIJ27ql0yv1UzcRxriZuaE7Q18,part_374,2026-09-20 20:21:03
Matri Bhandar (মাতৃ ভান্ডার),Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 98564 21391,N/A,3.8,,"F8VH+2JJ, Melaghar, Tripura 799115",799115,23.4925805,91.32902229999999,ChIJF0TJX4qEUzcRmcJd3p4uNUQ,https://www.google.com/maps/place/?q=place_id:ChIJF0TJX4qEUzcRmcJd3p4uNUQ,part_374,2026-09-20 20:21:03
Sri Sri Ramkrishna Mistanna Vander,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 98629 78100,N/A,3.7,,"beside Bishramganj, NH 8, Bishramganj, Agartala, Tripura 799103",Bisramgang Bazar,23.6083328,91.3485287,ChIJ-cx44WiPUzcRMN3_vuvc6pI,https://www.google.com/maps/place/?q=place_id:ChIJ-cx44WiPUzcRMN3_vuvc6pI,part_374,2026-09-20 20:21:03
লোকনাথ মিষ্টান্ন ভান্ডার,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",N/A,N/A,,,"khet, Kalam, Urmai, Tripura 799115",799115,23.4792766,91.3182843,ChIJ1ZMONHKFUzcR6KBwujTOz6s,https://www.google.com/maps/place/?q=place_id:ChIJ1ZMONHKFUzcR6KBwujTOz6s,part_374,2026-09-20 20:21:03
Govinda Bhander,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",N/A,N/A,3.3,,"Betel Shop, Govinda Misty Bhandar, Melaghar, Tripura 799115",799115,23.490947,91.32765289999999,ChIJb2FICoqEUzcRPdBhP4KPoxA,https://www.google.com/maps/place/?q=place_id:ChIJb2FICoqEUzcRPdBhP4KPoxA,part_374,2026-09-20 20:21:03
Gandhi Mistanna Bhandar,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Indian sweets shop",799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 70057 13800,N/A,4.1,99.0,"school road, near Deshbandhu Chittaranjan Club, Pabiacherra, Kumarghat, Tripura 799264",Pabiacherra,24.158862,92.0373498,ChIJ5bYr4bmJUTcRtkaHyI48S0E,https://www.google.com/maps/place/?q=place_id:ChIJ5bYr4bmJUTcRtkaHyI48S0E,part_374,2026-09-20 20:21:04
Smriti PCO,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, General store",799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 98629 09155,N/A,4.0,,"Melaghar, Tripura 799115",799115,23.493660199999997,91.32945029999999,ChIJbaTZH8mFUzcRz5Hubsv0xwA,https://www.google.com/maps/place/?q=place_id:ChIJbaTZH8mFUzcRz5Hubsv0xwA,part_374,2026-09-20 20:21:04
Laxmi Mistanna Bhander,Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Indian sweets shop",799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",+91 94364 95333,N/A,4.2,,"M.B. Tilla, Market, Agartala, Tripura 799003","M.B. Tilla, Market",23.811159399999998,91.2663635,ChIJPQ_Im170UzcRRn047-SL-io,https://www.google.com/maps/place/?q=place_id:ChIJPQ_Im170UzcRRn047-SL-io,part_374,2026-09-20 20:21:04
MAA MANASHA MISTANNA BHANDAR,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",N/A,N/A,5.0,,"G88X+WHC, Poangbari, bhanur chowmohoni, Mohanbhog, Tripura 799115","Poangbari, bhanur chowmohoni, Mohanbhog",23.5173246,91.3488934,ChIJjdD0TaaFUzcRVz-k2s2X8Xk,https://www.google.com/maps/place/?q=place_id:ChIJjdD0TaaFUzcRVz-k2s2X8Xk,part_374,2026-09-20 20:21:04
Mistanna Bhander,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,799115,North Eastern Circle,Shillong HQ Region,Agartala Division,"Melaghar S.O, Bagabassa B.O, Bardwal B.O",N/A,N/A,3.3,,"F8RH+H69, Melaghar, Tripura 799115",799115,23.4914183,91.3281119,ChIJvQjecoqEUzcRim9LdqHCXTI,https://www.google.com/maps/place/?q=place_id:ChIJvQjecoqEUzcRim9LdqHCXTI,part_374,2026-09-20 20:21:04
