business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SP Hardware,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 97740 50748,N/A,5.0,1.0,"siddhi ashram, SANTA, Jogendra Nagar Rd, Badharghat, Agartala, Tripura 799014",Badharghat,23.798927199999998,91.2726488,ChIJ26myJl31UzcRCQF7XBq0tg4,https://www.google.com/maps/place/?q=place_id:ChIJ26myJl31UzcRCQF7XBq0tg4,part_374,2026-09-20 20:23:02
SWASTI DHRITI HARDWARE,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",N/A,N/A,5.0,1.0,"Champamura Bazar Rd, Sekerkote, Agartala, Tripura 799130",799130,23.724683,91.2878065,ChIJJzzDyn2LUzcRamVkAgo4_S4,https://www.google.com/maps/place/?q=place_id:ChIJJzzDyn2LUzcRamVkAgo4_S4,part_374,2026-09-20 20:23:02
MAHAPRABHU GIFT AND HARWAR,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",N/A,N/A,4.5,2.0,"Amtali, Madhupur, Tripura 799022",Amtali,23.772937499999998,91.2674375,ChIJj7AnIzX1UzcRgciTee--vmQ,https://www.google.com/maps/place/?q=place_id:ChIJj7AnIzX1UzcRgciTee--vmQ,part_374,2026-09-20 20:23:02
Ax Alley,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 98638 91002,N/A,5.0,1.0,"Hardwear Bazar, opposite International Exhibition Centre, near by DOMONIS, Hapania, Agartala, Tripura 799014",Hapania,23.787586299999997,91.26450729999999,ChIJOVQPPkr1UzcR_xb9NhQXdbQ,https://www.google.com/maps/place/?q=place_id:ChIJOVQPPkr1UzcR_xb9NhQXdbQ,part_374,2026-09-20 20:23:02
M/S Prantosh Banik,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 98624 74695,N/A,4.5,2.0,"Siddhi Ashram A B Road, Tripura W, 799003, Agartala, Tripura 799014",Badharghat,23.798788599999998,91.27240809999999,ChIJxQF4ZIz0UzcRLA5aafFDdT8,https://www.google.com/maps/place/?q=place_id:ChIJxQF4ZIz0UzcRLA5aafFDdT8,part_374,2026-09-20 20:23:02
Majumdar Hardware Store,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 70053 40427,N/A,5.0,1.0,"Railway Sta Rd, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.8093604,91.3070898,ChIJjVUaS6P1UzcRyvVq7eb-KFY,https://www.google.com/maps/place/?q=place_id:ChIJjVUaS6P1UzcRyvVq7eb-KFY,part_374,2026-09-20 20:23:02
Nivedita Hardware Stores,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 97745 55036,N/A,3.4,5.0,"R759+HRG, near Tv Tower, Milan Chakra, Badharghat, Agartala, Tripura 799003","Milan Chakra, Badharghat",23.8085371,91.271086,ChIJZ0c_WWD0UzcRAAAAsK56IzE,https://www.google.com/maps/place/?q=place_id:ChIJZ0c_WWD0UzcRAAAAsK56IzE,part_374,2026-09-20 20:23:02
K D Nath Hardware And Electricals,Hardware Store,Hardware store,"Hardware store, Electrical supply store",799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 70857 39899,N/A,4.8,5.0,"TMC Road, TMC Road, Hapania, Agartala, Tripura 799014",Hapania,23.786122499999998,91.26095269999999,ChIJD2kvV0v1UzcR0mGmwzK6h8s,https://www.google.com/maps/place/?q=place_id:ChIJD2kvV0v1UzcR0mGmwzK6h8s,part_374,2026-09-20 20:23:02
RAJAT DAS,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 87874 87215,N/A,5.0,1.0,"Kathaltali Bazar, Agartala, Tripura 799130",799130,23.782141799999998,91.2884735,ChIJc77Pevj1UzcR2PSgNsOpQ3s,https://www.google.com/maps/place/?q=place_id:ChIJc77Pevj1UzcR2PSgNsOpQ3s,part_374,2026-09-20 20:23:02
SAI BABA HARDWARES & AUTOMOBILES SHOP,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 94530 80755,N/A,3.0,4.0,"Bypass, Amtali, Madhupur, Agartala, Tripura 799014",Amtali,23.7901362,91.2710182,ChIJNTOza5P1UzcRkYnRQjNNHL0,https://www.google.com/maps/place/?q=place_id:ChIJNTOza5P1UzcRkYnRQjNNHL0,part_374,2026-09-20 20:23:02
Joyram,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 98629 33484,N/A,3.5,8.0,"Joyram G.b, Badharghat, Agartala, Tripura 799003",Badharghat,23.804412499999998,91.2726952,ChIJhw1dpDjxUzcR68_fGoHFWic,https://www.google.com/maps/place/?q=place_id:ChIJhw1dpDjxUzcR68_fGoHFWic,part_374,2026-09-20 20:23:02
Bajrangbali hardware and sanitary varieties,Hardware Store,Hardware store,Hardware store,799130,North Eastern Circle,Shillong HQ Region,Agartala Division,"Sekerkote S.O, Amtali B.O, Champamura Bazar B.O",+91 87874 74457,N/A,,,"Near, Railway Sta Rd, Subhash Nagar, Jogendra Nagar, Agartala, Tripura 799004","Subhash Nagar, Jogendra Nagar",23.811007699999998,91.3099629,ChIJE10baX3zUzcR0hS7k_k3H8s,https://www.google.com/maps/place/?q=place_id:ChIJE10baX3zUzcR0hS7k_k3H8s,part_374,2026-09-20 20:23:02
