business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nandi Ram Tripura,Ice Cream Parlour,Ice cream shop,Ice cream shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"6M98+P97, Purba Pillak, Tripura 799141",799141,23.219282099999997,91.6659086,ChIJV7vhcwAPUzcRAsmnet9fAdI,https://www.google.com/maps/place/?q=place_id:ChIJV7vhcwAPUzcRAsmnet9fAdI,part_374,2026-09-20 20:24:38
UTTAM,Ice Cream Parlour,Ice cream shop,Ice cream shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"6Q3F+67, Suknachari, Tripura 799104",799141,23.2031219,91.7732379,ChIJb9m1FwADUzcR2O7l4RvfVvM,https://www.google.com/maps/place/?q=place_id:ChIJb9m1FwADUzcR2O7l4RvfVvM,part_374,2026-09-20 20:24:38
Nuhan shop,Ice Cream Parlour,Ice cream shop,Ice cream shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"8MM9+GV, AKANGMA⁩ para, Baramura Deotamura R.F., Tripura 799144",AKANGMA⁩ para,23.3338732,91.6700007,ChIJrUwrWAAJUzcRTaUyjAPMpjE,https://www.google.com/maps/place/?q=place_id:ChIJrUwrWAAJUzcRTaUyjAPMpjE,part_374,2026-09-20 20:24:38
PORDHA MONI PARA MARKET,Ice Cream Parlour,Coffee shop,Coffee shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"4MG6+8F6, Sindukpathar, Tripura 799143",799141,23.125799,91.6611403,ChIJ1fr4agARUzcRtu74Q08kL_4,https://www.google.com/maps/place/?q=place_id:ChIJ1fr4agARUzcRtu74Q08kL_4,part_374,2026-09-20 20:24:38
Rohit tripura,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"5QPM+G9F, Suknachari, Tripura 799104",799141,23.186857999999997,91.784173,ChIJ9WIEVQADUzcRHciJ2hkIsU8,https://www.google.com/maps/place/?q=place_id:ChIJ9WIEVQADUzcRHciJ2hkIsU8,part_374,2026-09-20 20:24:38
Loknath Mistanna Bhander,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",+91 69099 83108,N/A,,,"Muhuripur Bazar, Muhuripur, Tripura 799142",Muhuripur Bazar,23.2254799,91.5652403,ChIJRT8A6MENUzcRU14E7oZ6p5s,https://www.google.com/maps/place/?q=place_id:ChIJRT8A6MENUzcRU14E7oZ6p5s,part_374,2026-09-20 20:24:38
Nirmal Saha,Ice Cream Parlour,Cake shop,Cake shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",+91 98629 83180,N/A,,,"Agartala To Jolaibadi, Jolaibari, Tripura 799141",799141,23.2183255,91.614663,ChIJS2EuddgPUzcRszwloQYBANU,https://www.google.com/maps/place/?q=place_id:ChIJS2EuddgPUzcRszwloQYBANU,part_374,2026-09-20 20:24:38
CHOUHAN ICE FACTORY,Ice Cream Parlour,Ice cream shop,Ice cream shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",+91 87209 36632,N/A,4.3,3.0,"Gauripur DHUBRI ASSAM Mallahpoti, Gauripur, Assam 783331",799141,26.0805974,89.96384479999999,ChIJDSkXuKmf4jkR5Eeafj4FGVQ,https://www.google.com/maps/place/?q=place_id:ChIJDSkXuKmf4jkR5Eeafj4FGVQ,part_374,2026-09-20 20:24:39
Sinduk pathar bazar,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"4M24+FRW, Sindukpathar, Tripura 799143",799141,23.100624,91.65802699999999,ChIJncUmRgARUzcRl8weLoQixbA,https://www.google.com/maps/place/?q=place_id:ChIJncUmRgARUzcRl8weLoQixbA,part_374,2026-09-20 20:24:39
Ganga,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,,,"5G9C+2JQ, দেবীপুর রাস্তা, Debipur, Tripura 799155",799141,23.167595,91.5216003,ChIJ5-AiYwATUzcRE7WbTKEv0tM,https://www.google.com/maps/place/?q=place_id:ChIJ5-AiYwATUzcRE7WbTKEv0tM,part_374,2026-09-20 20:24:39
মামা ভাগ্নে চা ষ্টোর,Ice Cream Parlour,Coffee shop,Coffee shop,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,5.0,1.0,"6RP6+QGV, Adorso Gram Rd, Bangladesh",799141,23.2369779,91.8112917,ChIJ8VRCKwADUzcRS7K8-vaS8mY,https://www.google.com/maps/place/?q=place_id:ChIJ8VRCKwADUzcRS7K8-vaS8mY,part_374,2026-09-20 20:24:39
Kali Bazar,Ice Cream Parlour,Market,Market,799141,North Eastern Circle,Shillong HQ Region,Agartala Division,"Jolaibari S.O, Dakshin Hichacherri B.O, Debdaru Bazar B.O",N/A,N/A,3.7,26.0,"4H7X+VQH, Fulchhari, Tripura 799143",799141,23.114690799999998,91.59948399999999,ChIJTy9TNmARUzcRQyuz47YUJpE,https://www.google.com/maps/place/?q=place_id:ChIJTy9TNmARUzcRQyuz47YUJpE,part_374,2026-09-20 20:24:39
