business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jalaram artificial jewellery & cosmetic,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler, Jewelry designer",799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 95848 22326,https://jalaramartificial.com/,4.9,,"Circuit House Rd, Jagdalpur, Chhattisgarh 494001",799153,19.0874319,82.0255141,ChIJKThN1HYTMDoRyjodJZhXhUs,https://www.google.com/maps/place/?q=place_id:ChIJKThN1HYTMDoRyjodJZhXhUs,part_374,2026-09-20 20:28:02
Aparajita Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 76298 82367,N/A,,,"02, Radhanagar, Tripura 799153",799153,23.231772199999998,91.33351619999999,ChIJES4xaYl7UzcR123IYsETp70,https://www.google.com/maps/place/?q=place_id:ChIJES4xaYl7UzcR123IYsETp70,part_374,2026-09-20 20:28:02
Litan Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 60096 56748,N/A,,,"01, Radhanagar, Tripura 799153",799153,23.224933099999998,91.3318814,ChIJWT4-ct57UzcRcXax92lF_m8,https://www.google.com/maps/place/?q=place_id:ChIJWT4-ct57UzcRcXax92lF_m8,part_374,2026-09-20 20:28:02
New Anima Jewellers,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 96124 29663,N/A,,,"Belonia - Bhabanipur Rd, Dakshin Krishnapur, Tripura 799153",799153,23.224783,91.3321419,ChIJsVQFHpB7UzcR3lVyOBjowfQ,https://www.google.com/maps/place/?q=place_id:ChIJsVQFHpB7UzcR3lVyOBjowfQ,part_374,2026-09-20 20:28:02
Jharna Jewelars,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 89741 35883,N/A,,,"Litan shil, Bazaar, Radhanagar, Dakshin Krishnapur, Tripura 799153",799153,23.225451099999997,91.3323123,ChIJcdplTOl7UzcRZsN0R2SydN8,https://www.google.com/maps/place/?q=place_id:ChIJcdplTOl7UzcRZsN0R2SydN8,part_374,2026-09-20 20:28:02
Shivshankar shilpaloi,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 80140 55987,N/A,,,"Bazar road, Rangamura, Uttar Krishnapur, Tripura 799153",799153,23.256839,91.32563329999999,ChIJ97zKRwh7UzcRXQMvJgA62vs,https://www.google.com/maps/place/?q=place_id:ChIJ97zKRwh7UzcRXQMvJgA62vs,part_374,2026-09-20 20:28:02
Tika Ram & Sons,Artificial Jewellery and Accessories,Jeweler,Jeweler,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 92194 59444,http://www.tikaramjewellers.com/,4.9,1407.0,"Ticket Ganj, Infront of SBI Branch Budaun, Budaun, Uttar Pradesh 243601",799153,28.039862499999998,79.1275388,ChIJp6V2qu5FdTkR6_KnJvDm4AU,https://www.google.com/maps/place/?q=place_id:ChIJp6V2qu5FdTkR6_KnJvDm4AU,part_374,2026-09-20 20:28:03
L M JEWELLERS,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 90840 08867,N/A,4.9,899.0,"LALLA BABU CHAURAHA, Laxmi Nagar, Bulandshahr, Uttar Pradesh 203001",Laxmi Nagar,28.401255799999998,77.849719,ChIJoyJqJLKmDDkRhJ8AfgTxJ04,https://www.google.com/maps/place/?q=place_id:ChIJoyJqJLKmDDkRhJ8AfgTxJ04,part_374,2026-09-20 20:28:03
Imitation Jewellery Showrooms,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",N/A,N/A,3.0,2.0,"263, Dariba Kalan Rd, Old Delhi, Clock Market, Dariba Kalan, Chandni Chowk, New Delhi, Delhi, 110006","Old Delhi, Clock Market, Dariba Kalan, Chandni Chowk",28.654629999999997,77.2334333,ChIJHdXw6Rv9DDkRRHRhXnXCV2Q,https://www.google.com/maps/place/?q=place_id:ChIJHdXw6Rv9DDkRRHRhXnXCV2Q,part_374,2026-09-20 20:28:03
Mrigakshi's Traditional Assamese Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 98640 23446,N/A,4.4,25.0,"252, Rajgarh Rd, Sarania Hills, Guwahati, Assam 781003",Sarania Hills,26.177218999999997,91.77336199999999,ChIJO8y9w4FZWjcRwfBvy9GuOWk,https://www.google.com/maps/place/?q=place_id:ChIJO8y9w4FZWjcRwfBvy9GuOWk,part_374,2026-09-20 20:28:03
SHRI HANUMANT CHHAYA JEWELLERS,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,799153,North Eastern Circle,Shillong HQ Region,Agartala Division,"Radhanagar S.O (West Tripura), Rangamura B.O",+91 62648 20517,https://www.instagram.com/shrihanumantchhayajewellers?igsh=ZGw4dHExNW5qYXli,4.5,44.0,"Indraprastha colony, Tili Rd, Tilli, Sagar, Madhya Pradesh 470001",Tilli,23.8145894,78.75594559999999,ChIJEbmqEr_TeDkRv_xJr9T6wP0,https://www.google.com/maps/place/?q=place_id:ChIJEbmqEr_TeDkRv_xJr9T6wP0,part_374,2026-09-20 20:28:03
