business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arora Glass Emporium,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 98914 16887,https://www.instagram.com/aroraglassemporium/profilecard/?igsh=aHI3MGl3MHoxbDM5,4.9,,"H-8, Vijay Chowk, Block H, Krishna Nagar, Delhi, 110051","Block H, Krishna Nagar",28.6576581,77.2842385,ChIJPffIiJ78DDkRDcvRJPdvgkM,https://www.google.com/maps/place/?q=place_id:ChIJPffIiJ78DDkRDcvRJPdvgkM,part_374,2026-09-20 20:32:08
Unique Glass,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminum window, Door shop, Interior designer, Wallpaper store",799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 98105 78859,N/A,4.9,,"A-22, Main Rd, Jagat Puri, Krishna Nagar, Delhi, 110051","Jagat Puri, Krishna Nagar",28.6526028,77.2924697,ChIJ820q5137DDkRdrMvSG2AWvQ,https://www.google.com/maps/place/?q=place_id:ChIJ820q5137DDkRdrMvSG2AWvQ,part_374,2026-09-20 20:32:08
Chopra Glass Works,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass etching service, Glass repair service, Manufacturer",799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 98731 95958,N/A,4.8,,"CHOPRA GLASS WORKS, East Metro Station, M-3, Najafgarh Rd, near Janak Puri, opposite Metro Pillar No:- 558, East Janak Puri, New Mahavir Nagar, Tilak Nagar, New Delhi, Delhi, 110018","East Janak Puri, New Mahavir Nagar, Tilak Nagar",28.633219999999998,77.0860786,ChIJh-Lo8L0EDTkRkYNJSoRd6LU,https://www.google.com/maps/place/?q=place_id:ChIJh-Lo8L0EDTkRkYNJSoRd6LU,part_374,2026-09-20 20:32:08
Darpan Glass House and Building Materials,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 89434 52202,N/A,4.5,,"KP 2/1133, Mukalavilla Building, National Highway 744, Chandamukku, Kottarakkara, Keralam 691566",Chandamukku,9.0059819,76.7764936,ChIJw0O0y6cLBjsRn0dcBhGRgbk,https://www.google.com/maps/place/?q=place_id:ChIJw0O0y6cLBjsRn0dcBhGRgbk,part_374,2026-09-20 20:32:08
Harish Glass House,Glass and Mirror Merchant,Hardware store,Hardware store,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 94360 30187,N/A,4.3,,"Thangal Keithel, Thangal Bazar, Imphal, Manipur 795001","Thangal Keithel, Thangal Bazar",24.8114653,93.93507,ChIJy9N3h9InSTcREFfQTXGcsvw,https://www.google.com/maps/place/?q=place_id:ChIJy9N3h9InSTcREFfQTXGcsvw,part_374,2026-09-20 20:32:08
Gandhi Glass House,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminum frames supplier, Aluminum window, Door manufacturer, Glass etching service, Window supplier",799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 95400 55256,http://www.shine9.co.in/,3.6,,"LGF, D-57, Hauz Khas Market, Block D, Hauz Khas, New Delhi, Delhi 110016","Hauz Khas Market, Block D, Hauz Khas",28.5518638,77.20866149999999,ChIJXXfv6RLiDDkR8CCB4N7kNn4,https://www.google.com/maps/place/?q=place_id:ChIJXXfv6RLiDDkR8CCB4N7kNn4,part_374,2026-09-20 20:32:08
Mangalathu Glass House,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",N/A,N/A,5.0,,"Mangalathu Building, opp. State Ware House, Pulamon Junction, Kottarakkara, Keralam 691531",Pulamon Junction,9.0058556,76.7828785,ChIJJQ4o9QgLBjsRvoquaN6ph5E,https://www.google.com/maps/place/?q=place_id:ChIJJQ4o9QgLBjsRvoquaN6ph5E,part_374,2026-09-20 20:32:08
Chandni Enterprise,Glass and Mirror Merchant,Aluminum window,"Aluminum window, Aluminium Supplier, Furniture maker, Furniture store, Interior architect office, Interior construction contractor, Interior designer, Modular home builder, Plywood supplier",799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 86381 70422,https://www.chandnienterprise.in/,4.8,,"House no, 106, Rajgarh Rd, near Sainik Bhawan, Bhangagarh, Guwahati, Assam 781007",Bhangagarh,26.1710949,91.7710764,ChIJc3qrdXVZWjcRezDwArEBk24,https://www.google.com/maps/place/?q=place_id:ChIJc3qrdXVZWjcRezDwArEBk24,part_374,2026-09-20 20:32:08
Agarwal Glass House,Glass and Mirror Merchant,Window supplier,Window supplier,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 96942 82111,http://www.indiamart.com/agarwalglasshouse/,4.6,,"police station, X3, Kalwar Rd, opp. old Kardhani, Chandra Nagar, Jhotwara, Jaipur, Rajasthan 302012","Chandra Nagar, Roop Nagar, Jhotwara",26.9490409,75.7132487,ChIJDy_qv5BNbDkREAb8g-XjETM,https://www.google.com/maps/place/?q=place_id:ChIJDy_qv5BNbDkREAb8g-XjETM,part_374,2026-09-20 20:32:08
Golden Glass & Mirror Mart,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,799204,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kulaibazar S.O, Balarambazar B.O, Nalicherra B.O",+91 480 282 6865,N/A,4.7,,"86X9+5J8, Brother Mission Rd, near Marina Hospital, Irinjalakuda, Keralam 680121",799204,10.3479247,76.21906489999999,ChIJK2suR0n2pzsRSFHaSljzN1w,https://www.google.com/maps/place/?q=place_id:ChIJK2suR0n2pzsRSFHaSljzN1w,part_374,2026-09-20 20:32:09
