business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Moumita's boutique,Boutiques,Clothing store,Clothing store,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 98630 15711,N/A,,,"North Nayapara, Dharmanagar, Baruakandi, Tripura 799250",799250,24.3871979,92.1573033,ChIJQwsAlp3tUTcRLvZTf_U1QLI,https://www.google.com/maps/place/?q=place_id:ChIJQwsAlp3tUTcRLvZTf_U1QLI,part_374,2026-09-20 20:35:20
VETO Perfume Dharmanagar,Boutiques,Perfume store,"Perfume store, Service establishment",799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,N/A,https://mydukaan.io/vetoperfume,5.0,,"VETO Perfume Dharmanagar, 799250, India",799250,21.0680074,82.7525294,ChIJTfI4J4j0HYYRE-tO4SfnYIg,https://www.google.com/maps/place/?q=place_id:ChIJTfI4J4j0HYYRE-tO4SfnYIg,part_374,2026-09-20 20:35:20
Jweel's Craft Personalized & Readymade Gift Shop,Boutiques,Gift shop,"Gift shop, Craft store, Stationery store, Toy store",799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 70052 22895,https://jweels-craft.grexa.site/,5.0,,"Thana Rd, opposite of Dharmanagar Police Station, Power House Quater Complex, Dharmanagar, Baruakandi, Tripura 799250",Power House Quater Complex,24.3843961,92.16184799999999,ChIJB0Yi0MPtUTcR5jPSMSgEsys,https://www.google.com/maps/place/?q=place_id:ChIJB0Yi0MPtUTcR5jPSMSgEsys,part_374,2026-09-20 20:35:20
Symphony Music Instrumental Shop,Boutiques,Musical instrument store,Musical instrument store,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 97741 80968,N/A,4.1,,"95J6+6WV, Kalibari Rd, Power House Quater Complex, Dharmanagar, Baruakandi, Tripura 799250",Power House Quater Complex,24.3806071,92.16229059999999,ChIJVZf_-sLsUTcRCy9DvsEggdQ,https://www.google.com/maps/place/?q=place_id:ChIJVZf_-sLsUTcRCy9DvsEggdQ,part_374,2026-09-20 20:35:20
Purakayastha Anter Price,Boutiques,Boutique,Boutique,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 87878 08046,N/A,5.0,1.0,"Kumarghat-Kailashahar Rd, Fatikroy, Sonaimuri, Tripura 799264",799250,24.203443,92.03375899999999,ChIJidFs85OJUTcR5TsDTsIMplc,https://www.google.com/maps/place/?q=place_id:ChIJidFs85OJUTcR5TsDTsIMplc,part_374,2026-09-20 20:35:21
Maa Verities,Boutiques,Boutique,Boutique,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 87949 51905,N/A,5.0,1.0,"Missiontilla, Ganganagar, Dhupirband, Tripura 799253",Missiontilla,24.3549167,92.1882782,ChIJewrZaJXtUTcRsu8c1mY7oSc,https://www.google.com/maps/place/?q=place_id:ChIJewrZaJXtUTcRsu8c1mY7oSc,part_374,2026-09-20 20:35:21
M/s Ashirwad,Boutiques,Gift shop,Gift shop,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,N/A,N/A,3.8,49.0,"95J7+74V, Kalibari Rd, Power House Quater Complex, Dharmanagar, Baruakandi, Tripura 799250",Power House Quater Complex,24.380732,92.1627912,ChIJ4Xz1-sLsUTcR3Ehu880qpfE,https://www.google.com/maps/place/?q=place_id:ChIJ4Xz1-sLsUTcR3Ehu880qpfE,part_374,2026-09-20 20:35:21
Dharmanagar Art Line,Boutiques,Scrapbooking store,Scrapbooking store,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 87940 77401,N/A,5.0,6.0,"Power House Quater Complex, Dharmanagar, Tripura 799250",Power House Quater Complex,24.3813356,92.16608269999999,ChIJ79oVdgDtUTcR06KIj7580DQ,https://www.google.com/maps/place/?q=place_id:ChIJ79oVdgDtUTcR06KIj7580DQ,part_374,2026-09-20 20:35:21
Eastman Dealer,Boutiques,Battery Store,"Battery Store, Battery Wholesaler, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 612 415 7824,https://eastman-dealers.eaplworld.com/near-me/dharmanagar/Algapur/eastman-dealer-sreejyoti-in-Algapur-dharmanagar--uwh2c8/home,,,"Sreejyoti, Office Tilla Rd, Algapur, Dharmanagar, Tripura 799250",Algapur,24.374789699999997,92.1588914,ChIJvY8CuSTtUTcRsp52qx2Xuyo,https://www.google.com/maps/place/?q=place_id:ChIJvY8CuSTtUTcRsp52qx2Xuyo,part_374,2026-09-20 20:35:22
Royal Enfield Showroom - PNR Automobile Pvt.Ltd,Boutiques,Motorcycle shop,Motorcycle shop,799250,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,Dharmanagar H.O,+91 91670 32601,https://dealers.royalenfield.com/tripura/north-tripura/dharamnagar-pnr-automobile-9110104530?utm_source=GMBlisting&utm_medium=organic,4.4,,"Ground Floor College Road, Kalibari Rd, near Nayapara Chuto, Tripura 799253",Power House Quater Complex,24.38055,92.17099809999999,ChIJe1QPFhrtUTcRcbWctyXMfqU,https://www.google.com/maps/place/?q=place_id:ChIJe1QPFhrtUTcRcbWctyXMfqU,part_374,2026-09-20 20:35:22
