business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahavir Steel& All Fabrication Work,Aluminium Fabrication,Hardware store,Hardware store,799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 70023 17360,N/A,5.0,,"02 Anuj Baruah A, T Road, Amolapatty, Dibrugarh, Assam 786008",Amolapatty,27.4728,94.8945932,ChIJ5Rz0vPqZQDcR4NT64iPiBdg,https://www.google.com/maps/place/?q=place_id:ChIJ5Rz0vPqZQDcR4NT64iPiBdg,part_374,2026-09-20 20:37:50
Kwality Decorators,Aluminium Fabrication,Window supplier,"Window supplier, Aluminum window, Glass manufacturer, Interior designer, PVC windows supplier",799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 84450 64786,http://www.kwaliydecorators.com/,4.9,,"Haji Market, Kanwali, GMS Rd, Balliwala Chowk, Kaonli, Dehradun, Uttarakhand 248001","Balliwala Chowk, Shakti Enclave, Kaonli",30.3203058,78.0137688,ChIJu0G5shgqCTkRLnTZ8PLwspk,https://www.google.com/maps/place/?q=place_id:ChIJu0G5shgqCTkRLnTZ8PLwspk,part_374,2026-09-20 20:37:50
Malik Glass & Aluminium,Aluminium Fabrication,Glass & mirror shop,Glass & mirror shop,799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",N/A,N/A,,,"FMV4+8XW, Sonkh Rd, in front of Haldiram Restaurant, Radhika Vihar, Mathura, Uttar Pradesh 281001",Radhika Vihar,27.4933746,77.65744269999999,ChIJF-8H399zczkRur509ru1cdI,https://www.google.com/maps/place/?q=place_id:ChIJF-8H399zczkRur509ru1cdI,part_374,2026-09-20 20:37:50
ADARSH METALS,Aluminium Fabrication,Metal supplier,"Metal supplier, Wholesaler",799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 98761 11695,https://adarshmetals.in/,5.0,3.0,"Gill Rd, near sbi, Sant Pura, Miller Ganj, Ludhiana, Punjab 141001","Sant Pura, Miller Ganj",30.897216,75.857676,ChIJQd6cQQCDGjkRbEi7b46b194,https://www.google.com/maps/place/?q=place_id:ChIJQd6cQQCDGjkRbEi7b46b194,part_374,2026-09-20 20:37:51
Jisha UPVC solution,Aluminium Fabrication,Window supplier,Window supplier,799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 84028 05070,N/A,4.5,15.0,"Shop Number - B8, Amba Complex, HS road (C/O Glass house, HS Rd, opposite amba comlex, Dibrugarh, Assam 786001",799256,27.4800126,94.9043495,ChIJu9TIr3KZQDcREXxteZWRkmo,https://www.google.com/maps/place/?q=place_id:ChIJu9TIr3KZQDcREXxteZWRkmo,part_374,2026-09-20 20:37:51
Diyans aluminium center,Aluminium Fabrication,Fabrication Engineer,Fabrication Engineer,799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 90612 91114,N/A,4.0,2.0,"near Chithra Theatre Lane, Aryasala Junction, Aryasala, Valiyasalai, Thiruvananthapuram, Keralam 695036","Aryasala Junction, Aryasala, Valiyasalai",8.4820981,76.95429419999999,ChIJ-xuUCYK7BTsRm54pTlBksDE,https://www.google.com/maps/place/?q=place_id:ChIJ-xuUCYK7BTsRm54pTlBksDE,part_374,2026-09-20 20:37:51
METRO ALUMINIUM(DEALER OF JINDAL ALUMINIUM SECTION ),Aluminium Fabrication,Aluminium Supplier,"Aluminium Supplier, Aluminum frames supplier, Aluminum window, Hardware store",799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 97666 66889,N/A,5.0,,"258, Mahdibagh Rd, Kheripura, Prem Nagar, Nagpur, Maharashtra 440002","Kheripura, Prem Nagar",21.1645391,79.1171766,ChIJxTgwMynH1DsRfJfXTWXjzgs,https://www.google.com/maps/place/?q=place_id:ChIJxTgwMynH1DsRfJfXTWXjzgs,part_374,2026-09-20 20:37:52
Jain Aluminium,Aluminium Fabrication,Aluminium Supplier,"Aluminium Supplier, Door supplier, Window supplier",799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 88883 30011,N/A,4.7,,"Godown no 4 House no 557, Ramkrishna Apartment, Floor mill, Bhandara Rd, Shantinagar Colony, Nagpur, Maharashtra 440008",Shantinagar Colony,21.1537973,79.1268224,ChIJsxs5uDfH1DsR4N8skbDl4zI,https://www.google.com/maps/place/?q=place_id:ChIJsxs5uDfH1DsR4N8skbDl4zI,part_374,2026-09-20 20:37:52
MV ALUMINIUM TRADING COMPANY,Aluminium Fabrication,Aluminium Supplier,Aluminium Supplier,799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 96065 18080,http://www.mvextrusions.com/,4.8,,"24/40, 114/16, Ground floor, 1st main Road Deepanjalinagar, Mysore Road, near BHEL, Nayanda Halli, Bengaluru, Karnataka 560026","FCI Layout, Nayanda Halli",12.95073,77.53178849999999,ChIJMcE8zAE_rjsRCnHzbGEmick,https://www.google.com/maps/place/?q=place_id:ChIJMcE8zAE_rjsRCnHzbGEmick,part_374,2026-09-20 20:37:52
ULTRA ALUMINIUM PVT. LTD.,Aluminium Fabrication,Manufacturer,"Manufacturer, Aluminum frames supplier",799256,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Tripura Damcherra S.O, Kacharicherra B.O, Khedacherra B.O",+91 91313 82958,http://www.ultraaluminium.com/,4.3,,"10, Industrial Area, Gondwara Basti, Urla, Raipur, Chhattisgarh 493221","Industrial Area, Gondwara Basti",21.2866882,81.6147159,ChIJRwe4hUjnKDoRDNoOcu7Aeg0,https://www.google.com/maps/place/?q=place_id:ChIJRwe4hUjnKDoRDNoOcu7Aeg0,part_374,2026-09-20 20:37:52
