business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Molshoy Telecom,IT and Telecom Services,Computer store,Computer store,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",N/A,N/A,,,"V562+XHF, Manu Chhailengta R.F., Tripura 799271",799269,23.8624537,92.15140989999999,ChIJ8_dSuW4XUjcRq0oHabidZ-8,https://www.google.com/maps/place/?q=place_id:ChIJ8_dSuW4XUjcRq0oHabidZ-8,part_374,2026-09-20 20:41:36
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 98626 52413,https://bsnl.co.in/,,,"Santipur, Tripura 799270",799269,24.076359999999998,92.199844,ChIJA0TG3AMfUjcRfmSxdauk92A,https://www.google.com/maps/place/?q=place_id:ChIJA0TG3AMfUjcRfmSxdauk92A,part_374,2026-09-20 20:41:37
Chorkhy Electronics,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 70059 17204,N/A,5.0,,"W625+83X, Gachiram, Gachirampara, Tripura 799271",Gachiram,23.9007234,92.2079167,ChIJzbQQ9NwXUjcRrOVLcrTtWkI,https://www.google.com/maps/place/?q=place_id:ChIJzbQQ9NwXUjcRrOVLcrTtWkI,part_374,2026-09-20 20:41:37
Adi Om Mobile Servicing,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 89744 84839,N/A,1.0,,"Jogendra Nath, To, Jampui Rd, Kanchanpur, Tripura 799270",799269,24.0451336,92.1990859,ChIJ85uTfF0fUjcRlROcQXnU5Pk,https://www.google.com/maps/place/?q=place_id:ChIJ85uTfF0fUjcRlROcQXnU5Pk,part_374,2026-09-20 20:41:37
SKYLITE TRADEINDIA TECHNOLOGY PVT LIMITED,IT and Telecom Services,Internet service provider,Internet service provider,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",N/A,https://www.skylitetardeindia.com/,,,"subashnagar, Kanchanpur, Tripura 799270",subashnagar,24.036073599999998,92.201537,ChIJB7WIOPcfUjcRbQpiaRn-Is4,https://www.google.com/maps/place/?q=place_id:ChIJB7WIOPcfUjcRbQpiaRn-Is4,part_374,2026-09-20 20:41:37
Sumitra reang,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",N/A,N/A,,,"W5JQ+VMH, Tuisama, Tripura 799271",799269,23.9321834,92.1892439,ChIJ454vRwAXUjcR2-1uddl4Olk,https://www.google.com/maps/place/?q=place_id:ChIJ454vRwAXUjcR2-1uddl4Olk,part_374,2026-09-20 20:41:37
Telecom Companies Service,IT and Telecom Services,Computer store,Computer store,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 93562 24005,N/A,5.0,,"MSEB Colony, Lakhandur, Maharashtra 441803",MSEB Colony,20.7594299,79.8868975,ChIJ86FPPsidLDoReGosrPK30Fk,https://www.google.com/maps/place/?q=place_id:ChIJ86FPPsidLDoReGosrPK30Fk,part_374,2026-09-20 20:41:37
Biswakarma Electronics,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 98622 47077,N/A,,,"Dasda, Dasda Bazar, Tripura 799271",Kumbal Hathai,23.945983299999998,92.2123731,ChIJgxfY8BwZUjcRAwcaYD_WuJQ,https://www.google.com/maps/place/?q=place_id:ChIJgxfY8BwZUjcRAwcaYD_WuJQ,part_374,2026-09-20 20:41:37
Mobile Repairing center,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 87310 22587,N/A,1.0,,"North, Dasda Laxmipur, Tripura 799271",799269,23.941570499999997,92.217806,ChIJvb_QnC8ZUjcR9nmH_Bmnzh8,https://www.google.com/maps/place/?q=place_id:ChIJvb_QnC8ZUjcR9nmH_Bmnzh8,part_374,2026-09-20 20:41:37
Mobile Solution,IT and Telecom Services,Cell phone store,Cell phone store,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 96121 80824,N/A,4.0,,"Unnamed Road, Dasda Bazar, Dasda Laxmipur, Tripura 799271",799269,23.9465,92.20563299999999,ChIJo7lGVTcZUjcRA0xM6f202Eg,https://www.google.com/maps/place/?q=place_id:ChIJo7lGVTcZUjcRA0xM6f202Eg,part_374,2026-09-20 20:41:37
Sujan Chandra Das,IT and Telecom Services,Mobile phone repair shop,"Mobile phone repair shop, Housing society",799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",+91 96128 47645,N/A,3.6,,"Dasda Bazar, Kanchanpur Road, Dasda Laxmipur, Tripura 799271",799269,23.9468167,92.20411059999999,ChIJyTtsy2oZUjcRBMSdjtbcg3Y,https://www.google.com/maps/place/?q=place_id:ChIJyTtsy2oZUjcRBMSdjtbcg3Y,part_374,2026-09-20 20:41:37
Loknath Digital Cable,IT and Telecom Services,Cable company,Cable company,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",N/A,N/A,5.0,,"25QW+RWP, Kanchanpur, Tripura 799270",799269,24.0395899,92.1973342,ChIJkxKxm84eUjcRstVMOs9tBDI,https://www.google.com/maps/place/?q=place_id:ChIJkxKxm84eUjcRstVMOs9tBDI,part_374,2026-09-20 20:41:37
Ripan Debnath Stores,IT and Telecom Services,Cell phone store,Cell phone store,799269,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Jampui S.O, Belianchief B.O, Hmungchuan B.O",N/A,N/A,4.2,,"8X9X+CJC, Kailashahar, Tripura 799277",799269,24.318559099999998,91.9990029,ChIJRfVM3OKPUTcRvP25sPj5WuI,https://www.google.com/maps/place/?q=place_id:ChIJRfVM3OKPUTcRvP25sPj5WuI,part_374,2026-09-20 20:41:37
