business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Dreamline Events Agartala - Event Planner, Event Management Company, Decoration, Catering and All Event Services",Event Planners/Wedding Planners,Event planner,"Event planner, Event management company, Event venue, Wedding service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 92701 46695,https://deagartala.in/,4.9,,"Dhaleswar Rd Number 5, Banamalipur, Dhaleswar, Agartala, Tripura 799007","Banamalipur, Dhaleswar",23.836244999999998,91.2941003,ChIJx8aXrmiThYQRlHb4LnanmHg,https://www.google.com/maps/place/?q=place_id:ChIJx8aXrmiThYQRlHb4LnanmHg,part_375,2026-09-20 20:19:29,3162
Royal Celebration and Events,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70660 86852,N/A,4.9,,"Bidurkarta chowmuhani, RMS Chowmuhani, Krishna Nagar, Agartala, Tripura 799001","RMS Chowmuhani, Krishna Nagar",23.834012599999998,91.2789615,ChIJIZYhQgv1UzcRhdSsDbQ0R3k,https://www.google.com/maps/place/?q=place_id:ChIJIZYhQgv1UzcRhdSsDbQ0R3k,part_375,2026-09-20 20:19:29,3163
The Fairytale Planners,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98564 01901,N/A,4.9,,"College Road, Madhya Nayapara, near Royal Enfield showroom, Dharmanagar, Tripura 799253",Power House Quater Complex,24.3808479,92.1706142,ChIJwd4sYQDtUTcRW9K66FYpkeU,https://www.google.com/maps/place/?q=place_id:ChIJwd4sYQDtUTcRW9K66FYpkeU,part_375,2026-09-20 20:19:29,3164
Dreamland Events,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 86686 19831,https://dreamlandbharat.com/,4.9,,"Ramnagar Rd Number 5, behind Post office, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.839955,91.26932099999999,ChIJY0prYlT1UzcRwOus3EOxyRM,https://www.google.com/maps/place/?q=place_id:ChIJY0prYlT1UzcRwOus3EOxyRM,part_375,2026-09-20 20:19:29,3165
Memorable Events,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70051 94634,https://www.instagram.com/memorable_events.in?igsh=MXRhbGE4Z2ZhbnJxaA==,5.0,,"MBB College Road, Shibnagar, Dhaleswar, Agartala, Tripura 799004","Shibnagar, Dhaleswar",23.823632699999997,91.2972937,ChIJ8RRvFefzUzcRSK8jnE-z1ig,https://www.google.com/maps/place/?q=place_id:ChIJ8RRvFefzUzcRSK8jnE-z1ig,part_375,2026-09-20 20:19:29,3166
Kajal wedding & Event Planner,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93625 31485,N/A,5.0,,"T.V Tower, near CNG Station, Pratapgarh, Agartala, Tripura 799101",Pratapgarh,23.819287,91.2831728,ChIJR_JiELz1UzcRrV1ysejx2FI,https://www.google.com/maps/place/?q=place_id:ChIJR_JiELz1UzcRrV1ysejx2FI,part_375,2026-09-20 20:19:29,3167
Crownstar Events,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70059 85255,https://www.instagram.com/crownstarevents_agt?igsh=cGFmYjM5bmQ3eWZr&utm_source=qr,4.9,,"Dhaleswar, Agartala, Tripura 799004",Dhaleswar,23.8247744,91.2915676,ChIJkeoFOLHzUzcR9AbxCuTL3PY,https://www.google.com/maps/place/?q=place_id:ChIJkeoFOLHzUzcR9AbxCuTL3PY,part_375,2026-09-20 20:19:29,3168
Hero Deep Decorators & Catering,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 381 231 9797,N/A,4.5,,"The Manikya Court., Palace Compound, Indranagar, Agartala, Tripura 799001","Palace Compound, Indranagar",23.8392493,91.28255519999999,ChIJAQDAEQ_0UzcR-VIwfDRE-ko,https://www.google.com/maps/place/?q=place_id:ChIJAQDAEQ_0UzcR-VIwfDRE-ko,part_375,2026-09-20 20:19:29,3169
The Eventor,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98746 30635,N/A,5.0,,"Road No.6, Arundhauti Nagar, Agartala, Tripura 799003",Arundhauti Nagar,23.8073183,91.2634472,ChIJ7VOVWAD1UzcRghzJET4othM,https://www.google.com/maps/place/?q=place_id:ChIJ7VOVWAD1UzcRghzJET4othM,part_375,2026-09-20 20:19:29,3170
Das Decorators & Caterer Services,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94365 08867,N/A,5.0,,"Unnamed Road, Kailashahar, Tripura 799277",799281,24.3120881,92.0027999,ChIJ0VgovEuPUTcRZChRKCk2sNc,https://www.google.com/maps/place/?q=place_id:ChIJ0VgovEuPUTcRZChRKCk2sNc,part_375,2026-09-20 20:19:29,3171
The Celebration - Catering & Event Organizer,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98638 98632,N/A,5.0,,"Nalgaria, Ranirbazar, Majlishpur, Tripura 799035",Nalgaria,23.826595299999997,91.3781716,ChIJn07DFVjtUzcR2WZ1uIlk_2I,https://www.google.com/maps/place/?q=place_id:ChIJn07DFVjtUzcR2WZ1uIlk_2I,part_375,2026-09-20 20:19:29,3172
Joy Guru Decorators,Event Planners/Wedding Planners,Wedding planner,Wedding planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 96120 20682,N/A,5.0,,"Sonaimuri, Kumarghat, Tripura 799290",799281,24.198822399999997,92.0311511,ChIJw9f-agWJUTcRlADkXJMQ1Ec,https://www.google.com/maps/place/?q=place_id:ChIJw9f-agWJUTcRlADkXJMQ1Ec,part_375,2026-09-20 20:19:29,3173
Event Solution- Best Wedding Planner in Tripura,Event Planners/Wedding Planners,Wedding service,"Wedding service, Photographer, Photography service, Photography studio, Wedding photographer, Wedding store, Wedding venue",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 69097 65898,https://www.eventsolution.in/,5.0,,"Tebaria, Agartala, Laxmilunga, Tripura 799211",Tebaria,23.9317547,91.28415989999999,ChIJFbpIklylGWcRki1EzQxV-DM,https://www.google.com/maps/place/?q=place_id:ChIJFbpIklylGWcRki1EzQxV-DM,part_375,2026-09-20 20:19:29,3174
SUMAN WEDDING & EVENT PLANNING,Event Planners/Wedding Planners,Event planner,"Event planner, Caterer, Event management company, Flower designer",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 76280 33782,N/A,5.0,,"office tila, Garji, Tripura 799125",799281,23.426596999999997,91.5097237,ChIJO5xeFvGfUzcRrQpYijE-C8Y,https://www.google.com/maps/place/?q=place_id:ChIJO5xeFvGfUzcRrQpYijE-C8Y,part_375,2026-09-20 20:19:29,3175
Dreams & Events - Event Planners,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 84719 00287,https://www.facebook.com/dreamsnevents?mibextid=ZbWKwL,4.9,,"Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",Ambicapatty,24.8143612,92.79914629999999,ChIJWdIQEAxLTjcRvYzhwyOWanE,https://www.google.com/maps/place/?q=place_id:ChIJWdIQEAxLTjcRvYzhwyOWanE,part_375,2026-09-20 20:19:29,3176
Event Sketches- Event Planners,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 80112 79491,N/A,5.0,,"Public School Road, Kanakpur, Silchar, Kanakpur Part-II, Assam 788005",Kanakpur,24.813665,92.80067849999999,ChIJu_EQ5aVLTjcRkhCfl88qmus,https://www.google.com/maps/place/?q=place_id:ChIJu_EQ5aVLTjcRkhCfl88qmus,part_375,2026-09-20 20:19:29,3177
Aj Event's Management,Event Planners/Wedding Planners,Event management company,Event management company,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 84158 15689,N/A,5.0,,"Aj Event's Management Dhaliai, Sonamura, Tripura 799131",799281,23.4834089,91.2790404,ChIJd_OnikGHUzcRRAgiejN2Btg,https://www.google.com/maps/place/?q=place_id:ChIJd_OnikGHUzcRRAgiejN2Btg,part_375,2026-09-20 20:19:29,3178
Dream Wedding Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Catering food and drink supplier, Flower market, Interior Decorator, Photographer, Florist",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 88373 06826,https://www.instagram.com/dream_wedding_planner_boys/,5.0,,"Rabindra Sangha, Bypass, Agartala, Tripura 799130",799281,23.7880565,91.2852348,ChIJtYLD0Zb1UzcRrTkjJuzPObk,https://www.google.com/maps/place/?q=place_id:ChIJtYLD0Zb1UzcRrTkjJuzPObk,part_375,2026-09-20 20:19:29,3179
JOGESH MAHAL,Event Planners/Wedding Planners,Wedding service,Wedding service,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 94365 04412,http://www.jogeshmahal.com/,3.8,,"no 1/13, Road, above Punjab National bank, Dhaleswar, Agartala, Tripura 799007",Dhaleswar,23.8411454,91.2968837,ChIJHdX8d_DzUzcRNL63A6_JRdM,https://www.google.com/maps/place/?q=place_id:ChIJHdX8d_DzUzcRNL63A6_JRdM,part_375,2026-09-20 20:19:29,3180
JD wedding planner & events,Event Planners/Wedding Planners,Event planner,Event planner,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"WHQ7+FHC, Tripura 799203",799281,23.9386768,91.5639061,ChIJ39xBl3LDUzcRTtSgtvKrb-I,https://www.google.com/maps/place/?q=place_id:ChIJ39xBl3LDUzcRTtSgtvKrb-I,part_375,2026-09-20 20:19:29,3181
Event Majors,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70990 94242,http://www.eventmajors.com/,4.9,,"Kiran Khahlari Path, Dalbari, Satgaon, Guwahati, Kalitakuchi N.C., Assam 781037","Dalbari, Satgaon",26.153475399999998,91.8280442,ChIJCX-W8TdZWjcRDNfajuI9Tr4,https://www.google.com/maps/place/?q=place_id:ChIJCX-W8TdZWjcRDNfajuI9Tr4,part_375,2026-09-20 20:19:30,3182
Radiance Events | Wedding Planner in Lucknow,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event venue, Party planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99565 72575,https://radianceevents.co.in/,4.4,,"182, near, Fun Mall Rd, Eldeco Greens, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Eldeco Greens, Gomti Nagar",26.8583122,80.972477,ChIJA2WvNgr9mzkRe6xVnkgW2k0,https://www.google.com/maps/place/?q=place_id:ChIJA2WvNgr9mzkRe6xVnkgW2k0,part_375,2026-09-20 20:20:09,10146
Nagpur Wedding Planner and Event Management,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Service establishment, Event planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 95116 98605,N/A,5.0,,"Nagpur Wedding Planner and Event Management, 799282, India",799282,21.1420145,79.0836666,ChIJxZZH4C-_1DsRgtMwc1M-mqU,https://www.google.com/maps/place/?q=place_id:ChIJxZZH4C-_1DsRgtMwc1M-mqU,part_375,2026-09-20 20:20:09,10147
Dreamz 24,Event Planners/Wedding Planners,Event planner,Event planner,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98271 59595,https://www.instagram.com/dreamz24events.official/,4.9,,"13 , Ground, Arihant Complex, Priyadarshini Nagar, Priyadarshini Nagar Colony, Gurumukh Singh Nagar, Raipur, Tikrapara, Chhattisgarh 492001","Priyadarshini Nagar, Priyadarshini Nagar Colony, Gurumukh Singh Nagar",21.223196899999998,81.65327119999999,ChIJUUpJaT3dKDoR5xdJpYtXWq4,https://www.google.com/maps/place/?q=place_id:ChIJUUpJaT3dKDoR5xdJpYtXWq4,part_375,2026-09-20 20:20:09,10148
Md Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Conference center, Event management company, Event planner, Event technology service, Live music venue, Wedding service, Wedding venue",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 88242 03435,N/A,4.9,,"A-112 Krishna vihar colony, Kunadi, Kota, Rajasthan 324008","Kunadi, Electricity Board Area",25.2051677,75.835965,ChIJb1VVVTCbbzkR5GKvxXK7yLk,https://www.google.com/maps/place/?q=place_id:ChIJb1VVVTCbbzkR5GKvxXK7yLk,part_375,2026-09-20 20:20:09,10149
BMP Weddings,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Event venue, Wedding photographer, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98101 96863,https://www.bmpweddings.in/,4.8,,"Metro Station, B-29, near Malviya Nagar, Shivalik Enclave, Block B, Geetanjali Enclave, Malviya Nagar, New Delhi, Delhi 110017","Shivalik Enclave, Block B, Geetanjali Enclave, Malviya Nagar",28.5316117,77.20267419999999,ChIJiSDbGM7jDDkR5pCReR5P3lU,https://www.google.com/maps/place/?q=place_id:ChIJiSDbGM7jDDkR5pCReR5P3lU,part_375,2026-09-20 20:20:09,10150
Eventima,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98744 73614,https://eventima-wedding-planner.grexa.site/,5.0,,"Sukhi Sansar Apartments, 134, Salkia School Rd, Salkia, Kolkata, Howrah, West Bengal 711106",Salkia,22.594021599999998,88.34506309999999,ChIJC4xrHf53AjoRnovMa_HG2IE,https://www.google.com/maps/place/?q=place_id:ChIJC4xrHf53AjoRnovMa_HG2IE,part_375,2026-09-20 20:20:09,10151
Vega Star Events - Wedding Planner and Event Planner in Jaipur,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event venue, Party planner, Restaurant supply store, Wedding buffet, Event management company, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94148 33258,https://vegastarevents.in/,4.8,,"71/175 Near K.V. No.5, Paramhans Marg, Mansarovar, Jaipur, Rajasthan 302020","Mansarovar Sector 7, Agarwal Farm, Barh Devariya, Mansarovar",26.855851899999998,75.76867659999999,ChIJ_XW9PKW1bTkR0vQYArniX6w,https://www.google.com/maps/place/?q=place_id:ChIJ_XW9PKW1bTkR0vQYArniX6w,part_375,2026-09-20 20:20:09,10152
Dream Planners,Event Planners/Wedding Planners,Event planner,"Event planner, Photography service, Wedding photographer",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 83099 49959,https://dreamplanners.net/,5.0,,"Dream Planners, opp. Raju Book stall, Tagore Nagar, Kothapeta, Rayachoty, Andhra Pradesh 516269","Tagore Nagar, Kothapeta",14.050039799999999,78.74805169999999,ChIJSSO9RaADszsR7BzBzKb4OfE,https://www.google.com/maps/place/?q=place_id:ChIJSSO9RaADszsR7BzBzKb4OfE,part_375,2026-09-20 20:20:09,10153
Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 89550 25675,N/A,5.0,,"Plot 1 & 2, adjacent to Rohit Hospital, Teachers Colony, KTR Colony, DCM, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Teachers Colony, KTR Colony, DCM",26.8946172,75.74753129999999,ChIJR46e6Hy1bTkRiCRfJJHx9Kg,https://www.google.com/maps/place/?q=place_id:ChIJR46e6Hy1bTkRiCRfJJHx9Kg,part_375,2026-09-20 20:20:09,10154
Eventz By Abhishek,Event Planners/Wedding Planners,Event management company,Event management company,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 70175 75215,N/A,5.0,,"Deen Dayal Puram, Bareilly, Uttar Pradesh 243122",Deen Dayal Puram,28.381027,79.430072,ChIJY72U-5AHoDkR11ErF9NgquA,https://www.google.com/maps/place/?q=place_id:ChIJY72U-5AHoDkR11ErF9NgquA,part_375,2026-09-20 20:20:09,10155
The Velvet Weddings,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98713 33339,http://www.thevelvetweddings.com/,4.5,,"Office No. 538 A Westend Mall, Janakpuri West, New Delhi, Delhi 110058","Janakpuri District Center, Janakpuri",28.6296954,77.0797147,ChIJ7VOXa7QFDTkR3jsYj8VXCzs,https://www.google.com/maps/place/?q=place_id:ChIJ7VOXa7QFDTkR3jsYj8VXCzs,part_375,2026-09-20 20:20:09,10156
Trove Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner, Party planner, Wedding photographer, Event management company, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 87770 45982,https://troveevents.framer.website/,4.9,,"158/17, Aswini Kumar Mondal Rd, Kadam Tala, Howrah, West Bengal 711101",Kadam Tala,22.5919985,88.3279539,ChIJH8C9UvJ3AjoRD1ekM-oZFF0,https://www.google.com/maps/place/?q=place_id:ChIJH8C9UvJ3AjoRD1ekM-oZFF0,part_375,2026-09-20 20:20:09,10157
V For Wedding,Event Planners/Wedding Planners,Wedding planner,Wedding planner,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 96280 61156,N/A,3.8,,"Awadh Vihar Colony, Ashraf Vihar Colony, Gomti vihar Colony, Chinhat, Lucknow, Uttar Pradesh 226010","Awadh Vihar Colony, Ashraf Vihar Colony, Gomti vihar Colony, Chinhat",26.863864399999997,81.0415325,ChIJj18VASsymjkRMB31qqzWuEQ,https://www.google.com/maps/place/?q=place_id:ChIJj18VASsymjkRMB31qqzWuEQ,part_375,2026-09-20 20:20:09,10158
Inder Events And Production,Event Planners/Wedding Planners,Event management company,"Event management company, Branding agency, Exhibition planner, Stall installation service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98886 38896,https://www.indereventsproduction.com/,4.9,,"MAMA JI CHOWK, Purani Mandi, Dharampura, Chheharta, Amritsar, Punjab 143105","Purani Mandi, Dharampura, Chheharta",31.6242453,74.7932862,ChIJRzLetvJ9GTkR2T0e6NA397M,https://www.google.com/maps/place/?q=place_id:ChIJRzLetvJ9GTkR2T0e6NA397M,part_375,2026-09-20 20:20:09,10159
THE BLISS® Events & Wedding Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 78888 54618,https://www.instagram.com/thebliss.weddingcompany/,4.8,,"30, Race Course Rd, Shastri Nagar, White Avenue, Amritsar, Punjab 143001","Shastri Nagar, White Avenue",31.650947199999997,74.875017,ChIJOWsBKqBkGTkRrfW7zQ8YoZc,https://www.google.com/maps/place/?q=place_id:ChIJOWsBKqBkGTkRrfW7zQ8YoZc,part_375,2026-09-20 20:20:09,10160
Umang Decor & Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Party planner, Event planner, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 97172 60597,https://www.instagram.com/umangdecor/,5.0,,"Techman City, harsh apartments, Techman Nilgiri, Mathura, Uttar Pradesh 281006",Techman Nilgiri,27.4487696,77.6787293,ChIJVV28OMV3czkRy6wGPQnnZUw,https://www.google.com/maps/place/?q=place_id:ChIJVV28OMV3czkRy6wGPQnnZUw,part_375,2026-09-20 20:20:09,10161
IWP - Indian Wedding Planners,Event Planners/Wedding Planners,Wedding planner,Wedding planner,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94143 66666,https://www.indianweddingplanners.in/,4.6,,"Plot no 34, C-Scheme, Sangram Colony, Ashok Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302001","C-Scheme, Sangram Colony, Ashok Nagar",26.911593099999997,75.8120333,ChIJlaU03AO0bTkRC59maR0VFfw,https://www.google.com/maps/place/?q=place_id:ChIJlaU03AO0bTkRC59maR0VFfw,part_375,2026-09-20 20:20:09,10162
Lemon Leaf Hospitality & Events Pvt. Ltd.,Event Planners/Wedding Planners,Event management company,Event management company,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 96464 90007,http://www.lemonleafevents.com/,4.8,,"4th, SCO 52, near Balle Bowl, opp. Citi Cable Office, Gumtala Sub Urban, B - Block, Ranjit Avenue, Amritsar, Punjab 143001","Gumtala Sub Urban, B - Block, Ranjit Avenue",31.6490889,74.8577352,ChIJVXOeVqpkGTkRTqfnAMBcciE,https://www.google.com/maps/place/?q=place_id:ChIJVXOeVqpkGTkRTqfnAMBcciE,part_375,2026-09-20 20:20:09,10163
Golden Sparrow Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Wedding photographer, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 77174 17966,https://goldensparrowevents.com/index.php,4.7,,"Farid Nager, Chheharta, Amritsar, Punjab 143105",Chheharta,31.644953299999997,74.8127993,ChIJV84z2k9lGTkRd1THfa__CWQ,https://www.google.com/maps/place/?q=place_id:ChIJV84z2k9lGTkRd1THfa__CWQ,part_375,2026-09-20 20:20:09,10164
Big Wedding Planners – Luxury Wedding Planners in Bhopal,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event planner, Wedding service, Wedding venue",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 62666 91018,https://www.bigweddingplanners.com/,4.8,93.0,"Sahyog Vihar, 64 D Tower, Gulmohar, near office pitara, Rohit Nagar, Bawadiya Kalan, Bhopal, Madhya Pradesh 462039","Raghunath Nagar, Rohit Nagar, Bawadiya Kalan, Gulmohar Colony",23.1860583,77.43579629999999,ChIJcysQU2CLFwgRTu04naPUtz8,https://www.google.com/maps/place/?q=place_id:ChIJcysQU2CLFwgRTu04naPUtz8,part_375,2026-09-20 20:20:10,10165
Kimpioa events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Dance company, DJ service, Event management company, Event planner, Party planner, Tent House Supplier, Wedding photographer, Wedding service, Wedding venue",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 92683 63150,https://kimpioa.in/,4.9,131.0,"HNO D16 D16, 37, Sector 7, Rohini, Delhi, 110085","Sector 7, Rohini",28.7055904,77.11572629999999,ChIJnyYkNfwDDTkRLZTfb63I6hk,https://www.google.com/maps/place/?q=place_id:ChIJnyYkNfwDDTkRLZTfb63I6hk,part_375,2026-09-20 20:20:10,10166
MB Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Entertainment agency, Event management company, Event planner, Florist, Wedding bakery, Wedding photographer, Wedding service, Wedding venue",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99118 11811,http://www.mbeventsindia.com/,4.9,61.0,"J 66 1st floor, Main Market, Block J, Rajouri Garden, New Delhi, Delhi, 110027","Main Market, Block J, Rajouri Garden",28.647518599999998,77.122204,ChIJtwEpVpgDDTkRo_71Yb2ifO4,https://www.google.com/maps/place/?q=place_id:ChIJtwEpVpgDDTkRo_71Yb2ifO4,part_375,2026-09-20 20:20:10,10167
Shadi Events - Luxury Wedding Planners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Event venue, Wedding service",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98116 33998,https://www.shadievents.com/,5.0,17.0,"2nd Floor, A 66, Block A2, Block A, Rajouri Garden, New Delhi, Delhi, 110027","Block A2, Block A, Rajouri Garden",28.6489478,77.1235324,ChIJV-Y5Uk8FDTkRuo5iRGEfKXg,https://www.google.com/maps/place/?q=place_id:ChIJV-Y5Uk8FDTkRuo5iRGEfKXg,part_375,2026-09-20 20:20:10,10168
