business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Roy Jewellery Works,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,,"Vivekananda Rd, Power House Quater Complex, Dharmanagar, Tripura 799253",Power House Quater Complex,24.380243399999998,92.1639373,ChIJHc6T9CLtUTcRLABr763Lg4E,https://www.google.com/maps/place/?q=place_id:ChIJHc6T9CLtUTcRLABr763Lg4E,part_375,2026-09-20 20:19:13,975
Maa Tripureshwari Gold Refinery,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70054 38184,N/A,5.0,1.0,"Camunchomuhani h g b, road mitterson gali, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.830786999999997,91.2815883,ChIJ2523bwD1UzcR51sTApPWhAM,https://www.google.com/maps/place/?q=place_id:ChIJ2523bwD1UzcR51sTApPWhAM,part_375,2026-09-20 20:19:13,976
MAA GOLDPLATING JEWELLERY,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98622 16324,N/A,5.0,21.0,"Santipara, Dhaleswar, Agartala, Tripura 799001","Santipara, Dhaleswar",23.830309699999997,91.28511999999999,ChIJxy-sq7r1UzcRd5De1fGGjsQ,https://www.google.com/maps/place/?q=place_id:ChIJxy-sq7r1UzcRd5De1fGGjsQ,part_375,2026-09-20 20:19:13,977
Usha Jewellery,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87877 39018,N/A,5.0,1.0,"Ranibari Rd, Brajendranagar, Tripura 799261",799281,24.483752799999998,92.1649362,ChIJ7ctXyQbrUTcRxUYsj1u-EwU,https://www.google.com/maps/place/?q=place_id:ChIJ7ctXyQbrUTcRxUYsj1u-EwU,part_375,2026-09-20 20:19:13,978
Ssjewellers,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,http://www.youtube.com/c/ssjewellers,5.0,2.0,"R9J9+4QM, Ranirbazar, Tripura 799035",799281,23.830753599999998,91.3692196,ChIJh92AcMLtUzcR5IwdoZzyIrg,https://www.google.com/maps/place/?q=place_id:ChIJh92AcMLtUzcR5IwdoZzyIrg,part_375,2026-09-20 20:19:13,979
joy ram jewellery,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98627 27406,N/A,4.7,3.0,"JOYRAMJEWELLERS, Champaknagar, Tripura 799045",Champaknagar,23.804135499999997,91.4907527,ChIJBdSW2QzrUzcRYXtrfR9s2fg,https://www.google.com/maps/place/?q=place_id:ChIJBdSW2QzrUzcRYXtrfR9s2fg,part_375,2026-09-20 20:19:13,980
Shri Krishna Gold Plating Jewellery,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 82580 08850,N/A,4.7,7.0,"Mantribari Rd, near Post Office, Dhaleswar, Agartala, Tripura 799001",Dhaleswar,23.8292464,91.27860869999999,ChIJT95mWd71UzcRmU0g4NY3GJ0,https://www.google.com/maps/place/?q=place_id:ChIJT95mWd71UzcRmU0g4NY3GJ0,part_375,2026-09-20 20:19:13,981
JOY GURU JEWELLERS,Goldsmith and Jewellery Repair,Jewelry store,Jewelry store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,,"5V82+JG6, Marachhara, Chotasurma, Tripura 799285",799281,24.1665338,91.85126439999999,ChIJGxp5vRGBUTcRe0vEpFohZP8,https://www.google.com/maps/place/?q=place_id:ChIJGxp5vRGBUTcRe0vEpFohZP8,part_375,2026-09-20 20:19:14,982
NG Jewellery Works,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 89719 65964,N/A,5.0,54.0,"Unnamed Road, Silicon Town, Electronic City, Doddanagamangala Village, Karnataka 560100","Silicon Town, Electronic City",12.8610373,77.6783765,ChIJu82q41htrjsRsyzNaYxlYGg,https://www.google.com/maps/place/?q=place_id:ChIJu82q41htrjsRsyzNaYxlYGg,part_375,2026-09-20 20:19:53,6827
Sri Jayalakshmi Jewellery Works,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99009 75927,N/A,4.9,25.0,"Shop No.157, Kothnur, Kothnoor Dinne, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560076","Kothnur, Kothnoor Dinne, JP Nagar 7th Phase, J. P. Nagar",12.8770668,77.5844504,ChIJJzIClkoVrjsReQjWHGIKfRc,https://www.google.com/maps/place/?q=place_id:ChIJJzIClkoVrjsReQjWHGIKfRc,part_375,2026-09-20 20:19:53,6828
Dhanlaxmi jewellers,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 70588 69632,N/A,4.9,974.0,"metro station, Jalaram manglam complex, besides KFC, Hingna Rd, near mahindra tractor company, Bansi Nagar, Digdoh, Maharashtra 440016","Bansi Nagar, S R P Camp",21.1136165,79.0089425,ChIJt9pIc6CV1DsRJnnZoYqgecQ,https://www.google.com/maps/place/?q=place_id:ChIJt9pIc6CV1DsRJnnZoYqgecQ,part_375,2026-09-20 20:19:53,6829
Varsha Gold Nikol,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Goldsmith",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98798 10045,http://www.varshagoldnikol.com/,4.8,17.0,"1, Sammet Evneu, opp. Sankalp International School, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0348035,72.6736622,ChIJ40LTwvCHXjkRTSRtC0A2R5s,https://www.google.com/maps/place/?q=place_id:ChIJ40LTwvCHXjkRTSRtC0A2R5s,part_375,2026-09-20 20:19:53,6830
Sree Balaji Jewellery Works,Goldsmith and Jewellery Repair,Jewelry store,"Jewelry store, Goldsmith",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98490 31421,N/A,4.9,193.0,"Plot No 436, opp. Prathibha School, Secretariat Colony, Sri Ram Nagar Colony, Puppalguda, Manikonda, Hyderabad, Telangana 500089","Secretariat Colony, Sri Ram Nagar Colony, Puppalguda",17.400133,78.378148,ChIJV6IN0hiUyzsRu-QRzwvz2-w,https://www.google.com/maps/place/?q=place_id:ChIJV6IN0hiUyzsRu-QRzwvz2-w,part_375,2026-09-20 20:19:53,6831
Mona jwellers,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99214 39265,N/A,4.4,8.0,"Kukreja Paris city, plot no 3, Nandanvan Rd, opposite miry leout, Gurudev Nagar, miry Layout, Nandanvan, Nagpur, Maharashtra 440024","Gurudev Nagar, miry Layout, Nandanvan",21.1268326,79.1226966,ChIJQ1mo2KbH1DsRB1gm9ioOUAE,https://www.google.com/maps/place/?q=place_id:ChIJQ1mo2KbH1DsRB1gm9ioOUAE,part_375,2026-09-20 20:19:53,6832
Shree Sukh Jewellers,Goldsmith and Jewellery Repair,Goldsmith,Goldsmith,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 79727 76351,N/A,4.2,5.0,"Anjanadevi Sabhagruha Road, Godhani Road, adjacent to Mahajan Complex, Jhingabai, Zingabai Takli, Nagpur, Maharashtra 440030","Gayatri Nagar, Jhingabai, Zingabai Takli",21.1954274,79.07008239999999,ChIJ_900qrPB1DsR6rU8qztoHk0,https://www.google.com/maps/place/?q=place_id:ChIJ_900qrPB1DsR6rU8qztoHk0,part_375,2026-09-20 20:19:53,6833
