business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr.JD PAUL'S EMPIRICAL WELLNESS CLINIC,Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Homeopathic pharmacy",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 88374 18755,N/A,4.9,,"Akhaura Rd, opposite to Nil Jyoti Travels, Jay Nagar, Agartala, Tripura 799002",Jay Nagar,23.8346491,91.2656033,ChIJRwDLthj1UzcRl13pv3i7kOg,https://www.google.com/maps/place/?q=place_id:ChIJRwDLthj1UzcRl13pv3i7kOg,part_375,2026-09-20 20:19:15,1358
Dr. Mritunjoy Debnath Homoeopathic clinic,Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 99338 22492,N/A,4.8,,"Lake chowmuhani(bazar, On the Main road, beside the Shiv Shankar Garments, Indranagar, Agartala, Tripura 799001",Indranagar,23.8416618,91.28248219999999,ChIJj1036-f1UzcR9l7LwzBRYNI,https://www.google.com/maps/place/?q=place_id:ChIJj1036-f1UzcR9l7LwzBRYNI,part_375,2026-09-20 20:19:15,1359
Dr. Abhijit Debbarma | Homoeopathy Tripura | Dr Abhijit Debbarma,Homeopathic Clinic,Homeopath,"Homeopath, Doctor",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 96123 20032,https://www.facebook.com/wecareforhealth?mibextid=ZbWKwL,5.0,,"Chirakuti, Market, Kailashahar, Tripura 799279",799281,24.307876399999998,92.01932389999999,ChIJ-UM28lOFUTcRp-Bl9t6bZ1c,https://www.google.com/maps/place/?q=place_id:ChIJ-UM28lOFUTcRp-Bl9t6bZ1c,part_375,2026-09-20 20:19:15,1360
D.Barma's - Homoeopathic Specialty Clinic,Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 96123 20032,N/A,5.0,,"Market, Chirakuti, Kailashahar, Tripura 799279",799281,24.3078319,92.0192989,ChIJY7RNCP-PUTcRW1v5JChHd3E,https://www.google.com/maps/place/?q=place_id:ChIJY7RNCP-PUTcRW1v5JChHd3E,part_375,2026-09-20 20:19:15,1361
"HomeoNatural - Dr Rajesh Bhattacharjee, MD(Hom.), BHMS(Honours)",Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Homeopathic pharmacy",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 81329 71297,N/A,4.9,,"Colonel Mahim Thakur Sarani, opposite to Spice and Herbs Restaurant, near SBI Personal Banking Branch, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.835828199999998,91.2796271,ChIJfxILV2_1UzcR5TthIBifhRE,https://www.google.com/maps/place/?q=place_id:ChIJfxILV2_1UzcR5TthIBifhRE,part_375,2026-09-20 20:19:15,1362
Dr. Subrata Gorai,Homeopathic Clinic,Homeopath,"Homeopath, Alternative medicine practitioner, General practitioner, Health consultant, Health counselor, Homeopathic pharmacy",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70054 14478,https://www.facebook.com/drsgclinic/,4.7,,"goswami house, Bijoy Kumar Girls' School, chowmuni, near chatrasangha club, opposite lane mangal sangha marriage, Padma Pukur, Krishna Nagar, nutttanpally, Agartala, Tripura 799001","Padma Pukur, Krishna Nagar",23.8379337,91.2740257,ChIJf9M6gbXxUzcRt8j61rEY7_8,https://www.google.com/maps/place/?q=place_id:ChIJf9M6gbXxUzcRt8j61rEY7_8,part_375,2026-09-20 20:19:15,1363
Dr Anirban Sarkar (Homoeopathic clinic),Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70056 58253,N/A,5.0,,"Traffic point, opposite Jail Road, Algapur, Dharmanagar, Baruakandi, Tripura 799253",Algapur,24.3750663,92.15713099999999,ChIJHbwNVSntUTcRK9XLcEIBZYc,https://www.google.com/maps/place/?q=place_id:ChIJHbwNVSntUTcRK9XLcEIBZYc,part_375,2026-09-20 20:19:15,1364
"Dr Sabyasachi Bhattacharjee , Homoeopathic Clinic",Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 89613 84367,N/A,5.0,,"Khowai Town Rd, Khowai, Tripura 799201",799281,24.0621345,91.6065476,ChIJM-vbi4fZUzcRBb0UP-0hc38,https://www.google.com/maps/place/?q=place_id:ChIJM-vbi4fZUzcRBb0UP-0hc38,part_375,2026-09-20 20:19:15,1365
Dr Saima Debbarma,Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 88370 09592,N/A,5.0,,"Behalabari, Tripura 799201",799281,24.1327543,91.6871675,ChIJ66zeWADXUzcRFy0txyelsv8,https://www.google.com/maps/place/?q=place_id:ChIJ66zeWADXUzcRFy0txyelsv8,part_375,2026-09-20 20:19:15,1366
Dr. Nachiketa Datta's Clinic,Homeopathic Clinic,Homeopath,Homeopath,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,5.0,,"R7M8+PWP, Ram Nagar, Agartala, Tripura 799002",Ram Nagar,23.834249399999997,91.2672911,ChIJ7yHiDI_1UzcRM4CyxbJI6v0,https://www.google.com/maps/place/?q=place_id:ChIJ7yHiDI_1UzcRM4CyxbJI6v0,part_375,2026-09-20 20:19:15,1367
