business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mobile solution(mobile sealing & repairing shop),Mobile Phone Sales and Repair,Cell phone store,Cell phone store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 97742 85196,N/A,5.0,21.0,"NH8, opposit of Ranirbazar park, Tripura 799035",799281,23.836636199999997,91.3654895,ChIJO3KElpPzUzcR3Ap7zzUT4JI,https://www.google.com/maps/place/?q=place_id:ChIJO3KElpPzUzcR3Ap7zzUT4JI,part_375,2026-09-20 20:19:35,4044
Maa Durga Mobile Centre,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile caterer",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 89746 23712,http://www.hastack.in/,4.4,44.0,"Chittaranjan Club, Pabiacherra, Kumarghat, Tripura 799264",Pabiacherra,24.1584035,92.0377345,ChIJSdPr3bmJUTcRwHYxGDHCAJI,https://www.google.com/maps/place/?q=place_id:ChIJSdPr3bmJUTcRwHYxGDHCAJI,part_375,2026-09-20 20:19:35,4045
Global Infotech,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Computer service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.9,507.0,"HGB Road, Dashamighat Rd, opposite Nabadiganta Club, Battala, Agartala, Tripura 799001",Battala,23.829410499999998,91.2681511,ChIJETBd2iT1UzcRlMuDT8Ortq4,https://www.google.com/maps/place/?q=place_id:ChIJETBd2iT1UzcRlMuDT8Ortq4,part_375,2026-09-20 20:19:35,4046
MOBILE STORE 📱,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98632 99494,N/A,3.7,42.0,"Central Rd, Power House Quater Complex, Dharmanagar, Baruakandi, Tripura 799250",Power House Quater Complex,24.379208,92.16196149999999,ChIJa4bpJsPsUTcRllPuZcmsuQ0,https://www.google.com/maps/place/?q=place_id:ChIJa4bpJsPsUTcRllPuZcmsuQ0,part_375,2026-09-20 20:19:35,4047
Mobi-Lyf,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Electronics repair shop, Phone repair service, Repair service, Screen repair service",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 88373 56006,N/A,4.7,93.0,"1st Floor Room No 1A, Rajdhani Market, Battala, Dhaleswar, Agartala, Tripura 799001","Battala, Dhaleswar",23.8293301,91.270538,ChIJM8f6pSX1UzcROQx0HbmpafE,https://www.google.com/maps/place/?q=place_id:ChIJM8f6pSX1UzcROQx0HbmpafE,part_375,2026-09-20 20:19:35,4048
SHANU’S GADGETS,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70058 38381,N/A,5.0,94.0,"Agartala - Kamalasagar Rd, Madhupur, Agartala, Tripura 799102",799281,23.720286299999998,91.21596819999999,ChIJw5ssGgCLUzcRWojAsOPx2Jw,https://www.google.com/maps/place/?q=place_id:ChIJw5ssGgCLUzcRWojAsOPx2Jw,part_375,2026-09-20 20:19:35,4049
SMARTFIX MOBILE REPAIR,Mobile Phone Sales and Repair,Cell phone accessory store,"Cell phone accessory store, Electronics store",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98624 82217,N/A,5.0,2.0,"01, Kamalghat, Fatikchhara, Tripura 799210",Kamalghat,23.928521999999997,91.3384873,ChIJK8gutRHxUzcRHL084feOrfQ,https://www.google.com/maps/place/?q=place_id:ChIJK8gutRHxUzcRHL084feOrfQ,part_375,2026-09-20 20:19:35,4050
Maa Enterprise(Mobile Shop),Mobile Phone Sales and Repair,Cell phone store,Cell phone store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87949 88121,http://gostore.app/santu,4.8,37.0,"paiturbazar, Kailashahar, Tripura 799277",799281,24.3172109,92.005192,ChIJvxSAAn6PUTcROgotQJdNO8Y,https://www.google.com/maps/place/?q=place_id:ChIJvxSAAn6PUTcROgotQJdNO8Y,part_375,2026-09-20 20:19:35,4051
Mobiland,Mobile Phone Sales and Repair,Electronics store,Electronics store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,4.8,6.0,"25WX+985, Kanchanpur, Tripura 799270",799281,24.045879799999998,92.1983616,ChIJNVA9BwAfUjcR_IqWdvxXLHg,https://www.google.com/maps/place/?q=place_id:ChIJNVA9BwAfUjcR_IqWdvxXLHg,part_375,2026-09-20 20:19:35,4052
Phone Bazar Tripura,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 69094 69569,https://www.instagram.com/phone_bazar_tripura?igsh=MWZwMGoxYnhkOXpiMg==,4.4,23.0,"siddhi ashram, Badharghat, Agartala, Tripura 799003",Badharghat,23.800821799999998,91.2728317,ChIJD_i3bTH1UzcRu9IDgXKVWHs,https://www.google.com/maps/place/?q=place_id:ChIJD_i3bTH1UzcRu9IDgXKVWHs,part_375,2026-09-20 20:19:35,4053
