business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tilabazar H.S (+2stage) School,School,Higher secondary school,Higher secondary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"9X2X+92Q, Laxmipur, Tripura 799281",799281,24.3509736,91.9975979,ChIJbYs6M3yRUTcRcKP45VE8FaI,https://www.google.com/maps/place/?q=place_id:ChIJbYs6M3yRUTcRcKP45VE8FaI,part_375,2026-09-20 20:19:32,3431
Jumercheg J.B School,School,Elementary school,Elementary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"92GJ+PPP, Irani Hirachera Baburbazar Rd, Srinathpur, Irani, Tripura 799281",799281,24.3768271,92.031836,ChIJTajOgbWRUTcRsjOfS2O5zhM,https://www.google.com/maps/place/?q=place_id:ChIJTajOgbWRUTcRsjOfS2O5zhM,part_375,2026-09-20 20:19:32,3432
Netaji Vidyapith English Medium H.S. School,School,Higher secondary school,Higher secondary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"Word No 05, South Kacharghat, Chandipur, Kailashahar, Tripura 799277",799281,24.3282778,92.00653659999999,ChIJK6RwwBiQUTcRfDKiPRktTAs,https://www.google.com/maps/place/?q=place_id:ChIJK6RwwBiQUTcRfDKiPRktTAs,part_375,2026-09-20 20:19:32,3433
Indra nagar J.B School,School,Educational institution,Educational institution,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,3.0,1.0,"9XFH+QMX, Border Rd, Latiapur, Tripura 799281",799281,24.3744867,91.9792464,ChIJgceDsRKbUTcRJeoZXrllCG4,https://www.google.com/maps/place/?q=place_id:ChIJgceDsRKbUTcRJeoZXrllCG4,part_375,2026-09-20 20:19:32,3434
Borkhola High School,School,Middle school,Middle school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"924J+23X, Srinathpur, Tripura 799281",799281,24.3552552,92.0301509,ChIJd3R-KzGRUTcRiWE91uKpA4s,https://www.google.com/maps/place/?q=place_id:ChIJd3R-KzGRUTcRiWE91uKpA4s,part_375,2026-09-20 20:19:32,3435
Maguruli High School,School,High school,High school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"92H9+6M7, Irani, Tripura 799281",799281,24.3780344,92.0191696,ChIJTWxQ7vqQUTcRw-yu6a5E-cQ,https://www.google.com/maps/place/?q=place_id:ChIJTWxQ7vqQUTcRw-yu6a5E-cQ,part_375,2026-09-20 20:19:32,3436
Safrikandi SB School,School,Elementary school,Elementary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"9X3Q+592, Border Rd, Kailashahar, Tripura 799281",799281,24.3528822,91.98839699999999,ChIJY0wY4ZSRUTcRMe2lVPIYl74,https://www.google.com/maps/place/?q=place_id:ChIJY0wY4ZSRUTcRMe2lVPIYl74,part_375,2026-09-20 20:19:32,3437
Rajardigir par junior basic school,School,Primary school,Primary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"92H5+Q3Q, Khowrabil, Tripura 799281",799281,24.379475,92.00773699999999,ChIJ-aNgmRyRUTcRHqW9zwl3UBo,https://www.google.com/maps/place/?q=place_id:ChIJ-aNgmRyRUTcRHqW9zwl3UBo,part_375,2026-09-20 20:19:32,3438
Depacherra Darlong basti eng.med jb school,School,Elementary school,Elementary school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"9344+76F, Deorachhara, Tripura 799281",799281,24.355684999999998,92.0555425,ChIJHf1YLmaRUTcR8VDNCPeRfWY,https://www.google.com/maps/place/?q=place_id:ChIJHf1YLmaRUTcR8VDNCPeRfWY,part_375,2026-09-20 20:19:32,3439
Hiracherra J B School,School,General education school,General education school,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"922M+P98 Putani Bazaar Market, Srinathpur, Tripura 799281",799281,24.3523666,92.0343929,ChIJZ-wrkWmRUTcR9zQZP8evnvo,https://www.google.com/maps/place/?q=place_id:ChIJZ-wrkWmRUTcR9zQZP8evnvo,part_375,2026-09-20 20:19:32,3440
