business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Luminous Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98626 86166,N/A,5.0,,"Jail Ashram Rd, opposite to Nazrul Kalakshetra, Shiv Nagar, Indranagar, Agartala, Tripura 799001","Shiv Nagar, Indranagar",23.833302399999997,91.2912437,ChIJGfeyqmfzUzcR3DKIvmV45Rc,https://www.google.com/maps/place/?q=place_id:ChIJGfeyqmfzUzcR3DKIvmV45Rc,part_375,2026-09-20 20:19:27,2908
Beardo Flagship Salon - HIM & HER Haircuts & Grooming in Agartala,Unisex Salon,Beauty Parlour,Beauty Parlour,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70858 81669,https://saielitesalon.salonist.io/booking-online,4.8,,"Ground Floor, Pinak Rani Das, C/o, Banerjee Para, Krishna Nagar, Agartala, Tripura 799001","Banerjee Para, Krishna Nagar",23.8364628,91.27865039999999,ChIJT2zv1dz1UzcR3RJdW7SgysE,https://www.google.com/maps/place/?q=place_id:ChIJT2zv1dz1UzcR3RJdW7SgysE,part_375,2026-09-20 20:19:27,2909
Bombay Hair Dresser,Unisex Salon,Hair salon,Hair salon,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 92338 23475,N/A,5.0,,"Bishalgarh Bazar, Bishalgarh, Tripura 799102",799281,23.679181699999997,91.2815461,ChIJAZKtBuaLUzcRkzDkRc4v6H4,https://www.google.com/maps/place/?q=place_id:ChIJAZKtBuaLUzcRkzDkRc4v6H4,part_375,2026-09-20 20:19:27,2910
Maa Maya Salon,Unisex Salon,Hair salon,Hair salon,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 70059 64473,N/A,1.0,,"Bazar, Assam - Agartala Rd, Champaknagar, Tripura 799045",799281,23.8043506,91.488811,ChIJSUyQiTPrUzcReBeArg0JrDw,https://www.google.com/maps/place/?q=place_id:ChIJSUyQiTPrUzcReBeArg0JrDw,part_375,2026-09-20 20:19:28,2911
UNISEX SALON,Unisex Salon,Barber shop,Barber shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,,,"R7MG+HC4, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8338799,91.2760931,ChIJIxR0YQD1UzcRAFYMXOV8nMg,https://www.google.com/maps/place/?q=place_id:ChIJIxR0YQD1UzcRAFYMXOV8nMg,part_375,2026-09-20 20:19:28,2912
Ponytail Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 82598 88211,N/A,4.7,,"1st Floor, Ockendon, opp. Fire Brigade, Laitumkhrah, Shillong, Meghalaya 793014",Laitumkhrah,25.565395799999997,91.9008885,ChIJGVhYj3Z_UDcRagMjciM3nGs,https://www.google.com/maps/place/?q=place_id:ChIJGVhYj3Z_UDcRagMjciM3nGs,part_375,2026-09-20 20:19:28,2913
Crowne Beauty parlour,Unisex Salon,Beauty Parlour,Beauty Parlour,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 87986 38423,N/A,,,"Srirampur, Kailashahar, Tripura 799277",799281,24.3081404,91.9903756,ChIJ36fN1VyPUTcRvZsJJbf6VoY,https://www.google.com/maps/place/?q=place_id:ChIJ36fN1VyPUTcRvZsJJbf6VoY,part_375,2026-09-20 20:19:28,2914
Glam unisex salon,Unisex Salon,Hairdresser,Hairdresser,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 78300 39020,N/A,4.9,138.0,"Mata Mandir Rd, Anand Vihar, Ajabpur Kalan, Dehradun, Uttarakhand 248001","Anand Vihar, Ajabpur Kalan",30.298521599999997,78.0439506,ChIJTQiAJV4pCTkR5jhIyCpQ7YA,https://www.google.com/maps/place/?q=place_id:ChIJTQiAJV4pCTkR5jhIyCpQ7YA,part_375,2026-09-20 20:20:07,9874
Good Looks Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Architectural and engineering model maker, Make-up artist",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 91362 05669,https://www.goodlooksalon.in/,4.7,1667.0,"223, DG-II Rd, opp. Budela Market, Pocket DG 2, Vikaspuri, Delhi, 110018","Pocket DG 2, Vikaspuri",28.6369151,77.06769249999999,ChIJY_bmoOgEDTkRS1bPPkKSVoI,https://www.google.com/maps/place/?q=place_id:ChIJY_bmoOgEDTkRS1bPPkKSVoI,part_375,2026-09-20 20:20:07,9875
Master Makeover Unisex Salon and Academy,Unisex Salon,Make-up artist,Make-up artist,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 79861 89721,https://mmunisexsalon.com/,4.6,138.0,"Taneja restraunt, Tyagi Market, Prem Nagar, Dehradun, Shahpur Santore, Uttarakhand 248007","Tyagi Market, Prem Nagar",30.3359135,77.9631867,ChIJgW9NTwArCTkRuSWPZQKSqHE,https://www.google.com/maps/place/?q=place_id:ChIJgW9NTwArCTkRuSWPZQKSqHE,part_375,2026-09-20 20:20:07,9876
