business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SWASTIKA MOTORS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98629 81832,N/A,4.5,4.0,"PAITURBAZAR AIRPORT ROAD, Kailashahar, Tripura 799279",799281,24.3111009,92.0057767,ChIJh9-DvBWPUTcR6lR6IBBOLdI,https://www.google.com/maps/place/?q=place_id:ChIJh9-DvBWPUTcR6lR6IBBOLdI,part_375,2026-09-20 20:19:20
Unique Automobile - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-dharmanagar/dealer-in-Dharma-Nagar/unique-automobile-hero-motocorp-in-Dharma-Nagar-dharmanagar--6dK2X8/home,3.9,117.0,"Ground Floor, Jail Road, Office Tilla, Algapur, Dharmanagar, Baruakandi, Tripura 799250","Office Tilla, Algapur",24.3771541,92.1596929,ChIJzSXEmNDsUTcRJrU4Q6CAxZ4,https://www.google.com/maps/place/?q=place_id:ChIJzSXEmNDsUTcRJrU4Q6CAxZ4,part_375,2026-09-20 20:19:20
A.R YAMAHA MOTORS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 81198 20250,N/A,4.8,9.0,"Airport Road, near indian oil Petrol Pump, Vidyanagar, Kailashahar, Tripura 799279",Vidyanagar,24.3116491,92.0132995,ChIJV8KynkePUTcRTC66pDCQBG0,https://www.google.com/maps/place/?q=place_id:ChIJV8KynkePUTcRTC66pDCQBG0,part_375,2026-09-20 20:19:20
Khan Second Hand Bike Showroom,Two Wheeler Showroom and Dealer,DS Automobiles dealer,DS Automobiles dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",N/A,N/A,3.0,4.0,"82P8+5GF, Kailashahar, Tripura 799277",799281,24.3354251,92.0165152,ChIJWUB_JeeRUTcRwGTqWEsmdy8,https://www.google.com/maps/place/?q=place_id:ChIJWUB_JeeRUTcRwGTqWEsmdy8,part_375,2026-09-20 20:19:20
Chinmoy Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 60334 78427,N/A,4.2,76.0,"NH108, Pabiacherra, Kumarghat, Tripura 799264",Pabiacherra,24.1572449,92.0350916,ChIJuQHMCLeJUTcRAyb5mTN5z54,https://www.google.com/maps/place/?q=place_id:ChIJuQHMCLeJUTcRAyb5mTN5z54,part_375,2026-09-20 20:19:20
Sneha Motors - Yamaha Showroom,Two Wheeler Showroom and Dealer,Motor vehicle dealer,"Motor vehicle dealer, Motorcycle shop",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93661 91946,N/A,3.5,61.0,"Police Station, near Kumarghat, Mangalick, Kumarghat, Tripura 799264",Mangalick,24.149796199999997,92.0309995,ChIJWw9UlcuJUTcRpBgXlS5BWAM,https://www.google.com/maps/place/?q=place_id:ChIJWw9UlcuJUTcRpBgXlS5BWAM,part_375,2026-09-20 20:19:20
Dhanadeepa Motors - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 89740 39030,https://dealers.heromotocorp.com/locator/agartala/kashipur-road/dhanadeepa-motors-hero-motocorp-in-kashipur-road-agartala--5CWSOr/home,4.9,407.0,"Assam-Agartala Road, Road, Kashipur, Agartala, Tripura 799008",Kashipur,23.8437082,91.3247521,ChIJ00EBSwDzUzcRqXA13HzuDiw,https://www.google.com/maps/place/?q=place_id:ChIJ00EBSwDzUzcRqXA13HzuDiw,part_375,2026-09-20 20:19:20
Gita Bajaj,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 98634 15360,N/A,3.6,169.0,"95F9+MGF, Rajbari ISBT Road, opposite of Sarala Petrol Pumb, Dharmanagar, Tripura 799253",799281,24.3741928,92.168809,ChIJjYi8LSLtUTcRGMgBMCu9MDA,https://www.google.com/maps/place/?q=place_id:ChIJjYi8LSLtUTcRGMgBMCu9MDA,part_375,2026-09-20 20:19:20
Yamaha Showroom - Ketaki Motors,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93669 91106,https://www.yamaha-motor-india.com/,4.1,54.0,"2, College Rd, Dharmanagar, Tripura 799253",799281,24.380473499999997,92.1759968,ChIJswXHy_PtUTcRHqKELM9IJCk,https://www.google.com/maps/place/?q=place_id:ChIJswXHy_PtUTcRHqKELM9IJCk,part_375,2026-09-20 20:19:20
Jawa Yezdi BSA Motorcycles - Om Sai Traders,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor vehicle dealer, Motorcycle shop",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 8071 912 682,https://dealer.jawayezdimotorcycles.com/locator/agartala/Gurkhabasti/jawa-yezdi-bsa-motorcycles-om-sai-traders-in-Gurkhabasti-agartala--1hNpRB/home,4.9,152.0,"VIP Rd, opposite Nehru Park, Gorkhabasti, 79 Tilla, Agartala, Tripura 799006","Gorkhabasti, 79 Tilla",23.8546597,91.2830743,ChIJNdaPJD33UzcRY3-h2P-zanA,https://www.google.com/maps/place/?q=place_id:ChIJNdaPJD33UzcRY3-h2P-zanA,part_375,2026-09-20 20:19:20
"DC Traders, Bajaj Showroom",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Auto insurance agency, Bike wash, Helmet Shop, Motor scooter repair shop, Motor vehicle dealer, Motorcycle parts store, Two Wheeler Repair Shop, Repair service, Tire shop",799281,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Baburbazar S.O, Hiracherra B.O, Irani B.O",+91 93662 55980,http://dctraders.co.in/,4.1,140.0,"Bajaj Showroom, Old, opposite Kalpataru Grand Hotel, Kumarghat, Tripura 799264",799281,24.1557449,92.0344538,ChIJzREkxniJUTcR08TBYQU_Zxc,https://www.google.com/maps/place/?q=place_id:ChIJzREkxniJUTcR08TBYQU_Zxc,part_375,2026-09-20 20:19:20
