business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Kala Best E.N.T Specialist in UTTARAKHAND,ENT Clinic,ENT Specialist,ENT Specialist,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 73027 11767,https://drhimanshulkala.com/,3.9,245.0,"Dr Kala ENT Care, Kargi, Chowk, Banjarawala Kargi Rd, Dehradun, Uttarakhand 248121","Kanhaiya Vihar, Kargi",30.287559499999997,78.02329,ChIJXwd7xWIpCTkRxgn3iWFFq0o,https://www.google.com/maps/place/?q=place_id:ChIJXwd7xWIpCTkRxgn3iWFFq0o,part_375,2026-09-20 20:19:58
Royal Pearl Hospital,ENT Clinic,ENT Specialist,ENT Specialist,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 80 4803 6378,http://www.skullbasesurgery.net/,4.9,4348.0,"C-12, 3rd Cross Rd, Thillai Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620018","Thillai Nagar, Tennur",10.8252612,78.6837815,ChIJKWdvC6P1qjsRTvxeo3vyDnc,https://www.google.com/maps/place/?q=place_id:ChIJKWdvC6P1qjsRTvxeo3vyDnc,part_375,2026-09-20 20:19:58
DR. DIPTIMAN BALIARSINGH,ENT Clinic,ENT Specialist,ENT Specialist,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94384 36775,https://drdiptimanent.com/,4.8,802.0,"DR. DIPTIMAN BALIARSINGH - ENT CLINIC, JCEM DIAGNOSTICS Tarini Lane, Near Secondary Board High School, Bajrakabati Rd, Kataka, Odisha 753001","Samanta Sahi, Mangalabag",20.467131,85.88543469999999,ChIJs3lxX4ENGToRgvT-04jx33c,https://www.google.com/maps/place/?q=place_id:ChIJs3lxX4ENGToRgvT-04jx33c,part_375,2026-09-20 20:19:58
NEENTI. ENT CLINIC. DR ANJAN,ENT Clinic,ENT Specialist,"ENT Specialist, Walk-in clinic",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94354 04988,http://entguwahati.com/,4.6,175.0,"House No. 1, Nayanpur Rd, GMC Ward Number 44, chariali, Dispur, Ganeshguri, Guwahati, Assam 781006","GMC Ward Number 44, chariali, Dispur, Ganeshguri",26.1501673,91.78538089999999,ChIJVw0WXhhZWjcRyLMto09hDFg,https://www.google.com/maps/place/?q=place_id:ChIJVw0WXhhZWjcRyLMto09hDFg,part_375,2026-09-20 20:19:58
Jaipur ENT Hospital,ENT Clinic,Hospital,"Hospital, Medical Center",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 141 669 3780,https://www.jaipurenthospital.com/,4.9,1073.0,"264/7, near popins School, Sector 26, Pratap Nagar, Jaipur, Rajasthan 302017","Sector 26, Pratap Nagar",26.8061167,75.847634,ChIJC9ZeIQ_JbTkR23ifevS39JA,https://www.google.com/maps/place/?q=place_id:ChIJC9ZeIQ_JbTkR23ifevS39JA,part_375,2026-09-20 20:19:58
Dr. BHATT ENT CLINIC,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor, Medical clinic",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 74268 05934,https://drbhattentclinic.com/,4.9,53.0,"Venkateshwara Tower, F 101-102, FIRST FLOOR, near CINESTAR MULTIPLEX, Vidyadhar Nagar, Jaipur, Rajasthan 302012","Sector 2, Central Spine, Vidyadhar Nagar",26.964704899999997,75.78206949999999,ChIJgan37OmzbTkRW_nz9wCcVLk,https://www.google.com/maps/place/?q=place_id:ChIJgan37OmzbTkRW_nz9wCcVLk,part_375,2026-09-20 20:19:58
JAIN ENT HOSPITAL,ENT Clinic,Hospital,Hospital,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 141 404 2541,http://jainenthospital.org/,4.6,5017.0,"23-24, nr. Vidhan Sabha, Pankaj Singhvi Marg, Satya Vihar, Indra Puri, Vidhayak Nagar, Lalkothi, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302015","Satya Vihar, Indra Puri, Vidhayak Nagar, Lalkothi",26.891525899999998,75.8002997,ChIJpfkJWSG0bTkRr3rSBA-mz4Y,https://www.google.com/maps/place/?q=place_id:ChIJpfkJWSG0bTkRr3rSBA-mz4Y,part_375,2026-09-20 20:19:58
Niramaya ENT Hospital,ENT Clinic,Hospital,Hospital,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99387 22333,N/A,4.7,363.0,"1st Ln, Bhava Nagar 1, Bhaba Nagar, Brahmapur, Odisha 760004","Bhava Nagar 1, Bhaba Nagar",19.3109909,84.80569899999999,ChIJiTIgsHBQPToRD9jNiG91U6I,https://www.google.com/maps/place/?q=place_id:ChIJiTIgsHBQPToRD9jNiG91U6I,part_375,2026-09-20 20:19:58
Dr. H. Mohan | Best ENT Surgeon in Guwahati | Best ENT Specialist in Guwahati,ENT Clinic,ENT Specialist,"ENT Specialist, Doctor",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94351 68265,https://drhemantamohan.in/,5.0,5.0,"Polyclinic and Hospitals Pvt. Ltd, Hengrabari Rd, GMC Ward Number 44, Dispur, Ganeshguri, Guwahati, Assam 781006","GMC Ward Number 44, Dispur, Ganeshguri",26.149528,91.7872431,ChIJnSf2wCVZWjcRswyYhOMn_Wk,https://www.google.com/maps/place/?q=place_id:ChIJnSf2wCVZWjcRswyYhOMn_Wk,part_375,2026-09-20 20:19:58
dr yogesh aaseri (ent doctor),ENT Clinic,Medical clinic,Medical clinic,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94686 02056,N/A,4.8,34.0,"FJFR+9QH, Sobhag Club, Civil Lines, Ajmer, Rajasthan 305001","Sobhag Club, Civil Lines",26.473423,74.64202379999999,ChIJv9q3cADnazkR7dpF5Se_OWQ,https://www.google.com/maps/place/?q=place_id:ChIJv9q3cADnazkR7dpF5Se_OWQ,part_375,2026-09-20 20:19:58
