business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanjib Dey Grocery Store,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98621 97681,N/A,5.0,,"Kk Rd, Sonamukhi, Jalai, Tripura 799280",799282,24.2733782,92.0303052,ChIJ6SfmUDmPUTcRnFNBZnU08ps,https://www.google.com/maps/place/?q=place_id:ChIJ6SfmUDmPUTcRnFNBZnU08ps,part_375,2026-09-20 20:19:45
Lakhi Begam,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 84130 49879,N/A,5.0,,"Laxmi Narayan Bari Road, Near, Dharmanagar - Kailashahar Rd, Chirakuti, Tripura 799279",799282,24.307868499999998,92.01990289999999,ChIJQ-pVXNqPUTcRUQa7TxlL0n0,https://www.google.com/maps/place/?q=place_id:ChIJQ-pVXNqPUTcRUQa7TxlL0n0,part_375,2026-09-20 20:19:45
Grocery,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 94369 06984,N/A,,,"03Madhu Dukan Kailashohar, Road, Deorachhara, Tripura 799279",Road,24.3076296,92.01890639999999,ChIJjffIWrOPUTcRsyEslYocEXg,https://www.google.com/maps/place/?q=place_id:ChIJjffIWrOPUTcRsyEslYocEXg,part_375,2026-09-20 20:19:45
Liton Sinha,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 98626 03235,N/A,5.0,,"Dharmanagar - Kailashahar Rd, Kailashahar, Chirakuti, Tripura 799279",799282,24.3083702,92.01904619999999,ChIJA86d-tqPUTcRHMjbMTat8Zw,https://www.google.com/maps/place/?q=place_id:ChIJA86d-tqPUTcRHMjbMTat8Zw,part_375,2026-09-20 20:19:45
ishani store,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 89741 76954,N/A,,,"Bhagaban Nagar, Tripura 799282",799282,24.3039639,92.03507239999999,ChIJrd2Z80yPUTcRXgH7ikhgYLs,https://www.google.com/maps/place/?q=place_id:ChIJrd2Z80yPUTcRXgH7ikhgYLs,part_375,2026-09-20 20:19:45
SRIKANTA CHANDA,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 89747 87347,N/A,5.0,,"SRIKANTA STORE, Kk Road, Kamarangabari, Tripura 799282",799282,24.2931341,92.0288178,ChIJ13tJFQ-PUTcRQpZMV2hNGAY,https://www.google.com/maps/place/?q=place_id:ChIJ13tJFQ-PUTcRQpZMV2hNGAY,part_375,2026-09-20 20:19:45
S.SEN ENTERPRISE,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 69094 70279,N/A,5.0,,"Ramkamal Kailashahar Unakoti TRIPURA KAILASHAHAR UNAKOTI TRIPURA 799277, Tripura 799279",799282,24.295681599999998,92.0166799,ChIJycvGryuPUTcRcbCK8N7pFk8,https://www.google.com/maps/place/?q=place_id:ChIJycvGryuPUTcRcbCK8N7pFk8,part_375,2026-09-20 20:19:45
JESMIN ENTERPRISE,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 81189 29453,N/A,5.0,,"JESMIN ENTERPRISE, DK ROAD, Tripura 799282",799282,24.3045819,92.0330484,ChIJ9RQJ8vePUTcRZic84KztF8w,https://www.google.com/maps/place/?q=place_id:ChIJ9RQJ8vePUTcRZic84KztF8w,part_375,2026-09-20 20:19:45
M/S Sandipan Store,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 69097 66253,N/A,2.0,,"09, Kamarangabari, Kailashahar, Tripura 799282",799282,24.2936248,92.02523359999999,ChIJQWKy7sSPUTcRkZ-B4j-F8qM,https://www.google.com/maps/place/?q=place_id:ChIJQWKy7sSPUTcRkZ-B4j-F8qM,part_375,2026-09-20 20:19:45
BHOLANATH VRITISE,Kirana Store,Grocery store,"Grocery store, Store",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 87980 84997,N/A,5.0,,"Bholanath Vritise Police Line, Kamarangabari, Tripura 799280",799282,24.2867805,92.0211863,ChIJr3KDPwCPUTcRaUSxjJ4Lyms,https://www.google.com/maps/place/?q=place_id:ChIJr3KDPwCPUTcRaUSxjJ4Lyms,part_375,2026-09-20 20:19:45
Biswajit Singha,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 69098 87616,N/A,4.0,,"Kailashahar, Tripura 799279",799282,24.311764,92.01392249999999,ChIJOx3sVW6PUTcRS5dc8Gqo1cM,https://www.google.com/maps/place/?q=place_id:ChIJOx3sVW6PUTcRS5dc8Gqo1cM,part_375,2026-09-20 20:19:45
M/S TASID ALI,Kirana Store,General store,"General store, Store",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 96122 88978,N/A,4.3,,"RD Block, Gournagar, Kamarangabari, Tripura 799282",799282,24.293766599999998,92.0259128,ChIJ82YRNdWPUTcRbA76XNeY-Bg,https://www.google.com/maps/place/?q=place_id:ChIJ82YRNdWPUTcRbA76XNeY-Bg,part_375,2026-09-20 20:19:45
CHANDAN KUMAR,Kirana Store,General store,General store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 60099 64608,N/A,5.0,,"Kailashahar, Tripura 799279",799282,24.312766999999997,92.0147629,ChIJ1aycZOCPUTcR01p929spjYw,https://www.google.com/maps/place/?q=place_id:ChIJ1aycZOCPUTcR01p929spjYw,part_375,2026-09-20 20:19:45
SHRIJI DAILY NEEDS,Kirana Store,Grocery store,Grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 72173 26121,N/A,5.0,40.0,"baikunth Burja, Gopal Garh - Tehra Link Rd, near Basera, Vrindavan, Uttar Pradesh 281121",799282,27.561502599999997,77.6680547,ChIJX-tW6eNvczkR6KSObRij-7A,https://www.google.com/maps/place/?q=place_id:ChIJX-tW6eNvczkR6KSObRij-7A,part_375,2026-09-20 20:19:46
Radha Raman Kirana store,Kirana Store,Wholesale grocer,"Wholesale grocer, Grocery delivery service, Indian grocery store, Rice wholesaler, Supermarket, Wholesaler",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 63985 61016,N/A,4.9,69.0,"Gopinath Bazar, near sheetla devi temple, Keshi Ghat, Vrindavan, Uttar Pradesh 281121",Keshi Ghat,27.585257799999997,77.7001097,ChIJl5SpIBtvczkRE4j45Pt1yCU,https://www.google.com/maps/place/?q=place_id:ChIJl5SpIBtvczkRE4j45Pt1yCU,part_375,2026-09-20 20:19:46
The Best Kirana and General Stores,Kirana Store,General store,"General store, Grocery store",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 40 3583 4728,N/A,4.3,141.0,"11-5-152, 7 & 8, Adams Umbrella Towers, Red Hills, Lakdikapul, Hyderabad, Telangana 500004","Devi Bagh, Red Hills, Lakdikapul",17.395958099999998,78.46375689999999,ChIJBVNQYG-XyzsRqWu7R0PdLSQ,https://www.google.com/maps/place/?q=place_id:ChIJBVNQYG-XyzsRqWu7R0PdLSQ,part_375,2026-09-20 20:19:46
Devfresco Supermarket India,Kirana Store,Indian grocery store,Indian grocery store,799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",N/A,N/A,4.3,23.0,"231, Chaitanya Vihar Phase 1, near by Burja, Vrindavan, Uttar Pradesh 281121","Chaitanya Vihar Phase 1, Chaitanya Vihar",27.567883499999997,77.6735358,ChIJkeqHXUtvczkR4E_0rxO4-PA,https://www.google.com/maps/place/?q=place_id:ChIJkeqHXUtvczkR4E_0rxO4-PA,part_375,2026-09-20 20:19:46
Sunil Kirana Stores,Kirana Store,General store,"General store, Grocery store",799282,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Bhagabannagar B.O, Chinibagan B.O",+91 99700 47757,N/A,4.3,151.0,"Sita Sankul Complex, Near Friends Colony, Akar Nagar, Kolbaswami Colony, Nagpur, Maharashtra 440013","Akar Nagar, Kolbaswami Colony",21.1721255,79.0376265,ChIJkZJ_QsnB1DsRaEumO3gNQ-M,https://www.google.com/maps/place/?q=place_id:ChIJkZJ_QsnB1DsRaEumO3gNQ-M,part_375,2026-09-20 20:19:46
