business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Loknath Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",N/A,N/A,4.5,2.0,"HRWF+5PC, Unnamed Road, Sarma, Tripura 799284",799284,23.5954274,91.82426219999999,ChIJswA7rM-yUzcRy33IM8Rhmss,https://www.google.com/maps/place/?q=place_id:ChIJswA7rM-yUzcRy33IM8Rhmss,part_375,2026-09-20 20:20:36
M/s Chowdhury Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",N/A,N/A,5.0,1.0,"JR49+49M, near Sub-Divisional Hosp, Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.6053486,91.81841279999999,ChIJ924LwmWzUzcR3IxmoSDqHyw,https://www.google.com/maps/place/?q=place_id:ChIJ924LwmWzUzcR3IxmoSDqHyw,part_375,2026-09-20 20:20:36
Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",N/A,N/A,,,"HRWF+98X, Sarma, Tripura 799284",799284,23.5959859,91.8233803,ChIJ0ZCm_E2zUzcRfsizBz6G5NI,https://www.google.com/maps/place/?q=place_id:ChIJ0ZCm_E2zUzcRfsizBz6G5NI,part_375,2026-09-20 20:20:36
HANSHIKA MEDICAL HALL,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 96126 77666,N/A,5.0,1.0,"Prasenjit Das Medical Hall, Hospital Chowmony, near Hospital, Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.6053534,91.8185323,ChIJ2Sn058yzUzcRz_QS0HHxoK0,https://www.google.com/maps/place/?q=place_id:ChIJ2Sn058yzUzcRz_QS0HHxoK0,part_375,2026-09-20 20:20:36
SATYANARAYAN MEDICAL HALL,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 94365 10784,N/A,5.0,1.0,"Rajib Kr Debnath Medical Hall, Raishyabari Road, near Motors Stand, Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.6018719,91.8210958,ChIJu6uuRt2zUzcRRj5E8OUeny4,https://www.google.com/maps/place/?q=place_id:ChIJu6uuRt2zUzcRRj5E8OUeny4,part_375,2026-09-20 20:20:36
RAJ MEDICAL HALL,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 89742 66355,N/A,1.0,1.0,"near Hospital, Gonda Twisa, Haripur, Sarma, Tripura 799284","Gonda Twisa, Haripur",23.606136799999998,91.8172908,ChIJy5LfAXGzUzcRJC3y5vGgvjE,https://www.google.com/maps/place/?q=place_id:ChIJy5LfAXGzUzcRJC3y5vGgvjE,part_375,2026-09-20 20:20:36
Gurucharan medical hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",N/A,N/A,5.0,1.0,"JR49+67J, Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.6055967,91.8181542,ChIJN3q9xTGzUzcRSmV5rdtDEtQ,https://www.google.com/maps/place/?q=place_id:ChIJN3q9xTGzUzcRSmV5rdtDEtQ,part_375,2026-09-20 20:20:36
Joy Ram Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",N/A,N/A,,,"MR24+8JH, Ultachhara, Tripura 799284",799284,23.6515395,91.8061918,ChIJIbqqEQCzUzcRlsxa85N3OgY,https://www.google.com/maps/place/?q=place_id:ChIJIbqqEQCzUzcRlsxa85N3OgY,part_375,2026-09-20 20:20:36
New Sanjiban Medical Hall,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Drug store",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 94364 96477,N/A,4.3,6.0,"police station, Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.604897899999997,91.8198718,ChIJjQa3ntmyUzcRZf8hj7xv1Qo,https://www.google.com/maps/place/?q=place_id:ChIJjQa3ntmyUzcRZf8hj7xv1Qo,part_375,2026-09-20 20:20:36
Shyam Sundar Medical Hall,Medical Store / Pharmacy,Pharmacy,Pharmacy,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 94369 29315,N/A,,,"Gonda Twisa, Sarma, Tripura 799284",Gonda Twisa,23.6036753,91.82036269999999,ChIJWZHgVGuzUzcRAo_QgvqimGI,https://www.google.com/maps/place/?q=place_id:ChIJWZHgVGuzUzcRAo_QgvqimGI,part_375,2026-09-20 20:20:36
