business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M/S Ghosh Petroleum Agency,Motor Rewinding and Pump Repair,Petrol Pump,Petrol Pump,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 98629 28199,N/A,4.9,19.0,"NH208, Manik Bhandar, Tripura 799287",799284,24.1418133,91.8140329,ChIJPXbVptR_UTcRHEHnI02f-7w,https://www.google.com/maps/place/?q=place_id:ChIJPXbVptR_UTcRHEHnI02f-7w,part_375,2026-09-20 20:21:00
IndianOil,Motor Rewinding and Pump Repair,Petrol Pump,"Petrol Pump, Compressed natural gas station, Diesel fuel supplier, Fuel supplier",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 98629 28199,https://locator.iocl.com/indianoil-ghosh-petroleum-agency-petrol-pump-manikbhandar-dhalai-564213/Home?utm_source=locator&utm_medium=googleplaces,4.8,6.0,"Ground Floor, NH 208, Manik Bhandar, Tripura 799285",799284,24.141557,91.814224,ChIJswsPDQB_UTcROiYRKBWfgLY,https://www.google.com/maps/place/?q=place_id:ChIJswsPDQB_UTcROiYRKBWfgLY,part_375,2026-09-20 20:21:00
IndianOil,Motor Rewinding and Pump Repair,Petrol Pump,"Petrol Pump, Compressed natural gas station, Diesel fuel supplier, Fuel supplier",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 94363 71738,https://locator.iocl.com/indianoil-saima-petroleum-station-petrol-pump-paschim-gandachara-dhalai-564273/Home?utm_source=locator&utm_medium=googleplaces,4.8,4.0,"Ground Floor, Gonda Twisa, Paschim, Sarma, Tripura 799284","Gonda Twisa, Paschim",23.609993,91.81849299999999,ChIJxQx4mcCzUzcRvNdONVVIi5Y,https://www.google.com/maps/place/?q=place_id:ChIJxQx4mcCzUzcRvNdONVVIi5Y,part_375,2026-09-20 20:21:00
IndianOil,Motor Rewinding and Pump Repair,Petrol Pump,"Petrol Pump, Compressed natural gas station, Diesel fuel supplier, Fuel supplier",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 93661 25397,https://locator.iocl.com/indianoil-ssk-petroleum-petrol-pump-bagaicherri-dhalai-239293/Home?utm_source=locator&utm_medium=googleplaces,3.4,47.0,"Ground Floor, Kamalpur, Bagaicherri, Tripura 799285",799284,24.1795001,91.8214,ChIJN6NR0xN_UTcRuWjQ6Wnd9jE,https://www.google.com/maps/place/?q=place_id:ChIJN6NR0xN_UTcRuWjQ6Wnd9jE,part_375,2026-09-20 20:21:00
Shri Venkatesh Diesels,Motor Rewinding and Pump Repair,Water Pump Supplier,"Water Pump Supplier, Battery Wholesaler, Diesel engine repair service, Wholesaler",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 95758 23311,N/A,4.8,6.0,"MP SH 31, Samta Nagar, Ratlam, Madhya Pradesh 457001",Samta Nagar,23.329767,75.0540259,ChIJ2Q3Ht67-YzkR-l4B1psodhE,https://www.google.com/maps/place/?q=place_id:ChIJ2Q3Ht67-YzkR-l4B1psodhE,part_375,2026-09-20 20:21:00
IndianOil,Motor Rewinding and Pump Repair,Petrol Pump,"Petrol Pump, Compressed natural gas station, Diesel fuel supplier, Electric vehicle charging station, Fuel supplier",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 94361 67558,https://locator.iocl.com/indianoil-kiron-petroleum-agency-manu-petrol-pump-damcherra-colony-dhalai-237993/Home?utm_source=locator&utm_medium=googleplaces,4.1,180.0,"2X3R+97J, Ground Floor, NH 44 West Tripura, Manu,Damcherra, Colony, Manu, Tripura 799275",799284,24.002523,91.99198899999999,ChIJ_TIw3IglUjcRClWjypYVIZM,https://www.google.com/maps/place/?q=place_id:ChIJ_TIw3IglUjcRClWjypYVIZM,part_375,2026-09-20 20:21:00
ইয়াসিন ইলেকট্রিক এন্ড সার্ভিসিং সেন্টার,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",01968-401371,https://www.facebook.com/profile.php?id=100017446696355&mibextid=kFxxJD,5.0,1.0,"9J2V+GHQ চরকাওনা মুনিয়ারিকান্দা বাজার, Bangladesh",799284,24.3513314,90.64399829999999,ChIJX64CbQCJVjcRW87Uui5mtNg,https://www.google.com/maps/place/?q=place_id:ChIJX64CbQCJVjcRW87Uui5mtNg,part_375,2026-09-20 20:21:01
New Rewinder Engineers,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 93658 92082,N/A,4.7,3.0,"Silchar-9, near True Value, Rongpur Part III, Rongpur part-4, Rongpur Part 4, Rongpur, Silchar, Assam 788009","Rongpur Part III, Rongpur part-4, Rongpur Part 4, Rongpur",24.834144,92.821697,ChIJjTTnbRdLTjcRCTsbfieI4mE,https://www.google.com/maps/place/?q=place_id:ChIJjTTnbRdLTjcRCTsbfieI4mE,part_375,2026-09-20 20:21:01
Rahaman Mechanical Wrok Shop,Motor Rewinding and Pump Repair,Electronics repair shop,Electronics repair shop,799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 93665 00726,N/A,5.0,1.0,"Dharmanagar, Tripura 799251",799284,24.3837726,92.1892438,ChIJySkaSKvtUTcRv7l-HeWjuQY,https://www.google.com/maps/place/?q=place_id:ChIJySkaSKvtUTcRv7l-HeWjuQY,part_375,2026-09-20 20:21:01
MD Repairing Stop,Motor Rewinding and Pump Repair,Electronics repair shop,"Electronics repair shop, Appliance repair service, Electric motor repair shop, Electrical repair shop",799284,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Sarma S.O, Bhagirathpara B.O, Bullongbassa B.O",+91 70022 72900,N/A,5.0,11.0,"Rangamati Rd, Saruthekerabari, Mangaldoi, Assam 784529",799284,26.3968098,91.97470729999999,ChIJOVyzUEX9WjcRxHWuw4ba04c,https://www.google.com/maps/place/?q=place_id:ChIJOVyzUEX9WjcRxHWuw4ba04c,part_375,2026-09-20 20:21:01
