business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KOUSHIKI COMPUTER ACADEMY(KCA),Computer Training Institute,Training center,Training center,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",+91 97743 82442,N/A,5.0,,"WARD NO 7, DEB PARA, EAST, Noagaon, Kamalpur, Tripura 799285",EAST,24.190300099999998,91.8229593,ChIJwTMghl5_UTcRhcNoejXMraQ,https://www.google.com/maps/place/?q=place_id:ChIJwTMghl5_UTcRhcNoejXMraQ,part_375,2026-09-20 20:21:32
Arup CSC Centre & Institute of Computer Technology,Computer Training Institute,Coaching Center,"Coaching Center, Aadhaar center, Business banking service",799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",+91 70857 42032,N/A,5.0,,"Marachara, Kamalpur, Tripura 799285",799285,24.1684447,91.85141709999999,ChIJg7y1GY6BUTcRY5CTNydGY90,https://www.google.com/maps/place/?q=place_id:ChIJg7y1GY6BUTcRY5CTNydGY90,part_375,2026-09-20 20:21:32
ICT Computer Academy,Computer Training Institute,Educational institution,Educational institution,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,http://www.ictacademies.com/,5.0,,"Manikbhander, Kamalpur, Manik Bhandar, Tripura 799287",Manikbhander,24.1526076,91.8096827,ChIJGez2pX9_UTcR7KwAteubPo0,https://www.google.com/maps/place/?q=place_id:ChIJGez2pX9_UTcR7KwAteubPo0,part_375,2026-09-20 20:21:32
RABTECH SKILL INSTITUTE,Computer Training Institute,Education center,Education center,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,N/A,5.0,,"Goalmara Rd, Kamalpur, Goalmara, Tripura 799285",799285,24.211456899999998,91.84585249999999,ChIJCVxhVDOBUTcRU13pRmpPgVM,https://www.google.com/maps/place/?q=place_id:ChIJCVxhVDOBUTcRU13pRmpPgVM,part_375,2026-09-20 20:21:32
INSTITUTE OF COMPUTER & TECHNOLOGY,Computer Training Institute,Institute of technology,Institute of technology,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,N/A,,,"opposite side of PNB ATM, Halhuli, Tripura 799286",799285,24.1042305,91.8242322,ChIJg1KArNrVUzcRZ6hZvXaRUyw,https://www.google.com/maps/place/?q=place_id:ChIJg1KArNrVUzcRZ6hZvXaRUyw,part_375,2026-09-20 20:21:32
I C T COMPUTER 🖥️ CENTER,Computer Training Institute,Education center,Education center,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,N/A,5.0,,"6XWM+3VW, Fultali, Tripura 799280",799285,24.244542199999998,91.9852281,ChIJXc83KwCFUTcRO3fpfOmzCUk,https://www.google.com/maps/place/?q=place_id:ChIJXc83KwCFUTcRO3fpfOmzCUk,part_375,2026-09-20 20:21:32
BABA LOKENATH COMPUTER INSTITUTE,Computer Training Institute,College,College,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",+91 94369 28663,N/A,,,"Baba Loknath Computer Institute Office Road, 77, Tripura 799285",Manikbhander,24.1963717,91.83246319999999,ChIJnVKb2ymBUTcRXUb9VZqMqiM,https://www.google.com/maps/place/?q=place_id:ChIJnVKb2ymBUTcRXUb9VZqMqiM,part_375,2026-09-20 20:21:32
"ITI,KAMALPUR",Computer Training Institute,Training center,Training center,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,N/A,4.3,,"4RQW+3RJ, Chulubari, Bamanchhara, Tripura 799287",799285,24.1377015,91.84702159999999,ChIJLdINXBWBUTcR6Mai9_x-oFY,https://www.google.com/maps/place/?q=place_id:ChIJLdINXBWBUTcR6Mai9_x-oFY,part_375,2026-09-20 20:21:33
The Computer Point Khowai,Computer Training Institute,Computer training school,Computer training school,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",+91 94361 29960,http://www.tcpoint.org/,4.6,,"near KMC OFFICE BANKAR, Khowai, Tripura 799201",799285,24.0767547,91.5987533,ChIJf2H2zdLeUzcRo-eXOX94uSI,https://www.google.com/maps/place/?q=place_id:ChIJf2H2zdLeUzcRo-eXOX94uSI,part_375,2026-09-20 20:21:34
The Computer Point,Computer Training Institute,Computer training school,Computer training school,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",+91 94361 29960,http://www.tcpoint.org/,3.5,,"Pragati Rd, Krishna Nagar, Agartala, Tripura 799001",Krishna Nagar,23.8425278,91.2727068,ChIJ094zyhn0UzcRL29ms4A_-Aw,https://www.google.com/maps/place/?q=place_id:ChIJ094zyhn0UzcRL29ms4A_-Aw,part_375,2026-09-20 20:21:34
M.R.S COMPUTER EDUCATION CENTER,Computer Training Institute,Education center,Education center,799285,North Eastern Circle,Shillong HQ Region,Dharmanagar Division,"Kamalpur S.O (Dhalai), Bagaicherri B.O, Baligaon B.O",N/A,N/A,3.3,,"7H9G+M8P, Shillong Road, Agartala, Baikhora, Paschim Charakbai, Tripura 799144",Agartala,23.2692221,91.5758354,ChIJ28mIRHIMUzcRNYd1-CDHlno,https://www.google.com/maps/place/?q=place_id:ChIJ28mIRHIMUzcRNYd1-CDHlno,part_375,2026-09-20 20:21:34
