business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Cng Kit Patna (NextGen Fuel Solution),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 72097 72101,N/A,4.8,153.0,"Rajapur Pul, Near Jal Board, Opp. Alankar Maruti Showroom Devata Path, West Boring Canal Rd, Patna, Bihar 800001",Buddha Colony,25.623687,85.1245567,ChIJLT3aSd9Z7TkRTTpSORhdAAg,https://www.google.com/maps/place/?q=place_id:ChIJLT3aSd9Z7TkRTTpSORhdAAg,part_375,2026-09-20 20:25:32
CNG KIT PATNA (NEXTGEN FUEL SYSTEM),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",N/A,N/A,4.8,22.0,"Kangkar Bagh Road, PC Colony, RBI Flats Colony, Bankman Colony, Patna, Bihar 800020","PC Colony, RBI Flats Colony, Bankman Colony",25.602741899999998,85.1534051,ChIJ16--0n9Z7TkRPGQ8MeLlZGU,https://www.google.com/maps/place/?q=place_id:ChIJ16--0n9Z7TkRPGQ8MeLlZGU,part_375,2026-09-20 20:25:32
Best CNG Fitment Centre Patna - Sahasra Traders,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 62004 58464,https://sahasratradersbihar.com/,4.9,234.0,"Campus of Aureola Motors Old Rupashpur Thana More, Priyadarshi Nagar, Patna, Bihar 801503","Priyadarshi Nagar, Kaliket Nagar",25.6109594,85.05573009999999,ChIJQz8lwWxZ7TkRa6l8LqlrQfE,https://www.google.com/maps/place/?q=place_id:ChIJQz8lwWxZ7TkRa6l8LqlrQfE,part_375,2026-09-20 20:25:32
PARAS MOTOR,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 80028 54000,N/A,4.9,827.0,"Kangkar Bagh Road, Kankarbagh, Bankman Colony, Patna, Bihar 800020","Kankarbagh, Bankman Colony",25.6028985,85.1540912,ChIJxx7v1PNZ7TkRZAEEXxTCgC0,https://www.google.com/maps/place/?q=place_id:ChIJxx7v1PNZ7TkRZAEEXxTCgC0,part_375,2026-09-20 20:25:32
Rising Star CNG cylinder Hydrotesting centre patna,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 94728 70817,https://www.risingstarcng.com/,4.3,79.0,"Parsa Bazar - Sampatchak Main Rd, Punpun, Parsa, Fazlabad, Bihar 804453",Punpun,25.5403965,85.1402456,ChIJDZs2LACn8jkRT23XJbmildY,https://www.google.com/maps/place/?q=place_id:ChIJDZs2LACn8jkRT23XJbmildY,part_375,2026-09-20 20:25:32
CNG KIT CENTER,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 72097 72101,N/A,4.0,2.0,"H3V4+HQG Chulai chak, Mustafapur, Patna, Bihar 801503",Mustafapur,25.5939394,85.056967,ChIJdw1pFNhX7TkRz-lH8NNCIRo,https://www.google.com/maps/place/?q=place_id:ChIJdw1pFNhX7TkRz-lH8NNCIRo,part_375,2026-09-20 20:25:32
ECO CNG FITMENT CENTER (SAHARSH TRADERS),CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",N/A,N/A,4.8,29.0,"A- 226, Tiwari bechar road, P C Colony Rd, Patna, Bihar 800020","P.O.Lohianagar, RBI Flats Colony, Bankman Colony",25.6013475,85.1538693,ChIJ8ShPuNSp8jkR6Z1YrUzKQbs,https://www.google.com/maps/place/?q=place_id:ChIJ8ShPuNSp8jkR6Z1YrUzKQbs,part_375,2026-09-20 20:25:32
Neelima Enterprises,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",N/A,N/A,3.3,7.0,"Rd Number 12, TEUS KOTHI, Rajendra Nagar, Patna, Bihar 800016","TEUS KOTHI, Rajendra Nagar",25.605353599999997,85.1607689,ChIJx3PFTz9Z7TkRzsGI3IHq3CQ,https://www.google.com/maps/place/?q=place_id:ChIJx3PFTz9Z7TkRzsGI3IHq3CQ,part_375,2026-09-20 20:25:32
CNG BIHAR FITMENT CENTER,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",N/A,N/A,5.0,3.0,"Boring Canal Rd, near Medicana Hartali More, Kidwaipuri, Patna, Bihar 800001",Kidwaipuri,25.609348299999997,85.11738369999999,ChIJWQ7Xq5lZ7TkROBM38MxMd_0,https://www.google.com/maps/place/?q=place_id:ChIJWQ7Xq5lZ7TkROBM38MxMd_0,part_375,2026-09-20 20:25:32
Shivam CNG Kit Fitting Center,CNG Kit Fitment Center,CNG Fitment Center,CNG Fitment Center,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",N/A,N/A,,,"H4MF+QH2 Shivam CNG, Bypass Rd, opposite Bharat Petrol Pump, Dasratha, Anisabad, Patna, Bihar 800001","Dasratha, Anisabad",25.5843983,85.12387729999999,ChIJFQgLTgpY7TkR_OtEHdF4Igw,https://www.google.com/maps/place/?q=place_id:ChIJFQgLTgpY7TkR_OtEHdF4Igw,part_375,2026-09-20 20:25:32
