business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dhaba Estd 1986 Delhi, Patna",Dhaba and Highway Restaurant,Restaurant,Restaurant,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 97980 08741,N/A,4.4,,"Urmila Arun arcade, opposite Red velvet hotel, near Income Tax Chauraha, golambar, Kidwaipuri, Patna, Bihar 800001","golambar, Kidwaipuri",25.6120277,85.1301244,ChIJjfcdrP5Z7TkRwRwpGRegcFg,https://www.google.com/maps/place/?q=place_id:ChIJjfcdrP5Z7TkRwRwpGRegcFg,part_375,2026-09-20 20:25:18
Surbhi Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 79799 59051,N/A,4.0,,"SP Verma Rd, Old Jakkanpur, Lodipur, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.611086399999998,85.1400614,ChIJ4SIIcppZ7TkRS5cy7eTYQ-Q,https://www.google.com/maps/place/?q=place_id:ChIJ4SIIcppZ7TkRS5cy7eTYQ-Q,part_375,2026-09-20 20:25:18
Partap Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 93044 11396,N/A,3.9,,"J45R+P5G, New Dak Bunglow Rd, Lodipur, Patna, Bihar 800001",Lodipur,25.6093095,85.1404647,ChIJ6fyZV1tZ7TkRSyD1jykD0Jo,https://www.google.com/maps/place/?q=place_id:ChIJ6fyZV1tZ7TkRSyD1jykD0Jo,part_375,2026-09-20 20:25:18
Khadak Singh Da Dhaba,Dhaba and Highway Restaurant,North Indian restaurant,North Indian restaurant,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 87091 23902,https://luxury-dhaba--subhamsingh8847.replit.app/,4.5,,"Khadak Singh da dhaba, Ashiana - Digha Rd, Ramnagri, Mod, Patna, Bihar 800025","Ramnagri, Mod",25.614438,85.08226429999999,ChIJkasV7VlX7TkRKszVHO2Jv1w,https://www.google.com/maps/place/?q=place_id:ChIJkasV7VlX7TkRKszVHO2Jv1w,part_375,2026-09-20 20:25:18
Moti Dhaba,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Vegetarian restaurant",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 90973 36336,N/A,3.6,,"National Highway 30 Bypass, near Payal Restaurant, Begampur, Patna, Bihar 800009",Begampur,25.5793166,85.223764,ChIJaYEkh4Og8jkRcDdPpOnfrcc,https://www.google.com/maps/place/?q=place_id:ChIJaYEkh4Og8jkRcDdPpOnfrcc,part_375,2026-09-20 20:25:18
Govinda Dhaba,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Family restaurant",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 79033 33540,N/A,3.4,,"Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6087386,85.1378972,ChIJLeNBKV1Y7TkRuUu7A3Dxh9Q,https://www.google.com/maps/place/?q=place_id:ChIJLeNBKV1Y7TkRuUu7A3Dxh9Q,part_375,2026-09-20 20:25:18
Pappu dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 82106 75005,N/A,3.7,,"Mahatma Gandhi Setu, path,below Sri ram finance, Chhoti Pahari, Patna, Bihar 800030","path,below Sri ram finance, Chhoti Pahari",25.590003499999998,85.1904675,ChIJLb7PjDdf7TkRVEXiPaIrFr8,https://www.google.com/maps/place/?q=place_id:ChIJLb7PjDdf7TkRVEXiPaIrFr8,part_375,2026-09-20 20:25:18
Highway Junction Saguna More Danapur,Dhaba and Highway Restaurant,North Indian restaurant,"North Indian restaurant, Restaurant",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 88603 63413,N/A,4.0,,"2nd Floor, Anand Palace, above HDFC Bank, near Radiant School, Mustafapur, Patna, Bihar 801105",Mustafapur,25.601869699999998,85.0422897,ChIJ_74eH_VV7TkRDbGdxBgIxXA,https://www.google.com/maps/place/?q=place_id:ChIJ_74eH_VV7TkRDbGdxBgIxXA,part_375,2026-09-20 20:25:18
Zaika Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 93045 71007,N/A,3.7,,"road-0, Mahesh Nagar, Keshri Nagar, Patna, Bihar 800024","Mahesh Nagar, Keshri Nagar",25.621439,85.1063992,ChIJDeCCrHx-DRQRXJWszRBnLGw,https://www.google.com/maps/place/?q=place_id:ChIJDeCCrHx-DRQRXJWszRBnLGw,part_375,2026-09-20 20:25:18
Bengali Dada Hotel,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Food court",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 91999 41707,N/A,4.0,,"Sardar Patel Marg, Veerchand Patel Road Area, Patna, Bihar 800001",Veerchand Patel Road Area,25.6025921,85.1185675,ChIJawabyBdZ7TkRr03jCrZpklA,https://www.google.com/maps/place/?q=place_id:ChIJawabyBdZ7TkRr03jCrZpklA,part_375,2026-09-20 20:25:18
