business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JIGYASA DRIVING SCHOOL PATNA Car & Scooty training Center,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 95347 54484,https://surveyheart.com/form/62f62d8cbe27af2147dce197,4.8,155.0,"Panchmandir, Daroga Prasad Rai Path, Patna, Bihar 800001",Veerchand Patel Road Area,25.6057652,85.1199927,ChIJv0fmoRRZ7TkRCnLH2i-Ootc,https://www.google.com/maps/place/?q=place_id:ChIJv0fmoRRZ7TkRCnLH2i-Ootc,part_375,2026-09-20 20:25:35
Sri Sai Motor Driving School,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 93086 45495,N/A,4.7,87.0,"Opposite Vishnu Place West, Boring Canal Road Boring Road,S.k puri, Rajapul, Buddha Colony, Patna, Bihar 800001","Nageshwar Colony, Rajapul, Buddha Colony",25.615587299999998,85.12067669999999,ChIJgVZkrzBY7TkR12lozQkGrcw,https://www.google.com/maps/place/?q=place_id:ChIJgVZkrzBY7TkR12lozQkGrcw,part_375,2026-09-20 20:25:35
Shree Sai Nath Motor Driving School,Driving School,Driving school,"Driving school, Training center",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 93341 23180,N/A,4.8,128.0,"Sahay Sadan, S Museum Rd, opposite taramandal, near champaran meet house, Patna, Bihar 800001",Lodipur,25.6115942,85.1326765,ChIJt36zAERY7TkRL6STX77i_hs,https://www.google.com/maps/place/?q=place_id:ChIJt36zAERY7TkRL6STX77i_hs,part_375,2026-09-20 20:25:35
A1 car driving school :,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 98010 42292,https://youtube.com/@a1driving439?si=QPMtHvRbjLrxDTO8,5.0,111.0,"police line, Lodipur Budhmarg, road, Patna, Bihar 800001",Lodipur,25.6156859,85.1352205,ChIJ8ZxovqNZ7TkRFFdRmpMKHOs,https://www.google.com/maps/place/?q=place_id:ChIJ8ZxovqNZ7TkRFFdRmpMKHOs,part_375,2026-09-20 20:25:35
Sri Sai Sagar Motor Driving School,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 91558 99638,N/A,4.8,298.0,"01, Rajeev Nagar Rd, nearby CANARA BANK, Indrapuri, Keshri Nagar, Patna, Bihar 800024","Indrapuri, Keshri Nagar",25.6307479,85.0984428,ChIJ2eA_HXdX7TkR9qFLoW3t9Xk,https://www.google.com/maps/place/?q=place_id:ChIJ2eA_HXdX7TkR9qFLoW3t9Xk,part_375,2026-09-20 20:25:35
Maa jagdamba motor training school,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 62875 55944,N/A,5.0,244.0,"Congress Maidan Rd, near Sudarshan mansion, Kadamkuan, Patna, Bihar 800003",Kadamkuan,25.610078599999998,85.15313019999999,ChIJo77a8mVZ7TkRijKMpMjDC4Y,https://www.google.com/maps/place/?q=place_id:ChIJo77a8mVZ7TkRijKMpMjDC4Y,part_375,2026-09-20 20:25:35
"Maruti Suzuki Driving School (Karlo Automobiles, Patna, Boring Road)",Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 8071 037 061,https://www.marutisuzukidrivingschool.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.8,106.0,"Boring Rd, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.613283499999998,85.11752109999999,ChIJqwrs7jxZ7TkRWP57opqueXM,https://www.google.com/maps/place/?q=place_id:ChIJqwrs7jxZ7TkRWP57opqueXM,part_375,2026-09-20 20:25:35
Driving School Putul,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 88251 62837,N/A,5.0,245.0,"Abhay Carbon Factory, Boring Rd, Shivpuri, Rajbansi Nagar, Patna, Bihar 801103","Shivpuri, Rajbansi Nagar",25.6158142,85.1103347,ChIJlzKa1L9Z7TkRui8V5Ha1HoE,https://www.google.com/maps/place/?q=place_id:ChIJlzKa1L9Z7TkRui8V5Ha1HoE,part_375,2026-09-20 20:25:35
Sri sai nath motor driving school,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 79039 33967,N/A,4.7,183.0,"A N College, Narayan market Boring Canal Road Opposite Gyan Ganga Near Dress Ganga Shivpuri lane, Boring Rd, near Laxmi Complex, Patna, Bihar 800013",Sri Krishna Puri,25.617269699999998,85.1123212,ChIJeWqo-DpZ7TkRdC8nBVlxeQM,https://www.google.com/maps/place/?q=place_id:ChIJeWqo-DpZ7TkRdC8nBVlxeQM,part_375,2026-09-20 20:25:35
CAR & SCOOTY TRAINING HUB,Driving School,Driving school,Driving school,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 73720 45866,https://www.instagram.com/car_scootytraininghub,4.9,276.0,"Nehru Park, Bailey Rd, Punaichak, Rajbansi Nagar, Patna, Bihar 800001","Punaichak, Rajbansi Nagar",25.6052814,85.1136595,ChIJ7ceBEA1Z7TkRMGPOeUeSLnc,https://www.google.com/maps/place/?q=place_id:ChIJ7ceBEA1Z7TkRMGPOeUeSLnc,part_375,2026-09-20 20:25:35
