business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Silver & Silver ®,Silver Jewellery Shop,Jewelry store,"Jewelry store, Furniture accessories, Furniture store, Gift shop, Idol manufacturer, Interior Decorator, Silversmith",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 82358 13080,https://silverandsilver.in/,4.8,121.0,"City centre mall, C - 230/ 231, opposite Fire Station, Christian Colony, Lodipur, Patna, Bihar 800001","Christian Colony, Lodipur",25.617639,85.1352909,ChIJi1qKgPxZ7TkRsBoGqVRsYf0,https://www.google.com/maps/place/?q=place_id:ChIJi1qKgPxZ7TkRsBoGqVRsYf0,part_375,2026-09-20 20:25:22
Silver 10 Jewellery shop,Silver Jewellery Shop,Jewelry store,Jewelry store,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 92962 14660,N/A,4.9,155.0,"Children's Park Rd, SHANTUSTI LANE, Boring Rd, Patna, Bihar 800001","SHANTUSTI LANE, Boring Road",25.6128921,85.1171286,ChIJB2NszVBZ7TkR05K2PNxKq5w,https://www.google.com/maps/place/?q=place_id:ChIJB2NszVBZ7TkR05K2PNxKq5w,part_375,2026-09-20 20:25:22
Banwarilal Chandiwala,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jewelry designer, Silversmith",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 76630 05609,http://www.banwarilalchandiwala.com/,4.8,1253.0,"M.R complex, Bailey Rd, opp. pillar no. 56, Samanpura, Raja Bazar, Indrapuri, Patna, Bihar 800014","Samanpura, Raja Bazar, Indrapuri",25.6049975,85.08577389999999,ChIJCQUcgmlX7TkRa-pRcrNzFbw,https://www.google.com/maps/place/?q=place_id:ChIJCQUcgmlX7TkRa-pRcrNzFbw,part_375,2026-09-20 20:25:22
GIVA Silver & Gold Jewellery Store | Boring Road Patna,Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jeweler, Jewelry repair service, Silversmith",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 90352 71613,https://www.giva.co/?utm_source=Google&utm_medium=GMB,4.8,592.0,"Holding, Old Holding 610A, Revenue Circle, Property No. 2139908, 249 New, West Boring Canal Rd, Patna, Bihar 800001","crossing, Sri Krishna Puri",25.6117679,85.11822749999999,ChIJE4DRG_dZ7TkRhVN-jr0IiKE,https://www.google.com/maps/place/?q=place_id:ChIJE4DRG_dZ7TkRhVN-jr0IiKE,part_375,2026-09-20 20:25:22
"GIVA Silver & Gold Jewellery Store | Hatwa Market, Patna",Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jeweler, Jewelry repair service, Silversmith",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 91084 32654,https://www.giva.co/?utm_source=Google&utm_medium=GMB,4.9,238.0,"New Holding 289, Old Holding 238, Bankipur Circle, Ward No.39, Revenue Cicle 14, Bari Path, Patna, Bihar 800004","Dariyapur Gola, Dujra Diara",25.6151996,85.15171869999999,ChIJN7236PlZ7TkRjjTAVA6JeEE,https://www.google.com/maps/place/?q=place_id:ChIJN7236PlZ7TkRjjTAVA6JeEE,part_375,2026-09-20 20:25:22
SHREE KANAK DHARA JEWELLERY,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 88774 44488,N/A,4.9,2570.0,"Bakarganj, Patna, Bihar 800004",Bakarganj,25.6159143,85.1489485,ChIJH609rWRZ7TkR0mR8bSqoZPk,https://www.google.com/maps/place/?q=place_id:ChIJH609rWRZ7TkR0mR8bSqoZPk,part_375,2026-09-20 20:25:22
"CANDERE Lifestyle Jewellery, A Kalyan Company - Boring Road, Patna",Silver Jewellery Shop,Jewelry store,"Jewelry store, Bangle Shop, Gift shop, Jeweler, Jewelry designer, Gemstone Jeweler",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 77391 31929,https://store.candere.com/candere-store-boring-road-patna/393/products,5.0,298.0,"S.S. Complex, R R Diwakar Path, near South Indian Bank, Anandpuri, Patna, Bihar 800001",Anandpuri,25.6134366,85.11906119999999,ChIJAeKgr9RZ7TkRR0F6qW8Pyew,https://www.google.com/maps/place/?q=place_id:ChIJAeKgr9RZ7TkRR0F6qW8Pyew,part_375,2026-09-20 20:25:22
RATNALAYA JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 72099 98899,http://www.ratnalayajewels.com/,4.8,1899.0,"B1, P C Colony Rd, near Lohiya Park, Housing Board Colony, Kankarbagh, Patna, Bihar 800020","Housing Board Colony, Kankarbagh",25.600594599999997,85.14820309999999,ChIJs_Fm7_tZ7TkRKohtsAXm4xM,https://www.google.com/maps/place/?q=place_id:ChIJs_Fm7_tZ7TkRKohtsAXm4xM,part_375,2026-09-20 20:25:22
Kasturi Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 98012 39788,https://www.kasturijewellerspatna.in/,4.5,325.0,"Paradise Market, Bari Path, Bakarganj, Patna, Bihar 800004","Salimpur Ahra, Bakarganj",25.615746599999998,85.1489938,ChIJ8dHty_dY7TkR-cPXWtUublA,https://www.google.com/maps/place/?q=place_id:ChIJ8dHty_dY7TkR-cPXWtUublA,part_375,2026-09-20 20:25:22
GIVA Silver & Gold Jewellery | Kankarbagh | Lab Grown Diamonds,Silver Jewellery Shop,Jewelry store,"Jewelry store, Goldsmith, Jeweler, Jewelry repair service, Silversmith",800001,Bihar Circle,Patna HQ Region,Patna Division,"Bank Road SO Patna, Patna Collectoriate SO, BC Road SO",+91 63600 98422,https://www.giva.co/?utm_source=Google&utm_medium=GMB,4.8,1228.0,"Ward No 35, Circle 8A, GIVA, Ground floor, Janki Bhavan, Kangkar Bagh Road, beside Manyavar showroom, Patna, Bihar 800020",Ghrounda,25.603065899999997,85.1558106,ChIJh2YzoHFZ7TkRQisBmfNe49I,https://www.google.com/maps/place/?q=place_id:ChIJh2YzoHFZ7TkRQisBmfNe49I,part_375,2026-09-20 20:25:22
