business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Vaishno Packers and Movers,Packers and Movers,Packaging company,Packaging company,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 91020 87927,https://maavaishnopackers.in/,4.6,,"Balkrishna Enclave, Near, PRDA Colony, Shivpuri, Chitkohra, Patna, Bihar 800002","PRDA Colony, Shivpuri, Chitkohra",25.5827167,85.1012124,ChIJy3MwhTlX7TkRDQ4KghKXhf8,https://www.google.com/maps/place/?q=place_id:ChIJy3MwhTlX7TkRDQ4KghKXhf8,part_375,2026-09-20 20:26:50
Maa Jivdani Cargo Packers & Movers | Best movers packers in patna | Best Packers movers in patna,Packers and Movers,Transportation service,"Transportation service, Packaging company",800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 92628 13734,https://maajivdanipackers.com/,4.9,,"Kamlesh Market, G- 413, Ground Floor, Bypass Rd, near SBI, Ramkrishan Nagar, Patna, Bihar 800001","Dasratha, Ramkrishan Nagar",25.5843904,85.123887,ChIJQ3y6X65Z7TkRK1kqu027YhM,https://www.google.com/maps/place/?q=place_id:ChIJQ3y6X65Z7TkRK1kqu027YhM,part_375,2026-09-20 20:26:50
Shree Hari Packers And Movers Patna,Packers and Movers,Packaging company,"Packaging company, Logistics service, Transportation service",800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 85446 97629,N/A,5.0,,"Laxman Tola Danapur - Lakhpar, Phulwari Sharif, Gobindpur, Bihar 801505",Phulwari Sharif,25.5731452,85.0694121,ChIJY83QAoyp8jkRr03C_wDk7QA,https://www.google.com/maps/place/?q=place_id:ChIJY83QAoyp8jkRr03C_wDk7QA,part_375,2026-09-20 20:26:50
Mamta Packers And Movers,Packers and Movers,Business related,Business related,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 98711 58535,N/A,4.7,,"balami chowk, Phulwari Sharif, Patna, Bihar 800002",Phulwari Sharif,25.582682499999997,85.093783,ChIJlQFm9OJX7TkR_D8PwY4_Di0,https://www.google.com/maps/place/?q=place_id:ChIJlQFm9OJX7TkR_D8PwY4_Di0,part_375,2026-09-20 20:26:50
Manvi Prajapati transport services (packers & movers),Packers and Movers,Transcription service,Transcription service,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 73250 62836,N/A,4.9,,"Saristabad, Purbi Tola, By Pass Road, 70 Feet BPCL Rd, near Celebration Restaurant, Patna, Bihar 800001","Purbi Saristabad, Saristabad",25.5841887,85.1174394,ChIJi8zNrBBZ7TkRvhVBBxdrYDw,https://www.google.com/maps/place/?q=place_id:ChIJi8zNrBBZ7TkRvhVBBxdrYDw,part_375,2026-09-20 20:26:50
Aarshi Packers and Movers,Packers and Movers,Packaging company,"Packaging company, Moving service",800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 87098 95572,N/A,5.0,,"Ground Floor, Bypass Rd, near Axis Bank, Dasratha, Ramkrishan Nagar, Patna, Bihar 800001","Dasratha, Ramkrishan Nagar",25.5843904,85.123887,ChIJe_8LTgpY7TkRYOJEAzxqENk,https://www.google.com/maps/place/?q=place_id:ChIJe_8LTgpY7TkRYOJEAzxqENk,part_375,2026-09-20 20:26:50
Mohan Packers & Movers,Packers and Movers,Moving service,Moving service,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 98996 68590,http://mohanpackersmovers.co.in/,4.8,,"H5PM+6G9, Bypass Rd, near NRL Petrol Pump, Transport Nagar, South Of, Pahari, Patna, Bihar 800030","Transport Nagar, South Of, Pahari",25.5855464,85.1838463,ChIJ_UhsjKlY7TkRD9fwdgD9zII,https://www.google.com/maps/place/?q=place_id:ChIJ_UhsjKlY7TkRD9fwdgD9zII,part_375,2026-09-20 20:26:51
"The Best Movers and Packers in Varanasi|India, Packing Sevices",Packers and Movers,Transportation service,Transportation service,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 84294 25906,N/A,4.9,,"NO-3, LANE, Nirala Nagar, Mahmoorganj, Varanasi, Uttar Pradesh 221010","Nirala Nagar, Mahmoorganj",25.3074835,82.97728889999999,ChIJazi72AcyjjkR3j4qn4myk4M,https://www.google.com/maps/place/?q=place_id:ChIJazi72AcyjjkR3j4qn4myk4M,part_375,2026-09-20 20:26:51
North Packers And Movers,Packers and Movers,Transportation service,"Transportation service, Logistics service, Moving service, Packaging company, Vehicle Shipping Agent",800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",+91 82109 04019,http://www.northpackers.com/,4.6,171.0,"Plot No.226,Agam Kua Road Apex Academy Building, Chhoti Pahari, Patna, Bihar 800008","Laxmi Nagar, Chhoti Pahari",25.590955599999997,85.19627659999999,ChIJb9czjr9f7TkRjy5arURFOXs,https://www.google.com/maps/place/?q=place_id:ChIJb9czjr9f7TkRjy5arURFOXs,part_375,2026-09-20 20:26:51
8687 transport,Packers and Movers,Transportation service,Transportation service,800002,Bihar Circle,Patna HQ Region,Patna Division,"ANISABAD S.O, BEUR BO, PAKRI BO",N/A,N/A,4.8,5.0,"H4P3+5CQ, Chitkohra Bridge, Punjabi Colony, Shivpuri, Gardanibagh, Patna, Bihar 800002","Punjabi Colony, Shivpuri, Gardanibagh",25.585472199999998,85.1035976,ChIJcwr4SABX7TkR4y5SJzcpwMA,https://www.google.com/maps/place/?q=place_id:ChIJcwr4SABX7TkR4y5SJzcpwMA,part_375,2026-09-20 20:26:51
