business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Let's Go Cab Service,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service",800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 85444 97757,https://letsgocabservice.com/,4.8,145.0,"Road No. 3, near shiv mandir, Gaighat, Bajrangpuri, Patna, Bihar 800007","Gaighat, Bajrangpuri",25.603631699999998,85.1953583,ChIJMQsGfLxf7TkRvXHOGwY3ceY,https://www.google.com/maps/place/?q=place_id:ChIJMQsGfLxf7TkRvXHOGwY3ceY,part_375,2026-09-20 20:30:22
Cabido Cab Service,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency",800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 79708 88557,http://cabidocab.com/,5.0,46.0,"SAHID BHAGAT SINGH PATH, Bajrangpuri West Marg, Gaighat, Patna, Bihar 800007","Gaighat, Sarp Extension Colony",25.6035464,85.1954402,ChIJ61BKMXRf7TkRgYKx6eSyvj0,https://www.google.com/maps/place/?q=place_id:ChIJ61BKMXRf7TkRgYKx6eSyvj0,part_375,2026-09-20 20:30:22
Nirala Tour Travels &Cab Services,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Minibus taxi service",800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 85219 83013,https://nirala-tour-travels.grexa.site/,4.9,23.0,"Vachaspati Nagar, Kumhrar, Patna, Bihar 800040","Vachaspati Nagar, Kumhrar",25.6013444,85.1837546,ChIJFUjkLuJZ7TkRfutEDNyo0Ok,https://www.google.com/maps/place/?q=place_id:ChIJFUjkLuJZ7TkRfutEDNyo0Ok,part_375,2026-09-20 20:30:22
Patna Route Cab,Taxi Service and Car Rental,Taxi service,Taxi service,800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 92411 61310,http://patnaroute.cab/,4.8,18.0,"NH-30, West, Adarsh Colony, Transport Nagar, Kumhrar, Patna, Bihar 800026","Adarsh Colony, Transport Nagar, Kumhrar",25.5865393,85.1802086,ChIJ53aft9tZ7TkRXKXT5CdDcIY,https://www.google.com/maps/place/?q=place_id:ChIJ53aft9tZ7TkRXKXT5CdDcIY,part_375,2026-09-20 20:30:22
Call Mi Cab,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Minibus taxi service",800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 87979 79808,https://www.callmicabs.com/,4.4,38.0,"Gulshan Vihar Apartment, Ashok Rajpath, PO, Gulzarbagh, Alamganj, Patna, Bihar 800007","Gulzarbagh, Alamganj",25.613372299999998,85.19372919999999,ChIJ2-FiHYFf7TkRxYkkCaUlj9o,https://www.google.com/maps/place/?q=place_id:ChIJ2-FiHYFf7TkRxYkkCaUlj9o,part_375,2026-09-20 20:30:22
ROADYATRI 24,Taxi Service and Car Rental,Taxi service,Taxi service,800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 84348 10064,https://roadyatri24.com/,5.0,85.0,"New Kunj Colony, Bahadurpur, Rajendra Nagar, Patna, Bihar 800016","New Kunj Colony, Bahadurpur, Rajendra Nagar",25.6030975,85.1754773,ChIJuejMQ5hZ7TkRXI3z6IK9OcQ,https://www.google.com/maps/place/?q=place_id:ChIJuejMQ5hZ7TkRXI3z6IK9OcQ,part_375,2026-09-20 20:30:22
Krishna Cab Service,Taxi Service and Car Rental,Taxi service,Taxi service,800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 96615 45149,https://krishnacabpatna.in/,5.0,163.0,"Krishna Cab Bulding, Dabur Gali, near Little Valley School, Naya Tola, Kumhrar, Patna, Bihar 800026","Naya Tola, Kumhrar",25.5976744,85.1812286,ChIJaQBPQwBZ7TkRnyi5U2a-krA,https://www.google.com/maps/place/?q=place_id:ChIJaQBPQwBZ7TkRnyi5U2a-krA,part_375,2026-09-20 20:30:22
Rocky Cab Patna,Taxi Service and Car Rental,Car rental agency,Car rental agency,800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 99551 18278,N/A,5.0,4.0,"Bahadurpur Housing Colony, Mahatma Gandhi Nagar, Chitragupta Nagar, Patna, Bihar 800026","Bahadurpur Housing Colony, Mahatma Gandhi Nagar, Chitragupta Nagar",25.5957652,85.1726695,ChIJQXNYsH9Z7TkR60OCj7VkHbw,https://www.google.com/maps/place/?q=place_id:ChIJQXNYsH9Z7TkR60OCj7VkHbw,part_375,2026-09-20 20:30:22
Patliputra Car Rental Service – Best Taxi Service in Patna,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Chauffeur service",800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 62007 60481,https://pcrcabservice.in/,4.9,,"90 fit road, Kali Mandir Rd, Jagat Vihar Colony, Rukanpura, Patna, Bihar 800025","Jagat Vihar Colony, Rukanpura",25.628992099999998,85.0794793,ChIJ8ckEmldX7TkRS0gXsbn-OCg,https://www.google.com/maps/place/?q=place_id:ChIJ8ckEmldX7TkRS0gXsbn-OCg,part_375,2026-09-20 20:30:22
Bihar cab,Taxi Service and Car Rental,Car leasing service,Car leasing service,800006,Bihar Circle,Patna HQ Region,Patna Division,"Mahendru SO, MYSandalpur SO",+91 90659 01801,N/A,4.9,,"Khagaul - Phulwari Sharif Rd, Vrindavan Colony, Khagaul, Patna, Bihar 801505","Vrindavan Colony, Khagaul",25.569757199999998,85.0489467,ChIJuVZ7Q42p8jkR8K_E9mdeTv0,https://www.google.com/maps/place/?q=place_id:ChIJuVZ7Q42p8jkR8K_E9mdeTv0,part_375,2026-09-20 20:30:22
