business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Janta Mobile World,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 93291 06954,N/A,4.8,246.0,"2nd Floor Shop, Ravi Bhavan, 202, Jaistambh Chowk, Nayapara, Raipur, Chhattisgarh 492001",Nayapara,21.243104,81.6353661,ChIJoa0MRL3dKDoRpiVC8m7fKy4,https://www.google.com/maps/place/?q=place_id:ChIJoa0MRL3dKDoRpiVC8m7fKy4,part_375,2026-09-20 20:34:15
Vin Communication,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Telecommunications service provider",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,4.0,213.0,"SHOP.NO.B-103, PRATIK ARCADE, NR, MOTIWALA PERFUMES, BHAGATALAO,, Surat, Gujarat 395003","Chauta Pul, Nanavat",21.198099,72.823167,ChIJUXI46WFO4DsR6tW1-UQwzJs,https://www.google.com/maps/place/?q=place_id:ChIJUXI46WFO4DsR6tW1-UQwzJs,part_375,2026-09-20 20:34:15
Mahadev Mobile sales,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Wholesaler",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 90222 25153,N/A,5.0,8.0,"New municipal market, opposite lily florist, near uco bank, Sanscar Society, Margao, Goa 403601",Sanscar Society,15.2716532,73.95922039999999,ChIJCT643hKzvzsRTFd9bX4b5oA,https://www.google.com/maps/place/?q=place_id:ChIJCT643hKzvzsRTFd9bX4b5oA,part_375,2026-09-20 20:34:15
S AND S ACCESSORIES,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 83208 03148,https://sandsaccessories.in/,4.7,16.0,"SY NO.216/217, PRATIK ARCADE SHOPPING, FIRST FLOOR SHOP, A/209, near OLD PRATAP PRESS, Bhaga Talav, Surat, Gujarat 395003","Bhaga Talav, Nanavat",21.198342999999998,72.82292129999999,ChIJT24K7mFO4DsRXT3oVlAqeic,https://www.google.com/maps/place/?q=place_id:ChIJT24K7mFO4DsRXT3oVlAqeic,part_375,2026-09-20 20:34:15
Mobile palace,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 98279 78883,N/A,5.0,18.0,"Shop no 89 First floor, Ganeshram Nagar, Ravibhawan, Raipur, Chhattisgarh 492001","Ganeshram Nagar, Ravibhawan",21.243564499999998,81.635806,ChIJoyfQZ6DdKDoRIDyxUuESXOs,https://www.google.com/maps/place/?q=place_id:ChIJoyfQZ6DdKDoRIDyxUuESXOs,part_375,2026-09-20 20:34:15
Shivam Mobiles,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 91139 00169,N/A,4.9,104.0,"shop no 2-21, Gurukrupa plaza, Indra Nagar, signal, Gachibowli, Hyderabad, Telangana 500032","Indra Nagar, signal, Gachibowli",17.4411252,78.3603033,ChIJ92MeL1iTyzsRP2v-HFgMxYg,https://www.google.com/maps/place/?q=place_id:ChIJ92MeL1iTyzsRP2v-HFgMxYg,part_375,2026-09-20 20:34:15
Mobile Express,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone charging station, Cell phone store",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 88664 07103,N/A,4.7,110.0,"Shop No 04, Nanavat Main Rd, Nr Chiniwala ni poll, Nanavat, Surat, Gujarat 395003","Nr Chiniwala ni poll, Nanavat",21.199275999999998,72.82133,ChIJIUkXY9NP4DsRcReDHjNYTcY,https://www.google.com/maps/place/?q=place_id:ChIJIUkXY9NP4DsRcReDHjNYTcY,part_375,2026-09-20 20:34:15
A One Mobile Accessories Hub,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,3.0,5.0,"X77Q+F2P, Mahatma Gandhi Rd, Ravipuram, Pallimukku, Ernakulam, Kochi, Keralam 682016","Ravipuram, Pallimukku",9.9637169,76.28759339999999,ChIJGz-_ubByCDsRZCsJo32VclY,https://www.google.com/maps/place/?q=place_id:ChIJGz-_ubByCDsRZCsJo32VclY,part_375,2026-09-20 20:34:15
Ravi Communication,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Mobile phone repair shop, Wholesaler",800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,+91 62801 13288,https://www.instagram.com/ravickofficial/,3.7,30.0,"First Floor, Mobile Phone Market, SCO-1032-33, Ravi Communication (RaviCK (China King-22, Sector 22B, Chandigarh, 160022","Sector 22B, Sector 22",30.7350313,76.7776085,ChIJAWmB_hzrDzkRaANbE7zq6O0,https://www.google.com/maps/place/?q=place_id:ChIJAWmB_hzrDzkRaANbE7zq6O0,part_375,2026-09-20 20:34:15
Mariya mobile accessories. WHOLESALE IN COVERS & TEMPERED,Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,800010,Bihar Circle,Patna HQ Region,Patna Division,Sadaquat Ashram SO,N/A,N/A,4.6,7.0,"Old Delhi, Daryaganj, Delhi, 110002","Old Delhi, Daryaganj",28.6448474,77.24037729999999,ChIJSX_k1B39DDkRsbvlnTYmsRs,https://www.google.com/maps/place/?q=place_id:ChIJSX_k1B39DDkRsbvlnTYmsRs,part_375,2026-09-20 20:34:15
