business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Max Dental clinic,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 88640 07941,N/A,4.9,80.0,"Piller no 49, Chaudhary Hotel Gali, MLA Colony, Raja Bazar, Indrapuri, Patna, Bihar 800014","MLA Colony, Raja Bazar, Indrapuri",25.6053633,85.0839768,ChIJg3aJ8F5X7TkRzzKzn02vtKo,https://www.google.com/maps/place/?q=place_id:ChIJg3aJ8F5X7TkRzzKzn02vtKo,part_375,2026-09-20 20:37:22
Teeth Care,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",N/A,N/A,5.0,20.0,"Maurya Path, near Shri Shri Shiv Shakti Mandir, Allahabad Bank Colony, Khajpura, Patna, Bihar 800014","Allahabad Bank Colony, Khajpura",25.6101115,85.0758237,ChIJr3lpnqxX7TkRI_zENBsZWfc,https://www.google.com/maps/place/?q=place_id:ChIJr3lpnqxX7TkRI_zENBsZWfc,part_375,2026-09-20 20:37:22
"SHYAMALA DENTAL / Dr Shyamala Gupta, BDS, MDS | Dental Clinic in Raja Bazar patna | Best Dental clinic in Jagdeo Path",Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 79032 65800,https://drshyamalagupta.com/,4.9,73.0,"2/35, Rd Number 2, near Pilar No 7, SBI Colony, Raja Bazar, Rukanpura, Patna, Bihar 800014","SBI Colony, Raja Bazar, Rukanpura",25.6072839,85.0737163,ChIJVZlBjfJX7TkR6wzHWaabv4U,https://www.google.com/maps/place/?q=place_id:ChIJVZlBjfJX7TkR6wzHWaabv4U,part_375,2026-09-20 20:37:22
DR TEETH DENTAL CLINIC AND IMPLANT CENTRE,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 62071 77745,N/A,5.0,25.0,"Bailey Rd, Samanpura, Raja Bazar, Khajpura, Patna, Bihar 800014","Samanpura, Raja Bazar, Khajpura",25.6051447,85.08390539999999,ChIJQRARxI5X7TkRz6rnHIengSQ,https://www.google.com/maps/place/?q=place_id:ChIJQRARxI5X7TkRz6rnHIengSQ,part_375,2026-09-20 20:37:22
COSMODENT DENTAL CLINIC,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dentist, Emergency dental service, Endodontist, Oral and maxillofacial surgeon, Orthodontist, Prosthodontist, Teeth whitening service",800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 92625 79222,https://drprernapriya.com/,4.9,183.0,"Pillar no. 35, Ashiana - Digha Rd, opposite Bharti enterprises, Ashiana More, Raja Bazar, Indrapuri, Patna, Bihar 800014","Ashiana More, Raja Bazar, Indrapuri",25.605932199999998,85.08066869999999,ChIJHQl2TcdX7TkRXmGwU-hTxC8,https://www.google.com/maps/place/?q=place_id:ChIJHQl2TcdX7TkRXmGwU-hTxC8,part_375,2026-09-20 20:37:22
Somya Dental Clinic,Dental Clinic,Dentist,Dentist,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 91173 06333,N/A,5.0,2.0,"Pillor no 10, shri ram bhawan, 03, ground floor, Jagdeo Path, Patna, Bihar 800014",Dhanaut,25.602450299999997,85.0743146,ChIJM288dTRX7TkRMPF5sHAp50w,https://www.google.com/maps/place/?q=place_id:ChIJM288dTRX7TkRMPF5sHAp50w,part_375,2026-09-20 20:37:22
Dento heal,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 99399 12146,N/A,5.0,45.0,"shop to, Klub Fox showroom, Pillar no 83, Basement, Bailey Rd, Patna, Bihar 800014",Sheikhpura,25.604726,85.0924433,ChIJMdYuV8JX7TkRqnLWPubspKs,https://www.google.com/maps/place/?q=place_id:ChIJMdYuV8JX7TkRqnLWPubspKs,part_375,2026-09-20 20:37:22
Medirose Dental & Implant Centre,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 99315 07681,https://www.facebook.com/profile.php?id=61556648077814&mibextid=ZbWKwL,4.9,167.0,"Pillar n 27, Akashwani Rd, Jyotipuram Colony, Khajpura, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.6067814,85.0787629,ChIJbeRVF8hX7TkRNsaDqnF7xGU,https://www.google.com/maps/place/?q=place_id:ChIJbeRVF8hX7TkRNsaDqnF7xGU,part_375,2026-09-20 20:37:22
Anand dental and orthodontic care,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 85799 19993,N/A,5.0,17.0,"PILLAR NO 26, shiv mandir, 27, Bailey Rd, opposite Khajpura, Jyotipuram Colony, Khajpura, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.605798,85.078442,ChIJf7QtaZ5X7TkRMe0VuxtNpaI,https://www.google.com/maps/place/?q=place_id:ChIJf7QtaZ5X7TkRMe0VuxtNpaI,part_375,2026-09-20 20:37:22
NEXGEN DENTAL HOSPITAL,Dental Clinic,Dental clinic,"Dental clinic, Dental implants provider, Dentist, Emergency dental service, Orthodontist, Pediatric dentist",800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 80 6507 4926,https://www.nexgendentalhospital.in/,5.0,794.0,"First Floor, Wing-1, Bailey Rd, opposite Pillar No.56 and West Side, Samanpura, Raja Bazar, Khajpura, Patna, Bihar 800014","Samanpura, Raja Bazar, Khajpura",25.6045303,85.0856044,ChIJFe2vRR5X7TkRKOQR0jelxes,https://www.google.com/maps/place/?q=place_id:ChIJFe2vRR5X7TkRKOQR0jelxes,part_375,2026-09-20 20:37:22
Sona Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,800014,Bihar Circle,Patna HQ Region,Patna Division,"BV College SO, Patna Aerodrome SO, Sheikhpura SO Patna",+91 93080 81218,N/A,5.0,118.0,"Opp: Pillar No .15-16 ,Above Gyan Ganga Book Store, Maurya Path, Corner, Bailey Rd, Khajpura, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.60617,85.0755679,ChIJZ87FKLhX7TkRqLtlqu-Rnv4,https://www.google.com/maps/place/?q=place_id:ChIJZ87FKLhX7TkRqLtlqu-Rnv4,part_375,2026-09-20 20:37:22
