business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Eye Hospitals,Eye Clinic and Eye Hospital,Eye care center,Eye care center,800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,N/A,N/A,4.3,,"43, Kangkar Bagh Road, Housing Board Colony, East Indira Nagar, Kankarbagh, Rajendra Nagar, Patna, Bihar 800020","Housing Board Colony, East Indira Nagar, Kankarbagh, Rajendra Nagar",25.5968369,85.1567908,ChIJIySmhn1Y7TkRb9IOwkEb4tE,https://www.google.com/maps/place/?q=place_id:ChIJIySmhn1Y7TkRb9IOwkEb4tE,part_375,2026-09-20 20:41:33
Win Vision Eye Hospitals,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 91000 04444,https://winvision.in/?utm_source=google&utm_medium=organic,4.9,,"6-3-868, 2, Greenlands Rd, Greenlands, Begumpet, Hyderabad, Telangana 500016","Greenlands, Begumpet",17.4347548,78.45510399999999,ChIJiRI0q7eQyzsRFd74O2qkpME,https://www.google.com/maps/place/?q=place_id:ChIJiRI0q7eQyzsRFd74O2qkpME,part_375,2026-09-20 20:41:34
"Yeshass Nethralaya - Best eye hospital for Advanced cataract surgery , lasik , diabetic retinopathy / Manikonda , Gachibowli",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Consultant, Health consultant, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Pediatric ophthalmologist, Surgeon",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 84960 33333,https://nethralaya.com/,5.0,,"Survey number 138, A, 1st floor, Lanco Hills Rd, opposite jains carlton creek, Khajaguda, Hyderabad, Telangana 500075",Chaitanya Enclave,17.4163691,78.3690932,ChIJA8R8pRuVyzsRZ56fKke87wc,https://www.google.com/maps/place/?q=place_id:ChIJA8R8pRuVyzsRZ56fKke87wc,part_375,2026-09-20 20:41:34
Think Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optician, Optometrist, Pediatric ophthalmologist",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 79959 17995,https://thinkeyehospitals.com/,4.9,,"4th floor, Ard Magnum, Green Hills Rd, IV Phase, Kukatpally, Moosapet, Hyderabad, Telangana 500018","IV Phase, Kukatpally, Moosapet",17.468647999999998,78.41392669999999,ChIJS53ufdeRyzsRjSMUu01k2EQ,https://www.google.com/maps/place/?q=place_id:ChIJS53ufdeRyzsRjSMUu01k2EQ,part_375,2026-09-20 20:41:34
"Mumbai Eye Care - Ghatkopar East, Mumbai | An ASG Eye Hospital",Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optician, Optometrist, Orthoptist, Pediatric ophthalmologist",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 84510 45934,https://clinic.asgeyehospital.com/locator/mumbai/Ghatkopar-East/asg-mumbai-eye-care-an-asg-eye-hospital-in-Ghatkopar-East-mumbai--3tWhoB/home,4.8,,"Shop No, 101/102, Jhulelal Chowk, above Eves Saloon, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077","Sindhu Wadi, Ghatkopar East",19.074943899999997,72.9053232,ChIJoefjwzHG5zsRw-vaOkZvTo4,https://www.google.com/maps/place/?q=place_id:ChIJoefjwzHG5zsRw-vaOkZvTo4,part_375,2026-09-20 20:41:34
NVISION EYE CARE,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Hospital, Medical clinic",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 77990 40044,https://www.instagram.com/nvision_eyecare?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,4.9,,"7-1-63/2, Dharam Karan Rd, near Challa hospital, opp. Vaisali Apartment, Jamuna Tirth, Ameerpet, Hyderabad, Telangana 500016","Jamuna Tirth, Ameerpet",17.4402379,78.4513582,ChIJ-2j9hGuRyzsRXhQIjQlHZeE,https://www.google.com/maps/place/?q=place_id:ChIJ-2j9hGuRyzsRXhQIjQlHZeE,part_375,2026-09-20 20:41:34
Doctor Eye Institute,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist, Ophthalmology clinic, Optometrist",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 99303 09433,https://doctoreyeinstitute.com/,4.8,,"3rd floor, Landmark Building, 303, New Link Rd, opposite City Mall, above Croma Showroom, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","Veera Desai Industrial Estate, Andheri West",19.1399093,72.8319332,ChIJW4dzzkSx5zsROq8P1KbCb64,https://www.google.com/maps/place/?q=place_id:ChIJW4dzzkSx5zsROq8P1KbCb64,part_375,2026-09-20 20:41:34
KAILASH EYE CARE (PART OF COMET EYE HOSPITALS),Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Pediatric ophthalmologist",800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 98107 60157,http://www.kailasheyecare.com/,4.9,,"KAILASH EYE CARE (Unit of KAILASH NURSING HOME 51, Block 8, South Patel Nagar, Patel Nagar, New Delhi, Delhi 110008","Block 8, South Patel Nagar, Patel Nagar",28.645227799999997,77.1679843,ChIJ68vsv-4CDTkRmH9DC3QvAsU,https://www.google.com/maps/place/?q=place_id:ChIJ68vsv-4CDTkRmH9DC3QvAsU,part_375,2026-09-20 20:41:34
Bharti Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 92122 59171,https://www.bhartieye.com/,4.8,,"Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048","Block E, Greater Kailash I, Greater Kailash",28.5496439,77.243605,ChIJa6ypX8zjDDkRNd8XhzVMZHQ,https://www.google.com/maps/place/?q=place_id:ChIJa6ypX8zjDDkRNd8XhzVMZHQ,part_375,2026-09-20 20:41:34
New Vision Eye Centre,Eye Clinic and Eye Hospital,Hospital,Hospital,800018,Bihar Circle,Patna HQ Region,Patna Division,Bataganj SO,+91 11 4978 5858,http://newvisioneyecentre.com/,4.8,,"A-5/233, A 5B Block, Paschim Vihar, Delhi, 110063","A 5B Block, Paschim Vihar",28.6763861,77.10411409999999,ChIJa8ThPIoDDTkReWSKd6Kxnyg,https://www.google.com/maps/place/?q=place_id:ChIJa8ThPIoDDTkReWSKd6Kxnyg,part_375,2026-09-20 20:41:34
