business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Om Computers - Refurbished Laptop in Pune,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer Hardware Company, Computer Rental Agency, Used computer store, Computer service, Computer store, Computer support and services, Repair service",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 90969 09909,https://laptopmall.co.in/,4.6,,"Shop No - 18, Sonigara Classic, nr. Trinity School, Akurdi Gaothan, Ekata Nagar, Akurdi, Pune, Pimpri-Chinchwad, Maharashtra 411035","Akurdi Gaothan, Ekata Nagar, Akurdi",18.6536841,73.7789748,ChIJKb3m0U65wjsRE4LkwTY-3w8,https://www.google.com/maps/place/?q=place_id:ChIJKb3m0U65wjsRE4LkwTY-3w8,part_375,2026-09-20 20:42:46
Nice Tech Computer,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer store, Computer service",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 96855 75385,https://www.instagram.com/nice_techjabalpur?igsh=MWFrZGcyZ2hvcG9sMQ==,4.7,,"1st Floor, Indian Coffee House Campus, 9R, Sadar Main Rd, Sadar, Jabalpur, Madhya Pradesh 482001",Sadar,23.1542089,79.948932,ChIJLY09lditgTkRkiBTf06SLPg,https://www.google.com/maps/place/?q=place_id:ChIJLY09lditgTkRkiBTf06SLPg,part_375,2026-09-20 20:42:46
JTAG COMPUTERS,Computer Sales and Laptop Repair,Computer store,Computer store,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 97642 69906,N/A,4.6,,"Ganraj arcade, office no 107 2nd floor, Upper Bazar Rd, Ponda, Goa 403401",Durgabhat,15.401354,74.01097469999999,ChIJEdJpH7y6vzsR3JpJt5zNJgI,https://www.google.com/maps/place/?q=place_id:ChIJEdJpH7y6vzsR3JpJt5zNJgI,part_375,2026-09-20 20:42:46
Campos Technologies,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer Rental Agency, Computer software store, Computer store, Data recovery service, Electronics repair shop, Mobile phone repair shop, Printer repair service, Used computer store",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 91455 11772,https://www.facebook.com/profile.php?id=61581608464574,4.7,,"1st Floor, Alfran Plaza, F-43, MG Road, opposite Don Bosco High School, near Vaidya Hospital, Near Municipal Market, Panaji, Goa 403001",Near Municipal Market,15.4977854,73.822565,ChIJ-VIRW8LBvzsR_eWMZZGEniw,https://www.google.com/maps/place/?q=place_id:ChIJ-VIRW8LBvzsR_eWMZZGEniw,part_375,2026-09-20 20:42:46
"RS e Solutions - Laptop Repair Specialist | MacBook | Dell | Hp | Lenovo | ASUS | Acer, Kolkata.",Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Data recovery service, Printer repair service",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 98316 66551,http://www.laptoprepairing.in/,4.6,,"1st Floor, 21a, Kavi Bharati Sarani, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.515598,88.3508679,ChIJHZGgJ9NwAjoRvfr1aV3ik_k,https://www.google.com/maps/place/?q=place_id:ChIJHZGgJ9NwAjoRvfr1aV3ik_k,part_375,2026-09-20 20:42:46
Micro IT Solution - Acer Authorised service center,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 99345 38346,https://acermall.shopacer.co.in/shop/acer-authorised-service-centre-acer-laptop-service-in-Patna-Bihar-1301,4.6,,"3rd Floor, L.O. House, Golden Ice factory, Gali, Exhibition Rd, near HP Petrol Pump, Lalbhai Society, Salimpur Ahra, Golambar, Patna, Bihar 800001","Lalbhai Society, Salimpur Ahra, Golambar",25.607961399999997,85.1427947,ChIJPfQCQCNZ7TkRT57rBeLFH5o,https://www.google.com/maps/place/?q=place_id:ChIJPfQCQCNZ7TkRT57rBeLFH5o,part_375,2026-09-20 20:42:46
Lap Technology,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 79802 11984,https://laptechnology.in/,5.0,,"Ground floor, Lap Technology, 2827, Garia Station Rd, Garia, Kolkata, West Bengal 700084",Garia,22.4650808,88.3891005,ChIJBwl4fgBxAjoRMy7DYoggRwU,https://www.google.com/maps/place/?q=place_id:ChIJBwl4fgBxAjoRMy7DYoggRwU,part_375,2026-09-20 20:42:46
Acer Authorised Service Centre - Patna,Computer Sales and Laptop Repair,Computer service,Computer service,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 74638 73017,https://acermall.shopacer.co.in/shop/acer-authorised-service-centre-acer-laptop-service-in-Patna-Bihar-1301,3.9,,"PETROL, O.HOUSE, GOLDEN ICE FACTORY, 3F L, Exhibition Rd, near Luv Kush Tower, Salimpur Ahra, Golambar, Patna, Bihar 800001","Salimpur Ahra, Golambar",25.608272499999998,85.1427867,ChIJ_8ZErZBZ7TkR_4FNr7847c8,https://www.google.com/maps/place/?q=place_id:ChIJ_8ZErZBZ7TkR_4FNr7847c8,part_375,2026-09-20 20:42:46
AIM COMPUTERS,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer service, Computer store",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 99235 76690,N/A,4.6,,"Shop No: G-17, Akash Darshan Bldg, opposite Kurtarkar Arcade, near Universal Books Traders, Khadpabandh, Ponda, Goa 403401",Khadpabandh,15.401876,74.00506759999999,ChIJh54MbpW6vzsRL6D3PVSs7F0,https://www.google.com/maps/place/?q=place_id:ChIJh54MbpW6vzsRL6D3PVSs7F0,part_375,2026-09-20 20:42:46
Classic Computers,Computer Sales and Laptop Repair,Computer store,Computer store,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 94129 78786,N/A,4.8,,"F-6 & F-7, Royal Plaza Complex, Chandra Charya Chowk, Haridwar, Uttarakhand 249407","Vivek Vihar Colony, Devpura",29.9343431,78.1345205,ChIJ1bKnO0hGCTkREgHdlGZhS78,https://www.google.com/maps/place/?q=place_id:ChIJ1bKnO0hGCTkREgHdlGZhS78,part_375,2026-09-20 20:42:46
