business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paws Med Pet Vet Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 90530 94100,N/A,4.9,,"Ground floor, Mansa Devi Complex, SCO-48, Swastik Vihar, Sector 5, Panchkula, Haryana 134114","Swastik Vihar, Sector 5",30.7177777,76.8491013,ChIJCd6nCraTDzkRgXfFdYweGME,https://www.google.com/maps/place/?q=place_id:ChIJCd6nCraTDzkRgXfFdYweGME,part_375,2026-09-20 20:42:24
Pet shine clinic,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 80743 69328,N/A,4.7,,"Door No.3-6-280, A/1, road, adj. to New Naveen pet needs, Old MLA Quarters, Himayatnagar, Hyderabad, Telangana 500029","Old MLA Quarters, AP State Housing Board, Himayatnagar",17.3978137,78.4838259,ChIJef2Zgh2ZyzsRN0fkQku2bJY,https://www.google.com/maps/place/?q=place_id:ChIJef2Zgh2ZyzsRN0fkQku2bJY,part_375,2026-09-20 20:42:24
Happy Pet Clinic,Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 97041 31994,N/A,4.5,,"1-98/90, 15B, Rd Number 48, Megha Hills, Sri Sai Nagar, Madhapur, Hyderabad, Telangana 500081","Megha Hills, Sri Sai Nagar, Madhapur",17.4432556,78.390873,ChIJZ1wpzF2RyzsR9VgECAbH2pM,https://www.google.com/maps/place/?q=place_id:ChIJZ1wpzF2RyzsR9VgECAbH2pM,part_375,2026-09-20 20:42:24
Dr Suresh pet care hospital and surgical center,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 98489 54921,http://www.drsureshpetcarehospital.in/,4.7,,"H No, C.. 803, beside lane of vivekananda park, NGO Colony, Vanasthalipuram, Hyderabad, Telangana 500070",NGO Colony,17.3284368,78.5653166,ChIJ3esVrwKiyzsR6bKqqPPU3nU,https://www.google.com/maps/place/?q=place_id:ChIJ3esVrwKiyzsR6bKqqPPU3nU,part_375,2026-09-20 20:42:24
District Veterinary Hospital,Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,N/A,N/A,3.6,,"8RJQ+38F, Jagat, Kalaburagi, Karnataka 585105",Jagat,17.330179299999998,76.8382833,ChIJucxf7k3HyDsRJNz1g50-MBg,https://www.google.com/maps/place/?q=place_id:ChIJucxf7k3HyDsRJNz1g50-MBg,part_375,2026-09-20 20:42:24
Advanced Pet Care,Veterinary Clinic and Pet Hospital,Animal hospital,"Animal hospital, Doctor",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 98301 22960,N/A,3.8,,"276, Lake Gardens, Kolkata, West Bengal 700045",Lake Gardens,22.504264,88.35653459999999,ChIJuzu7icpxAjoRiuhWgDnUg7g,https://www.google.com/maps/place/?q=place_id:ChIJuzu7icpxAjoRiuhWgDnUg7g,part_375,2026-09-20 20:42:24
Antarik Veterinary Clinic (Talikhola) | Pet Medicine & Food near me,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 98311 30770,https://antarikvetclinic.com/,4.3,,"27, Talikhola Library Rd, Ghoshbari, Kaeipara, Chinsurah R S, Chinsurah, West Bengal 712102","Ghoshbari, Kaeipara, Chinsurah R S",22.8890283,88.37354909999999,ChIJBUEouBCR-DkRHrcdLw8DI2U,https://www.google.com/maps/place/?q=place_id:ChIJBUEouBCR-DkRHrcdLw8DI2U,part_375,2026-09-20 20:42:24
Crown Vet Aundh,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 80 6274 4103,https://crown.vet/aundh-vet.asp,4.4,,"No. 93B, Rajyog Creation Plot, 1st Floor, Anand Park, Aundh, Pune, Maharashtra 411007","Anand Park, Aundh",18.555806999999998,73.8089525,ChIJPdIiKua_wjsREZoQnc_VF-E,https://www.google.com/maps/place/?q=place_id:ChIJPdIiKua_wjsREZoQnc_VF-E,part_375,2026-09-20 20:42:24
Military Veterinary Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,"Veterinarian, Animal hospital",800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,N/A,N/A,4.3,,"PV86+5VH, Chandimandir Cantonment, Panchkula, Haryana 134107",Chandimandir Cantonment,30.7154384,76.8622426,ChIJCaSvvw-TDzkRVm7t3Xj7owI,https://www.google.com/maps/place/?q=place_id:ChIJCaSvvw-TDzkRVm7t3Xj7owI,part_375,2026-09-20 20:42:24
Cutesies Pet Clinic,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,800019,Bihar Circle,Patna HQ Region,Patna Division,CDA SO,+91 97412 37479,https://cutesies.in/,4.9,,"1181, 1st Cross Chaduranga Road T. K. Layout, A & B Block, Kuvempu Nagara, Mysuru, Karnataka 570023","A & B Block, Sharadadevi Nagar, Kuvempu Nagara",12.295045799999999,76.6165565,ChIJdWSkaSp7rzsR2A58ell2a2Y,https://www.google.com/maps/place/?q=place_id:ChIJdWSkaSp7rzsR2A58ell2a2Y,part_375,2026-09-20 20:42:24
