business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Wedding Rose - A Unit of Kritika Wedding-n-Entertainment,Event Planners/Wedding Planners,Wedding service,Wedding service,801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 98102 71007,N/A,4.4,38.0,"Ground Floor, Shopping Centre-II, DB-Block-8, G-8, Hari Nagar, New Delhi, Delhi 110064","Block DB, Maya Enclave, Hari Nagar",28.621219699999997,77.10744489999999,ChIJcTJKTEUDDTkRQwHT2a5fHLQ,https://www.google.com/maps/place/?q=place_id:ChIJcTJKTEUDDTkRQwHT2a5fHLQ,part_375,2026-09-20 20:54:58
Mangalam Weddings,Event Planners/Wedding Planners,Wedding planner,Wedding planner,801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 98719 68813,http://www.themangalamweddings.in/,4.9,31.0,"3A-45, Ground Floor, Block A, Sector 3, Vaishali, Ghaziabad, Uttar Pradesh 201019","Block A, Sector 3, Vaishali",28.6399121,77.3371312,ChIJi3wCj8n7DDkReJNDbh0B8eo,https://www.google.com/maps/place/?q=place_id:ChIJi3wCj8n7DDkReJNDbh0B8eo,part_375,2026-09-20 20:54:58
Perfection Creators,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event venue, Event management company",801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 98107 06170,http://www.perfectioncreators.com/,4.9,41.0,"114, Sector 27, Gurugram, Haryana 122009",Sector 27,28.466046,77.09271319999999,ChIJa9yDsHkjDTkRm2a-24vVNIA,https://www.google.com/maps/place/?q=place_id:ChIJa9yDsHkjDTkRm2a-24vVNIA,part_375,2026-09-20 20:54:58
Panodrama Events,Event Planners/Wedding Planners,Event management company,"Event management company, Service establishment",801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 95606 06030,http://www.panodramaevents.com/,4.6,9.0,"Panodrama Events, 801106, India",801106,21.0680074,82.7525294,ChIJxe1a3iofDTkRCA1Fd-fmkZ0,https://www.google.com/maps/place/?q=place_id:ChIJxe1a3iofDTkRCA1Fd-fmkZ0,part_375,2026-09-20 20:54:58
Queen Madam - The Event Management Company,Event Planners/Wedding Planners,Wedding planner,Wedding planner,801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 84479 29574,N/A,4.8,6.0,"2nd Floor, near Hauz Khas, Hauz Khas Village, Deer Park, Social, New Delhi, Delhi 110016","Hauz Khas Village, Deer Park, Social",28.5534997,77.1943426,ChIJq6qqpoodDTkRCSzQE3f9Ct8,https://www.google.com/maps/place/?q=place_id:ChIJq6qqpoodDTkRCSzQE3f9Ct8,part_375,2026-09-20 20:54:58
Desiring Event Planner,Event Planners/Wedding Planners,Event management company,Event management company,801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 98994 24713,N/A,4.8,22.0,"B- 50, East Azad Nagar, Block C, Krishna Nagar, New Delhi, Delhi, 110051","East Azad Nagar, Block C, Krishna Nagar",28.6569035,77.2822923,ChIJqUnfPZP9DDkR-pwNLjIC3Pc,https://www.google.com/maps/place/?q=place_id:ChIJqUnfPZP9DDkR-pwNLjIC3Pc,part_375,2026-09-20 20:54:58
Dreamstrokes Wedding Planners,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company",801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,N/A,https://www.dreamstrokes.com/,4.9,,"Sy No. 29, 8, Yelahanka Rd, Kannuru, Karnataka 560077",Kannuru,13.0960263,77.6502644,ChIJX6sAFbJbozsRtMY5RINEnl0,https://www.google.com/maps/place/?q=place_id:ChIJX6sAFbJbozsRtMY5RINEnl0,part_375,2026-09-20 20:54:59
Purplerings,Event Planners/Wedding Planners,Wedding planner,Wedding planner,801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 98860 56772,http://purplerings.in/,4.9,,"No 15, Green Theory Community, Convent Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025","Srinivas Nagar, Shanthala Nagar, Ashok Nagar",12.9683345,77.6027464,ChIJo6SWFewXrjsRrOxhDyehFM8,https://www.google.com/maps/place/?q=place_id:ChIJo6SWFewXrjsRrOxhDyehFM8,part_375,2026-09-20 20:54:59
Milaap Weddings,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Party planner, Wedding service",801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 99262 88081,https://milaapweddings.com/,4.5,,"62, Telephone Nagar, Indore, Madhya Pradesh 452018",Telephone Nagar,22.7226398,75.90325539999999,ChIJ81corsziYjkRxliszt8t-IQ,https://www.google.com/maps/place/?q=place_id:ChIJ81corsziYjkRxliszt8t-IQ,part_375,2026-09-20 20:54:59
FNP Weddings,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Entertainment agency, Event management company, Event planner, Party planner, Wedding photographer, Wedding service",801106,Bihar Circle,Patna HQ Region,Patna Division,IIT Patna Bihta SO,+91 97113 01288,https://www.fnpweddings.com/,4.3,,"FNP Estate, Ashram Marg, Sultanpur Mandi Rd, DLF Farms, New Delhi, Delhi 110030","Chhatarpur Farms, DLF Farms",28.4795743,77.162398,ChIJucTCskweDTkRkEVTvKqaoDI,https://www.google.com/maps/place/?q=place_id:ChIJucTCskweDTkRkEVTvKqaoDI,part_375,2026-09-20 20:54:59
