business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bigbasket Werehouse,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 99055 58686,N/A,4.1,23.0,"GXJX+VV3, Mahangupur, Patna, Badipur, Bihar 801109",Mahangupur,25.532249399999998,84.9996926,ChIJi4a_FFir8jkRcIwpNBxHUvc,https://www.google.com/maps/place/?q=place_id:ChIJi4a_FFir8jkRcIwpNBxHUvc,part_375,2026-09-20 20:56:01
Patanjali Arogya Kendra,Departmental Store,Department store,Department store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 89696 71220,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-grocery-stores-danapur-patna-268309/Home?utm_source=locator&utm_medium=googleplaces,5.0,2.0,"Ground Floor, Naubatpur, Danapur, near Punjab National Bank, Patna, Bihar 801109",801109,25.499631899999997,84.96027,ChIJ2V0JIr-r8jkRY8E1ZVm_99E,https://www.google.com/maps/place/?q=place_id:ChIJ2V0JIr-r8jkRY8E1ZVm_99E,part_375,2026-09-20 20:56:01
Binod Jee Dal Mil Nisarpura Bank Of India,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 74794 63355,N/A,4.4,5.0,"Dulhin Bazar - Naubatpur Rd, Kopa Khurd, Bihar 801109",801109,25.477268,84.9551505,ChIJ9Uyexnyt8jkRw2d0ar8wkIU,https://www.google.com/maps/place/?q=place_id:ChIJ9Uyexnyt8jkRw2d0ar8wkIU,part_375,2026-09-20 20:56:01
ROCKY GENERAL STORE,Departmental Store,Indian grocery store,Indian grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 85418 79762,N/A,5.0,3.0,"GX37+2CF, Naubatpur, Nizampur, Bihar 801109",801109,25.502566299999998,84.96353549999999,ChIJm1lCWQCr8jkR9qau3luCWyo,https://www.google.com/maps/place/?q=place_id:ChIJm1lCWQCr8jkR9qau3luCWyo,part_375,2026-09-20 20:56:01
Reena Grocery Shop,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",N/A,N/A,,,"GX37+J5H, Lodipur, Bihar 801109",801109,25.5040539,84.96298279999999,ChIJQf7qmnir8jkRXkFd7se8nMs,https://www.google.com/maps/place/?q=place_id:ChIJQf7qmnir8jkRXkFd7se8nMs,part_375,2026-09-20 20:56:01
Asha Grocery Shop,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",N/A,N/A,,,"GX46+3MG, Danapur Naubatpur Rd, Naubatpur, Lodipur, Bihar 801109",801109,25.5051772,84.96171679999999,ChIJSz3__LCr8jkRAwaMa73H-_c,https://www.google.com/maps/place/?q=place_id:ChIJSz3__LCr8jkRAwaMa73H-_c,part_375,2026-09-20 20:56:01
Pinki Grocery Shop,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",N/A,N/A,,,"GX37+73M, Nizampur, Bihar 801109",801109,25.503221099999998,84.9626609,ChIJYR22wOGr8jkRtu58xNlfuBs,https://www.google.com/maps/place/?q=place_id:ChIJYR22wOGr8jkRtu58xNlfuBs,part_375,2026-09-20 20:56:01
Kameshwar Grocery Shop,Departmental Store,Grocery store,Grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",N/A,N/A,,,"GX25+PHR, Bihta - Daniyawan - Sarmera Rd, Naubatpur, Nizampur, Bihar 801109",801109,25.501865199999997,84.9588843,ChIJeUMQxger8jkRixi2mZ1gk2g,https://www.google.com/maps/place/?q=place_id:ChIJeUMQxger8jkRixi2mZ1gk2g,part_375,2026-09-20 20:56:01
"Kumar Enterprises, शकुंतला भवन, तिसखोरा, मसौढ़ी",Departmental Store,Shop supermarket furniture store,Shop supermarket furniture store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 82289 99881,N/A,4.2,,"Naubatpur - Masaurhi Rd, Tiskhora, Bihar 804452",801109,25.393009499999998,84.940601,ChIJ6dICUVOt8jkR9RNEaWwyyEQ,https://www.google.com/maps/place/?q=place_id:ChIJ6dICUVOt8jkR9RNEaWwyyEQ,part_375,2026-09-20 20:56:02
Nath Plazza,Departmental Store,Corporate office,"Corporate office, Business center, Shopping mall, Supermarket",801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",+91 93341 46822,N/A,5.0,,"139, National Highway, Simra, Manhgupur, Bihar 801105",801109,25.5347252,85.00683149999999,ChIJL7jeHqmr8jkRrB1jo_H6rA0,https://www.google.com/maps/place/?q=place_id:ChIJL7jeHqmr8jkRrB1jo_H6rA0,part_375,2026-09-20 20:56:02
Abdul Home,Departmental Store,Indian grocery store,Indian grocery store,801109,Bihar circle,Patna HQ Region,Patna Division,"APiplawan BO, Ajwan BO, Amarpura BO",N/A,N/A,5.0,,"HW29+9GG, Madhopur, Bihar 801111",801109,25.5509411,84.91882369999999,ChIJzx3SPQBVjTkRqS5uzKoupY4,https://www.google.com/maps/place/?q=place_id:ChIJzx3SPQBVjTkRqS5uzKoupY4,part_375,2026-09-20 20:56:02
