business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Zone Connect by The Park Patna,Hotel,Hotel,"Hotel, Banquet hall, Resort hotel, Restaurant",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 90316 58401,https://www.zonebythepark.com/patna-hotels/zone-connect-by-the-park-patna,4.7,,"Bhelura Rampur, Via, Danapur Naubatpur Rd, More, Shivala Par, Bihar 801109",More,25.539545999999998,84.9798684,ChIJX622FN2r8jkRFRYxZVDaUXY,https://www.google.com/maps/place/?q=place_id:ChIJX622FN2r8jkRFRYxZVDaUXY,part_376,2026-09-20 20:19:32,4083
Hotel SilkHouse Premier,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 90318 06702,https://silkhousehotels.com/,4.8,,"Hotel Silkhouse Premier, Saguna Khagaul Rd, near Indian Oil petrol pump, Lekha nagar, Kaliket Nagar, Patna, Bihar 801503","Lekha nagar, Kaliket Nagar",25.6073494,85.04276689999999,ChIJe-dOwrZX7TkRp0LAU70GW5s,https://www.google.com/maps/place/?q=place_id:ChIJe-dOwrZX7TkRp0LAU70GW5s,part_376,2026-09-20 20:19:32,4084
Surya Hotel,Hotel,Hotel,"Hotel, Banquet hall, Restaurant, Spa",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,https://suryahotel.in/,4.7,,"Tribhuvan More, Danapur - Khagaul Rd, opp. Surya Eco City, Mustafapur, Patna, Bihar 801503",Mustafapur,25.5989658,85.0439562,ChIJv97n5dVX7TkRZw4AEQAPvhM,https://www.google.com/maps/place/?q=place_id:ChIJv97n5dVX7TkRZw4AEQAPvhM,part_376,2026-09-20 20:19:32,4085
Hotel Radhey Krishna,Hotel,Guest house,"Guest house, Hotel",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 93341 34500,N/A,4.3,,"Bhawani Mandir, Naubatpur Main Road N.H -139, Chakmusa Rd, Nakti, Phulwari sharif, Bhusaula Danapur Chak, Patna, Bihar 801505","Nakti, Phulwari sharif",25.5440282,85.0212554,ChIJhzyyIgCr8jkR_XyaqTzTMlo,https://www.google.com/maps/place/?q=place_id:ChIJhzyyIgCr8jkR_XyaqTzTMlo,part_376,2026-09-20 20:19:32,4086
Hotel O by OYO UDAAN BANQUET & FILMS,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 124 620 1185,https://www.oyorooms.com/230562/,3.2,,"KHATA NO 48 PLOT NO1233, 1258, UDAY PATH, behind KARWAIT FACTORY, near RAMJANKI MANDIR, Patna, Bihar 801105",801113,25.568830499999997,85.03,ChIJv97yMAhX7TkRtkT6LcT6Jgk,https://www.google.com/maps/place/?q=place_id:ChIJv97yMAhX7TkRtkT6LcT6Jgk,part_376,2026-09-20 20:19:32,4087
Bihari Inn Hotel,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,4.5,,"Saguna Khagaul Rd, near DAV School, Mustafapur, Patna, Bihar 801105",Mustafapur,25.6021052,85.0409773,ChIJyc82TDtX7TkRU0VAqKPdcA4,https://www.google.com/maps/place/?q=place_id:ChIJyc82TDtX7TkRU0VAqKPdcA4,part_376,2026-09-20 20:19:32,4088
PS Marriott Hotel,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 99555 91381,N/A,4.3,,"Danapur - Khagaul Rd, near Presidency Global School, Kaliket Nagar, Patna, Bihar 801105",Kaliket Nagar,25.6028193,85.04397709999999,ChIJYRKs5R1X7TkR6LjoCljzTOY,https://www.google.com/maps/place/?q=place_id:ChIJYRKs5R1X7TkR6LjoCljzTOY,part_376,2026-09-20 20:19:32,4089
Hotel O by OYO Buddham Guest House,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 124 620 1185,https://www.oyorooms.com/352396/,4.2,,"PLOT no 3, near Babhanpura, Phulwari sharif, Patna, Babhanpura, Bihar 801505",Phulwari sharif,25.5421645,85.0283788,ChIJ6eE2uWqp8jkRcj9S7CE4p5I,https://www.google.com/maps/place/?q=place_id:ChIJ6eE2uWqp8jkRcj9S7CE4p5I,part_376,2026-09-20 20:19:32,4090
Hotel O by OYO Annapurna Restaurant & Hotel,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 124 620 1185,https://www.oyorooms.com/300395/,5.0,,"Plot No-01, Near Hungama World water park, Shivala Bihta Road, Kanhauli, Bihta, Patna, Bihar 801111",801113,25.5820674,84.93455879999999,ChIJiz027j2rkjkR-N-Hzb25gJw,https://www.google.com/maps/place/?q=place_id:ChIJiz027j2rkjkR-N-Hzb25gJw,part_376,2026-09-20 20:19:32,4091
Hotel Paradise Premier,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,4.8,,"Saguna Khagaul Rd, behind Curis Hospital, Saguna More, Balaji Nagar, New Tarachak, R K Puram, Patna, Bihar 801503","Saguna More, Balaji Nagar, New Tarachak, R K Puram",25.6163615,85.0403187,ChIJk0Rc385X7TkRP0kDP8ICTdc,https://www.google.com/maps/place/?q=place_id:ChIJk0Rc385X7TkRP0kDP8ICTdc,part_376,2026-09-20 20:19:32,4092
The Tej Continental,Hotel,Extended stay hotel,"Extended stay hotel, Hotel, Restaurant",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 78560 17858,https://thetejcontinental.com/,5.0,,"AIIMS Rd, near The Royal Bihar, opposite to AIIMS Main Gate, Saida Nagar Colony, Cheddi Tola, Khagaul, Patna, Bihar 801505","Saida Nagar Colony, Cheddi Tola, Khagaul",25.5660225,85.04288799999999,ChIJPS2hLoep8jkRoDNaulUfYE0,https://www.google.com/maps/place/?q=place_id:ChIJPS2hLoep8jkRoDNaulUfYE0,part_376,2026-09-20 20:19:32,4093
Hotel O by OYO R K Marriage Hall and Guest House,Hotel,Hotel,Hotel,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 124 620 1185,https://www.oyorooms.com/234832/,4.1,,"Plot No- 3880, Shivala Bihta Main Road, near Anpurna Hotel, Painal, Patna, Bihar 801111",801113,25.582009499999998,84.9343112,ChIJ8yWQvYVVjTkR8ckoHb1doTU,https://www.google.com/maps/place/?q=place_id:ChIJ8yWQvYVVjTkR8ckoHb1doTU,part_376,2026-09-20 20:19:32,4094
Hotel Ramta Continental | Best Hotels in Patna,Hotel,Hotel,"Hotel, Banquet hall, Restaurant",801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",+91 92638 02962,https://ramtacontinental.com/,4.6,,"Hotel Ramta Continental, St. Karen's Secondary School, Balaji Nagar, Patna, Bihar 801503",Balaji Nagar,25.6105733,85.0417788,ChIJ6bc5GwBX7TkRgxPsbYqxsZk,https://www.google.com/maps/place/?q=place_id:ChIJ6bc5GwBX7TkRgxPsbYqxsZk,part_376,2026-09-20 20:19:32,4095
