business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mahaveer Multi Store,Multi-location Retail Chains,Home goods store,Home goods store,801113,Bihar Circle,Patna HQ Region,Patna Division,"NEORA S.O, ANDA BO, BALUA BO",N/A,N/A,3.0,2.0,"near Neori, Neori, Bihar 801113",Neori,25.5615618,84.9880048,ChIJnXrab8Sr8jkRosrapCSk75o,https://www.google.com/maps/place/?q=place_id:ChIJnXrab8Sr8jkRosrapCSk75o,part_376,2026-09-20 20:19:49,6205
Subham Kirana Store,Multi-location Retail Chains,General store,General store,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 62876 02890,N/A,5.0,,"Hilsa, Bihar 801302",801302,25.3066456,85.2759775,ChIJf67Hjp2X8jkRyLe-6FCXQWs,https://www.google.com/maps/place/?q=place_id:ChIJf67Hjp2X8jkRyLe-6FCXQWs,part_376,2026-09-20 20:21:23,11926
General atore,Multi-location Retail Chains,General store,General store,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",N/A,N/A,5.0,,"876J+VVR, Tharthari - Hilsa Rd, Hilsa, Bihar 801302",801302,25.3122363,85.28213629999999,ChIJH_MXNlaX8jkRf8V7F805pnw,https://www.google.com/maps/place/?q=place_id:ChIJH_MXNlaX8jkRf8V7F805pnw,part_376,2026-09-20 20:21:23,11927
Reliance Smart Point,Multi-location Retail Chains,Grocery store,Grocery store,801303,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Islampur SO Nalanda, Aatma BO, Arjunsarthuya BO",N/A,N/A,4.1,352.0,"62F3+5HP, Kako Rd, Nizamuddinpur, Adarsh Colony, Jehanabad, Bihar 804417","Nizamuddinpur, Adarsh Colony",25.2234165,85.00398539999999,ChIJ2-ZLKZC18jkRjeGJgJcFUS4,https://www.google.com/maps/place/?q=place_id:ChIJ2-ZLKZC18jkRjeGJgJcFUS4,part_376,2026-09-20 20:22:07,13094
Retail Way,Multi-location Retail Chains,Supermarket,Supermarket,801307,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Bhathar SO, Amraura BO, Bansdih BO",+91 99101 49915,https://retailway.in/,5.0,9.0,"Mez & 1st Floor, A83, Pocket D, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020","Pocket D, Okhla Phase II, Okhla Industrial Estate",28.5386293,77.26949259999999,ChIJg1AjEbrjDDkR646zdv-xQzU,https://www.google.com/maps/place/?q=place_id:ChIJg1AjEbrjDDkR646zdv-xQzU,part_376,2026-09-20 20:25:08,18838
Zudio - Skrepl Sai Mani Orchid Mall,Multi-location Retail Chains,Clothing store,Clothing store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 91360 62963,https://www.zudio.com/,4.2,,"SKREPL Mani Orchid, Bailey Road, Main Bailley Road, Patna, Bihar 801503","RPS More, Shri Krishna Puram",25.6172801,85.0501341,ChIJ69dcfytX7TkRrXMwkA7Ay7A,https://www.google.com/maps/place/?q=place_id:ChIJ69dcfytX7TkRrXMwkA7Ay7A,part_376,2026-09-20 20:25:55,22841
Kashyap Business Park,Multi-location Retail Chains,Supermarket,Supermarket,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",N/A,N/A,4.2,,"3, Bailey Rd, Near Khajpura Shiv Mandir, Ashokpuri, Khajpura, Patna, Bihar 800014","Ashokpuri, Khajpura",25.606044999999998,85.0771378,ChIJsXYrW7hX7TkR3skwqyKtjog,https://www.google.com/maps/place/?q=place_id:ChIJsXYrW7hX7TkR3skwqyKtjog,part_376,2026-09-20 20:25:57,22842
Reliance SMART Bazaar,Multi-location Retail Chains,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-buddha-marg-patna-280140/Home,3.9,,"K P Mall, Buddh Marg, opposite Iskcon Temple, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.6057319,85.1337413,ChIJ02iYKctZ7TkRc3yUA5Z_hlQ,https://www.google.com/maps/place/?q=place_id:ChIJ02iYKctZ7TkRc3yUA5Z_hlQ,part_376,2026-09-20 20:25:57,22843
Subhadra Market,Multi-location Retail Chains,Supermarket,Supermarket,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 92795 82846,N/A,5.0,,"Lord Siva and Mahavir mandir, Ranjan Path, Near lane.:- 10, Gola Rd, Dhanaut, Danapur, Bihar 801503","Vastu Ganga Colony, Shri Krishna Puram, Dhanaut",25.6192139,85.0550432,ChIJG_vL7BhX7TkRcULPHUewY_0,https://www.google.com/maps/place/?q=place_id:ChIJG_vL7BhX7TkRcULPHUewY_0,part_376,2026-09-20 20:25:57,22844
9to9 Super Market,Multi-location Retail Chains,Supermarket,Supermarket,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",N/A,https://www.9to9patna.com/,4.0,,"Ramnagri Rd, Engineer's Colony, Indrapuri, Patna, Bihar 800025","Engineer's Colony, Indrapuri",25.615100899999998,85.0823879,ChIJfRiMz7xX7TkRYOLffCVWIdE,https://www.google.com/maps/place/?q=place_id:ChIJfRiMz7xX7TkRYOLffCVWIdE,part_376,2026-09-20 20:25:57,22845
