business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.S SMART GARAGE & DETAILING STUDIO,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 99422 40500,https://ss-smartgarage.netlify.app/,4.9,,"Sohdih, Sohsarai, Bihar Sharif, Bihar 803118","Sohdih, Sohsarai",25.232479899999998,85.5080425,ChIJjwMWSgCN8jkRC5rG9Uae4kE,https://www.google.com/maps/place/?q=place_id:ChIJjwMWSgCN8jkRC5rG9Uae4kE,part_376,2026-09-20 20:20:05
SR AUTOMOBILES,Car Repair Workshop and Garage,Auto body shop,"Auto body shop, Auto repair shop",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 93346 79552,N/A,4.5,,"Lohgani More, Bihar Sharif, Bihar 803101",801301,25.2156807,85.5259907,ChIJmVuQfQD18jkRKoSO1yJX5hw,https://www.google.com/maps/place/?q=place_id:ChIJmVuQfQD18jkRKoSO1yJX5hw,part_376,2026-09-20 20:20:05
Mahindra Service Center,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 72830 06406,https://www.withyouhamesha.com/,3.9,,"Moratalao, Bihar 803118",801301,25.253478899999998,85.51715759999999,ChIJy7I9HIOM8jkRQPWsJT0Tnm4,https://www.google.com/maps/place/?q=place_id:ChIJy7I9HIOM8jkRQPWsJT0Tnm4,part_376,2026-09-20 20:20:05
New Zarurat Automobiles,Car Repair Workshop and Garage,Auto body parts supplier,Auto body parts supplier,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 93864 42835,N/A,4.8,,"6G28+CQJ, Palika Market, Ranchi Road, Bihar Sharif, Bihar 803101",Patel Nagar,25.201096999999997,85.51690459999999,ChIJYdC5B1nz8jkRlg9J13vpmzs,https://www.google.com/maps/place/?q=place_id:ChIJYdC5B1nz8jkRlg9J13vpmzs,part_376,2026-09-20 20:20:05
Yamaha-Harsh Automobile Hilsa,Car Repair Workshop and Garage,Motorcycle shop,"Motorcycle shop, Motorcycle insurance agency",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 97073 68878,N/A,4.0,,"EKANGAR ROAD, near INDIAN OIL(OLD) PETROL PUMP, Hilsa, Bihar 801302",801301,25.3018997,85.2702683,ChIJSdreDhyX8jkROuIctuWFbXQ,https://www.google.com/maps/place/?q=place_id:ChIJSdreDhyX8jkROuIctuWFbXQ,part_376,2026-09-20 20:20:05
SADAM TOTO REPAIR CENTRE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 99058 75330,N/A,,,"SHOP NO,O, Biharsharif - Katrisarai Rd, near JAMIYA SCHOOL, Mahalpar, Bihar Sharif, Bihar 803101",Mahalpar,25.193115,85.5292465,ChIJP04RRbf18jkRkt65On2maj0,https://www.google.com/maps/place/?q=place_id:ChIJP04RRbf18jkRkt65On2maj0,part_376,2026-09-20 20:20:05
Hyundai Service Lalz Hyundai,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 72500 53000,https://www.google.com/search?q=lalz+hyundai+patna&client=ms-android-oneplus-rvo3&sxsrf=APq-WBs9NWOY_qNk89a2X99VSr5v1k8AtA%3A1647074315742&ei=C1wsYtTjLNXYz7sPztm64A8&gs_ssp=eJzj4tVP1zc0TIlPSitOKs4yYLRSNagwtkxNMTVPMjI3BQJDA2MrgwpL0zQjU1PjZANTIwPLNItkL6GcxJwqhYzK0ryUxEyFgsSSvEQACT8Vxg&oq=lalz+hyundai+&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYATIECCMQJzILCC4QgAQQxwEQrwEyBggAEBYQHjIFCCEQoAE6BwgjELADECc6BwgAEEcQsAM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6BQguEJECOgsILhDHARCvARCRAjoICAAQgAQQsQM6BQguEIAEOgsIABCABBCxAxCDAToECAAQQzoFCAAQkQI6CAguEIAEELEDOgQILhBDOgUIABCABDoECAAQCjoHCAAQsQMQCjoKCC4QxwEQrwEQJzoICAAQFhAKEB5KBAhBGABQkgtYnF5gznloAnABeAWAAYMNiAHVUZIBDzItNS4xLjIuMy40LjEuMZgBAKABAbABD8gBCcABAQ&sclient=mobile-gws-wiz-serp,4.7,,"Plot No - 73, Near Sipara, Rajendra Nagar Over Bridge, Dasratha, Anisabad, Patna, Bihar 800032","Dasratha, Anisabad",25.5831548,85.1232228,ChIJh8w0fB2o8jkR1u-nduOGrAI,https://www.google.com/maps/place/?q=place_id:ChIJh8w0fB2o8jkR1u-nduOGrAI,part_376,2026-09-20 20:20:05
TVS - Dirghau Velocity,Car Repair Workshop and Garage,Two Wheeler Dealer,"Two Wheeler Dealer, Auto parts store, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 78240 06462,https://showroom.tvsmotor.com/,3.7,,"Ground Floor, Sundibigha, Sundh Bigha, Ekangarsarai, Bihar 801301",Sundh Bigha,25.222463599999998,85.2387409,ChIJ0_phU5q_8jkR-VKdPtM8PXo,https://www.google.com/maps/place/?q=place_id:ChIJ0_phU5q_8jkR-VKdPtM8PXo,part_376,2026-09-20 20:20:05
AUTOGENUINE PROJECTS SALES & SERVICE PRIVATE LIMITED,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 74888 79019,https://www.renault.co.in/find-a-dealer.html,4.0,2.0,"H4H2+R95, HARINICHK SCHOOL ROAD, MORE, above 300MTR SOUTH FROM, P.S, Beur, Patna, Bihar 800002","P.S, Beur",25.579503799999998,85.1009699,ChIJlRXtIQKo8jkRdpUnasqrgXg,https://www.google.com/maps/place/?q=place_id:ChIJlRXtIQKo8jkRdpUnasqrgXg,part_376,2026-09-20 20:20:06
GEAR TECH GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 85559 36110,N/A,5.0,,"13A, Kakatiya Hills, ALEAP Industrial Area, Kukatpally, Hyderabad, Telangana 500090","Kakatiya Hills, ALEAP Industrial Area, Kukatpally",17.529412,78.3951027,ChIJczhxCNOPyzsRsDQY5qR89tE,https://www.google.com/maps/place/?q=place_id:ChIJczhxCNOPyzsRsDQY5qR89tE,part_376,2026-09-20 20:20:07
