business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sumit Digital Marketing,Growth Marketing,Artist,Artist,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 79034 58789,N/A,5.0,1.0,"Ranapratap Nagar, Islampur, Bihar 801303",Ranapratap Nagar,25.1429543,85.2051451,ChIJycM1YcDB8jkRgTzZnZbJIhQ,https://www.google.com/maps/place/?q=place_id:ChIJycM1YcDB8jkRgTzZnZbJIhQ,part_376,2026-09-20 20:20:32
Gupta Digital Growth - Best Digital Marketing Service Provider in Muzaffarpur,Growth Marketing,Internet marketing service,"Internet marketing service, Marketing agency",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 79911 52919,https://682f09fc5eca8.site123.me/,5.0,18.0,"Chandralok Chowk, Shyamnandan Rd, Nayatola, Pokhraira, Muzaffarpur, Bihar 842002","Nayatola, Pokhraira",26.117337,85.3835031,ChIJhdRdjWYR7TkRxTS4HFhThZE,https://www.google.com/maps/place/?q=place_id:ChIJhdRdjWYR7TkRxTS4HFhThZE,part_376,2026-09-20 20:20:32
GROWN DIGITAL MARKETING COMPANY,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Website designer",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 99392 34658,https://growndigitalsolutions.com/,5.0,11.0,"near Punjab National Bank Kaluahi, Gillation Market Campus, Madhubani, Bihar 847229",Gillation Market Campus,26.3433763,86.0652767,ChIJeSSuFPAx7DkRgozdx_JpAu8,https://www.google.com/maps/place/?q=place_id:ChIJeSSuFPAx7DkRgozdx_JpAu8,part_376,2026-09-20 20:20:32
GROWN DIGITAL - MADHUBANI,Growth Marketing,Internet marketing service,Internet marketing service,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 99392 34658,https://www.growndigitalsolutions.com/,5.0,4.0,"GROWN DIGITAL Marketing Company, near Annpurna Dharm Kaanta, Kaluahi, Bihar 847229",801301,26.4537893,86.05633329999999,ChIJm9gDbr8z7DkRTdk1AXJ2obg,https://www.google.com/maps/place/?q=place_id:ChIJm9gDbr8z7DkRTdk1AXJ2obg,part_376,2026-09-20 20:20:32
upGrowth,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Marketing consultant",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 97663 34689,https://upgrowth.in/,4.2,57.0,"upGrowth, 801301, India",801301,21.0680074,82.7525294,ChIJBWdsYYS_wjsRnKuDZU6as-s,https://www.google.com/maps/place/?q=place_id:ChIJBWdsYYS_wjsRnKuDZU6as-s,part_376,2026-09-20 20:20:32
Wildnet Technologies Ltd.,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Business management consultant, Business to business service, Computer support and services, Internet marketing service, Marketing consultant, Software company, Website designer",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 88004 40643,https://www.wildnettechnologies.com/?utm_source=google&utm_medium=organic,4.2,,"A 30, A Block, Sector 63, Noida, Uttar Pradesh 201301","A Block, Sector 63",28.631076999999998,77.3809984,ChIJL66x4vjvDDkRojw_ipPB9NA,https://www.google.com/maps/place/?q=place_id:ChIJL66x4vjvDDkRojw_ipPB9NA,part_376,2026-09-20 20:20:33
Yuktantra,Growth Marketing,Website designer,"Website designer, Service establishment",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",N/A,https://www.yuktantra.com/,5.0,,"Yuktantra, 801301, India",801301,23.592283,85.8540773,ChIJWd_I-gX1f4oRk5JL-1gFoJw,https://www.google.com/maps/place/?q=place_id:ChIJWd_I-gX1f4oRk5JL-1gFoJw,part_376,2026-09-20 20:20:33
Growth Attached,Growth Marketing,Marketing agency,Marketing agency,801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",+91 79881 65851,https://growthattached.com/,,,"Level 18, Tower A, Building Number 5, DLF Epitome, Suite 18, The Executive Centre, Gurugram, Haryana 122002","DLF Cyber City, DLF Phase 2, Sector 24",28.4902871,77.0923471,ChIJc5g2Ps97Y0ERgqu0hD5loes,https://www.google.com/maps/place/?q=place_id:ChIJc5g2Ps97Y0ERgqu0hD5loes,part_376,2026-09-20 20:20:33
Ruins of Nalanda University Bihar,Growth Marketing,Archaeological site,"Archaeological site, Garden, Tourist attraction",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",N/A,N/A,4.6,,"Nalanda University Site Rd, Mohanpur, Bargaon, Bihar 803111",801301,25.1366455,85.4422745,ChIJww2t1DHz8jkRvg3ACV2LKC0,https://www.google.com/maps/place/?q=place_id:ChIJww2t1DHz8jkRvg3ACV2LKC0,part_376,2026-09-20 20:20:33
Growth Marketing LLC,Growth Marketing,Marketing agency,"Marketing agency, Service establishment",801301,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Ekangersarai SO, Aungari BO, Bajitpur Khiruti BO",N/A,https://growthmarketing.llc/,5.0,,"Growth Marketing LLC, 801301, India",801301,31.9388716,-52.1117542,ChIJFSxpWVBiwIoRai3hUU8v9i8,https://www.google.com/maps/place/?q=place_id:ChIJFSxpWVBiwIoRai3hUU8v9i8,part_376,2026-09-20 20:20:33
