business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHIVA the cafeteria service,Cafe and Coffee Shop,Cafe,Cafe,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 89697 71484,N/A,4.5,,"Bihari Rd, Hilsa, Bihar 801302",801302,25.3127905,85.2813101,ChIJVyu8tVKX8jkR6k6WuMNEHlc,https://www.google.com/maps/place/?q=place_id:ChIJVyu8tVKX8jkR6k6WuMNEHlc,part_376,2026-09-20 20:20:41
CSC HILSA PATEL NAGAR HILSA,Cafe and Coffee Shop,Cafe,Cafe,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 95075 81846,http://csc.com/,4.1,,"Hilsa, Bihar 801302",801302,25.3092717,85.2778582,ChIJh79PAgSW8jkR_CHVspc7oA8,https://www.google.com/maps/place/?q=place_id:ChIJh79PAgSW8jkR_CHVspc7oA8,part_376,2026-09-20 20:20:41
Sunil coffee stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",N/A,N/A,5.0,,"C5RC+7XM, Dhanarua, Bihar 804451",801302,25.4406654,85.17232399999999,ChIJo2Q4IgCl8jkRLjbd0nmkRYE,https://www.google.com/maps/place/?q=place_id:ChIJo2Q4IgCl8jkRLjbd0nmkRYE,part_376,2026-09-20 20:20:41
B.TACH FAIL Chaiwala,Cafe and Coffee Shop,Coffee shop,Coffee shop,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 88639 27915,N/A,5.0,,"9F43+X6C, Narsanda, Bihar 803110",801302,25.3574327,85.4530187,ChIJRcuKJwCP8jkR4gbA9rhongg,https://www.google.com/maps/place/?q=place_id:ChIJRcuKJwCP8jkR4gbA9rhongg,part_376,2026-09-20 20:20:41
Hotel,Cafe and Coffee Shop,Coffee shop,Coffee shop,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",N/A,N/A,4.0,,"86H8+J7X, Pabheri - Hilsa Rd, Maranchi, Bihar 801302",801302,25.329114099999998,85.21574609999999,ChIJhR7BRQC98jkRd2PCTuLUAag,https://www.google.com/maps/place/?q=place_id:ChIJhR7BRQC98jkRd2PCTuLUAag,part_376,2026-09-20 20:20:41
Sutta Point,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Tea house",801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 76316 46504,N/A,3.6,,"874G+VHP, Patel Nagar Road, SH 4, Hilsa, Bihar 801302",801302,25.307216399999998,85.276456,ChIJOXP1OwGW8jkRaVpOXj7WMJI,https://www.google.com/maps/place/?q=place_id:ChIJOXP1OwGW8jkRaVpOXj7WMJI,part_376,2026-09-20 20:20:41
Mahi Tea & Coffee Shop,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Tea store",801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 82711 63862,N/A,5.0,,"Prithviraj chauhan more, Nur Sarai, Chandpur, Bihar 803113",801302,25.2887225,85.4550778,ChIJD9FGkbSN8jkRbnXlDhcjuyE,https://www.google.com/maps/place/?q=place_id:ChIJD9FGkbSN8jkRbnXlDhcjuyE,part_376,2026-09-20 20:20:41
ANAND FARM HOUSE,Cafe and Coffee Shop,Cafe,Cafe,801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",N/A,N/A,5.0,,"Parwalpur, Anand Vihar, Hilsa, Bihar 801302",Anand Vihar,25.3249872,85.27495189999999,ChIJ2cBtOCGX8jkRsk_DYEm5m18,https://www.google.com/maps/place/?q=place_id:ChIJ2cBtOCGX8jkRsk_DYEm5m18,part_376,2026-09-20 20:20:41
The Farmhouse Cafe,Cafe and Coffee Shop,Cafe,"Cafe, Restaurant",801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 91170 00094,N/A,4.1,,"A-184, opposite Canara Bank, PC Colony, RBI Flats Colony, Kankarbagh, Patna, Bihar 800020","PC Colony, RBI Flats Colony, Kankarbagh",25.6005215,85.150654,ChIJ_WMkc4dZ7TkRaeQc1yTWW9E,https://www.google.com/maps/place/?q=place_id:ChIJ_WMkc4dZ7TkRaeQc1yTWW9E,part_376,2026-09-20 20:20:43
Caffeinators - Coffee & Tea Vending Machine and Premix / Powder,Cafe and Coffee Shop,Coffee vending machine,"Coffee vending machine, Coffee machine supplier, Coffee shop, Coffee store, Coffee wholesaler, Machine repair service, Tea Manufacturer, Tea store, Tea Wholesaler, Vending machine supplier",801302,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Hilsa SO, Akbarpur BO, Asharhi BO",+91 94311 03355,https://caffeinators.in/,4.9,564.0,"Sirajuddin Lane, Mackey Road, Ratu Rd, Ranchi, Jharkhand 834001","Ward Number 20, Deputy Para, Ahirtoli",23.3770356,85.3194141,ChIJ721r-4nh9DkR_EYbuaw1SVQ,https://www.google.com/maps/place/?q=place_id:ChIJ721r-4nh9DkR_EYbuaw1SVQ,part_376,2026-09-20 20:20:44
