business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sanjeevni Ayurved,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 98889 92362,N/A,4.9,,"Sanjeevni Ayurved Ashiyana Digha Road, Street Number 2, opposite Centre Revenue Calony Gate, near Bandhan Bank, Patna, Bihar 800025","Abhiyanta Nagar, Ram Nagari, Rukanpura",25.6180277,85.0822955,ChIJ8XKG7mFX7TkRlg41eyuH3j4,https://www.google.com/maps/place/?q=place_id:ChIJ8XKG7mFX7TkRlg41eyuH3j4,part_376,2026-09-20 20:22:18
Ayurbandhu Ayurvedic & Panchakarma Centre,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Alternative medicine practitioner, Aromatherapy service, Herbal medicine store, Massage therapist, Organic drug store, Pregnancy care center, Spa and health club",801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 92431 08210,http://www.ayurbandhu.com/,5.0,43.0,"no 43/1, kottakkal arya vaidya sala, Udayanagar, A Narayanapura, B Narayanapura, Dooravani Nagar, Bengaluru, Karnataka 560016","A Narayanapura, B Narayanapura, Dooravani Nagar",12.9956131,77.6722972,ChIJj2CTPDkRrjsRYsCgHED5O_Y,https://www.google.com/maps/place/?q=place_id:ChIJj2CTPDkRrjsRYsCgHED5O_Y,part_376,2026-09-20 20:22:19
Ayush Ayurveda Clinic and Pharmacy,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",N/A,https://www.facebook.com/profile.php?id=100076073678271,4.9,27.0,"Kottamuri, near new electricals, Mala, Kuruvilassery, Kerala 680732",801304,10.2402201,76.2786423,ChIJxbmaPhIDCDsR6eZe60IDchU,https://www.google.com/maps/place/?q=place_id:ChIJxbmaPhIDCDsR6eZe60IDchU,part_376,2026-09-20 20:22:19
Ayurgreen Ayurveda Clinic and Pharmacy,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Doctor",801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",N/A,N/A,5.0,1.0,"10/264-N5 Ganapathy Complex Old Bus stand (opp to Signal, pathway, near Orange Bakery, Gudalur, Tamil Nadu 643211",801304,11.501186299999999,76.49226039999999,ChIJp5h55LSnqDsRjNxKaWr2Qsk,https://www.google.com/maps/place/?q=place_id:ChIJp5h55LSnqDsRjNxKaWr2Qsk,part_376,2026-09-20 20:22:19
AyurCentral,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,"Alternative medicine practitioner, Ayurvedic clinic",801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 90663 07127,http://www.ayurcentralonline.com/,4.7,51.0,"47, Doddanekundi Main Rd, Pragathi Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037","Pragathi Layout, Doddanekundi, Doddanekkundi",12.972855299999999,77.6933378,ChIJBxqc4X0RrjsRbbc4aKJxUQ0,https://www.google.com/maps/place/?q=place_id:ChIJBxqc4X0RrjsRbbc4aKJxUQ0,part_376,2026-09-20 20:22:19
Dr. Mani Research Centre - Best Ayurvedic Doctor of Patna,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 94310 43447,http://www.drmaniresearchcentre.com/,4.8,43.0,"Kadam Kuan, near Nala Road, behind Anubha Medical Hall, crossing, Patna, Bihar 800003","crossing, Salimpur Ahra, Dujra Diara",25.612334,85.1509973,ChIJWX1oXU1Z7TkRWlKTQd2NFz4,https://www.google.com/maps/place/?q=place_id:ChIJWX1oXU1Z7TkRWlKTQd2NFz4,part_376,2026-09-20 20:22:19
Andariki Ayurvedam,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 40 4240 8568,https://www.andarikiayurvedamonline.in/,4.2,160.0,"Chanda Nayak Thanda, Plot no 67, road, Survey Of India Ayyappa Society, Parvath Nagar, Siddhi Vinayak Nagar, Madhapur, Hyderabad, Telangana 500081","Survey Of India Ayyappa Society, Parvath Nagar, Siddhi Vinayak Nagar, Madhapur",17.454867999999998,78.3958964,ChIJ8e7bL2eRyzsRFMBghC3m-1I,https://www.google.com/maps/place/?q=place_id:ChIJ8e7bL2eRyzsRFMBghC3m-1I,part_376,2026-09-20 20:22:19
Sri Ayurved clinic,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 97047 02268,http://www.sriayurved.com/,5.0,202.0,"F978+W4J, Police Colony Rd, Vutla Sattaiah Colony, Hanuman Nagar, Gachibowli, Hyderabad, Telangana 500084","Vutla Sattaiah Colony, Hanuman Nagar, Gachibowli",17.4648125,78.3653125,ChIJ_38NPnCTyzsR9rKKBMXmdos,https://www.google.com/maps/place/?q=place_id:ChIJ_38NPnCTyzsR9rKKBMXmdos,part_376,2026-09-20 20:22:19
"Balram Ayurvedic, Nagpur",Ayurvedic Pharmacy and Clinic,Pharmacy,"Pharmacy, Alternative medicine practitioner, Ayurvedic clinic, Dry Fruit Store, Health consultant, Herb shop, Herbal medicine store, Natural goods store",801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 94231 04351,N/A,4.9,1301.0,"Temple Bazar Rd, beside HDFC near hotel sankriti, behind Apna Bandar, Sitabuldi, Nagpur, Maharashtra 440012",Sitabuldi,21.1454102,79.0827505,ChIJe8pnSOvA1DsRaRRcQw7ggbw,https://www.google.com/maps/place/?q=place_id:ChIJe8pnSOvA1DsRaRRcQw7ggbw,part_376,2026-09-20 20:22:19
Deepak Herbal India,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,801304,Bihar Circle,"East Region, Bhagalpur",Nalanda Division,"Karaipersurai SO, Arai BO, Bahapar BO",+91 80113 66990,N/A,4.5,,"Pandu Port Rd, Maligaon Chariali, Maligaon, Guwahati, Assam 781012","Maligaon Chariali, Maligaon",26.160163599999997,91.695478,ChIJkxp9kDJbWjcROjucVecUkUk,https://www.google.com/maps/place/?q=place_id:ChIJkxp9kDJbWjcROjucVecUkUk,part_376,2026-09-20 20:22:20
