business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ajay Electrical & Electronics,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Appliance store, Electric motor store, Electrical products wholesaler, Electronics wholesaler, Electrical supply store, Pipe supplier",801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 84344 79450,N/A,4.7,27.0,"Lalita Market, Bibiganj, Danapur Bazar, Danapur Cantonment, Danapur, Patna, Bihar 801503","Bibiganj, Danapur Bazar, Danapur Cantonment",25.63714,85.0473641,ChIJOxgXZvJW7TkRAL5Kw8cRZ8A,https://www.google.com/maps/place/?q=place_id:ChIJOxgXZvJW7TkRAL5Kw8cRZ8A,part_376,2026-09-20 20:25:29
METRO ELECTRIC,Electrical Goods and Lighting Store,Lighting store,"Lighting store, Electrical appliance wholesaler, Electrical equipment supplier, Electrical products wholesaler, Electrical supply store, Lighting products wholesaler, Wire and cable supplier",801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 95256 65561,N/A,5.0,7.0,"Pillar No- 183, Saguna - Danapur Main Rd, opposite Kusum Hospital, Mainpura, Danapur, Patna, Bihar 801503",Mainpura,25.6261232,85.0415635,ChIJwwiLpyVX7TkRHMWLf2jOPGY,https://www.google.com/maps/place/?q=place_id:ChIJwwiLpyVX7TkRHMWLf2jOPGY,part_376,2026-09-20 20:25:29
Electric Expert,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 612 458 3640,N/A,5.0,44.0,"Station Road, Saguna Khagaul Rd, Saguna, Mustafapur, Danapur, Patna, Bihar 801105","Saguna, Mustafapur",25.5982381,85.0425015,ChIJa98GBn1X7TkR1jBPR01OK0g,https://www.google.com/maps/place/?q=place_id:ChIJa98GBn1X7TkR1jBPR01OK0g,part_376,2026-09-20 20:25:29
Aditya Electrics,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 77590 90451,N/A,4.6,25.0,"Gola Rd, near Siddivinayak Hospital, near Shiv Mandir, Vastu Ganga Colony, Shri Krishna Puram, Danapur, Patna, Bihar 801503","Vastu Ganga Colony, Shri Krishna Puram",25.6191022,85.05545699999999,ChIJhU2ml1BW7TkRWfYzRAQnv6E,https://www.google.com/maps/place/?q=place_id:ChIJhU2ml1BW7TkRWfYzRAQnv6E,part_376,2026-09-20 20:25:29
"Singh Enterprises, Electrical Shop.",Electrical Goods and Lighting Store,Store,"Store, Electrical products wholesaler",801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",N/A,http://www.singhenterprises.com/,4.8,89.0,"Saguna more, opp. RN City Road, New A G Colony, Balaji Nagar, New Tarachak, Patna, Bihar 801503","New A G Colony, Balaji Nagar, New Tarachak",25.6108059,85.03428579999999,ChIJ99vhMW5W7TkR2ThaacXCvnI,https://www.google.com/maps/place/?q=place_id:ChIJ99vhMW5W7TkR2ThaacXCvnI,part_376,2026-09-20 20:25:29
Maa Electric,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 91232 08145,N/A,4.7,12.0,"Bibiganj Main Rd, Bibiganj, Danapur Bazar, Danapur Cantonment, Patna, Bihar 801503","Bibiganj, Danapur Bazar, Danapur Cantonment",25.6373008,85.0473904,ChIJ2-5db_JW7TkRi0ms8vtgjbo,https://www.google.com/maps/place/?q=place_id:ChIJ2-5db_JW7TkRi0ms8vtgjbo,part_376,2026-09-20 20:25:29
Rajdhani Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 93341 42520,N/A,5.0,3.0,"Bibiganj Main Rd, near CANARA BANK Bibiganj, Bibiganj, Danapur Bazar, Danapur Cantonment, Danapur, Patna, Bihar 801503","Bibiganj, Danapur Bazar, Danapur Cantonment",25.637353899999997,85.0473449,ChIJ-QSFZfJW7TkRw3Sbehi2vq8,https://www.google.com/maps/place/?q=place_id:ChIJ-QSFZfJW7TkRw3Sbehi2vq8,part_376,2026-09-20 20:25:29
SHREE ROLEX AGENCY,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electrical appliance wholesaler, Electrical supply store, Electronic parts supplier, Electronics wholesaler, Industrial equipment supplier, Light bulb supplier, Lighting store, Wholesaler household appliances",801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 95760 75294,N/A,4.8,104.0,"Anandpur, Khajpura, Patna, Bihar 800014","Anandpur, Khajpura",25.604637999999998,85.0766963,ChIJxcRMbBBX7TkRy7xeCtq-vEo,https://www.google.com/maps/place/?q=place_id:ChIJxcRMbBBX7TkRy7xeCtq-vEo,part_376,2026-09-20 20:25:29
NEW DEEP ELECTRICAL,Electrical Goods and Lighting Store,Electronics store,Electronics store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 97989 46229,N/A,4.6,5.0,"Mahavir Mandir, Rd Number 21, Bibiganj, Danapur Bazar, Rajeev Nagar, Patna, Bihar 801503","Bibiganj, Danapur Bazar, Rajeev Nagar",25.6379938,85.0487155,ChIJub78BfJW7TkR2rjlJj2I1g8,https://www.google.com/maps/place/?q=place_id:ChIJub78BfJW7TkR2rjlJj2I1g8,part_376,2026-09-20 20:25:29
Jai Santoshi maa Enterprises,Electrical Goods and Lighting Store,Electronics store,Electronics store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",N/A,N/A,5.0,2.0,"J3H8+2FJ, E Gola Rd, Vivek Vihar Colony, East, Patna, Danapur, Bihar 801503","Vivek Vihar Colony, East",25.6278367,85.06606769999999,ChIJHU7HTQBX7TkRGgPHIaJTrJg,https://www.google.com/maps/place/?q=place_id:ChIJHU7HTQBX7TkRGgPHIaJTrJg,part_376,2026-09-20 20:25:29
Rashmi Electricals,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",+91 89359 09415,N/A,4.3,4.0,"J3Q3+PJ8, Gola Rd, opp. Vishal Mega Mart, Bichaligali, Danapur, Patna, Bihar 801503",Bichaligali,25.6392882,85.0540729,ChIJ-fVw8O9W7TkRwNM65YWFF6s,https://www.google.com/maps/place/?q=place_id:ChIJ-fVw8O9W7TkRwNM65YWFF6s,part_376,2026-09-20 20:25:29
ELECTRIC POINT,Electrical Goods and Lighting Store,Electrical products wholesaler,Electrical products wholesaler,801503,Bihar Circle,Patna HQ Region,Patna Division,"D.CANTT. S.O, BEAPUR BO, CHANDMARI BO",N/A,N/A,4.8,,"Opps cafe, 11 to 11, Golamber, Phulwari Sharif, thana, Patna, Bihar 801505","Golamber, Phulwari Sharif",25.5767456,85.0684437,ChIJ8WLyM9Gp8jkRomztTSET1os,https://www.google.com/maps/place/?q=place_id:ChIJ8WLyM9Gp8jkRomztTSET1os,part_376,2026-09-20 20:25:30
