business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
POTS AND PANS - CLOUD KITCHEN,Cloud Kitchen,Restaurant,Restaurant,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 95729 00756,N/A,4.9,44.0,"KAILASH ENCLAVE, 70 Feet BPCL Rd, near SITA DIGITAL, Adarsh Nagar, Aitwarpur, Patna, Bihar 800032","Adarsh Nagar, Aitwarpur",25.5771986,85.1170571,ChIJ4ysU4PKn8jkR5kTWlPUZrQw,https://www.google.com/maps/place/?q=place_id:ChIJ4ysU4PKn8jkR5kTWlPUZrQw,part_376,2026-09-20 20:26:02
FOODOLA CLOUD KITCHEN,Cloud Kitchen,Tiffin center,Tiffin center,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",N/A,N/A,4.8,44.0,"AMAN AWAS , Road, A/8, Harishchandra Nagar Rd, near SAHARA SANDHYA HOSPITAL, New Etwarpur, Sipara, Patna, Bihar 800030","New Etwarpur, Sipara",25.5806939,85.1326886,ChIJ9fsekien8jkRanWushBH8NI,https://www.google.com/maps/place/?q=place_id:ChIJ9fsekien8jkRanWushBH8NI,part_376,2026-09-20 20:26:02
Una Kitchen,Cloud Kitchen,Restaurant,Restaurant,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 82108 16506,N/A,4.8,48.0,"Magadh Vihar Colony Rd, Fiya Colony, Maulana Azad Nagar, Phulwari Sharif, Patna, Bihar 801105","Fiya Colony, Maulana Azad Nagar, Phulwari Sharif",25.5782126,85.0583731,ChIJy3htLyVZ7TkR9l7VB3ozoj8,https://www.google.com/maps/place/?q=place_id:ChIJy3htLyVZ7TkR9l7VB3ozoj8,part_376,2026-09-20 20:26:02
Shree Annapurna cloud kitchen,Cloud Kitchen,Coffee shop,Coffee shop,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",N/A,N/A,5.0,6.0,"H4M3+FQC, Vishnupuri Rd, Shivpuri, Chitkohra, Patna, Bihar 800002","Shivpuri, Chitkohra",25.5836971,85.1043389,ChIJGWLNdgBX7TkRVP_zhfysnRM,https://www.google.com/maps/place/?q=place_id:ChIJGWLNdgBX7TkRVP_zhfysnRM,part_376,2026-09-20 20:26:02
Maa parwati cloud kitchen,Cloud Kitchen,Tiffin Service Provider,"Tiffin Service Provider, Hotel",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",N/A,N/A,5.0,1.0,"Maurya Path, Jyotipuram Colony, Khajpura, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.609554799999998,85.0756158,ChIJp3x2z9JX7TkRUzx4c7WNDsg,https://www.google.com/maps/place/?q=place_id:ChIJp3x2z9JX7TkRUzx4c7WNDsg,part_376,2026-09-20 20:26:02
Advik cloud kitchen,Cloud Kitchen,Restaurant,Restaurant,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 79039 79521,N/A,3.4,8.0,"road no 24k, Shiv shakti colony, near devaki sadan, Rajeev Nagar, Patna, Bihar 800024",Rajeev Nagar,25.6257377,85.08871979999999,ChIJoy0w4jRX7TkRRcpzO9RWk-c,https://www.google.com/maps/place/?q=place_id:ChIJoy0w4jRX7TkRRcpzO9RWk-c,part_376,2026-09-20 20:26:02
Kavita cloud kitchen,Cloud Kitchen,Soup kitchen,Soup kitchen,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",N/A,N/A,,,"G101A, Saubhagya Sharma Path, Chitrasen Nagar, Rukanpura, Patna, Bihar 800014","Chitrasen Nagar, Rukanpura",25.6071216,85.0648666,ChIJhTzTMgBX7TkR08vPmRg-gGY,https://www.google.com/maps/place/?q=place_id:ChIJhTzTMgBX7TkR08vPmRg-gGY,part_376,2026-09-20 20:26:02
Ghar Ka Zaika | Cloud Kitchen,Cloud Kitchen,Restaurant,"Restaurant, Takeout restaurant",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 92636 64181,https://www.gharkazaika.in/,5.0,2.0,"Ekta Nagar Road, 1, Khoja Imili Road, Phulwari Sharif, Patna, Bihar 800002","Purnendu Nagar, Nandan Puri, Phulwari Sharif",25.5768794,85.0826208,ChIJvQD-JGqp8jkRQ_gx9UsD1QU,https://www.google.com/maps/place/?q=place_id:ChIJvQD-JGqp8jkRQ_gx9UsD1QU,part_376,2026-09-20 20:26:02
Maryam's Cloud Kitchen,Cloud Kitchen,Takeout restaurant,Takeout restaurant,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 62990 40574,N/A,4.3,12.0,"Rd Number 2, Sector 2, Haroon Nagar, Haroon Colony Sector -II, Phulwari Sharif, Patna, Bihar 800014","Sector 2, Haroon Nagar, Haroon Colony Sector -II, Phulwari Sharif",25.5858778,85.08025889999999,ChIJyxcH7opX7TkRc9mCYrWC360,https://www.google.com/maps/place/?q=place_id:ChIJyxcH7opX7TkRc9mCYrWC360,part_376,2026-09-20 20:26:02
The Cloud Chef,Cloud Kitchen,Delivery service,Delivery service,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",N/A,N/A,3.5,19.0,"Road no 3, Ashiana - Digha Rd, near scholors abode school, Sankar Colony, Kautilya Nagar, Patna, Bihar 800025","Sankar Colony, Kautilya Nagar",25.621380199999997,85.0848754,ChIJX26fM9RX7TkRHLmlZLxUMgI,https://www.google.com/maps/place/?q=place_id:ChIJX26fM9RX7TkRHLmlZLxUMgI,part_376,2026-09-20 20:26:02
