business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Premium Lotus,Spa,Spa,"Spa, Massage spa, Massage therapist, Spa and health club, Thai massage therapist",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 62021 85336,https://thepremiumlotus.netlify.app/,5.0,28.0,"1st Floor, C.S Complex, Beur Betaura Rd, near Anisabad, opp. Shalimar Cold Storage & Bharat Petroleum, Golumber, Anisabad, Patna, Bihar 800002","Golumber, Anisabad",25.5821018,85.0971548,ChIJfWOykEtX7TkR2z1guZskMbw,https://www.google.com/maps/place/?q=place_id:ChIJfWOykEtX7TkR2z1guZskMbw,part_376,2026-09-20 20:26:21
M2M therapy center,Spa,Massage spa,Massage spa,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 89694 07962,N/A,,,"road 1, New Patna Colony, Ekta Nagar, Phulwari Sharif, Patna, Bihar 800032","New Patna Colony, Ekta Nagar, Phulwari Sharif",25.5699261,85.0998742,ChIJO8ZdrC1Z7TkRUhVlF7VEF7M,https://www.google.com/maps/place/?q=place_id:ChIJO8ZdrC1Z7TkRUhVlF7VEF7M,part_376,2026-09-20 20:26:21
The Sam's Unisex Salon and Spa,Spa,Spa,Spa,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 62044 40834,http://www.goronto.in/,4.3,18.0,"1st Floor, Naseeb Lal Market, opp. Mausam Vibhag, New Paharpur, Anisabad, Patna, Bihar 800002","New Paharpur, Anisabad",25.5812699,85.0868026,ChIJ58e6l_NX7TkRntOPGFkCoAA,https://www.google.com/maps/place/?q=place_id:ChIJ58e6l_NX7TkRntOPGFkCoAA,part_376,2026-09-20 20:26:21
Mirror Salon & Spa,Spa,Beauty Parlour,"Beauty Parlour, Facial spa, Mehndi Designer, Hairdresser",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 82104 40114,N/A,4.9,110.0,"more, Harnichak school road, Beur Jail Rd, opp. puja kirana near ganesh cybar cafe, Anisabad, Patna, Bihar 800002",Anisabad,25.5773893,85.0980603,ChIJlSNECi-p8jkRHLsaK3nSOIs,https://www.google.com/maps/place/?q=place_id:ChIJlSNECi-p8jkRHLsaK3nSOIs,part_376,2026-09-20 20:26:21
Studio11 Salon Spa Jagdeopath,Spa,Beauty Parlour,Beauty Parlour,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 72580 92266,https://www.studio11.co/find-a-salon/,4.9,1054.0,"Studio 11, Salon & Spa, Jagdeopath Phulwarisharif Road, Dhanaut, Patna, Bihar 800014",Dhanaut,25.6025311,85.07433089999999,ChIJW0EeNLNX7TkRLVnjz7rcmpY,https://www.google.com/maps/place/?q=place_id:ChIJW0EeNLNX7TkRLVnjz7rcmpY,part_376,2026-09-20 20:26:21
SPARSH UNISEX SALON &SPA,Spa,Hairdresser,"Hairdresser, Spa",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 70049 65131,N/A,5.0,3.0,"Khagaul Rd, New Paharpur, Anisabad, Patna, Bihar 800002","New Paharpur, Anisabad",25.5813106,85.0868946,ChIJyzerJk1X7TkRurhY13xepXU,https://www.google.com/maps/place/?q=place_id:ChIJyzerJk1X7TkRurhY13xepXU,part_376,2026-09-20 20:26:21
True Spa And Salon,Spa,Massage spa,"Massage spa, Day spa, Massage therapist, Spa",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 80 6548 8605,https://www.truespaandsalon.in/,4.6,,"1St Floor, 26E/45, Ashiana - Digha Rd, above Yes Bank, Jyotipuram Colony, Khajpura, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.610872399999998,85.0812789,ChIJ853vYNc2rwMRbirE4YNpMkw,https://www.google.com/maps/place/?q=place_id:ChIJ853vYNc2rwMRbirE4YNpMkw,part_376,2026-09-20 20:26:21
Panchatatva Beauty & Spa Center,Spa,Massage spa,Massage spa,801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 73528 19950,N/A,4.6,,"Pillar no.80, Bailey Road, Shekhpura more, Durga Ashram Gali, Patna, Bihar 800014",Sheikhpura,25.604716999999997,85.09182249999999,ChIJbdzm_thX7TkRxXI3vQycYIA,https://www.google.com/maps/place/?q=place_id:ChIJbdzm_thX7TkRxXI3vQycYIA,part_376,2026-09-20 20:26:21
The Icon Studio Unisex Salon & Spa in patna,Spa,Massage spa,"Massage spa, Beauty Parlour, Facial spa, Nail salon, Spa",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 99422 89065,https://www.iconstudiosalonspa.com/,4.7,,"Pillar No - 35, 1st Floor, Bijay Complex, BMP Road, Bailey Rd, Patna, Bihar 800014",Khajpura,25.60463,85.0801839,ChIJe4jMpPdtFoMRAlupk4qTioo,https://www.google.com/maps/place/?q=place_id:ChIJe4jMpPdtFoMRAlupk4qTioo,part_376,2026-09-20 20:26:21
Zen Spa And Saloon,Spa,Spa,"Spa, Massage spa, Massage therapist, Thai massage therapist",801505,Bihar circle,Patna HQ Region,Patna Division,"Alampur Gonpura BO, DHIBRA BO, MOBARAKPUR BO",+91 120 524 4799,https://www.zenspaandsalon.in/,4.5,,"172, 1st Floor, Gilani View, beside Chand Memorial Hospital, New Patliputra Colony, Patliputra Colony, Patna, Bihar 800013","New Patliputra Colony, Patliputra Colony",25.628363699999998,85.1051408,ChIJMdbi1xxX7TkRWrqbytOUA6E,https://www.google.com/maps/place/?q=place_id:ChIJMdbi1xxX7TkRWrqbytOUA6E,part_376,2026-09-20 20:26:21
