business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"REGIONAL VRDL, AIIMS PATNA",Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,5.0,,"H26R+VC9, Patna - Aurangabad Rd, Khagaul, Bari Khagaul, Bihar 801507",Khagaul,25.562134999999998,85.04117099999999,ChIJZdgxJaup8jkRzo3uGrU7u7E,https://www.google.com/maps/place/?q=place_id:ChIJZdgxJaup8jkRzo3uGrU7u7E,part_376,2026-09-20 20:28:13
Rajpari Ev Office,Offices,Corporate office,Corporate office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,,,"H28R+2W3, Khagaul Road, Mustafapur, Patna, Bihar 801505",Mustafapur,25.565022199999998,85.0422897,ChIJBZ4reQCp8jkRPVbVYONgnCM,https://www.google.com/maps/place/?q=place_id:ChIJBZ4reQCp8jkRPVbVYONgnCM,part_376,2026-09-20 20:28:13
BIPARD Skill Park,Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,4.7,,"H28R+FHJ, AIIMS Rd, Saida Nagar Colony, Nohsa, Bari Khagaul, Patna, Bihar 801505","Saida Nagar Colony, Nohsa",25.566203599999998,85.04138979999999,ChIJ24pDaQCp8jkRy1kCv72sGac,https://www.google.com/maps/place/?q=place_id:ChIJ24pDaQCp8jkRy1kCv72sGac,part_376,2026-09-20 20:28:13
Aiims golambar (OP) police chauki,Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,,,"Near, AIIMS Patna Rd, Khagaul, Bihar 801507",Khagaul,25.5602494,85.04197909999999,ChIJeb6nEwCp8jkRYmZpNmNWiTA,https://www.google.com/maps/place/?q=place_id:ChIJeb6nEwCp8jkRYmZpNmNWiTA,part_376,2026-09-20 20:28:13
U TURN UNDER PATLIPATH BYPASS,Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,,,"H27R+5G8 U Turn for AIIMS, Khagaul, Patna, Bihar 801507",Khagaul,25.562901999999998,85.04133379999999,ChIJ7SOyCQCp8jkRrXlFyEKmIbY,https://www.google.com/maps/place/?q=place_id:ChIJ7SOyCQCp8jkRrXlFyEKmIbY,part_376,2026-09-20 20:28:13
Sewage Treatment Plant,Offices,Sewage treatment plant,Sewage treatment plant,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,5.0,,"H25V+54R, Khagaul, Patna, Bihar 801507",Khagaul,25.5579839,85.0427792,ChIJYzTb7v6p8jkRs6ouY7gsiYg,https://www.google.com/maps/place/?q=place_id:ChIJYzTb7v6p8jkRs6ouY7gsiYg,part_376,2026-09-20 20:28:13
Technology Bhawan,Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,+91 612 254 6598,N/A,4.0,,"J448+G22, Technology Bhawan Bailey Road, Campus, Patna, Bihar 800015",Rajbansi Nagar,25.6062688,85.1150205,ChIJrfkFkSJY7TkRR9H0-gzoKlY,https://www.google.com/maps/place/?q=place_id:ChIJrfkFkSJY7TkRR9H0-gzoKlY,part_376,2026-09-20 20:28:13
Medical Superintendent office,Offices,Association / Organization,Association / Organization,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,,,"H26R+8F4, Khagaul, Patna, Bihar 801505",Khagaul,25.5605531,85.04129189999999,ChIJeb4DNgCp8jkR1JYru4K9uho,https://www.google.com/maps/place/?q=place_id:ChIJeb4DNgCp8jkR1JYru4K9uho,part_376,2026-09-20 20:28:13
Patna Secretariat,Offices,Government office,Government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,+91 612 221 7771,N/A,4.4,,"H4X9+R5M, Rajbansi Nagar, Patna, Bihar 800023",Rajbansi Nagar,25.5995934,85.11791889999999,ChIJ0RS2HxdY7TkRTXrou_fbDmY,https://www.google.com/maps/place/?q=place_id:ChIJ0RS2HxdY7TkRTXrou_fbDmY,part_376,2026-09-20 20:28:13
Vishweshwaraiyya Bhawan,Offices,State government office,State government office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,4.5,,"J448+V7P, Bailey Rd, Rajbansi Nagar, Patna, Bihar 800015",Rajbansi Nagar,25.6072201,85.1156968,ChIJE9DgwSJY7TkRhGKVRpN7ZqM,https://www.google.com/maps/place/?q=place_id:ChIJE9DgwSJY7TkRhGKVRpN7ZqM,part_376,2026-09-20 20:28:13
Fire Force Station AIIMS,Offices,Fire station,Fire station,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,3.9,,"H26R+2GP, Khagaul, Bihar 801507",Khagaul,25.5600854,85.0413155,ChIJYf4-yuup8jkRHhmWFbwu6Ag,https://www.google.com/maps/place/?q=place_id:ChIJYf4-yuup8jkRHhmWFbwu6Ag,part_376,2026-09-20 20:28:13
Ganpati Traders,Offices,Corporate office,Corporate office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,+91 96086 46304,N/A,,,"H28V+MJV, Saida Nagar Colony, Khagaul, Patna, Bari Khagaul, Bihar 801505","Saida Nagar Colony, Khagaul",25.566740199999998,85.0440465,ChIJa1nyAuip8jkR3OfdTQTev3w,https://www.google.com/maps/place/?q=place_id:ChIJa1nyAuip8jkR3OfdTQTev3w,part_376,2026-09-20 20:28:13
Coworking Space in Patna - Qdesq,Offices,Coworking space,Coworking space,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,http://www.qdesq.com/,3.0,1.0,"A/3, P C Colony Rd, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Kankarbagh, Lohia Nagar",25.600307899999997,85.15281619999999,ChIJP__4hHBZ7TkRlRmNQODfO14,https://www.google.com/maps/place/?q=place_id:ChIJP__4hHBZ7TkRlRmNQODfO14,part_376,2026-09-20 20:28:14
UNO Business Centre,Offices,Business center,Business center,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,4.4,69.0,"3rd Floor, UNO Business Centre, near Sai Mandir, New Patliputra Colony, Patliputra Colony, Patna, Bihar 800013","New Patliputra Colony, Patliputra Colony",25.6291023,85.10454639999999,ChIJBQdoUstX7TkR5KOfI2xu-QI,https://www.google.com/maps/place/?q=place_id:ChIJBQdoUstX7TkR5KOfI2xu-QI,part_376,2026-09-20 20:28:14
Shailja Tower Near Black Berry,Offices,Shopping mall,Shopping mall,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,4.0,434.0,"Kumhrar Rd, RBI Flats Colony, Ghrounda, Patna, Bihar 800020","RBI Flats Colony, Ghrounda",25.603168999999998,85.1555906,ChIJvUTyr41Y7TkRTmtZIYB2qjQ,https://www.google.com/maps/place/?q=place_id:ChIJvUTyr41Y7TkRTmtZIYB2qjQ,part_376,2026-09-20 20:28:14
DigiSkill Studio,Offices,Student career counseling office,Student career counseling office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,N/A,N/A,5.0,,"195, near AIIMS, Nikunj Police Colony, Khagaul, Patna, Bari Khagaul, Bihar 801505","Nikunj Police Colony, Khagaul",25.559763099999998,85.0456189,ChIJJ5BQYLOp8jkRMc99e2uqueo,https://www.google.com/maps/place/?q=place_id:ChIJJ5BQYLOp8jkRMc99e2uqueo,part_376,2026-09-20 20:28:14
Godrej & Boyce Mfg. Co. Ltd.,Offices,Corporate office,Corporate office,801507,Bihar Circle,Patna HQ Region,Patna Division,AIIMS SO,+91 612 660 6100,https://www.godrej.com/godrejandboyce/,4.4,,"Grand Plaza, 6001 - 6004, Fraser Rd, near Dak Bunglow, opp. Dumrao Palace, crossing, Lodipur, Patna, Bihar 800001","crossing, Lodipur",25.6106879,85.1386169,ChIJrV69vlxY7TkRPhFk4HsyTD0,https://www.google.com/maps/place/?q=place_id:ChIJrV69vlxY7TkRPhFk4HsyTD0,part_376,2026-09-20 20:28:15
