business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adil cooling system,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service",802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 73553 52338,N/A,3.4,,"Hotel Ambassadore, Naya Bazar, Buxar, Bihar 802103",Naya Bazar,25.5564355,83.9690444,ChIJC6l80ROLjTkRRQZBhCSYwKk,https://www.google.com/maps/place/?q=place_id:ChIJC6l80ROLjTkRRQZBhCSYwKk,part_376,2026-09-20 20:28:28
"The Service Points ( Ac ,Fridge, Washing machine, Deep Freezer , Repair at Doorstep Service in Buxar)",Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service, Washer & dryer repair service",802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 94707 13306,https://theservicepoints.in/,4.9,,"Shop No 2, Simri Rd, opposite Jio Tower, Ramubariya, Bihar 802116",802101,25.605539099999998,84.05517619999999,ChIJXfH17l53kjkRu3epVLqK3Hw,https://www.google.com/maps/place/?q=place_id:ChIJXfH17l53kjkRu3epVLqK3Hw,part_376,2026-09-20 20:28:28
Akshat Refrigeration,Auto Electrician and AC Repair,Repair service,Repair service,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 87578 94588,N/A,5.0,,"Main Road, near United Bank, Buxar, Bihar 802101",Civil Lines,25.5756272,83.9845593,ChIJmZMBtUx1kjkRSH3QddogudU,https://www.google.com/maps/place/?q=place_id:ChIJmZMBtUx1kjkRSH3QddogudU,part_376,2026-09-20 20:28:28
Car ac repair,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,N/A,3.0,,"H2P4+2J9, Ahirauli, Buxar, Bihar 802116",802101,25.585041,84.0066221,ChIJ1y-fJQB1kjkReh_TirPqHx4,https://www.google.com/maps/place/?q=place_id:ChIJ1y-fJQB1kjkReh_TirPqHx4,part_376,2026-09-20 20:28:28
Indralok Vani Radio Kendra,Auto Electrician and AC Repair,Electronics store,Electronics store,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 97080 85585,N/A,4.4,,"PP Rd, Ram Bagh, Buxar, Bihar 802101",Ram Bagh,25.5764161,83.9744438,ChIJm7VQJ6h1kjkR0dyafqhMMqg,https://www.google.com/maps/place/?q=place_id:ChIJm7VQJ6h1kjkR0dyafqhMMqg,part_376,2026-09-20 20:28:29
Shree Electronics,Auto Electrician and AC Repair,Electronics store,"Electronics store, Store",802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 91101 50751,N/A,4.9,,"Chowk, near pakwa innar, Naya Bhojpur, Bhojpur Jadid, Bihar 802136",802101,25.580690399999998,84.1524744,ChIJiTEWsGl5kjkRYAOdSqjWcBQ,https://www.google.com/maps/place/?q=place_id:ChIJiTEWsGl5kjkRYAOdSqjWcBQ,part_376,2026-09-20 20:28:29
Calcutta Motors,Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 63074 48667,N/A,4.4,,"Baheri Calcutta Motors Lucknow, Road, Baheri, Uttar Pradesh 277001",802101,25.7550518,84.1381461,ChIJ98UvY5JlkjkRESk4F4mHiX4,https://www.google.com/maps/place/?q=place_id:ChIJ98UvY5JlkjkRESk4F4mHiX4,part_376,2026-09-20 20:28:29
Anuj Automobiles,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 87368 78136,N/A,5.0,11.0,"NH-922, opposite Saraswati Vidya Mandir, Industrial Area Buxar, Niranjanpur, Buxar, Bihar 802101","Industrial Area Buxar, Niranjanpur",25.5851296,84.01116069999999,ChIJJ3rfapV3kjkRi_WG-HEt_qQ,https://www.google.com/maps/place/?q=place_id:ChIJJ3rfapV3kjkRi_WG-HEt_qQ,part_376,2026-09-20 20:28:30
Perfact Motor Garrage,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,N/A,,,"Churamanpur NH-922, in front of Nayara Petrol Pump, Churamanpur, Buxar, Bihar 802116",802101,25.585462,84.0152246,ChIJpSUynvh1kjkRxlPc5KuFgEU,https://www.google.com/maps/place/?q=place_id:ChIJpSUynvh1kjkRxlPc5KuFgEU,part_376,2026-09-20 20:28:30
HAVELLS Auth. Service Centre - DIGITAL INDIA,Auto Electrician and AC Repair,Appliance repair service,Appliance repair service,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,https://www.havells.com/,4.9,207.0,"Panchmukhi Hanuman Mandir, Main Road, Ramrekha Ghat, Buxar, Bihar 802101",Ramrekha Ghat,25.572743199999998,83.9731444,ChIJA4BFSGZ1kjkRhZRa9oeSink,https://www.google.com/maps/place/?q=place_id:ChIJA4BFSGZ1kjkRhZRa9oeSink,part_376,2026-09-20 20:28:30
JAI HIND ELECTRICAL WORKS,Auto Electrician and AC Repair,Electrical repair shop,"Electrical repair shop, Repair service, Store",802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 87095 00752,N/A,4.4,,"BUS STAND, OLD, Buxar, Bihar 802101",802101,25.5825921,83.9640829,ChIJC0oM9Qh1kjkRpeQtH6eOB8k,https://www.google.com/maps/place/?q=place_id:ChIJC0oM9Qh1kjkRpeQtH6eOB8k,part_376,2026-09-20 20:28:31
Aadity electric,Auto Electrician and AC Repair,Electronics store,Electronics store,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,N/A,5.0,,"Jaso, Buxar, Bihar 802101",802101,25.569886699999998,83.9943983,ChIJeRVrYgB1kjkRnEqQFjrn_xw,https://www.google.com/maps/place/?q=place_id:ChIJeRVrYgB1kjkRnEqQFjrn_xw,part_376,2026-09-20 20:28:31
Maruti Electric,Auto Electrician and AC Repair,Electrical supply store,Electrical supply store,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",+91 93860 47943,N/A,4.1,,"HXGM+94X, main road, buxar, near Krishna cinema, Bihar 802101",Civil Lines,25.5759868,83.982844,ChIJ_6nJ7K91kjkRe6dtqo9oV_E,https://www.google.com/maps/place/?q=place_id:ChIJ_6nJ7K91kjkRe6dtqo9oV_E,part_376,2026-09-20 20:28:31
ITI Field,Auto Electrician and AC Repair,Playground,Playground,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,N/A,4.5,,"HX67+VC9, Virat Nagar, Buxar, Bihar 802101",Virat Nagar,25.5621667,83.9636088,ChIJJ9nE7fl1kjkRQDq-NGdpjZM,https://www.google.com/maps/place/?q=place_id:ChIJJ9nE7fl1kjkRQDq-NGdpjZM,part_376,2026-09-20 20:28:31
PK ELECTRONICS,Auto Electrician and AC Repair,Electronics store,Electronics store,802101,Bihar Circle,Patna HQ Region,Bhojpur Division,"Buxar HO, Nai Bazar SO Buxar, Sohni Patti SO",N/A,N/A,,,"Sohani Patti, Buxar, Bihar 802101",Sohani Patti,25.5687756,83.98659719999999,ChIJbV7fmLx1kjkRR4AWE8L4ZGQ,https://www.google.com/maps/place/?q=place_id:ChIJbV7fmLx1kjkRR4AWE8L4ZGQ,part_376,2026-09-20 20:28:31
