business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Avantika hospital,Clinics,Medical clinic,Medical clinic,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",N/A,N/A,,,"J8J7+F8R, Udhura, Brahmpur, Udhaura, Bihar 802112",Udhura,25.6312331,84.3132802,ChIJ1YqNNACBkjkR9OMOKhvpiyU,https://www.google.com/maps/place/?q=place_id:ChIJ1YqNNACBkjkR9OMOKhvpiyU,part_376,2026-09-20 20:31:16
Dr. Jairam Tiwary,Clinics,Doctor,Doctor,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 94317 68663,N/A,5.0,,"M996+665, Karnamepur Rd, Sonvarsha, Karnamepur, Bihar 802112",802112,25.6680116,84.3605955,ChIJ_cx5PxmEkjkRchPEIgsFqHY,https://www.google.com/maps/place/?q=place_id:ChIJ_cx5PxmEkjkRchPEIgsFqHY,part_376,2026-09-20 20:31:16
Clinic,Clinics,Medical clinic,Medical clinic,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 62042 27867,N/A,,,"Banahi Station Rd, Shahpur, Bihar 802165",802112,25.594215499999997,84.3983093,ChIJSVjT8AKDkjkR3-ErF5BLu_s,https://www.google.com/maps/place/?q=place_id:ChIJSVjT8AKDkjkR3-ErF5BLu_s,part_376,2026-09-20 20:31:16
Clinic,Clinics,Medical clinic,Medical clinic,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",N/A,N/A,,,"J8JW+5WW, Kuawan, Karanpura, Bihar 802112",802112,25.6301691,84.34692869999999,ChIJkwAcVACBkjkRdCM2MIVe8Wo,https://www.google.com/maps/place/?q=place_id:ChIJkwAcVACBkjkRdCM2MIVe8Wo,part_376,2026-09-20 20:31:16
Dr. Suresh Chandra Tiwari,Clinics,Medical clinic,Medical clinic,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",N/A,N/A,3.3,,"Barki Nainijore, Buxar, Pachbhaiya Tola Road, North Nainijor, Barki Nainijore, Bihar 802112",802112,25.7068083,84.35095969999999,ChIJq4Nr0HmGkjkRzuDpKUNbzQo,https://www.google.com/maps/place/?q=place_id:ChIJq4Nr0HmGkjkRzuDpKUNbzQo,part_376,2026-09-20 20:31:16
माँ दुर्गा विशेष होम्यो केयर,Clinics,Medical clinic,Medical clinic,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 82289 06379,N/A,5.0,,"Dekuli, Brahmpur, Bihar 802112",802112,25.6205125,84.32985939999999,ChIJ19CJHgCBkjkRoNb5ia6jfZA,https://www.google.com/maps/place/?q=place_id:ChIJ19CJHgCBkjkRoNb5ia6jfZA,part_376,2026-09-20 20:31:16
Kanchan clinic,Clinics,Doctor,Doctor,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",N/A,N/A,4.0,,"J8MP+JQQ, Umedpur, Kapurpur, Bihar 802112",802112,25.634076399999998,84.3369969,ChIJ4Vh7cgCBkjkRahcinDw54wo,https://www.google.com/maps/place/?q=place_id:ChIJ4Vh7cgCBkjkRahcinDw54wo,part_376,2026-09-20 20:31:16
Janta clinic,Clinics,Hospital,Hospital,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 99399 09235,N/A,,,"J852+337, Chaurasta, Brahmpur, Barhampur, Bihar 802112",Chaurasta,25.6076645,84.30017269999999,ChIJLZD3cACBkjkRfBAOgZ4u_Sg,https://www.google.com/maps/place/?q=place_id:ChIJLZD3cACBkjkRfBAOgZ4u_Sg,part_376,2026-09-20 20:31:16
Poly Clinic,Clinics,Doctor,Doctor,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 97718 98895,N/A,2.5,,"P84X+GJ7, North Nainijor, Barki Nainijore, Bihar 802112",802112,25.7062866,84.3490369,ChIJba_d9XmGkjkRkYX_l4mNVBc,https://www.google.com/maps/place/?q=place_id:ChIJba_d9XmGkjkRkYX_l4mNVBc,part_376,2026-09-20 20:31:16
SHREE DHANVANTARI CHIKITSALAYA,Clinics,Medical clinic,"Medical clinic, Medical Center",802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",+91 84340 83194,https://dhanwantrichikitsalaya.com/,5.0,,"panchayat bhawan, Suhiya, Bihar 802165",802112,25.640137799999998,84.36356219999999,ChIJBbscIq2DkjkROKTHYVjjbFg,https://www.google.com/maps/place/?q=place_id:ChIJBbscIq2DkjkROKTHYVjjbFg,part_376,2026-09-20 20:31:16
Anubhuti clinic pandey pul chira chas,Clinics,Hospital,Hospital,802112,Bihar circle,Patna HQ Region,Bhojpur Division,"Barki Nainijor BO, Deokuli BO, Isharapura BO",N/A,N/A,3.0,,"J8F2+Q4F, Pandey Pur, Bihar 802130",802112,25.6244282,84.30028639999999,ChIJK1tUgGeBkjkRHSUftoJuHJg,https://www.google.com/maps/place/?q=place_id:ChIJK1tUgGeBkjkRHSUftoJuHJg,part_376,2026-09-20 20:31:16
