business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DESI DUCK GOLD EGGS. (EGGS COMPANY),Importers,Egg supplier,Egg supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 88251 62798,N/A,5.0,,"Dulfa, Bihar 802117",802117,25.3103131,84.0085739,ChIJX5kS-6iTjTkRkq7cSGqYhLw,https://www.google.com/maps/place/?q=place_id:ChIJX5kS-6iTjTkRkq7cSGqYhLw,part_376,2026-09-20 20:35:02
Shumangalam Multiplast,Importers,Plastic Wholesaler,"Plastic Wholesaler, Plastic Products Supplier",802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 95250 32525,N/A,5.0,,"MAIN ROAD, near HNSB COLLEGE, Dhansoi, Bihar 802117",802117,25.3523583,84.0242842,ChIJqYuIkVuRjTkRDAmJta6VSw4,https://www.google.com/maps/place/?q=place_id:ChIJqYuIkVuRjTkRDAmJta6VSw4,part_376,2026-09-20 20:35:02
Saisar Rotash,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,N/A,4.4,,"83W6+MVP, Saisar, Paharipur, Bihar 802117",802117,25.3467052,84.0621924,ChIJvfD9IwCRjTkRuYnA3SV_hco,https://www.google.com/maps/place/?q=place_id:ChIJvfD9IwCRjTkRuYnA3SV_hco,part_376,2026-09-20 20:35:02
SHIVAM KHAD BHANDAR,Importers,Fertilizer Store,"Fertilizer Store, Store",802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 88094 88814,N/A,2.0,,"923F+FM8, Dhansoi, Bihar 802117",802117,25.3536187,84.0242129,ChIJyV5SmQCPjTkRReSPKPMwxJU,https://www.google.com/maps/place/?q=place_id:ChIJyV5SmQCPjTkRReSPKPMwxJU,part_376,2026-09-20 20:35:02
Niraj Traders,Importers,Fertilizer Store,"Fertilizer Store, Building materials supplier",802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,N/A,,,"9W7M+927, Kanehari, Bihar 802128",802117,25.363407199999997,83.9325327,ChIJ-x6HTQCNjTkRK_BcO_N-iOE,https://www.google.com/maps/place/?q=place_id:ChIJ-x6HTQCNjTkRK_BcO_N-iOE,part_376,2026-09-20 20:35:02
Prism Cement - Gauri Shankar Enterprises,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 95760 40772,https://www.prismcement.com/,,,"Village, nearby Shivala, Bihar 802117",802117,25.4199216,84.021439,ChIJkV39BCuPjTkRhu6x-fVBWOw,https://www.google.com/maps/place/?q=place_id:ChIJkV39BCuPjTkRhu6x-fVBWOw,part_376,2026-09-20 20:35:02
Indane - Radha Raman Gramin Vitrak,Importers,Gas Agency,"Gas Agency, Gas cylinders supplier, Gas shop, LPG conversion",802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 82710 69011,https://locator.iocl.com/indane/indane-radha-raman-gramin-vitrak-gas-agency-dhansoi-buxar-245016/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ground Floor, Buxar Main Road, near High School, Dhansoi, Bihar 802117",802117,25.37003,84.02604,ChIJ8VBb3zzH-jkRjrdr64HN6dU,https://www.google.com/maps/place/?q=place_id:ChIJ8VBb3zzH-jkRjrdr64HN6dU,part_376,2026-09-20 20:35:02
Prism Cement - Vinod Jee Cement Store,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 97719 35069,https://www.prismcement.com/,5.0,,"VINOD JEE CEMENT STORE, Dhansoi, Bihar 802117",802117,25.370135599999998,84.02675029999999,ChIJhTer9TGPjTkRLqrVpvEZQMU,https://www.google.com/maps/place/?q=place_id:ChIJhTer9TGPjTkRLqrVpvEZQMU,part_376,2026-09-20 20:35:02
Kumar Sonu,Importers,Tractor dealer,Tractor dealer,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,https://youtube.com/@kumarsonu405,5.0,,"Dhobahi, Banni, Bihar 802128",802117,25.342540099999997,83.9691387,ChIJHyiRumuTjTkRfxORBgsVdXs,https://www.google.com/maps/place/?q=place_id:ChIJHyiRumuTjTkRfxORBgsVdXs,part_376,2026-09-20 20:35:02
Prism Cement - Raj Traders,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 99399 09496,https://www.prismcement.com/,,,"Raj Traders, Dhansoi, Bihar 802117",802117,25.3532627,84.02442839999999,ChIJxyDDcraPjTkRXGYP4u4OgFg,https://www.google.com/maps/place/?q=place_id:ChIJxyDDcraPjTkRXGYP4u4OgFg,part_376,2026-09-20 20:35:02
Sudha Dairy farm,Importers,Dairy farm,"Dairy farm, Animal feed store, General store",802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,https://www.facebook.com/profile.php?id=100070258884360,3.8,,"Sisaundha Vill - Sisaundha post + p.s, Dhansoi, Bihar 802117",802117,25.3495156,84.0247538,ChIJD7a5GUKRjTkRboO9UVkZQeo,https://www.google.com/maps/place/?q=place_id:ChIJD7a5GUKRjTkRboO9UVkZQeo,part_376,2026-09-20 20:35:02
Prism Cement - Bhole Shankar Enterprises,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 91101 28987,https://www.prismcement.com/,,,"Bhole Shankar Enterprises, Dhansoi, Bihar 802117",802117,25.356747,84.024653,ChIJrcLJKt2PjTkRIPztvZnp-kQ,https://www.google.com/maps/place/?q=place_id:ChIJrcLJKt2PjTkRIPztvZnp-kQ,part_376,2026-09-20 20:35:02
Bhikhamdera pani tanki,Importers,Drinking water supplier,Drinking water supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,N/A,,,"92JC+H6M, Samda, Bihar 802117",802117,25.3810896,84.01917209999999,ChIJyxGrSACPjTkR3aQbB25Q0Vs,https://www.google.com/maps/place/?q=place_id:ChIJyxGrSACPjTkR3aQbB25Q0Vs,part_376,2026-09-20 20:35:02
Prism Cement - M/S Maa Cement Store,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 99318 85103,https://www.prismcement.com/,,,"Maa Cement Store, M/S, Dhansoi, Bihar 802117",802117,25.356747,84.024653,ChIJ22hf_wePjTkRdKbxeu9oBVE,https://www.google.com/maps/place/?q=place_id:ChIJ22hf_wePjTkRdKbxeu9oBVE,part_376,2026-09-20 20:35:02
Vikash Kumar yadav yadav bhavan,Importers,Tractor dealer,Tractor dealer,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,N/A,,,"92GP+RJR, Kailakh, Bihar 802117",802117,25.3771108,84.03651289999999,ChIJScNTBQCPjTkRnYKLbLDq4ZA,https://www.google.com/maps/place/?q=place_id:ChIJScNTBQCPjTkRnYKLbLDq4ZA,part_376,2026-09-20 20:35:02
Prism Cement - Jai Maa Traders,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 80831 26381,https://www.prismcement.com/,,,"Dhansoi, Bihar 802117",802117,25.3537434,84.02422039999999,ChIJediSQvCPjTkRwXmxfAnGdhg,https://www.google.com/maps/place/?q=place_id:ChIJediSQvCPjTkRwXmxfAnGdhg,part_376,2026-09-20 20:35:02
Prism Cement - Shivesh Khad Bhandar,Importers,Cement Supplier,Cement Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 40 2340 0218,https://www.prismcement.com/,,,"Shivesh Khad Bhandar, Rampur, Bihar 802117",802117,25.349156999999998,84.000216,ChIJNwE31eiTjTkRY6c-_RVSHuU,https://www.google.com/maps/place/?q=place_id:ChIJNwE31eiTjTkRY6c-_RVSHuU,part_376,2026-09-20 20:35:02
Ashok place,Importers,Tent House Supplier,Tent House Supplier,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",+91 70505 28520,N/A,,,"26, Dukan, Saisar, Bihar 802117",802117,25.3478618,84.067908,ChIJj-OdawCRjTkRDC7Dde53zDI,https://www.google.com/maps/place/?q=place_id:ChIJj-OdawCRjTkRDC7Dde53zDI,part_376,2026-09-20 20:35:02
Shivam traders,Importers,Food broker,Food broker,802117,Bihar circle,Patna HQ Region,Bhojpur Division,"Bikaram English BO, Gagaura BO, Indaur BO",N/A,N/A,,,"925F+3X7, Itarhi- Dhansoi - Dinara Rd, Dhansoi, Bihar 802117",802117,25.357651,84.0249293,ChIJ98vY6VyPjTkRSyeD3XYWp4A,https://www.google.com/maps/place/?q=place_id:ChIJ98vY6VyPjTkRSyeD3XYWp4A,part_376,2026-09-20 20:35:03
