business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr.Jai Prakash Singh (Homeopathic Clinic),Homeopathic Clinic,Homeopath,Homeopath,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",N/A,N/A,4.5,,"Akolhi, Bihar 802132",802132,25.3780909,83.7184444,ChIJnwjmXwL7jTkRDjW2N5y5DuQ,https://www.google.com/maps/place/?q=place_id:ChIJnwjmXwL7jTkRDjW2N5y5DuQ,part_376,2026-09-20 20:43:11
Pooja Electro Homeopathic Hospital,Homeopathic Clinic,Medical clinic,Medical clinic,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 70809 06967,N/A,,,"9P8R+PV2, SH 14, Baddha, Bihar 802132",802132,25.3667616,83.7417406,ChIJXYLyifP7jTkRU5rTmmrMHbM,https://www.google.com/maps/place/?q=place_id:ChIJXYLyifP7jTkRU5rTmmrMHbM,part_376,2026-09-20 20:43:11
Shri gulabachad homeopathic dawakhana,Homeopathic Clinic,Hospital,Hospital,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",N/A,N/A,1.0,,"7MR3+WPR, Ramgarh - Daharak Rd, Ramgarh, Bihar 821110",802132,25.2923671,83.6542619,ChIJQ7ZCCwDjjTkRmut1KE42MMs,https://www.google.com/maps/place/?q=place_id:ChIJQ7ZCCwDjjTkRmut1KE42MMs,part_376,2026-09-20 20:43:11
Dr. Shambhu Nath Singh's Poonam Homoeo Pharmacy,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 94158 86945,N/A,5.0,,"Master Katra, Infront Of Ramlila Maidan, Fatehpur Dildarnagar, Dildar Nagar, Uttar Pradesh 232326",Fatehpur Dildarnagar,25.4199253,83.6745005,ChIJBf6kUgD9jTkRm0RpwHskYe0,https://www.google.com/maps/place/?q=place_id:ChIJBf6kUgD9jTkRm0RpwHskYe0,part_376,2026-09-20 20:43:11
RK homeopathy upchar seva,Homeopathic Clinic,Doctor,Doctor,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 62998 96323,N/A,4.5,,"Nindaur, bhabua, Bihar 821106",802132,25.061349399999997,83.3651556,ChIJ57sCsLFtjjkRswvyYzavPlY,https://www.google.com/maps/place/?q=place_id:ChIJ57sCsLFtjjkRswvyYzavPlY,part_376,2026-09-20 20:43:11
Krishna Homoeopathic clinic.,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 91282 56444,N/A,5.0,,"Dr Ram singh Bhagwanpur road, Sri Ram Path, near kanchan nagar, Bhabua, Bihar 821101",802132,25.0320532,83.602023,ChIJPUiPWcnZjTkRoqTZlW57Cn0,https://www.google.com/maps/place/?q=place_id:ChIJPUiPWcnZjTkRoqTZlW57Cn0,part_376,2026-09-20 20:43:11
Ravi Homeo Clinic,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",N/A,N/A,4.6,,"Bus Stand, near Mohaniya, Mohania, Bihar 821109",802132,25.1655367,83.6217662,ChIJNcXD3mjgjTkRAb5qnedM9ZY,https://www.google.com/maps/place/?q=place_id:ChIJNcXD3mjgjTkRAb5qnedM9ZY,part_376,2026-09-20 20:43:11
Hahnemann Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 96289 48886,N/A,4.4,,"7MQ4+RFX, Mohania - Ramgarh Rd, Ramgarh, Bihar 821110",802132,25.2896087,83.6562417,ChIJEesJ_5_jjTkRPm7sc4W0Gsc,https://www.google.com/maps/place/?q=place_id:ChIJEesJ_5_jjTkRPm7sc4W0Gsc,part_376,2026-09-20 20:43:11
Homoeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 74619 45181,https://www.facebook.com/durgesh.dbp?mibextid=ZbWKwL,5.0,,"Parsathua, Dangri, Bihar 821109",802132,25.210185,83.8092181,ChIJRVKB6AHpjTkR4u3B-6M3nvY,https://www.google.com/maps/place/?q=place_id:ChIJRVKB6AHpjTkR4u3B-6M3nvY,part_376,2026-09-20 20:43:11
life line homeopathic centre,Homeopathic Clinic,Doctor,Doctor,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",+91 96936 82844,N/A,5.0,,"In front of kaimur medical street, kachhari road, near Gaurav public school, Raj street, Bhabua, Bihar 821101",Raj street,25.0395228,83.6098193,ChIJpzE6x4fZjTkR4t5P3OpQTPo,https://www.google.com/maps/place/?q=place_id:ChIJpzE6x4fZjTkR4t5P3OpQTPo,part_376,2026-09-20 20:43:11
Global Homoeo Pharma,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",N/A,N/A,4.9,,"2JQ9+R2Q, Masjid Rd, Bhabua, Bihar 821101",802132,25.039739299999997,83.6176371,ChIJdf3zAQDZjTkRzAGHBQd40Ec,https://www.google.com/maps/place/?q=place_id:ChIJdf3zAQDZjTkRzAGHBQd40Ec,part_376,2026-09-20 20:43:11
Bhadaura Homeo Clinic Ramgarh Kaimur,Homeopathic Clinic,Medical clinic,Medical clinic,802132,Bihar Circle,Patna HQ Region,Rohtas Division,"Noan SO, Akhini BO, Bagarhi BO",N/A,N/A,2.0,,"7MV5+VV7, बंदीपुर रोड, Godasara, Ramgarh, Bihar 821110",Godasara,25.2946653,83.65965949999999,ChIJf_MLUeLjjTkRcbQoN_u9s3Q,https://www.google.com/maps/place/?q=place_id:ChIJf_MLUeLjjTkRcbQoN_u9s3Q,part_376,2026-09-20 20:43:11
