business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Krishna medical,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,4.5,2.0,"Gali no. -2, Behea, Bihar 802152",802152,25.5576866,84.4490489,ChIJW4s-9PFjjTkRNkzwk4yfFb4,https://www.google.com/maps/place/?q=place_id:ChIJW4s-9PFjjTkRNkzwk4yfFb4,part_376,2026-09-20 20:46:29
Aditya Navjat Shishu Gahan Chikitsa Kendra,Doctors,Pediatrician,Pediatrician,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,4.0,2.0,"Mahaveer temple, Behea, Bihar 802152",802152,25.557775499999998,84.4473996,ChIJAQDr_7RjjTkRmCtMYEVf9ks,https://www.google.com/maps/place/?q=place_id:ChIJAQDr_7RjjTkRmCtMYEVf9ks,part_376,2026-09-20 20:46:29
Dr. Radheshyam Singh Hospital,Doctors,Private hospital,Private hospital,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,5.0,3.0,"HC5W+2W4, Behea, Bihar 802152",802152,25.5575209,84.4473288,ChIJA_KiIahijTkRmJnI6OTfxQo,https://www.google.com/maps/place/?q=place_id:ChIJA_KiIahijTkRmJnI6OTfxQo,part_376,2026-09-20 20:46:29
ASHOK DOCTOR,Doctors,Medical Center,Medical Center,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,,,"GG8V+9H3, Hari Gaon, Bihar 802162",802152,25.5156493,84.5440536,ChIJr4gmEgBhjTkRibUXHqBQUrg,https://www.google.com/maps/place/?q=place_id:ChIJr4gmEgBhjTkRibUXHqBQUrg,part_376,2026-09-20 20:46:29
Dr.Dileep Kumar,Doctors,General hospital,General hospital,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,3.0,2.0,"HF62+474 Raja bazaar, Block Road, Balpar, Behea, Bihar 802152",Balpar,25.560267,84.4507062,ChIJFZraT1idkjkRyQzqsqj_tEw,https://www.google.com/maps/place/?q=place_id:ChIJFZraT1idkjkRyQzqsqj_tEw,part_376,2026-09-20 20:46:29
Dr. J. N Choubey,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,,,"HC4J+267, Majhauli Rd, Majhawli, Bihar 802152",802152,25.555025099999998,84.43053909999999,ChIJO0fQCGN9jTkRu8zi2UWTQOY,https://www.google.com/maps/place/?q=place_id:ChIJO0fQCGN9jTkRu8zi2UWTQOY,part_376,2026-09-20 20:46:29
Dr Sunil house,Doctors,Medical Center,Medical Center,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,5.0,1.0,"HCFR+F9J, Bihiya - Tiyar Rd, Jamua, Andar, Bihar 802165",802152,25.5737219,84.4409008,ChIJm_o3TwCdkjkRNpwXA4Jp5sg,https://www.google.com/maps/place/?q=place_id:ChIJm_o3TwCdkjkRNpwXA4Jp5sg,part_376,2026-09-20 20:46:29
Dr. Mahesh Medical,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,5.0,1.0,"GGQR+JJG, Ghagha, Bihar 802162",802152,25.539072899999997,84.5415936,ChIJuSpFywlhjTkRC0kWaZy5kWU,https://www.google.com/maps/place/?q=place_id:ChIJuSpFywlhjTkRC0kWaZy5kWU,part_376,2026-09-20 20:46:29
Aditya Seva Sadan,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 95767 31640,N/A,5.0,1.0,"Harigaon Bazar Harigaon, Arrah, Bihar 802162",802152,25.516392,84.54319699999999,ChIJ1zkDOKhhjTkRJ5G_9AV5xAo,https://www.google.com/maps/place/?q=place_id:ChIJ1zkDOKhhjTkRJ5G_9AV5xAo,part_376,2026-09-20 20:46:29
"Dr, Lalita verma clinic Isadhi bazar",Doctors,Medical clinic,Medical clinic,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,1.0,1.0,"Jagdishpur, Bhojpur NH-30, Arrah - Mohania Rd, Bhojpur, Bihar 802158",802152,25.5031951,84.509451,ChIJVZxcsuFjjTkR8wkQgu6tYGM,https://www.google.com/maps/place/?q=place_id:ChIJVZxcsuFjjTkR8wkQgu6tYGM,part_376,2026-09-20 20:46:29
Anupam Chikitsalaya Dr B.D Pandey,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 97716 34247,N/A,4.7,3.0,"78CX+38R, Hasan Bazar, Bihar 802204",802152,25.270229399999998,84.34827829999999,ChIJ-aCqCAJ0jTkRwSY9e-HpP4s,https://www.google.com/maps/place/?q=place_id:ChIJ-aCqCAJ0jTkRwSY9e-HpP4s,part_376,2026-09-20 20:46:29
Hare Ram Hare Krishna Pathology,Doctors,Pathologist,Pathologist,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 99398 99225,N/A,4.7,13.0,"Mela Rd, Behea, Bihar 802152",802152,25.557321899999998,84.44958969999999,ChIJ3Trkja2dkjkRx1-KDHUfR1k,https://www.google.com/maps/place/?q=place_id:ChIJ3Trkja2dkjkRx1-KDHUfR1k,part_376,2026-09-20 20:46:29
Dr. B.L. Gupta Clinic,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,,,"HF43+7CG, Mahathin Rd, Behea, Fingi, Bihar 802152",802152,25.5556976,84.4535927,ChIJ4Q8b4PRjjTkRBp6wrg-I8gY,https://www.google.com/maps/place/?q=place_id:ChIJ4Q8b4PRjjTkRBp6wrg-I8gY,part_376,2026-09-20 20:46:30
BRIJGYAN MEDICAL STORE,Doctors,Doctor,Doctor,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,4.0,1.0,"GFJM+RRC, Belaur, Danwan, Bihar 802152",802152,25.5320638,84.4845065,ChIJu8i4XQBjjTkRihga5RamLiY,https://www.google.com/maps/place/?q=place_id:ChIJu8i4XQBjjTkRihga5RamLiY,part_376,2026-09-20 20:46:30
