business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BIHIYA CRICKET ACADEMY,Sports Academy and Turf Ground,Sports club,Sports club,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 94702 31360,N/A,4.2,25.0,"+2 High school, Balpar, Behea, Bihar 802152",Balpar,25.562105499999998,84.45379539999999,ChIJxfun7F6dkjkR0mMBh11uU5g,https://www.google.com/maps/place/?q=place_id:ChIJxfun7F6dkjkR0mMBh11uU5g,part_376,2026-09-20 20:46:45
HD Jain College Playground,Sports Academy and Turf Ground,Playground,Playground,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,4.2,184.0,"GMX4+CJX, Katira, Arrah, Bihar 802301",Katira,25.548600999999998,84.6566095,ChIJ69fDhuNfjTkRAd41pv4O7WQ,https://www.google.com/maps/place/?q=place_id:ChIJ69fDhuNfjTkRAd41pv4O7WQ,part_376,2026-09-20 20:46:45
Gaudarh Ground,Sports Academy and Turf Ground,Playground,Playground,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,4.1,12.0,Bihar 802183,802152,25.575820099999998,84.3842043,ChIJXc1I9GiCkjkRT7YLhiD6aPg,https://www.google.com/maps/place/?q=place_id:ChIJXc1I9GiCkjkRT7YLhiD6aPg,part_376,2026-09-20 20:46:45
Mansagar Cricket Ground,Sports Academy and Turf Ground,Cricket ground,Cricket ground,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,3.7,12.0,"8G86+V8C, Mansagar, Itaura, Bihar 802223",802152,25.3171772,84.5107701,ChIJB3fWENpujTkR6vv2uTaoS58,https://www.google.com/maps/place/?q=place_id:ChIJB3fWENpujTkR6vv2uTaoS58,part_376,2026-09-20 20:46:45
ALHANPURA CRICKET GROUND,Sports Academy and Turf Ground,Cricket ground,Cricket ground,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,5.0,2.0,"78,ALHANPURA, BISHANPURA ROAD, Bihta, Bihar 801111",802152,25.566361399999998,84.8905319,ChIJ560STEVVjTkRS-2nwY8yKVk,https://www.google.com/maps/place/?q=place_id:ChIJ560STEVVjTkRS-2nwY8yKVk,part_376,2026-09-20 20:46:45
Lps Cricket Academy Jagdishpur,Sports Academy and Turf Ground,Sports club,Sports club,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 89696 99970,N/A,4.9,,"Bihiya - Jagdishpur Rd, Naya Tola, Jagdishpur, Bihar 802158",Naya Tola,25.4805483,84.4307366,ChIJi79wfVN9jTkRofEZ_qAjBPo,https://www.google.com/maps/place/?q=place_id:ChIJi79wfVN9jTkRofEZ_qAjBPo,part_376,2026-09-20 20:46:45
Golden Baby Football Academy Ara,Sports Academy and Turf Ground,Sports club,Sports club,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",N/A,N/A,5.0,,"HM76+J7J, SP Office Rd, Santoshi Nagar, Old Police Line, Arrah, Bihar 802301","Santoshi Nagar, Old Police Line",25.56408,84.66064,ChIJmRb3D4JfjTkRtDUh-wl1vcY,https://www.google.com/maps/place/?q=place_id:ChIJmRb3D4JfjTkRtDUh-wl1vcY,part_376,2026-09-20 20:46:45
Avengers Volleyball Academy,Sports Academy and Turf Ground,Volleyball club,Volleyball club,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 90975 14060,N/A,4.9,,"HM67+FMX, Tracking Path, Rajendra Nagar, Old Police Line, Arrah, Bihar 802301","Rajendra Nagar, Old Police Line",25.5612413,84.66422329999999,ChIJGSJwKwhfjTkR7TvKi5KK27A,https://www.google.com/maps/place/?q=place_id:ChIJGSJwKwhfjTkR7TvKi5KK27A,part_376,2026-09-20 20:46:45
Zahoor Hope Cricket Academy,Sports Academy and Turf Ground,Sports club,"Sports club, Cricket club",802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 93866 51261,N/A,5.0,,"Zahoor ITI ground, Shivpur, Dhanupara, Arrah, Bihar 802301",Dhanupara,25.5635247,84.6864758,ChIJ-yJ3jv9fjTkRri0Um0v6PPU,https://www.google.com/maps/place/?q=place_id:ChIJ-yJ3jv9fjTkRri0Um0v6PPU,part_376,2026-09-20 20:46:45
Avengers cricket club,Sports Academy and Turf Ground,Cricket club,Cricket club,802152,Bihar circle,Patna HQ Region,Bhojpur Division,"Baulipur BO, Bharasra Judge BO, Bimwan BO",+91 95695 37963,N/A,4.6,,"Old Police Line, Civil Court Road, Arrah, Bihar 802301",Old Police Line,25.561003,84.664052,ChIJZxtLZWVfjTkRn-Yljtsg7GU,https://www.google.com/maps/place/?q=place_id:ChIJZxtLZWVfjTkRn-Yljtsg7GU,part_376,2026-09-20 20:46:45
