business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Barodih बारोडिह,Exhibitions,Village hall,Village hall,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,2.4,,"89XF+F8, Bahri Mahadeo, Bihar 802159",802159,25.3487568,84.37329199999999,ChIJwavpRDJxjTkRMBW7eFUrtnk,https://www.google.com/maps/place/?q=place_id:ChIJwavpRDJxjTkRMBW7eFUrtnk,part_376,2026-09-20 20:50:55
SHIVNATH TOLA,Exhibitions,Village hall,Village hall,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,3.0,,"Village shivnath tola, ps, Piro, Bihar 802159",802159,25.3451,84.39226649999999,ChIJYwG_QARxjTkR5zKjI6MFa7c,https://www.google.com/maps/place/?q=place_id:ChIJYwG_QARxjTkR5zKjI6MFa7c,part_376,2026-09-20 20:50:55
SKY,Exhibitions,Community center,Community center,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,,,"Old Station Rd, Piro, Bihar 802207",802159,25.3298711,84.40419419999999,ChIJ5VypHQBxjTkRw_-mZQvjBH4,https://www.google.com/maps/place/?q=place_id:ChIJ5VypHQBxjTkRw_-mZQvjBH4,part_376,2026-09-20 20:50:55
Tiwari villa (CD Tiwari & sons) Parmanpur,Exhibitions,Villa,"Villa, Housing complex, Village hall",802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,https://coral-otter.static2.website/tiwarivillaparmanpur,,,"8889+VC2, Parmanpur, Bihar 802202",802159,25.317020499999998,84.3184792,ChIJDS8oWwB3jTkRD1naNmxcv5Q,https://www.google.com/maps/place/?q=place_id:ChIJDS8oWwB3jTkRD1naNmxcv5Q,part_376,2026-09-20 20:50:55
Rajput Bhawan,Exhibitions,Community center,Community center,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,,,"89V8+6JW, Jagdishpur Patak, Tewari Dih, Bihar 802159",802159,25.3431231,84.3665651,ChIJfzutcgBxjTkRlbhRD-e1e6o,https://www.google.com/maps/place/?q=place_id:ChIJfzutcgBxjTkRlbhRD-e1e6o,part_376,2026-09-20 20:50:55
Chaudhari tola,Exhibitions,Village hall,Village hall,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,5.0,,"89RX+64V, Piro, Bihar 802159",802159,25.3406077,84.3977872,ChIJ0zM7ZgBxjTkRjDh6unUmGoQ,https://www.google.com/maps/place/?q=place_id:ChIJ0zM7ZgBxjTkRjDh6unUmGoQ,part_376,2026-09-20 20:50:55
Shubham online center,Exhibitions,Community center,Community center,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,,,"997H+849, Rajeya, Bihar 802159",802159,25.3632921,84.377861,ChIJiQ2rbABxjTkRHddTpsUbScU,https://www.google.com/maps/place/?q=place_id:ChIJiQ2rbABxjTkRHddTpsUbScU,part_376,2026-09-20 20:50:55
Barauli Panchayat Bhavan,Exhibitions,Community center,Community center,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,4.5,,"89HF+CXP, Barauli, Bihar 802207",802159,25.328587499999998,84.3749531,ChIJaRTnT6lxjTkR8PzaKzSdAGU,https://www.google.com/maps/place/?q=place_id:ChIJaRTnT6lxjTkR8PzaKzSdAGU,part_376,2026-09-20 20:50:56
Ashish Singh,Exhibitions,Community center,Community center,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",+91 97086 97016,N/A,5.0,,"Kothua, Bihar 802202",802159,25.377333999999998,84.31659789999999,ChIJ6WMYLgB5jTkRCYDXLRFjX0w,https://www.google.com/maps/place/?q=place_id:ChIJ6WMYLgB5jTkRCYDXLRFjX0w,part_376,2026-09-20 20:50:56
Milki Tola,Exhibitions,Village hall,Village hall,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,4.9,,"8CRP+85G, Dhanauti, Tilath, Bihar 802207",802159,25.3418244,84.4359985,ChIJEQ2kXBpxjTkRc3QCLiWW6is,https://www.google.com/maps/place/?q=place_id:ChIJEQ2kXBpxjTkRc3QCLiWW6is,part_376,2026-09-20 20:50:56
