business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radhey krishna khad Bhandar Nagari,Exporters,Fertilizer Store,Fertilizer Store,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",+91 95071 28000,N/A,5.0,2.0,"Nagri, Bihar 802223",802159,25.3493757,84.45458959999999,ChIJTeFbCABvjTkRHrE-SGz3m2o,https://www.google.com/maps/place/?q=place_id:ChIJTeFbCABvjTkRHrE-SGz3m2o,part_376,2026-09-20 20:50:55
R.K.Tent House (Royal shah jee),Exporters,Tent House Supplier,Tent House Supplier,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,5.0,2.0,"89JX+X55, Bihiya road, Mothi, Piro, Bihar 802159",Mothi,25.332381299999998,84.3979897,ChIJnUxwi5RxjTkREvVn-ZpG-hA,https://www.google.com/maps/place/?q=place_id:ChIJnUxwi5RxjTkREvVn-ZpG-hA,part_376,2026-09-20 20:50:55
The Egg Town,Exporters,Poultry farm,Poultry farm,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,5.0,2.0,"MOTHI, Rajeya, Piro, Bihar 802159",802159,25.3571298,84.362062,ChIJnSchI7hxjTkR71cIECao9q4,https://www.google.com/maps/place/?q=place_id:ChIJnSchI7hxjTkR71cIECao9q4,part_376,2026-09-20 20:50:55
Prism Cement - Yash Raj Traders,Exporters,Cement Supplier,Cement Supplier,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",+91 85409 03541,https://www.prismcement.com/,,,"SH 102, Hatpokhar, Jitaura Janalgal Malahal, Bihar 802159",Hatpokhar,25.3780431,84.3854554,ChIJcXEkAIx7jTkRM-dqWshz7hw,https://www.google.com/maps/place/?q=place_id:ChIJcXEkAIx7jTkRM-dqWshz7hw,part_376,2026-09-20 20:50:55
Golu Aramill,Exporters,Exporter,Exporter,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,4.0,1.0,"8CG2+CHC, Piro, Bihar 802207",802159,25.3260634,84.40140219999999,ChIJE3Jhq1ZwjTkRed7_StITV8M,https://www.google.com/maps/place/?q=place_id:ChIJE3Jhq1ZwjTkRed7_StITV8M,part_376,2026-09-20 20:50:55
Style Fast,Exporters,Garment Exporter,Garment Exporter,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,5.0,2.0,"madheshwar complex, mode, Mothi, bhagalpur, Piro, Bihar 802159",Mothi,25.3322537,84.3983921,ChIJ_yL0NoJxjTkR919e5JjDUpY,https://www.google.com/maps/place/?q=place_id:ChIJ_yL0NoJxjTkR919e5JjDUpY,part_376,2026-09-20 20:50:55
DJ PIRO,Exporters,Textile Exporter,"Textile Exporter, Online Share Trading Center",802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",+91 90316 20200,N/A,4.5,4.0,"Arrah - Sasaram Rd, Piro, Bihar 802207",802159,25.323393,84.400256,ChIJP4CZZ1RwjTkRNwLzhh1hhD8,https://www.google.com/maps/place/?q=place_id:ChIJP4CZZ1RwjTkRNwLzhh1hhD8,part_376,2026-09-20 20:50:55
Readymade Garments Complex,Exporters,Garment Exporter,Garment Exporter,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,,,"SH 12, Nagri, Kinu Dehri, Bihar 802223",802159,25.3497827,84.4554781,ChIJg9NaZSNvjTkRA5lSRKJjmrs,https://www.google.com/maps/place/?q=place_id:ChIJg9NaZSNvjTkRA5lSRKJjmrs,part_376,2026-09-20 20:50:56
Mahavir Agency BMB Masale,Exporters,Spices Exporter,Spices Exporter,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",N/A,N/A,,,"bus stand, New, behind the style bazzar, Piro, Bihar 802207",802159,25.3213477,84.4004855,ChIJk3pKBu5xjTkRRkiTQ4kEjqg,https://www.google.com/maps/place/?q=place_id:ChIJk3pKBu5xjTkRRkiTQ4kEjqg,part_376,2026-09-20 20:50:56
Aman Auto,Exporters,Exporter,Exporter,802159,Bihar circle,Patna HQ Region,Bhojpur Division,"Chaturbhujibaraon BO, Jamuaon BO, Rajeyan BO",+91 99559 77690,N/A,,,"Sukhdev Market, Arrah - Sasaram Rd, Rod, Piro, Bihar 802207",Rod,25.3240673,84.3997938,ChIJwW0Ly55xjTkR9vTPJO0tVFM,https://www.google.com/maps/place/?q=place_id:ChIJwW0Ly55xjTkR9vTPJO0tVFM,part_376,2026-09-20 20:50:56
