business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Maa Aranya Devi,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Truck repair shop",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,3.7,12.0,"1, Arrah - Buxar Rd, Ambey Nagar, Chandawa, Arrah, Bihar 802301","Ambey Nagar, Chandawa",25.560063,84.6385332,ChIJcSoMFoZfjTkRrGG2hRl7LSo,https://www.google.com/maps/place/?q=place_id:ChIJcSoMFoZfjTkRrGG2hRl7LSo,part_377,2026-09-20 20:19:16,1962
"TATA.CARS Service Centre - Ananya Auto Agency, Godhna Road",Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto Accessories Store, Car wash, Electric motor repair shop",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 82910 94996,https://dealer-locator.cars.tatamotors.com/tata-cars-service-centre-ananya-auto-agency-godhna-road-auto-accessories-stores-godhna-road-bhojpur-91021/Home?utm_source=locator&utm_medium=googleplaces,4.2,186.0,"Cambridge School, Godhna Rd, Ward Number 41, Hanuman Nagar, Arrah, Bihar 802302","Ward Number 41, Hanuman Nagar",25.5406829,84.6638554,ChIJVbYJAIpfjTkRy_CvTMl514I,https://www.google.com/maps/place/?q=place_id:ChIJVbYJAIpfjTkRy_CvTMl514I,part_377,2026-09-20 20:19:16,1963
M K Auto Parts,Auto Spare Parts Shop,Wholesaler,"Wholesaler, Auto parts store",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 99733 34913,N/A,4.1,9.0,"Aara Road, Chowk, Bihta, Bihar 801103",Chowk,25.5737779,84.869473,ChIJ1VhxLgiqkjkRgBIfDpToUtY,https://www.google.com/maps/place/?q=place_id:ChIJ1VhxLgiqkjkRgBIfDpToUtY,part_377,2026-09-20 20:19:16,1964
Working Shop,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 85398 39109,N/A,,,"Nirmalpur, Arrah, Bihar 802312",802162,25.599438799999998,84.63013579999999,ChIJk8r5-eChkjkRolbDpXbIYpU,https://www.google.com/maps/place/?q=place_id:ChIJk8r5-eChkjkRolbDpXbIYpU,part_377,2026-09-20 20:19:16,1965
Kiran Devi,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 93046 73836,N/A,,,"Arrah, Bihar 802312",802162,25.5511491,84.5980646,ChIJwb_d_JNhjTkRwWBgKavtEqg,https://www.google.com/maps/place/?q=place_id:ChIJwb_d_JNhjTkRwWBgKavtEqg,part_377,2026-09-20 20:19:16,1966
Sai car accessories,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 82104 06621,N/A,4.4,39.0,"145, SH 12, Vishnu Nagar, Anaith, Arrah, Bihar 802302","Vishnu Nagar, Anaith",25.5377004,84.6497888,ChIJ6b9Nah5fjTkRA66dQTaW3As,https://www.google.com/maps/place/?q=place_id:ChIJ6b9Nah5fjTkRA66dQTaW3As,part_377,2026-09-20 20:19:16,1967
Talwar's Car Decor,Auto Spare Parts Shop,Auto Accessories Store,Auto Accessories Store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 97094 54545,https://www.talwarscardecor.com/,5.0,14.0,"Girja More, pakari, Arrah, Bihar 802301",pakari,25.5607546,84.6487239,ChIJF1wyY6tfjTkRcKH3qZqqsb8,https://www.google.com/maps/place/?q=place_id:ChIJF1wyY6tfjTkRcKH3qZqqsb8,part_377,2026-09-20 20:19:16,1968
Bihar Auto Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,5.0,1.0,"Shop No 3, Kangkar Bagh Road, opposite HDFC Bank, Kankarbagh, Patna, Bihar 800020",Kankarbagh,25.601682,85.16785399999999,ChIJwf-c5ZVY7TkRJkrIdciHUwQ,https://www.google.com/maps/place/?q=place_id:ChIJwf-c5ZVY7TkRJkrIdciHUwQ,part_377,2026-09-20 20:19:16,1969
Car spare parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.8,8.0,"Aiims Patna near durga complex Aiims Patna near durga complex, Bhusaula Danapur Chak, Bihar 801105",802162,25.5531217,85.0288295,ChIJp4JsQlap8jkRY0EcVNzA3RU,https://www.google.com/maps/place/?q=place_id:ChIJp4JsQlap8jkRY0EcVNzA3RU,part_377,2026-09-20 20:19:16,1970
Shiv Shakti Auto Parts TVS (2 wheeler & EV) - Gultera Bazar,Auto Spare Parts Shop,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 8071 406 891,https://showroom.tvsmotor.com/locator/bihta//shiv-shakti-auto-parts-tvs-2-wheeler-ev-in-bihta--1u1hJ8/home,4.9,19.0,"Ground Floor, Shri Ramji, Market, Main Road, nearby Bank of India, Gultera Bazar, Bihta, Bihar 801103",Gultera Bazar,25.556134999999998,84.8666926,ChIJPcxt8OVVjTkRW_y2nhusn90,https://www.google.com/maps/place/?q=place_id:ChIJPcxt8OVVjTkRW_y2nhusn90,part_377,2026-09-20 20:19:16,1971
SOMNATH ENTERPRISES,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 70613 84029,https://somnathauto.com/,4.1,54.0,"SOMNATH TOWER, 1, Rajendra Path, beside Durga Mandir, near CDA Building, Patna, Bihar 800001","Lalbhai Society, Salimpur Ahra, Golambar",25.6079133,85.1435206,ChIJYQ9-JMxZ7TkRXkY2aaMpgWM,https://www.google.com/maps/place/?q=place_id:ChIJYQ9-JMxZ7TkRXkY2aaMpgWM,part_377,2026-09-20 20:19:16,1972
Vijay Automotives & Agencies,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto machine shop, Auto Accessories Store, Suzuki dealer",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 98358 69519,http://www.marutisuzuki.com/,3.8,251.0,"Jagtarni Towers & Basudeva Commercial Complex, Jamal Rd, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.608946699999997,85.1400335,ChIJi95ybV1Y7TkRVO2eMQnYmHA,https://www.google.com/maps/place/?q=place_id:ChIJi95ybV1Y7TkRVO2eMQnYmHA,part_377,2026-09-20 20:19:16,1973
RAJDOOT SPARE HUB,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 79798 91631,https://instagram.com/rajdoot_spare_hub?igshid=YmMyMTA2M2Y=,4.9,60.0,"Khajauli, Biraul, Bihar 847228",802162,26.5116183,86.1348123,ChIJGT69rE3N7TkRK3FYOsEgWnM,https://www.google.com/maps/place/?q=place_id:ChIJGT69rE3N7TkRK3FYOsEgWnM,part_377,2026-09-20 20:19:16,1974
NN Automobiles - Hero MotoCorp,Auto Spare Parts Shop,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 98526 53206,https://dealers.heromotocorp.com/locator/gaya/Kurtha/nn-automobiles-hero-motocorp-in-Kurtha-gaya--5HYYnX/home,4.6,140.0,"State Highway 69, Kinjar - Kurtha Rd, nearby ITI Collage, Kurtha, Mobarakpur, Bihar 804427",802162,25.1328055,84.8069125,ChIJU6CingU3jTkRo9w-z3htn9s,https://www.google.com/maps/place/?q=place_id:ChIJU6CingU3jTkRo9w-z3htn9s,part_377,2026-09-20 20:19:16,1975
AK Auto - Genuine Parts - Hero MotoCorp,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 73689 17766,https://partsdistributors.heromotocorp.com/hero-motocorp/patna/Golambar/ak-auto-genuine-parts-hero-motocorp-in-Golambar-patna--3JHXUi/home,4.4,,"RK Bhattacharya Rd, nearby CR Complex, Pirmuhani, Salimpur Ahra, Golambar, Patna, Bihar 800001","Pirmuhani, Salimpur Ahra, Golambar",25.608784999999997,85.1441134,ChIJD6dcZ15Y7TkRceOrAJvQDjQ,https://www.google.com/maps/place/?q=place_id:ChIJD6dcZ15Y7TkRceOrAJvQDjQ,part_377,2026-09-20 20:19:17,1976
Auto Mart - (MAHINDRA SPARE PARTS),Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 81306 28800,N/A,4.5,,"Shop No.122, Narain Plaza, Exhibition Rd, Budh Vihar, Fraser Road Area, Patna, Bihar 800001","Budh Vihar, Fraser Road Area",25.6082963,85.1414947,ChIJcwRHyF1Y7TkR73rU2v4dCH0,https://www.google.com/maps/place/?q=place_id:ChIJcwRHyF1Y7TkR73rU2v4dCH0,part_377,2026-09-20 20:19:17,1977
Goyal auto spares,Auto Spare Parts Shop,Auto spring shop,Auto spring shop,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,http://goyalautospares.com/,5.0,,"J45V+P6F, RK Bhattacharya Rd, Pirmuhani, Salimpur Ahra, Golambar, Patna, Bihar 800001","Pirmuhani, Salimpur Ahra, Golambar",25.609319799999998,85.1430345,ChIJp6gEE7hZ7TkRYjeR6KP6WJ8,https://www.google.com/maps/place/?q=place_id:ChIJp6gEE7hZ7TkRYjeR6KP6WJ8,part_377,2026-09-20 20:19:17,1978
Manish spare parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 87573 64186,N/A,5.0,5.0,"Manish spare parts, Bikramganj, Bihar 802212",802162,25.224131099999997,84.2673117,ChIJKzxypIt1jTkRBzQeoPVcnvo,https://www.google.com/maps/place/?q=place_id:ChIJKzxypIt1jTkRBzQeoPVcnvo,part_377,2026-09-20 20:19:17,1979
Kiran Auto,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Auto electrical service, Auto Accessories Wholesaler, Electric vehicle charging station, Motor scooter repair shop, Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Threads & Yarns Wholesaler",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 93083 88080,http://kiranauto.co.in/,4.7,68.0,"Gate No, 36, Rajapur, Mainpura, Patna, Bihar 800001","Rajapur, Mainpura",25.6272193,85.1224654,ChIJAUN3zhZZ7TkR69clXrGp5DA,https://www.google.com/maps/place/?q=place_id:ChIJAUN3zhZZ7TkR69clXrGp5DA,part_377,2026-09-20 20:19:17,1980
