business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SATHYA SAI BOYS/GIRLS PG & HOSTEL,PG,Student dormitory,Student dormitory,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,3.3,4.0,"Shiv Kumari Sadan, Street Number 1, Ramnagar Colony, Ram Nagar Colony, Chandwa, Arrah, Bihar 802301","Ramnagar Colony, Ram Nagar Colony",25.5520684,84.6410124,ChIJixT1AgBfjTkRXlj9iZVFhYU,https://www.google.com/maps/place/?q=place_id:ChIJixT1AgBfjTkRXlj9iZVFhYU,part_377,2026-09-20 20:19:26,3484
Vimla Girls Hostel,PG,Girls' hostel,Girls' hostel,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 89869 31464,N/A,4.3,94.0,"ADARSH COLONY, Children Park, KG Rd, near Pir Baba Bank of India, Bikramganj, Adarsh Colony, Mahatma Gandhi Nagar, Arrah, Bihar 802301","Bikramganj, Adarsh Colony, Mahatma Gandhi Nagar",25.5572774,84.66019209999999,ChIJb6thvWVfjTkRKlgxuyV_clY,https://www.google.com/maps/place/?q=place_id:ChIJb6thvWVfjTkRKlgxuyV_clY,part_377,2026-09-20 20:19:26,3485
BRIGHT STAR PG/BOYS HOSTEL (A. P. HOUSE),PG,Boys' hostel,Boys' hostel,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 98011 30041,N/A,4.8,363.0,"0, Shivpuri Rd, off Boring Road, near shivprasth appartment, Shivpuri, Rajbansi Nagar, Patna, Bihar 800023","Shivpuri, Rajbansi Nagar",25.6149472,85.10692759999999,ChIJIROaU4BX7TkRXLJNLhDp4YI,https://www.google.com/maps/place/?q=place_id:ChIJIROaU4BX7TkRXLJNLhDp4YI,part_377,2026-09-20 20:19:26,3486
Gunjan roy,PG,Apartment building,Apartment building,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,,,"GHV9+PG, Nawada Ben, Bihar 802162",802162,25.544327,84.56884699999999,ChIJh8goRgBhjTkRgyYH3s7D5FQ,https://www.google.com/maps/place/?q=place_id:ChIJh8goRgBhjTkRgyYH3s7D5FQ,part_377,2026-09-20 20:19:26,3487
Aryabhatta boy's hostel,PG,Boys' hostel,Boys' hostel,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,2.3,,"HRJJ+7XP, Kateshar, Bihar 801103",802162,25.580722899999998,84.8324554,ChIJpbH2ZACpkjkRZMu9ovJjwh4,https://www.google.com/maps/place/?q=place_id:ChIJpbH2ZACpkjkRZMu9ovJjwh4,part_377,2026-09-20 20:19:27,3488
ERVIVA BOYS HOSTEL & PG,PG,Student dormitory,Student dormitory,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",+91 93048 36055,N/A,4.0,,"Renu Bhawan, Kailash Enclave, 7A, Atal Path, South Shivpuri, Shivpuri, Rajbansi Nagar, Patna, Bihar 800023","South Shivpuri, Shivpuri, Rajbansi Nagar",25.613469199999997,85.1113329,ChIJL_2vY45Z7TkRuiNhjc70p30,https://www.google.com/maps/place/?q=place_id:ChIJL_2vY45Z7TkRuiNhjc70p30,part_377,2026-09-20 20:20:07,6998
Shri boys cottage,PG,Boys' hostel,Boys' hostel,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",N/A,N/A,4.1,,"J457+H9G Pump house, beside Vishal Stationary, MohanPur, Rajbansi Nagar, Patna, Bihar 801103","MohanPur, Rajbansi Nagar",25.6088778,85.1133724,ChIJ8aQR21VZ7TkR1_ysiH0XRzs,https://www.google.com/maps/place/?q=place_id:ChIJ8aQR21VZ7TkR1_ysiH0XRzs,part_377,2026-09-20 20:20:07,6999
Rajmani girl's hostle,PG,Student dormitory,Student dormitory,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",+91 96312 63584,N/A,3.3,,"KAILASH ENCLAVE SANGEETA APARTMENT, South Shivpuri, Shivpuri, Rajbansi Nagar, Patna, Bihar 801103","South Shivpuri, Shivpuri, Rajbansi Nagar",25.6138847,85.1115899,ChIJyzp67LpZ7TkRmJw596OBJ1s,https://www.google.com/maps/place/?q=place_id:ChIJyzp67LpZ7TkRmJw596OBJ1s,part_377,2026-09-20 20:20:07,7000
Aradhana Girls Hostel,PG,Girls' hostel,Girls' hostel,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",+91 84440 39249,N/A,4.9,,"Infront of Jubba Sahni Park, Jagdishpuri Ln, Mahammadpur Kazi, Mithanpura, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Mithanpura",26.1112221,85.3972375,ChIJv905874R7TkRChr0Eg7gBtc,https://www.google.com/maps/place/?q=place_id:ChIJv905874R7TkRChr0Eg7gBtc,part_377,2026-09-20 20:20:07,7001
GIRLS COTTAGE,PG,Girls' hostel,Girls' hostel,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",+91 93868 04269,N/A,2.6,,"A–223, near SBI BANK & RAM VILAS PASWAN’S HOUSE, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.6124855,85.1158286,ChIJX2y73TxZ7TkRWc1k-_jYXrA,https://www.google.com/maps/place/?q=place_id:ChIJX2y73TxZ7TkRWc1k-_jYXrA,part_377,2026-09-20 20:20:07,7002
