business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Harkhen Kumar Rohit Kumar jewellery,Silver Jewellery Shop,Jeweler,Jeweler,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.2,26.0,"Gopali chowk, Main road, near clock tower, Milki Mohalla, Arrah, Bihar 802301",Milki Mohalla,25.5655225,84.6724806,ChIJ2ZdUOxhfjTkRUToE4xf5wEE,https://www.google.com/maps/place/?q=place_id:ChIJ2ZdUOxhfjTkRUToE4xf5wEE,part_377,2026-09-20 20:19:08,956
Suman Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 94312 51837,https://sumanya.co/,4.8,622.0,"Saheb Ganj Sonar Patti, Chota Telpa, Chapra, Athasia, Bihar 841301",Chota Telpa,25.7778307,84.74725839999999,ChIJY6SPfcG6kjkRcl1Vv2cGncA,https://www.google.com/maps/place/?q=place_id:ChIJY6SPfcG6kjkRcl1Vv2cGncA,part_377,2026-09-20 20:19:08,957
SANTOSH JWELLERS,Silver Jewellery Shop,Jeweler,Jeweler,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,,,"GG8V+FCW, Hari Gaon, Bihar 802162",802162,25.5161359,84.54352779999999,ChIJsVghGABhjTkRJSN8Qz1kKc0,https://www.google.com/maps/place/?q=place_id:ChIJsVghGABhjTkRJSN8Qz1kKc0,part_377,2026-09-20 20:19:08,958
Banwarilal Chandiwala,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jewelry designer, Silversmith",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 76630 05609,http://www.banwarilalchandiwala.com/,4.8,,"M.R complex, Bailey Rd, opp. pillar no. 56, Samanpura, Raja Bazar, Indrapuri, Patna, Bihar 800014","Samanpura, Raja Bazar, Indrapuri",25.6049975,85.08577389999999,ChIJCQUcgmlX7TkRa-pRcrNzFbw,https://www.google.com/maps/place/?q=place_id:ChIJCQUcgmlX7TkRa-pRcrNzFbw,part_377,2026-09-20 20:19:09,959
Sri Suraj Prasad Gupta Alankar Bhawan,Silver Jewellery Shop,Watch store,Watch store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 62066 77224,http://www.alankarbhawan.company.site/,5.0,,"Saheb Ganj Sonar Patti, chock, Sadhapur, Chapra, Athasia, Bihar 841301","chock, Sadhapur",25.7782558,84.74593709999999,ChIJO1I6dX-7kjkRYOJo55byQg4,https://www.google.com/maps/place/?q=place_id:ChIJO1I6dX-7kjkRYOJo55byQg4,part_377,2026-09-20 20:19:09,960
Patut Jewellers,Silver Jewellery Shop,Watch store,Watch store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 99317 10204,N/A,5.0,,"Patut Jewellers, Bikram - Bihta Rd, Rajpur, Bihar 801103",Rajpur,25.5640014,84.8700976,ChIJO6BZVPBVjTkRHywvuHl1lKA,https://www.google.com/maps/place/?q=place_id:ChIJO6BZVPBVjTkRHywvuHl1lKA,part_377,2026-09-20 20:19:09,961
"Kalyan Jewellers - Fraser Road, Patna",Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Goldsmith, Jeweler, Jewelry buyer, Jewelry designer, Jewelry engraver, Jewelry manufacturer, Silversmith",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 92288 69079,https://store.kalyanjewellers.net/kalyan-jewellers-store-fraser-road-area-patna/fra/overview,4.9,,"Ward No 28, No 6, 1st Floor, Road Crossing, Dak Bunglow, Fraser Road Area, Patna, Bihar 800001","Dak Bunglow, Fraser Road Area",25.609448399999998,85.1372809,ChIJZ554XHxZ7TkR2tkFY0RJm-M,https://www.google.com/maps/place/?q=place_id:ChIJZ554XHxZ7TkR2tkFY0RJm-M,part_377,2026-09-20 20:19:09,962
Mahalaxmi Silver Shine,Silver Jewellery Shop,Jewelry store,Jewelry store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",N/A,N/A,4.9,,"Prasad Bigha, Main Rd, near HDFC Bank, Nawada, Bihar 805110",802162,24.8894153,85.5430104,ChIJk-arA4b_8jkR98btK0-QTYs,https://www.google.com/maps/place/?q=place_id:ChIJk-arA4b_8jkR98btK0-QTYs,part_377,2026-09-20 20:19:09,963
SHREE KANAK DHARA JEWELLERY,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 88774 44488,N/A,4.9,,"Bakarganj, Patna, Bihar 800004",Bakarganj,25.6159143,85.1489485,ChIJH609rWRZ7TkR0mR8bSqoZPk,https://www.google.com/maps/place/?q=place_id:ChIJH609rWRZ7TkR0mR8bSqoZPk,part_377,2026-09-20 20:19:09,964
Silver & Silver ®,Silver Jewellery Shop,Jewelry store,"Jewelry store, Furniture accessories, Furniture store, Gift shop, Idol manufacturer, Interior Decorator, Silversmith",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 82358 13080,https://silverandsilver.in/,4.8,121.0,"City centre mall, C - 230/ 231, opposite Fire Station, Christian Colony, Lodipur, Patna, Bihar 800001","Christian Colony, Lodipur",25.617639,85.1352909,ChIJi1qKgPxZ7TkRsBoGqVRsYf0,https://www.google.com/maps/place/?q=place_id:ChIJi1qKgPxZ7TkRsBoGqVRsYf0,part_377,2026-09-20 20:19:10,965
RATNALAYA JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 72099 98899,http://www.ratnalayajewels.com/,4.8,1899.0,"B1, P C Colony Rd, near Lohiya Park, Housing Board Colony, Kankarbagh, Patna, Bihar 800020","Housing Board Colony, Kankarbagh",25.600594599999997,85.14820309999999,ChIJs_Fm7_tZ7TkRKohtsAXm4xM,https://www.google.com/maps/place/?q=place_id:ChIJs_Fm7_tZ7TkRKohtsAXm4xM,part_377,2026-09-20 20:19:10,966
Sagarmal Jewellers (MANJUSHREE),Silver Jewellery Shop,Jewelry store,"Jewelry store, Shopping mall",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 97716 48833,http://www.sagarmaljeweller.com/,4.2,232.0,"Sabzi market, Nawada, Bihar 805110",802162,24.889327599999998,85.543072,ChIJx9bIffX-8jkROS4fDWfq_d0,https://www.google.com/maps/place/?q=place_id:ChIJx9bIffX-8jkROS4fDWfq_d0,part_377,2026-09-20 20:19:10,967
Chakia Alankar Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 97087 66104,N/A,4.8,205.0,"Thana Road power House chouk, Chakia, Bihar 845412",802162,26.4120636,85.0558334,ChIJczqaadvW7DkRSsx-C741ebQ,https://www.google.com/maps/place/?q=place_id:ChIJczqaadvW7DkRSsx-C741ebQ,part_377,2026-09-20 20:19:10,968
RAJ ALANKAR JEWELLERS,Silver Jewellery Shop,Jewelry store,"Jewelry store, Costume jewelry shop, Jeweler, Jewelry equipment supplier, Jewelry repair service, Wholesale jeweler",802162,Bihar circle,Patna HQ Region,Bhojpur Division,"Kawara BO, Masarh BO, Saneya Barhata BO",+91 94312 73406,N/A,4.8,,"Dunda Shahi complex, Bakarganj Rd, Dariyapur Gola, Salimpur Ahra, Bakarganj, Patna, Bihar 800004","Dariyapur Gola, Salimpur Ahra, Bakarganj",25.6149061,85.1508588,ChIJ_UCa_fZY7TkR_RV3c9Tg_pY,https://www.google.com/maps/place/?q=place_id:ChIJ_UCa_fZY7TkR_RV3c9Tg_pY,part_377,2026-09-20 20:19:10,969
Maniratnam Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802163,Bihar circle,Patna HQ Region,Bhojpur Division,"Babhangawan BO, Babura BO, Bagmajhauan BO",+91 88042 69056,https://maniratnamjewels.com/,4.8,,"A/110, near Panch Shiv Mandir, Housing Board Colony, Kankarbagh, Patna, Bihar 800020","Housing Board Colony, Kankarbagh",25.5963292,85.1483422,ChIJq_go1bZZ7TkR9DpCWONelgQ,https://www.google.com/maps/place/?q=place_id:ChIJq_go1bZZ7TkR9DpCWONelgQ,part_377,2026-09-20 20:19:50,6076
Shree Mahadev jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,5.0,2.0,"CP3R+X76, Pawana - Kori - Sandesh Rd, Chela, Sandesh, Bihar 802164",Chela,25.4049004,84.7406542,ChIJsQpUGQBbjTkRY8j6BMgFBu0,https://www.google.com/maps/place/?q=place_id:ChIJsQpUGQBbjTkRY8j6BMgFBu0,part_377,2026-09-20 20:20:30,8275
Harsh jewellery shop,Silver Jewellery Shop,Jewelry store,Jewelry store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,,,"9M79+3VV, Kheri, Bihar 802201",802164,25.3627395,84.6696779,ChIJH61-RgBDjTkR6gx-5JiaHAc,https://www.google.com/maps/place/?q=place_id:ChIJH61-RgBDjTkR6gx-5JiaHAc,part_377,2026-09-20 20:20:30,8276
Sonali Fancy Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Store",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 95764 45644,N/A,5.0,1.0,"Sandesh, Bihar 802164",802164,25.404824599999998,84.7414441,ChIJmxMkWk9bjTkRPUT10879NKA,https://www.google.com/maps/place/?q=place_id:ChIJmxMkWk9bjTkRPUT10879NKA,part_377,2026-09-20 20:20:30,8277
Pooja Jewellers,Silver Jewellery Shop,Jeweler,"Jeweler, Costume jewelry shop, Jewelry designer, Jewelry engraver, Jewelry repair service, Jewelry store, Gemstone Jeweler",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 99316 00464,N/A,5.0,1.0,"Badri Singh Market, Main Road, Sandesh, Bihar 802164",802164,25.4053835,84.7398654,ChIJ-f1eeA9bjTkR8_ee8spJLsk,https://www.google.com/maps/place/?q=place_id:ChIJ-f1eeA9bjTkR8_ee8spJLsk,part_377,2026-09-20 20:20:30,8278
Bihari Jee Jewelry Shop,Silver Jewellery Shop,Jewelry store,Jewelry store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 74889 64731,N/A,3.8,5.0,"प्राथमिक विद्यालय के बगल मे, सैदाबाद, रोड, पुरानी बाजार, Patna, Bihar 801104",पुरानी बाजार,25.4188092,84.79379259999999,ChIJ5_bnyKJRjTkRv8xJAahYePo,https://www.google.com/maps/place/?q=place_id:ChIJ5_bnyKJRjTkRv8xJAahYePo,part_377,2026-09-20 20:20:30,8279
Ramakant bartan bhandar,Silver Jewellery Shop,Jewelry store,Jewelry store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,1.0,1.0,"Kirkiri, Azimabad, Bihar 802164",802164,25.332025299999998,84.7068968,ChIJOdcCWgBFjTkRQPmUgM-Z-kU,https://www.google.com/maps/place/?q=place_id:ChIJOdcCWgBFjTkRQPmUgM-Z-kU,part_377,2026-09-20 20:20:30,8280
Anmol jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,5.0,,"Raja bazar, Sonapatti, Behea, Bihar 802152",Sonapatti,25.5595212,84.4542127,ChIJDz0jdb5jjTkRcNU_zpk52V0,https://www.google.com/maps/place/?q=place_id:ChIJDz0jdb5jjTkRcNU_zpk52V0,part_377,2026-09-20 20:21:06,10979
Maa Durga Alankar Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 99739 17327,N/A,4.0,,"Jewellery mandi, Balpar, Behea, Bihar 802152",Balpar,25.559574299999998,84.45358399999999,ChIJQTuSuZljjTkRfhYwCP9zhfQ,https://www.google.com/maps/place/?q=place_id:ChIJQTuSuZljjTkRfhYwCP9zhfQ,part_377,2026-09-20 20:21:06,10980
MAA JAGDAMBA JEWELLERS,Silver Jewellery Shop,Jeweler,"Jeweler, Jewelry store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 82109 02259,N/A,,,"Ara, infront of Panjab national bank, Arrah - Buxar Rd, Shahpur, Ishwarpura, Bihar 802165",802165,25.5994109,84.40026519999999,ChIJ86tQ5SWDkjkRg4dRxdyItJ8,https://www.google.com/maps/place/?q=place_id:ChIJ86tQ5SWDkjkRg4dRxdyItJ8,part_377,2026-09-20 20:21:06,10981
Mahathin abhushan bhandar,Silver Jewellery Shop,Jewelry store,"Jewelry store, Goldsmith, Jeweler, Jewelry buyer",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 85389 87666,N/A,5.0,,"06, Balpar, Behea, Bihar 802152",Balpar,25.5596042,84.4529077,ChIJOZz2FAljjTkRV2a026H4Dj8,https://www.google.com/maps/place/?q=place_id:ChIJOZz2FAljjTkRV2a026H4Dj8,part_377,2026-09-20 20:21:06,10982
