business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Welding works,Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,5.0,,"6H6V+495 Kushwaha, more, Bhangauta, Chhitauli Kalan, Bihar 841439",802164,26.210270899999998,84.5934841,ChIJr75NawDnkjkRbmRwOupf0UQ,https://www.google.com/maps/place/?q=place_id:ChIJr75NawDnkjkRbmRwOupf0UQ,part_377,2026-09-20 20:20:54
K.K. ENGINEERING WORKS,Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 99055 03371,N/A,5.0,,"Dubaha, Bihar 843329",802164,26.3357378,85.34981839999999,ChIJHdudaAAf7TkRM9VTdRFL1ao,https://www.google.com/maps/place/?q=place_id:ChIJHdudaAAf7TkRM9VTdRFL1ao,part_377,2026-09-20 20:20:54
KGN welding workshop,Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,4.0,,"Tetradh Rd, Tet Rarh, Bihar 821301",802164,25.0153908,84.203609,ChIJMTjTGwCnjTkRG8gN4cg0Hgg,https://www.google.com/maps/place/?q=place_id:ChIJMTjTGwCnjTkRG8gN4cg0Hgg,part_377,2026-09-20 20:20:54
JITENDRA VISHWAKARMA ENGINEERING WORKS in Hilsa/Loha-Steel,Welding and Lathe Works,Iron & Steel Store,"Iron & Steel Store, Machine workshop, Metal fabricator, Metal workshop, Steel fabricator, Welder, Welding supply store",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 84097 57356,N/A,5.0,,"VISHWAKARMA BHAVAN, EAST FROM MAHADEV ASTHAN BIHAR ROAD, ON, Hilsa - Bihar Rd, Hilsa, Bihar 801302",802164,25.311000399999998,85.29574149999999,ChIJU_2AFX6X8jkRr9vpBCu1fWQ,https://www.google.com/maps/place/?q=place_id:ChIJU_2AFX6X8jkRr9vpBCu1fWQ,part_377,2026-09-20 20:20:54
Vishwakarma Engineering Works,Welding and Lathe Works,Metal working shop,"Metal working shop, Welding supply store",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 82714 05653,N/A,5.0,,"Beur Jail Rd, PRDA Colony, b/5, Shivpuri, Chitkohra, Patna, Bihar 800002","PRDA Colony, b/5, Shivpuri, Chitkohra",25.582863699999997,85.1012842,ChIJPQyFy4NX7TkRq6BtKE6CRGk,https://www.google.com/maps/place/?q=place_id:ChIJPQyFy4NX7TkRq6BtKE6CRGk,part_377,2026-09-20 20:20:54
Rk Engineering Welding Work Shop (fabrication),Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 93044 11483,https://youtube.com/@coremetal525?si=EVTvLqkhko1gOCso,5.0,,"Sanchipatti, Hajipur, Bihar 844101",Sanchipatti,25.6933462,85.20232159999999,ChIJG-k8dXFd7TkR8ORfCq4M6P4,https://www.google.com/maps/place/?q=place_id:ChIJG-k8dXFd7TkR8ORfCq4M6P4,part_377,2026-09-20 20:20:54
धन्नजय इंजियरिंग वर्क शॉप,Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,4.5,,"3HRP+587, Purhara, Bihar 824120",802164,25.0904205,84.5857837,ChIJpSvW_LwXjTkRGZGSH3ujOfc,https://www.google.com/maps/place/?q=place_id:ChIJpSvW_LwXjTkRGZGSH3ujOfc,part_377,2026-09-20 20:20:54
Sharma Engineering Workshop,Welding and Lathe Works,Welding supply store,"Welding supply store, Home goods store",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",N/A,N/A,5.0,,"Shamkauria Bazar, near Hanuman Mandir, Bihar 841411",802164,26.0330144,84.83717329999999,ChIJ4bJcEkjJkjkRY7AZ8LTCGlA,https://www.google.com/maps/place/?q=place_id:ChIJ4bJcEkjJkjkRY7AZ8LTCGlA,part_377,2026-09-20 20:20:54
Baba Enginnering Welding Shop,Welding and Lathe Works,Welding supply store,Welding supply store,802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 88921 92357,N/A,5.0,,"Siwan Maharajganj Rd, Hardiya, Chanp, Bihar 841227",802164,26.1969469,84.40039089999999,ChIJ278ZRXP7kjkRx22zNupVdZE,https://www.google.com/maps/place/?q=place_id:ChIJ278ZRXP7kjkRx22zNupVdZE,part_377,2026-09-20 20:20:54
SHREE NARAYAN ENGINEERING WORK SHOP,Welding and Lathe Works,Welding supply store,"Welding supply store, Manufacturer",802164,Bihar circle,Patna HQ Region,Bhojpur Division,"Baga BO, Chilhar BO, Chilhose BO",+91 94306 08051,N/A,1.0,,"Ramauli chauk, Patepur, Lakhanipur, Bihar 843114",802164,25.860146,85.4965093,ChIJRx-_yWJx7TkRi2MpXrZiwl0,https://www.google.com/maps/place/?q=place_id:ChIJRx-_yWJx7TkRi2MpXrZiwl0,part_377,2026-09-20 20:20:54
