business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aditya Food Services Company,Frozen Food Distributor,Food products supplier,"Food products supplier, Hotel supply store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 88619 99800,http://www.afsc.in/,4.5,,"46/4, infront of COTTAFE LOAF STREET Byrathi Village, Hobli, near Shobha super market, Kanakashree Layout, Bidarahalli, Bengaluru, Karnataka 560077","Byrathi, Rammana Layout, Kanakashree Layout",13.0552615,77.6535899,ChIJgZD9cxIXrjsRgVklOKx9IGU,https://www.google.com/maps/place/?q=place_id:ChIJgZD9cxIXrjsRgVklOKx9IGU,part_377,2026-09-20 20:21:03
Iceblaze Foods and Beverages Pvt Ltd,Frozen Food Distributor,Import export company,"Import export company, Frozen dessert supplier, Frozen food manufacturer, Fruit and vegetable processing, Spices Exporter, Fruits & Vegetable Wholesaler",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 98189 11569,http://www.ifbnutraorganic.com/,4.8,,"Bharat Ekta Cooperative, Plot no 91, Bokaro Steel City, Satanpur, Jharkhand 827013",802165,23.6209736,86.1332833,ChIJUV5w7LIj9DkRDr273Y5rDjQ,https://www.google.com/maps/place/?q=place_id:ChIJUV5w7LIj9DkRDr273Y5rDjQ,part_377,2026-09-20 20:21:03
Raj frozen products,Frozen Food Distributor,Frozen food manufacturer,Frozen food manufacturer,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,3.4,,"W9M3+56X, Bhua, Uttar Pradesh 285001",802165,25.932998899999998,79.3530974,ChIJDTp_5QHVdzkR5zdiqW1zEjo,https://www.google.com/maps/place/?q=place_id:ChIJDTp_5QHVdzkR5zdiqW1zEjo,part_377,2026-09-20 20:21:03
Sahara Frozen foods malanpur,Frozen Food Distributor,Manufacturer,Manufacturer,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,4.8,,"97M7+J88, Naugaon, Madhya Pradesh 477117",802165,26.3840467,78.2633402,ChIJLy6JCSG_djkR2tiPsChVvMk,https://www.google.com/maps/place/?q=place_id:ChIJLy6JCSG_djkR2tiPsChVvMk,part_377,2026-09-20 20:21:03
Frostar Foods Private Limited,Frozen Food Distributor,Manufacturer,Manufacturer,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 92582 52752,https://frostarfoods.com/,4.6,,"Moradabad - Kashipur Rd, Gopiwala, Thakurdwara, Uttar Pradesh 244601",802165,29.146004899999998,78.8655782,ChIJIQZ6VNlFCjkRFyBzwmua_J0,https://www.google.com/maps/place/?q=place_id:ChIJIQZ6VNlFCjkRFyBzwmua_J0,part_377,2026-09-20 20:21:03
Yummy Frozen Foods Pvt ltd,Frozen Food Distributor,Cold storage facility,Cold storage facility,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,4.0,,"2JW6+QM5, Adarshnagar, Nepal",Adrash Nagar,28.046884499999997,81.61174969999999,ChIJTdpa5BRnmDkRUQnQQOaD8y0,https://www.google.com/maps/place/?q=place_id:ChIJTdpa5BRnmDkRUQnQQOaD8y0,part_377,2026-09-20 20:21:03
R K Foods - Chitale Bandhu/Slurrp Farm/Havmor IceCream,Frozen Food Distributor,Food products supplier,Food products supplier,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 97310 83754,N/A,3.4,,"Duplex No.1/A, Green City, opposite Bapu Ki Kutia, Raghunath Nagar, Rohit Nagar, Bawadiya Kalan, Trilanga, Bhopal, Madhya Pradesh 462039","Raghunath Nagar, Rohit Nagar, Bawadiya Kalan, Trilanga",23.1844926,77.4329582,ChIJq1x1eT1DfDkRFN8E2_5rcxg,https://www.google.com/maps/place/?q=place_id:ChIJq1x1eT1DfDkRFN8E2_5rcxg,part_377,2026-09-20 20:21:03
Energy Foods Pvt Ltd,Frozen Food Distributor,Frozen food store,Frozen food store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,4.7,,"Bharatpur, Bagmati Province 44200, Nepal",Narayangarh,27.6974621,84.4303279,ChIJ_fKnsvT7lDkRyoDEjo5LuW8,https://www.google.com/maps/place/?q=place_id:ChIJ_fKnsvT7lDkRyoDEjo5LuW8,part_377,2026-09-20 20:21:03
Amit Food Product,Frozen Food Distributor,Manufacturer,Manufacturer,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 83029 66139,N/A,5.0,,"Mania, Rajasthan 328024",802165,26.8244875,77.9181028,ChIJuZE4DQ74czkRt_oakuzTwlc,https://www.google.com/maps/place/?q=place_id:ChIJuZE4DQ74czkRt_oakuzTwlc,part_377,2026-09-20 20:21:03
AB Frozen Suppliers,Frozen Food Distributor,Frozen food store,Frozen food store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,4.3,,"MFP6+MWQ, Moti Path, Butwal, Lumbini Province 32907, Nepal",802165,27.6867177,83.46236859999999,ChIJG4tjOMuHljkRvZlEct9n2iM,https://www.google.com/maps/place/?q=place_id:ChIJG4tjOMuHljkRvZlEct9n2iM,part_377,2026-09-20 20:21:03
Fuzion Foodz,Frozen Food Distributor,Food manufacturer,"Food manufacturer, FMCG Goods Wholesaler, FMCG Manufacturer, Food & Beverage Exporter, Food Processing Company, Food producer",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 95761 23123,https://fuzionfoodz.in/,4.8,,"906, D, II A Rd, Sardarpura, Jodhpur, Rajasthan 342003",Sardarpura,26.2808729,73.0104027,ChIJT-ilFlSNQTkRWqao2DAfoVE,https://www.google.com/maps/place/?q=place_id:ChIJT-ilFlSNQTkRWqao2DAfoVE,part_377,2026-09-20 20:21:03
Shree Chandan Food Products,Frozen Food Distributor,FMCG Manufacturer,"FMCG Manufacturer, FMCG Goods Wholesaler, Food Processing Company, Food products supplier, Wholesale Food Store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 75683 16521,https://shree-chandan-food.grexa.site/,4.9,,"Rajguru Enclave, 35, Pal Rd, Opposite, Pal Gaon, Jodhpur, Rajasthan 342014","Opposite, Pal Gaon",26.226487,72.9506554,ChIJ81kmZymJQTkR3YUKW4mzJss,https://www.google.com/maps/place/?q=place_id:ChIJ81kmZymJQTkR3YUKW4mzJss,part_377,2026-09-20 20:21:03
