business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subhash Kirana Dukan,Supermarket,Grocery store,Grocery store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 90064 46365,N/A,4.0,,"Sarna - Shahpur Rd, near Post Office, Bihar 802165",802165,25.6404748,84.367184,ChIJCff_HbGDkjkRClFtazl-tGk,https://www.google.com/maps/place/?q=place_id:ChIJCff_HbGDkjkRClFtazl-tGk,part_377,2026-09-20 20:21:00
Rocky,Supermarket,Supermarket,Supermarket,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 74885 56930,N/A,4.6,,"Shahpur, Ishwarpura, Bihar 802165",802165,25.6002305,84.4036702,ChIJm-EGU_yCkjkReUA76QwmdZY,https://www.google.com/maps/place/?q=place_id:ChIJm-EGU_yCkjkReUA76QwmdZY,part_377,2026-09-20 20:21:00
Balajee Trading Company,Supermarket,Supermarket,"Supermarket, Indian grocery store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 99559 19900,N/A,4.9,,"Bihiya-Bahoranpur Rd, Karaja, Bihar 802166",802165,25.6456122,84.4703519,ChIJ00wkpKqdkjkRcozhL51QCFE,https://www.google.com/maps/place/?q=place_id:ChIJ00wkpKqdkjkRcozhL51QCFE,part_377,2026-09-20 20:21:00
महादेव काम्प्लेक्स मार्केट,Supermarket,Grocery store,Grocery store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,,,"J9JH+PCJ, Bharauli, Bihar 802165",802165,25.631836699999997,84.378506,ChIJqXZ0eACDkjkRAO99AHJlXvg,https://www.google.com/maps/place/?q=place_id:ChIJqXZ0eACDkjkRAO99AHJlXvg,part_377,2026-09-20 20:21:00
Patanjali Uttpad Kendra Bihiya,Supermarket,Indian grocery store,Indian grocery store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,http://www.patanjaliayurved.org/,4.6,,"Sonar Patti Mohalla, Shabji Market Road, behind Meat Market, Balpar, Behea, Bihar 802152",Balpar,25.5595026,84.4533029,ChIJZ9uSSXqdkjkR2R0KPutz3sA,https://www.google.com/maps/place/?q=place_id:ChIJZ9uSSXqdkjkR2R0KPutz3sA,part_377,2026-09-20 20:21:00
Bharat Ji Kirana Store,Supermarket,Grocery store,Grocery store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 91227 82866,N/A,3.7,,"Bazar, Shahpur Bazar Shahpur, Arrah, Bihar 802154",802165,25.5856621,84.46177519999999,ChIJCwHp-0mdkjkRc9BlmY3BBFg,https://www.google.com/maps/place/?q=place_id:ChIJCwHp-0mdkjkRc9BlmY3BBFg,part_377,2026-09-20 20:21:00
Satyadev Grocery Store,Supermarket,General store,General store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 72748 18614,N/A,,,"Udashin Aashram Badi Sangat Shahpur Patti Bhojpur Bihar Ward No 9, Shahpur, Bihar 802165",802165,25.5996965,84.4043234,ChIJ4XCe1MyDkjkRQ-TpX8WK6Ks,https://www.google.com/maps/place/?q=place_id:ChIJ4XCe1MyDkjkRQ-TpX8WK6Ks,part_377,2026-09-20 20:21:00
A&S Mall AtoZ Shop,Supermarket,Discount supermarket,"Discount supermarket, Smart shop",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 92261 92415,https://www.asmallatozstore.com/,4.8,,"Shahpur Block Road, Bihar 802165",802165,25.595731999999998,84.3974623,ChIJXRhMhfSDkjkRmITCDdIt2ho,https://www.google.com/maps/place/?q=place_id:ChIJXRhMhfSDkjkRmITCDdIt2ho,part_377,2026-09-20 20:21:00
Ramesh Kirana Dukan,Supermarket,Grocery store,"Grocery store, Store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 77397 31574,N/A,4.3,,"Road Bhaisahab, near of Kali Mandir, Bariswan, Bhaisaha, Bihar 802165",802165,25.6243892,84.4237086,ChIJ3zpwWDKDkjkRyo744FrQr9I,https://www.google.com/maps/place/?q=place_id:ChIJ3zpwWDKDkjkRyo744FrQr9I,part_377,2026-09-20 20:21:00
SINGH CHOWK,Supermarket,Grocery store,Grocery store,802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",N/A,N/A,4.0,,"Tower Rd, Balpar, Behea, Bihar 802152",Balpar,25.5601988,84.4522226,ChIJcYu4XFmdkjkRS0X0ekZ8T6g,https://www.google.com/maps/place/?q=place_id:ChIJcYu4XFmdkjkRS0X0ekZ8T6g,part_377,2026-09-20 20:21:00
Balajee Traders,Supermarket,Grocery store,"Grocery store, General store",802165,Bihar circle,Patna HQ Region,Bhojpur Division,"Bariswan BO, Bharauli BO, Birpur BO",+91 93081 08002,N/A,3.9,,"Bihiya-Salempur Rd, Bihar 802154",802165,25.5853,84.462047,ChIJaSF5UxSdkjkRqgA3rLxRIgk,https://www.google.com/maps/place/?q=place_id:ChIJaSF5UxSdkjkRqgA3rLxRIgk,part_377,2026-09-20 20:21:00
