business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Grand Salon,Salon,Nail salon,Nail salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",N/A,N/A,5.0,2.0,"9JH7+2JV, Agiaon, Bihar 802201",802201,25.3776248,84.6140599,ChIJ6RvuWQBdjTkRIgWyIRFQsuE,https://www.google.com/maps/place/?q=place_id:ChIJ6RvuWQBdjTkRIgWyIRFQsuE,part_377,2026-09-20 20:23:08
Munmun Ladies Beauty Parlour and Mehndi,Salon,Beauty Parlour,Beauty Parlour,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 79031 64792,http://munmun.bkmehndi.co.in/,4.9,16.0,"Man Road, Garhani, Bihar 802203",802201,25.4056148,84.5557261,ChIJoyQLNoJnjTkRXZmjwkbFRwo,https://www.google.com/maps/place/?q=place_id:ChIJoyQLNoJnjTkRXZmjwkbFRwo,part_377,2026-09-20 20:23:08
Charming Family Saloon,Salon,Hair salon,Hair salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 90820 55395,N/A,4.9,7.0,"Garahani, Ara, Arrah, Bihar 802203",802201,25.406833,84.55782359999999,ChIJW98NUgdnjTkR9ecWlITibCM,https://www.google.com/maps/place/?q=place_id:ChIJW98NUgdnjTkR9ecWlITibCM,part_377,2026-09-20 20:23:08
Pooja beauty parlour,Salon,Beauty Parlour,Beauty Parlour,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",N/A,N/A,,,"8JP4+65R, Narayanpur, Bihar 802201",802201,25.3356067,84.60539039999999,ChIJ4YjCHgBpjTkRsMC15GiaqL4,https://www.google.com/maps/place/?q=place_id:ChIJ4YjCHgBpjTkRsMC15GiaqL4,part_377,2026-09-20 20:23:08
Ashif Men's Palour,Salon,Hair salon,Hair salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 87093 83915,N/A,1.0,1.0,"Pawana - Kori - Sandesh Rd, , Araila, Sahar Road, Arrah, Pawana, Bihar 802201",802201,25.4095463,84.6266758,ChIJM9-9yLFdjTkR7EuGcvfNef0,https://www.google.com/maps/place/?q=place_id:ChIJM9-9yLFdjTkR7EuGcvfNef0,part_377,2026-09-20 20:23:08
A K T Hakur,Salon,Nail salon,Nail salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",N/A,N/A,,,"8JHJ+24F, Chhaprapur, Muradpur, Bihar 802201",802201,25.3275619,84.63029329999999,ChIJt-o_CgBDjTkR1LkB_TUI0ms,https://www.google.com/maps/place/?q=place_id:ChIJt-o_CgBDjTkR1LkB_TUI0ms,part_377,2026-09-20 20:23:08
Gautam Hair Cating,Salon,Hair salon,"Hair salon, General store",802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 95257 69036,N/A,,,"01, Arrah, Sauna, Bihar 802201",802201,25.4103709,84.6400613,ChIJO0oeFr5djTkRVccSyEzShpg,https://www.google.com/maps/place/?q=place_id:ChIJO0oeFr5djTkRVccSyEzShpg,part_377,2026-09-20 20:23:08
Dhanjay Sailon store,Salon,Hair salon,Hair salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 82928 32336,N/A,,,"01 Narayanpur, Sahad road, Ara, Narayanpur, Bihar 802201",802201,25.3297423,84.605969,ChIJkRO-AtppjTkRKFRuJQQv4RU,https://www.google.com/maps/place/?q=place_id:ChIJkRO-AtppjTkRKFRuJQQv4RU,part_377,2026-09-20 20:23:08
Sapna beauty parlour,Salon,Beauty Parlour,Beauty Parlour,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 98011 31442,N/A,,,"8JJ4+5GQ, Narayanpur, Bihar 802201",802201,25.3304488,84.606348,ChIJITV9UABDjTkRAfrPvVRmHAs,https://www.google.com/maps/place/?q=place_id:ChIJITV9UABDjTkRAfrPvVRmHAs,part_377,2026-09-20 20:23:08
Manjay Kumar,Salon,Hair salon,Hair salon,802201,Bihar circle,Patna HQ Region,Bhojpur Division,"Baghi BO, Bargaon  BO, Berath BO",+91 93545 51284,N/A,,,"00, Ara-Ekauna-Khaira-Sahar Rd, Narayanpur, Bihar 802201",802201,25.3302172,84.605825,ChIJE5ivHjNpjTkRHDLwy88ho-U,https://www.google.com/maps/place/?q=place_id:ChIJE5ivHjNpjTkRHDLwy88ho-U,part_377,2026-09-20 20:23:08
