business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BIKE CARE,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",+91 99732 22311,N/A,5.0,9.0,"Zeromile More, Arrah, Bihar 802302",802206,25.5321583,84.6445516,ChIJhWMyLABfjTkRZuPRxatHYcI,https://www.google.com/maps/place/?q=place_id:ChIJhWMyLABfjTkRZuPRxatHYcI,part_377,2026-09-20 20:25:53
A to Z Bike Service,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",N/A,N/A,5.0,11.0,"HM6M+X7R, Sasaram - Patna Rd, Housing Colony, MIG Old, Ahir purawa, Arrah, Bihar 802301","Housing Colony, MIG Old, Ahir purawa",25.5624777,84.6831507,ChIJ1zplBABfjTkR01N0lKEQGM4,https://www.google.com/maps/place/?q=place_id:ChIJ1zplBABfjTkR01N0lKEQGM4,part_377,2026-09-20 20:25:53
Valvoline Bike Xpert - Mahaveer Auto,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Motor scooter repair shop, Oil change service, Repair service",802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",+91 99390 00878,https://www.valvoline.com/en-in?utm_source=locator&utm_medium=googleplaces,,,"Near Kendriya Vidyalya, Zero Mile, Arrah, Bihar 802210",Zero Mile,25.528494,84.6425812,ChIJ8zWuMFBfjTkRIu9_uQEll8Q,https://www.google.com/maps/place/?q=place_id:ChIJ8zWuMFBfjTkRIu9_uQEll8Q,part_377,2026-09-20 20:25:53
J P bike service centre,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",N/A,N/A,,,"HM38+JHG, Nawada, Arrah, Bihar 802301",Nawada,25.5540628,84.6664648,ChIJ46y5IgBfjTkR4wZtW0VgJ7Q,https://www.google.com/maps/place/?q=place_id:ChIJ46y5IgBfjTkR4wZtW0VgJ7Q,part_377,2026-09-20 20:25:53
Hind auto,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",N/A,N/A,5.0,1.0,"West Ramna Road, Old Police Line, Arrah, Bihar 802301",Old Police Line,25.563318799999998,84.6664656,ChIJycsQDgBfjTkR7VVClyrsuys,https://www.google.com/maps/place/?q=place_id:ChIJycsQDgBfjTkR7VVClyrsuys,part_377,2026-09-20 20:25:53
Ampere Service Station - Chandawa - Bhojpur,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Auto repair shop, Car repair and maintenance service, Motor scooter repair shop, Motorcycle parts store, Repair service",802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",+91 79 4716 5178,https://ampere-showroom.greaveselectricmobility.com/ampere-service-station-chandawa-bhojpur-priyadarshi-enterprises-two-wheeler-repair-shop-chandawa-arrah-575400/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, in front of Indian Oil Petrol Pump, Chandawa, Arrah, Bihar 802301",Chandawa,25.560377,84.63869199999999,ChIJx4TYZfNfjTkRjSitvLCg3gQ,https://www.google.com/maps/place/?q=place_id:ChIJx4TYZfNfjTkRjSitvLCg3gQ,part_377,2026-09-20 20:25:53
"Bajaj bike service center, (Maa Malti Bajaj)",Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",N/A,https://www.bajajauto.com/,3.1,24.0,"HJ6V+2H9, Sasaram - Patna Rd, Housing Colony MIG Old, Arrah, Bihar 802301",Housing Colony MIG Old,25.5600995,84.64401319999999,ChIJxwbAUjZfjTkRBO6HhMReb_A,https://www.google.com/maps/place/?q=place_id:ChIJxwbAUjZfjTkRBO6HhMReb_A,part_377,2026-09-20 20:25:53
Auto Care,Two Wheeler Repair and Mechanic,Bicycle repair shop,Bicycle repair shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",+91 79034 79952,N/A,5.0,8.0,"in front of Petrol Pump, Zero Mile, Jagdev Nagar, Arrah, Bihar 802301","Zero Mile, Jagdev Nagar",25.536064099999997,84.6485816,ChIJn8wkW_xfjTkRyAR7nRxlct0,https://www.google.com/maps/place/?q=place_id:ChIJn8wkW_xfjTkRyAR7nRxlct0,part_377,2026-09-20 20:25:53
Kundan bike repairing,Two Wheeler Repair and Mechanic,Mechanic,Mechanic,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",N/A,N/A,,,"HM6J+V7F, Moti Tola Rd, Doodh Katora Colony, Arrah, Bihar 802301",Doodh Katora Colony,25.5621942,84.68067219999999,ChIJU4bEMQBfjTkRZC5KmPvH5Yg,https://www.google.com/maps/place/?q=place_id:ChIJU4bEMQBfjTkRZC5KmPvH5Yg,part_377,2026-09-20 20:25:53
Dipu Bike Ripearing Center,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,802206,Bihar circle,Patna HQ Region,Bhojpur Division,"Bankat BO, Belaur BO, Bichhiaon BO",+91 74848 65350,N/A,5.0,2.0,"Patna - Buxar Hwy, Chandawa, Pakariabar, Arrah, Bihar 802312",Chandawa,25.5597419,84.62922979999999,ChIJp5mzwE5fjTkRi4Ets-L_E8k,https://www.google.com/maps/place/?q=place_id:ChIJp5mzwE5fjTkRi4Ets-L_E8k,part_377,2026-09-20 20:25:53
